日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1002.08,1029.6,1036.58,990.75,2.96,29.6,283551,388835000.0,4.58,0.01
2000-01-05,1033.35,1023.17,1048.38,1015.4,-0.62,-6.43,333004,386091000.0,3.2,0.01
2000-01-06,1021.14,1062.63,1069.39,1012.57,3.86,39.46,485782,617535000.0,5.55,0.01
2000-01-07,1068.42,1101.27,1113.09,1060.44,3.64,38.64,1271721,1827067000.0,4.95,0.03
2000-01-10,1106.77,1107.33,1123.06,1079.44,0.55,6.06,911260,1273292000.0,3.96,0.02
2000-01-11,1103.59,1055.75,1108.28,1047.09,-4.66,-51.58,505939,642458000.0,5.53,0.01
2000-01-12,1049.83,1032.68,1063.69,1024.35,-2.19,-23.07,422380,610259000.0,3.73,0.01
2000-01-13,1031.72,1035.12,1055.55,1022.69,0.24,2.44,246861,305420000.0,3.18,0.01
2000-01-14,1038.61,1029.23,1051.59,1017.45,-0.57,-5.89,203580,245242000.0,3.3,0.01
2000-01-17,1029.73,1063.9,1070.04,1020.63,3.37,34.67,195575,246047000.0,4.8,0.0
2000-01-18,1069.97,1069.27,1107.67,1057.79,0.5,5.37,251821,335575000.0,4.69,0.01
2000-01-19,1068.71,1095.06,1108.45,1058.75,2.41,25.79,256326,276548000.0,4.65,0.01
2000-01-20,1098.89,1105.97,1117.35,1078.53,1.0,10.91,254880,319056000.0,3.55,0.01
2000-01-21,1103.21,1099.69,1131.63,1081.27,-0.57,-6.28,499033,713277000.0,4.55,0.01
2000-01-24,1099.77,1112.35,1132.44,1080.67,1.15,12.66,428142,589788000.0,4.71,0.01
2000-01-25,1119.04,1119.09,1147.29,1088.94,0.61,6.74,569183,595562000.0,5.25,0.01
2000-01-26,1126.14,1123.21,1156.16,1093.75,0.37,4.12,507218,577277000.0,5.58,0.01
2000-01-27,1137.3,1142.92,1162.44,1110.52,1.75,19.71,572415,751437000.0,4.62,0.01
2000-01-28,1152.77,1157.25,1176.31,1128.47,1.25,14.33,788707,1061960000.0,4.19,0.02
2000-02-14,1185.89,1264.81,1267.79,1176.49,9.29,107.56,1172606,1259573000.0,7.89,0.03
2000-02-15,1282.68,1256.37,1332.33,1224.68,-0.67,-8.44,1503939,1852025000.0,8.51,0.04
2000-02-16,1252.38,1230.56,1275.67,1190.17,-2.05,-25.81,1169811,1492435000.0,6.81,0.03
2000-02-17,1234.97,1207.61,1297.18,1173.25,-1.87,-22.95,1832834,2267549000.0,10.07,0.05
2000-02-18,1201.38,1198.89,1240.03,1149.13,-0.72,-8.72,814633,1018079000.0,7.53,0.02
2000-02-21,1202.26,1212.89,1247.87,1167.33,1.17,14.0,1773487,1913032000.0,6.72,0.04
2000-02-22,1213.6,1195.44,1243.36,1179.97,-1.44,-17.45,862701,932392000.0,5.23,0.02
2000-02-23,1194.76,1171.46,1207.74,1153.11,-2.01,-23.98,636521,680221000.0,4.57,0.02
2000-02-24,1170.93,1190.67,1200.17,1164.57,1.64,19.21,475478,512734000.0,3.04,0.01
2000-02-25,1188.42,1211.29,1228.49,1171.24,1.73,20.62,815726,789069000.0,4.81,0.02
2000-02-28,1232.21,1281.77,1289.39,1220.24,5.82,70.48,1352221,1391608000.0,5.71,0.03
2000-02-29,1320.53,1293.79,1350.71,1257.15,0.94,12.02,2016508,2425213000.0,7.3,0.05
2000-03-01,1295.95,1269.92,1313.72,1255.71,-1.84,-23.87,1533997,1680880000.0,4.48,0.04
2000-03-02,1268.64,1255.26,1293.65,1231.85,-1.15,-14.66,821497,869666000.0,4.87,0.02
2000-03-03,1260.9,1265.96,1285.76,1247.41,0.85,10.7,916091,1018360000.0,3.06,0.02
2000-03-06,1273.57,1244.39,1314.17,1232.5,-1.7,-21.57,1436613,1642058000.0,6.45,0.04
2000-03-07,1233.74,1274.75,1287.1,1221.26,2.44,30.36,1615766,1662977000.0,5.29,0.04
2000-03-08,1283.7,1282.56,1303.53,1254.09,0.61,7.81,1488533,2051805000.0,3.88,0.04
2000-03-09,1287.5,1279.69,1305.76,1258.68,-0.22,-2.87,1341647,2310138000.0,3.67,0.03
2000-03-10,1280.08,1252.76,1293.78,1240.49,-2.1,-26.93,940183,1532163000.0,4.16,0.02
2000-03-13,1253.32,1272.92,1291.23,1244.97,1.61,20.16,613347,825390000.0,3.69,0.02
2000-03-14,1250.08,1255.44,1278.74,1213.23,-1.37,-17.48,1010220,1421028000.0,5.15,0.03
2000-03-15,1254.87,1261.23,1294.8,1240.49,0.46,5.79,1083139,1133003000.0,4.33,0.03
2000-03-16,1252.49,1220.77,1265.95,1206.56,-3.21,-40.46,1960965,1270201000.0,4.71,0.05
2000-03-17,1216.66,1247.05,1258.78,1212.33,2.15,26.28,1369891,1558623000.0,3.8,0.03
2000-03-20,1233.34,1276.27,1291.41,1215.92,2.34,29.22,1696805,1882224000.0,6.05,0.04
2000-03-21,1279.9,1280.48,1298.67,1260.47,0.33,4.21,1847495,1560091000.0,2.99,0.05
2000-03-22,1280.37,1278.54,1303.25,1260.93,-0.15,-1.94,1010373,1096511000.0,3.31,0.03
2000-03-23,1282.37,1285.74,1299.96,1265.32,0.56,7.2,848943,871219000.0,2.71,0.02
2000-03-24,1292.0,1274.02,1315.97,1268.29,-0.91,-11.72,1190970,1253885000.0,3.71,0.03
2000-03-27,1276.51,1313.35,1328.13,1271.34,3.09,39.33,958421,1087195000.0,4.46,0.02
2000-03-28,1326.86,1331.11,1364.24,1306.39,1.35,17.76,1596360,1456588000.0,4.4,0.04
2000-03-29,1334.7,1318.34,1350.58,1295.31,-0.96,-12.77,1029118,972445000.0,4.15,0.03
2000-03-30,1320.78,1333.97,1345.07,1311.25,1.19,15.63,939827,953653000.0,2.57,0.02
2000-03-31,1327.53,1337.84,1358.65,1308.44,0.29,3.87,1742763,1507161000.0,3.76,0.04
2000-04-03,1342.57,1335.15,1372.06,1326.39,-0.2,-2.69,1048911,1137981000.0,3.41,0.03
2000-04-04,1336.77,1309.64,1342.56,1298.82,-1.91,-25.51,1094556,946859000.0,3.28,0.03
