日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-01-06,1042.57,1056.45,1061.61,1037.94,5.65,56.45,5727710,5118738432.0,2.37,3.36
2020-01-07,1058.58,1075.62,1094.83,1048.49,1.81,19.17,7882708,9501724160.0,4.39,4.62
2020-01-08,1080.28,1049.85,1092.82,1049.1,-2.4,-25.77,8623684,9524959232.0,4.06,5.05
2020-01-09,1059.8,1058.02,1070.23,1042.73,0.78,8.17,13246953,12658322176.0,2.62,7.76
2020-01-10,1057.87,1034.99,1062.35,1029.14,-2.18,-23.03,9358286,8531124736.0,3.14,5.49
2020-01-13,1033.11,1049.18,1050.45,1023.53,1.37,14.19,7229137,7114048000.0,2.6,4.24
2020-01-14,1048.71,1065.47,1088.68,1043.45,1.55,16.29,10864943,11153888256.0,4.31,6.37
2020-01-15,1042.97,1020.19,1045.64,1019.5,-4.25,-45.28,6450872,6389735936.0,2.45,3.78
2020-01-16,1019.06,1024.85,1039.68,1015.47,0.46,4.66,6309938,6841370368.0,2.37,3.7
2020-01-17,1021.13,1021.13,1029.25,1014.03,-0.36,-3.72,4922500,5046886912.0,1.49,2.89
2020-01-20,1016.06,1005.18,1017.59,989.68,-1.56,-15.95,4838911,4804061440.0,2.73,2.84
2020-01-21,1000.72,979.97,1006.05,977.3,-2.51,-25.21,4484107,4209006848.0,2.86,2.63
2020-01-22,984.59,979.78,991.28,973.95,-0.02,-0.19,4466787,4420062208.0,1.77,2.62
2020-01-23,961.24,929.0,972.54,918.15,-5.18,-50.78,5090436,4491152896.0,5.55,2.98
2020-02-03,836.22,836.28,838.67,836.22,-9.98,-92.72,858141,778210560.0,0.26,0.5
2020-02-04,781.94,844.83,845.74,781.94,1.02,8.55,5742682,4275104832.0,7.63,3.37
2020-02-05,844.59,870.64,892.32,840.36,3.06,25.81,6206247,4995661824.0,6.15,3.64
2020-02-06,883.06,910.69,910.84,875.06,4.6,40.05,7021763,5747190784.0,4.11,4.12
2020-02-07,908.29,897.12,910.33,878.26,-1.49,-13.57,5539599,4537285888.0,3.52,3.25
2020-02-10,890.13,960.39,961.51,889.1,7.05,63.27,5085775,4821497600.0,8.07,2.98
2020-02-11,997.2,935.13,997.27,934.38,-2.63,-25.26,9629217,8445192192.0,6.55,5.64
2020-02-12,919.36,969.17,981.18,917.22,3.64,34.04,9291388,8169204224.0,6.84,5.45
2020-02-13,963.1,978.32,1002.94,958.68,0.94,9.15,9904394,8460501504.0,4.57,5.81
2020-02-14,970.21,989.26,1005.74,961.17,1.12,10.94,8196849,7143392000.0,4.56,4.8
2020-02-17,1011.59,1040.17,1051.4,1009.71,5.15,50.91,9648537,9106482688.0,4.21,5.66
2020-02-18,1018.61,1027.69,1027.83,1009.24,-1.2,-12.48,7491845,7012945920.0,1.79,4.39
2020-02-19,1021.5,999.5,1021.5,999.3,-2.74,-28.19,6873212,6561966336.0,2.16,4.03
2020-02-20,995.38,1006.63,1009.51,985.99,0.71,7.13,5306420,5091711744.0,2.35,3.11
2020-02-21,999.88,1005.36,1017.03,993.36,-0.13,-1.27,5037913,4813007104.0,2.35,2.95
2020-02-24,1006.48,1026.73,1039.8,997.53,2.13,21.37,7171684,6914803200.0,4.2,4.2
2020-02-25,998.71,1003.75,1007.54,967.8,-2.24,-22.98,5927712,5591172096.0,3.87,3.47
2020-02-26,1015.56,995.0,1027.75,992.86,-0.87,-8.75,7325245,6790856448.0,3.48,4.29
2020-02-27,993.83,992.63,1008.01,979.9,-0.24,-2.37,5178072,4661145344.0,2.83,3.04
2020-02-28,962.66,935.06,974.33,931.16,-5.8,-57.57,5481554,4713742592.0,4.35,3.21
2020-03-02,935.72,972.33,977.62,935.72,3.99,37.27,4348999,3861870176.0,4.48,2.55
2020-03-03,984.72,1009.46,1016.53,977.73,3.82,37.13,6492373,6120594688.0,3.99,3.81
2020-03-04,998.02,1021.05,1021.05,995.75,1.15,11.59,6848194,6297356032.0,2.51,4.01
2020-03-05,1018.1,1060.02,1070.33,1016.54,3.82,38.97,8083045,8178201600.0,5.27,4.74
2020-03-06,1057.15,1048.37,1086.28,1048.37,-1.1,-11.65,9108282,9074794752.0,3.58,5.34
2020-03-09,1028.11,1006.64,1041.21,1006.22,-3.98,-41.73,7859090,7615077632.0,3.34,4.61
2020-03-10,990.3,1006.54,1011.21,957.23,-0.01,-0.1,6486795,5864494848.0,5.36,3.8
2020-03-11,1005.66,1005.34,1033.84,999.83,-0.12,-1.2,6191368,5669707776.0,3.38,3.63
2020-03-12,985.51,963.49,986.12,956.76,-4.16,-41.85,4933424,4296140800.0,2.92,2.89
2020-03-13,909.87,963.58,968.69,907.42,0.01,0.09,5462254,4254420432.0,6.36,3.2
2020-03-16,975.06,924.73,980.63,922.5,-4.03,-38.85,5918584,4243249696.0,6.03,3.47
2020-03-17,924.71,907.58,935.99,879.55,-1.85,-17.15,4350420,3087819744.0,6.1,2.55
