日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-07-29,1002.7,1022.67,1028.74,996.5,2.27,22.67,1381881,2014669497.0,3.22,3.75
2022-08-01,1024.87,1048.71,1051.57,1019.31,2.55,26.04,1450482,2241981934.0,3.15,3.94
2022-08-02,1025.81,998.84,1025.81,992.76,-4.76,-49.87,1137018,1689499893.0,3.15,3.09
2022-08-03,1004.39,989.75,1038.07,984.73,-0.91,-9.09,1298593,1816397016.0,5.34,3.53
2022-08-04,998.16,982.49,1000.94,966.03,-0.73,-7.26,946331,1231161032.0,3.53,2.57
2022-08-05,981.61,970.51,992.43,959.1,-1.22,-11.98,797946,1048553180.0,3.39,2.17
2022-08-08,969.62,1009.58,1013.32,955.92,4.03,39.07,882436,1207391538.0,5.91,2.4
2022-08-09,1018.39,1005.05,1039.58,1003.77,-0.45,-4.53,1460808,2027017124.0,3.55,3.97
2022-08-10,1001.0,999.57,1010.23,992.91,-0.55,-5.48,967270,1299914343.0,1.72,2.63
2022-08-11,997.01,998.6,1001.27,987.45,-0.1,-0.97,829808,1142066247.0,1.38,2.25
2022-08-12,997.67,982.15,1004.42,980.93,-1.65,-16.45,796704,1053268144.0,2.35,2.16
2022-08-15,976.66,982.82,987.4,970.98,0.07,0.67,687232,912435125.0,1.67,1.87
2022-08-16,984.1,1011.94,1014.72,983.39,2.96,29.12,949363,1336657037.0,3.19,2.58
2022-08-17,1010.11,1012.56,1017.1,998.65,0.06,0.62,805008,1386611308.0,1.82,2.19
2022-08-18,1013.96,1033.01,1035.07,1010.48,2.02,20.45,958766,1495278131.0,2.43,2.6
2022-08-19,1028.32,992.63,1030.19,992.46,-3.91,-40.38,858210,1221876044.0,3.65,2.33
2022-08-22,989.77,1011.6,1012.24,980.44,1.91,18.97,849136,1331167292.0,3.2,2.31
2022-08-23,999.74,1010.31,1012.63,992.51,-0.13,-1.29,1094401,1652918523.0,1.99,2.97
2022-08-24,1008.48,955.98,1008.71,953.59,-5.38,-54.33,1079190,1497663054.0,5.46,2.93
2022-08-25,958.47,949.32,962.02,934.25,-0.7,-6.66,1157962,1408362140.0,2.9,3.14
2022-08-26,952.82,943.21,964.85,937.37,-0.64,-6.11,978947,1242381652.0,2.89,2.66
2022-08-29,931.87,951.12,957.2,915.17,0.84,7.91,871179,1127293561.0,4.46,2.37
2022-08-30,952.38,925.23,955.11,924.3,-2.72,-25.89,794764,985081222.0,3.24,2.16
2022-08-31,919.72,872.65,920.15,872.5,-5.68,-52.58,739657,960989853.0,5.15,2.01
2022-09-01,874.13,860.09,881.68,857.73,-1.44,-12.56,476087,634593173.0,2.74,1.29
2022-09-02,860.58,878.31,881.04,851.97,2.12,18.22,456358,622345895.0,3.38,1.24
2022-09-05,877.86,887.44,887.44,866.97,1.04,9.13,440614,682049924.0,2.33,1.2
2022-09-06,888.72,898.81,899.61,881.9,1.28,11.37,479652,782197506.0,2.0,1.3
2022-09-07,896.89,925.93,931.42,896.26,3.02,27.12,566556,933695244.0,3.91,1.54
2022-09-08,930.26,933.39,942.77,927.66,0.81,7.46,733688,1083820377.0,1.63,1.99
2022-09-09,930.76,918.53,931.62,912.76,-1.59,-14.86,857847,1091043529.0,2.02,2.33
2022-09-13,921.18,936.1,936.1,915.41,1.91,17.57,659164,929783779.0,2.25,1.79
2022-09-14,919.29,917.76,929.36,907.44,-1.96,-18.34,528315,721434358.0,2.34,1.43
2022-09-15,935.16,895.85,935.97,887.65,-2.39,-21.91,1130495,1440153351.0,5.26,3.07
2022-09-16,892.74,860.56,893.29,860.49,-3.94,-35.29,681713,867741914.0,3.66,1.85
2022-09-19,858.69,859.02,871.06,852.85,-0.18,-1.54,522793,640045885.0,2.12,1.42
2022-09-20,863.99,880.76,888.72,863.99,2.53,21.74,517337,760156183.0,2.88,1.4
2022-09-21,878.33,876.97,880.65,857.85,-0.43,-3.79,452796,643782755.0,2.59,1.23
2022-09-22,873.47,865.83,883.23,864.78,-1.27,-11.14,444314,588585945.0,2.1,1.21
2022-09-23,867.21,833.71,869.91,831.23,-3.71,-32.12,511818,682942079.0,4.47,1.39
2022-09-26,834.34,825.16,843.59,822.5,-1.03,-8.55,421612,626612085.0,2.53,1.14
2022-09-27,827.09,845.52,845.98,827.01,2.47,20.36,363007,544452940.0,2.3,0.99
2022-09-28,845.24,808.37,845.24,808.1,-4.39,-37.15,438503,649357420.0,4.39,1.19
2022-09-29,815.77,808.6,819.99,803.93,0.03,0.23,309747,433527942.0,1.99,0.84
