日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-07-28,1005.82,989.26,1005.82,971.4,-1.07,-10.74,2357128,3059931728.0,3.44,0.57
2020-07-29,989.92,1013.7,1019.38,981.55,2.47,24.44,2971145,3904206960.0,3.82,0.71
2020-07-30,1013.16,1028.41,1045.75,1012.28,1.45,14.71,3771849,4595962368.0,3.3,0.9
2020-07-31,1021.65,1047.34,1049.13,1017.32,1.84,18.93,4077048,4765866496.0,3.09,0.98
2020-08-03,1050.87,1076.61,1077.56,1050.21,2.79,29.27,4071920,4841300736.0,2.61,0.98
2020-08-04,1079.2,1057.89,1084.25,1053.04,-1.74,-18.72,3297722,4712113920.0,2.9,0.79
2020-08-05,1049.3,1078.13,1080.47,1043.03,1.91,20.24,3071067,4877400064.0,3.54,0.74
2020-08-06,1076.44,1067.37,1087.29,1051.37,-1.0,-10.76,2989786,4545631488.0,3.33,0.72
2020-08-07,1075.93,1067.32,1085.5,1044.38,0.0,-0.05,4039649,5302289664.0,3.85,0.97
2020-08-10,1066.29,1063.42,1070.32,1052.86,-0.37,-3.9,3908202,4782440960.0,1.64,0.94
2020-08-11,1066.95,1033.05,1067.21,1030.71,-2.86,-30.37,3472200,4367589376.0,3.43,0.83
2020-08-12,1026.45,1018.8,1028.66,987.8,-1.38,-14.25,2813424,3757242112.0,3.96,0.67
2020-08-13,1019.52,1011.64,1022.29,1009.28,-0.7,-7.16,1787578,2585612768.0,1.28,0.43
2020-08-14,1012.09,1009.65,1015.54,988.16,-0.2,-1.99,1665128,2778802400.0,2.71,0.4
2020-08-17,1010.94,1027.89,1032.12,1008.95,1.81,18.24,1823694,2621128576.0,2.29,0.44
2020-08-18,1030.75,1034.12,1038.36,1026.25,0.61,6.23,1779505,2331024912.0,1.18,0.43
2020-08-19,1034.4,1004.42,1035.0,1004.35,-2.87,-29.7,2427079,3030177696.0,2.96,0.58
2020-08-20,1001.74,991.97,1013.45,988.71,-1.24,-12.45,1466634,2014794784.0,2.46,0.35
