日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2019-03-05,1019.52,1079.01,1079.01,1016.88,7.9,79.01,4878413,10915874816.0,6.21,0.29
2019-03-06,1128.27,1145.18,1147.39,1110.05,6.13,66.17,11113453,21587407616.0,3.46,0.66
2019-03-07,1167.69,1184.35,1198.09,1156.31,3.42,39.17,10734813,20219123200.0,3.65,0.63
2019-03-08,1169.85,1163.28,1222.14,1153.42,-1.78,-21.07,16631876,27907775744.0,5.8,0.98
2019-03-11,1205.25,1201.61,1210.7,1151.65,3.29,38.33,18710275,25168935424.0,5.08,1.11
2019-03-12,1209.9,1238.49,1248.52,1209.9,3.07,36.88,19609053,29756780800.0,3.21,1.16
2019-03-13,1237.58,1171.77,1237.58,1160.85,-5.39,-66.72,20426927,29154197760.0,6.2,1.21
2019-03-14,1142.94,1113.38,1148.91,1100.04,-4.98,-58.39,11597105,17330985472.0,4.17,0.69
2019-03-15,1118.09,1107.85,1127.31,1096.52,-0.5,-5.53,12332251,15843680512.0,2.77,0.73
2019-03-18,1106.67,1128.05,1128.05,1089.2,1.82,20.2,10681995,14676046592.0,3.51,0.63
2019-03-19,1122.2,1135.34,1151.89,1117.44,0.65,7.29,11806940,15961044992.0,3.05,0.7
2019-03-20,1131.56,1121.83,1134.6,1097.15,-1.19,-13.51,9258476,12805024512.0,3.3,0.55
2019-03-21,1120.6,1136.69,1148.78,1118.12,1.32,14.86,12029825,16269304576.0,2.73,0.71
2019-03-22,1130.58,1121.46,1130.58,1100.78,-1.34,-15.23,9312326,13796514304.0,2.62,0.55
2019-03-25,1094.36,1103.75,1120.45,1088.59,-1.58,-17.71,8182900,12698553856.0,2.84,0.48
2019-03-26,1109.75,1079.22,1115.67,1075.35,-2.22,-24.53,9330810,13092443136.0,3.65,0.55
2019-03-27,1087.5,1071.03,1089.76,1044.28,-0.76,-8.19,8615062,11778368256.0,4.21,0.51
2019-03-28,1064.38,1065.91,1095.7,1058.39,-0.48,-5.12,9025380,15434311168.0,3.48,0.53
2019-03-29,1062.34,1093.32,1093.32,1042.35,2.57,27.41,10443626,17570777600.0,4.78,0.62
2019-04-01,1098.16,1136.58,1136.71,1098.16,3.96,43.26,12722075,21249230592.0,3.53,0.75
2019-04-02,1140.63,1141.48,1162.09,1131.71,0.43,4.9,13130247,19023730432.0,2.67,0.78
2019-04-03,1134.31,1144.72,1145.06,1129.3,0.28,3.24,9747309,14254608896.0,1.38,0.58
2019-04-04,1147.58,1135.49,1150.79,1129.43,-0.81,-9.23,9828473,14965153024.0,1.87,0.58
2019-04-08,1140.51,1110.69,1143.83,1094.79,-2.18,-24.8,9950477,14706626816.0,4.32,0.59
2019-04-09,1109.64,1125.09,1127.41,1102.39,1.3,14.4,8203754,13095907840.0,2.25,0.48
2019-04-10,1122.6,1128.17,1138.55,1115.64,0.27,3.08,9198915,14831100416.0,2.04,0.54
2019-04-11,1128.08,1096.98,1129.5,1096.98,-2.76,-31.19,7988068,11740197376.0,2.88,0.47
2019-04-12,1096.8,1097.01,1105.05,1087.88,0.0,0.03,7008865,9046545152.0,1.57,0.41
2019-04-15,1112.85,1091.96,1129.08,1090.82,-0.46,-5.05,8833690,14560129024.0,3.49,0.52
2019-04-16,1087.19,1137.73,1137.73,1079.98,4.19,45.77,10977625,20339700992.0,5.29,0.65
2019-04-17,1141.1,1146.41,1154.73,1136.97,0.76,8.68,12029059,21337337088.0,1.56,0.71
2019-04-18,1141.08,1130.21,1146.63,1127.85,-1.41,-16.2,8582418,15148924160.0,1.64,0.51
2019-04-19,1131.16,1141.43,1143.14,1116.53,0.99,11.22,8234636,14891977984.0,2.35,0.49
2019-04-22,1139.8,1124.43,1147.53,1120.89,-1.49,-17.0,9061982,18276507648.0,2.33,0.54
2019-04-23,1119.37,1090.24,1119.6,1087.73,-3.04,-34.19,7528687,14057533952.0,2.83,0.44
2019-04-24,1091.61,1109.21,1110.65,1077.18,1.74,18.97,8631858,15982824960.0,3.07,0.51
2019-04-25,1108.94,1071.07,1117.55,1071.07,-3.44,-38.14,9635893,17124550656.0,4.19,0.57
2019-04-26,1063.54,1077.3,1098.22,1062.58,0.58,6.23,9208759,16404118272.0,3.33,0.54
2019-04-29,1075.25,1012.43,1079.66,1011.15,-6.02,-64.87,9024709,14782891520.0,6.36,0.53
2019-04-30,998.53,1003.32,1017.48,992.89,-0.9,-9.11,7096095,12867575296.0,2.43,0.42
2019-05-06,957.65,910.82,960.9,909.76,-9.22,-92.5,7878157,13023859712.0,5.1,0.47
2019-05-07,914.49,919.87,926.94,899.61,0.99,9.05,7146962,11834679552.0,3.0,0.42
2019-05-08,897.92,923.47,938.53,893.3,0.39,3.6,6777018,10216332800.0,4.92,0.4
2019-05-09,918.72,919.62,936.09,917.39,-0.42,-3.85,6365880,8833293056.0,2.02,0.38
2019-05-10,930.51,968.43,969.05,911.26,5.31,48.81,10342077,15807610112.0,6.28,0.61
2019-05-13,953.12,954.4,969.45,944.74,-1.45,-14.03,7437365,11979310848.0,2.55,0.44
2019-05-14,938.59,954.22,963.89,938.59,-0.02,-0.18,8186881,11829693952.0,2.65,0.48
2019-05-15,963.8,972.72,974.09,958.86,1.94,18.5,7368810,11023047680.0,1.6,0.44
2019-05-16,974.04,976.47,979.84,966.1,0.39,3.75,7233302,10835505664.0,1.41,0.43
2019-05-17,980.01,959.74,990.71,954.64,-1.71,-16.73,8905575,13105123584.0,3.69,0.53
2019-05-20,970.83,964.44,975.68,945.59,0.49,4.7,8637201,12816877568.0,3.14,0.51
2019-05-21,956.19,970.88,978.86,951.12,0.67,6.44,7811974,12301731328.0,2.88,0.46
2019-05-22,969.86,989.5,996.65,966.22,1.92,18.62,10389965,17462372352.0,3.13,0.61
2019-05-23,992.4,961.85,992.47,957.87,-2.79,-27.65,10283598,15950997760.0,3.5,0.61
2019-05-24,950.79,939.2,964.07,939.2,-2.35,-22.65,8704354,11376805632.0,2.59,0.51
2019-05-27,938.01,983.38,985.9,933.01,4.7,44.18,8835442,13065696000.0,5.63,0.52
2019-05-28,986.28,988.3,999.19,981.3,0.5,4.92,8897387,12582289920.0,1.82,0.53
2019-05-29,985.16,992.23,1001.87,981.12,0.4,3.93,7908836,10253318400.0,2.1,0.47
2019-05-30,984.88,976.15,984.88,960.38,-1.62,-16.08,7730897,10353872384.0,2.47,0.46
2019-05-31,975.99,972.97,991.38,970.79,-0.33,-3.18,6370353,8915732736.0,2.11,0.38
2019-06-03,975.25,967.2,979.56,948.28,-0.59,-5.77,8186529,13548683520.0,3.21,0.48
2019-06-04,967.99,961.42,978.95,952.2,-0.6,-5.78,7576963,12476988160.0,2.77,0.45
2019-06-05,972.37,972.98,985.3,958.23,1.2,11.56,7830958,12925455616.0,2.82,0.46
2019-06-06,967.45,928.05,967.45,922.19,-4.62,-44.93,7740000,12597649664.0,4.65,0.46
2019-06-10,931.23,949.08,954.73,929.26,2.27,21.03,6429081,11071259904.0,2.74,0.38
2019-06-11,949.75,983.11,983.11,938.9,3.59,34.03,8985667,15145959680.0,4.66,0.53
2019-06-12,981.5,983.58,993.01,979.68,0.05,0.47,7548428,11774181120.0,1.36,0.45
2019-06-13,982.74,989.31,993.73,981.15,0.58,5.73,6663656,10398208512.0,1.28,0.39
2019-06-14,991.0,956.53,995.6,955.16,-3.31,-32.78,6964175,10453328128.0,4.09,0.41
2019-06-17,950.31,951.85,957.83,944.62,-0.49,-4.68,4751169,7561814272.0,1.38,0.28
2019-06-18,952.95,951.65,958.88,943.0,-0.02,-0.2,4003013,6140812288.0,1.67,0.24
2019-06-19,980.71,971.3,984.22,970.84,2.06,19.65,8644765,15358501120.0,1.41,0.51
2019-06-20,968.19,984.79,988.52,961.55,1.39,13.49,8070200,14346215168.0,2.78,0.48
2019-06-21,1000.38,1014.05,1019.54,999.12,2.97,29.26,9957483,15688012544.0,2.07,0.59
2019-06-24,1010.51,1003.48,1014.42,995.95,-1.04,-10.57,7355872,11708747264.0,1.82,0.43
2019-06-25,1001.63,988.36,1001.88,975.83,-1.51,-15.12,7249892,12315033600.0,2.6,0.43
2019-06-26,981.64,987.02,999.01,978.19,-0.14,-1.34,4952944,8057346560.0,2.11,0.29
2019-06-27,989.98,1011.68,1013.59,989.98,2.5,24.66,8177394,15483085824.0,2.39,0.48
2019-06-28,1010.49,991.73,1010.49,983.63,-1.97,-19.95,6281031,10137440256.0,2.65,0.37
2019-07-01,1024.24,1031.47,1032.93,1017.41,4.01,39.74,9251709,17443857152.0,1.56,0.55
2019-07-02,1032.99,1027.13,1034.63,1023.16,-0.42,-4.34,7690030,12630650368.0,1.11,0.45
2019-07-03,1019.43,1007.02,1019.69,1003.33,-1.96,-20.11,6003762,10025228800.0,1.59,0.35
2019-07-04,1008.8,1001.35,1013.86,994.42,-0.56,-5.67,5043483,7727640576.0,1.93,0.3
2019-07-05,995.88,1001.43,1006.36,994.31,0.01,0.08,4609158,6537432320.0,1.2,0.27
2019-07-08,994.69,949.07,994.69,948.73,-5.23,-52.36,5760780,8993254400.0,4.59,0.34
2019-07-09,948.4,951.24,955.02,940.41,0.23,2.17,4186486,7105485312.0,1.54,0.25
2019-07-10,954.82,950.21,958.86,943.0,-0.11,-1.03,3374956,5435947008.0,1.67,0.2
2019-07-11,954.23,943.42,961.4,938.75,-0.71,-6.79,3652664,5623982080.0,2.38,0.22
2019-07-12,942.85,939.35,946.0,933.93,-0.43,-4.07,3026652,5035523840.0,1.28,0.18
2019-07-15,936.04,954.2,957.84,923.43,1.58,14.85,4733740,8389711360.0,3.66,0.28
2019-07-16,950.62,957.11,960.4,948.31,0.3,2.91,3596501,6103370240.0,1.27,0.21
2019-07-17,954.96,962.88,969.08,952.08,0.6,5.77,4405860,6794156288.0,1.78,0.26
2019-07-18,951.81,934.89,951.81,934.89,-2.91,-27.99,4979105,8776575232.0,1.76,0.29
2019-07-19,938.0,940.06,950.47,938.0,0.55,5.17,3659932,6391719424.0,1.33,0.22
2019-07-22,943.61,911.13,944.26,908.14,-3.08,-28.93,5616951,10431576064.0,3.84,0.33
2019-07-23,912.45,939.51,939.51,912.45,3.11,28.38,4247014,7650331648.0,2.97,0.25
2019-07-24,942.65,953.57,960.87,942.58,1.5,14.06,6425869,11046821376.0,1.95,0.38
2019-07-25,955.28,958.31,965.21,953.13,0.5,4.74,5931247,11534659584.0,1.27,0.35
2019-07-26,956.61,954.88,959.11,951.68,-0.36,-3.43,4243910,8394508544.0,0.78,0.25
2019-07-29,957.2,967.03,967.05,956.11,1.27,12.15,4485650,8619065344.0,1.15,0.27
2019-07-30,964.56,968.0,976.19,963.87,0.1,0.97,4564580,8676455936.0,1.27,0.27
2019-07-31,965.05,962.17,967.61,961.25,-0.6,-5.83,4215111,8241396736.0,0.66,0.25
2019-08-01,956.89,963.27,964.69,953.57,0.11,1.1,4021808,7484862720.0,1.16,0.24
2019-08-02,938.02,944.78,947.87,931.51,-1.92,-18.49,5545427,11051457536.0,1.7,0.33
2019-08-05,944.15,943.23,963.29,942.0,-0.16,-1.55,4869448,9834954240.0,2.25,0.29
2019-08-06,919.97,915.27,920.84,887.55,-2.96,-27.96,6555640,11999238656.0,3.53,0.39
2019-08-07,923.08,903.37,924.84,903.37,-1.3,-11.9,4112536,7418188800.0,2.35,0.24
2019-08-08,907.28,911.06,915.28,905.53,0.85,7.69,3606120,6447933440.0,1.08,0.21
2019-08-09,917.1,893.63,920.02,891.52,-1.91,-17.43,5793389,12382612992.0,3.13,0.34
2019-08-12,895.0,921.07,921.07,892.67,3.07,27.44,4854838,9188707840.0,3.18,0.29
2019-08-13,910.6,920.49,920.98,907.86,-0.06,-0.58,4349714,7845236224.0,1.42,0.26
2019-08-14,937.93,924.57,939.96,924.27,0.44,4.08,4816368,9215930880.0,1.7,0.28
2019-08-15,896.73,934.63,935.17,892.47,1.09,10.06,5843664,10685449984.0,4.62,0.35
2019-08-16,931.35,936.76,946.05,930.93,0.23,2.13,5879780,10535948288.0,1.62,0.35
2019-08-19,950.33,979.12,979.36,949.29,4.52,42.36,8676105,16142302464.0,3.21,0.51
2019-08-20,985.5,986.05,995.52,983.94,0.71,6.93,7931326,12991359232.0,1.18,0.47
2019-08-21,984.87,983.06,990.23,979.72,-0.3,-2.99,6774843,10617870592.0,1.07,0.4
2019-08-22,984.51,983.45,988.37,971.2,0.04,0.39,5835666,9613998592.0,1.75,0.34
2019-08-23,983.28,972.26,985.57,967.97,-1.14,-11.19,5380763,9090142464.0,1.79,0.32
2019-08-26,947.26,958.53,964.71,944.94,-1.41,-13.73,5304233,8898729216.0,2.03,0.31
2019-08-27,965.46,982.95,985.47,964.7,2.55,24.42,7117819,10879864320.0,2.17,0.42
2019-08-28,979.35,980.52,984.99,974.08,-0.25,-2.43,6358638,9724020480.0,1.11,0.38
2019-08-29,979.75,975.63,987.45,973.56,-0.5,-4.89,5777801,9366736640.0,1.42,0.34
2019-08-30,983.83,960.64,992.18,954.75,-1.54,-14.99,7021630,11709965824.0,3.84,0.42
2019-09-02,959.62,989.83,991.55,958.74,3.04,29.19,6419117,10677295616.0,3.42,0.38
2019-09-03,989.68,1006.91,1009.24,988.59,1.73,17.08,7504500,13203722752.0,2.09,0.44
2019-09-04,1004.54,1017.13,1017.13,1000.53,1.01,10.22,6859712,11391113728.0,1.65,0.41
2019-09-05,1022.6,1030.57,1051.97,1020.82,1.32,13.44,11674317,19357301760.0,3.06,0.69
2019-09-06,1036.55,1053.46,1056.54,1036.55,2.22,22.89,11541487,22870208000.0,1.94,0.68
2019-09-09,1072.94,1110.27,1110.27,1067.59,5.39,56.81,12603380,24377564672.0,4.05,0.74
2019-09-10,1126.1,1106.82,1126.1,1093.54,-0.31,-3.45,12150852,23964192768.0,2.93,0.72
2019-09-11,1108.53,1092.94,1109.92,1092.32,-1.25,-13.88,9183206,17035192064.0,1.59,0.54
2019-09-12,1095.72,1103.76,1105.66,1091.77,0.99,10.82,7692499,13098826240.0,1.27,0.45
2019-09-16,1105.52,1108.44,1116.8,1100.39,0.42,4.68,8035761,13991113728.0,1.49,0.47
2019-09-17,1101.99,1073.03,1102.01,1063.31,-3.19,-35.41,8447443,14876785920.0,3.49,0.5
2019-09-18,1078.2,1073.51,1085.25,1068.37,0.04,0.48,6250640,11386478336.0,1.57,0.37
2019-09-19,1071.4,1086.56,1086.56,1062.44,1.22,13.05,6923937,12442776320.0,2.25,0.41
2019-09-20,1092.21,1092.98,1102.24,1087.41,0.59,6.42,8001800,14855060992.0,1.36,0.47
2019-09-23,1087.4,1087.92,1087.92,1074.92,-0.46,-5.06,7686730,14097679104.0,1.19,0.45
2019-09-24,1091.13,1098.97,1106.35,1086.61,1.02,11.05,9009345,16405822464.0,1.81,0.53
2019-09-25,1088.35,1073.06,1091.61,1070.16,-2.36,-25.91,8199845,13810003968.0,1.95,0.48
2019-09-26,1073.8,1025.22,1076.05,1024.53,-4.46,-47.84,8002809,13677996032.0,4.8,0.47
2019-09-27,1022.24,1037.8,1043.46,1022.21,1.23,12.58,5238735,8766772480.0,2.07,0.31
2019-09-30,1036.56,1012.38,1040.36,1012.38,-2.45,-25.42,4558952,7965236480.0,2.7,0.27
2019-10-08,1015.94,1009.22,1025.27,1006.54,-0.31,-3.16,3581496,5752956160.0,1.85,0.21
2019-10-09,1003.84,1021.94,1021.94,997.12,1.26,12.72,3556209,5681237504.0,2.46,0.21
2019-10-10,1020.87,1030.34,1031.12,1016.81,0.82,8.4,6264047,13079518464.0,1.4,0.37
2019-10-11,1031.51,1019.65,1032.1,1010.44,-1.04,-10.69,5901851,10008167936.0,2.1,0.35
2019-10-14,1029.6,1039.93,1040.09,1025.47,1.99,20.28,6513502,11424372992.0,1.43,0.38
2019-10-15,1034.49,1014.91,1034.49,1010.82,-2.41,-25.02,5362323,8980408576.0,2.28,0.32
2019-10-16,1016.03,1007.05,1020.25,1005.55,-0.77,-7.86,4239629,7522711296.0,1.45,0.25
2019-10-17,1006.96,1010.98,1018.36,1006.8,0.39,3.93,3527035,5975274240.0,1.15,0.21
2019-10-18,1012.6,1001.47,1021.85,998.75,-0.94,-9.51,5061465,8286047744.0,2.28,0.3
2019-10-21,1001.89,994.47,1001.89,980.73,-0.7,-7.0,4196443,7480501760.0,2.11,0.25
2019-10-22,994.19,1009.35,1009.35,994.05,1.5,14.88,3821880,6749704960.0,1.54,0.23
2019-10-23,1010.62,1005.8,1013.79,1003.61,-0.35,-3.55,3923791,6917343744.0,1.01,0.23
2019-10-24,1004.57,1001.81,1008.11,994.78,-0.4,-3.99,3526691,5386487296.0,1.33,0.21
2019-10-25,998.2,1010.05,1011.62,989.18,0.82,8.24,4256844,7562535680.0,2.24,0.25
2019-10-28,1038.27,1051.79,1053.55,1036.27,4.13,41.74,8503910,12546484224.0,1.71,0.5
2019-10-29,1052.68,1027.95,1052.68,1027.95,-2.27,-23.84,8966794,13597105152.0,2.35,0.53
2019-10-30,1020.49,1009.44,1024.93,1007.96,-1.8,-18.51,6371667,8513861120.0,1.65,0.38
2019-10-31,1011.06,995.38,1019.09,994.87,-1.39,-14.06,5198048,8175539200.0,2.4,0.31
2019-11-01,994.17,1010.55,1014.67,992.57,1.52,15.17,4880470,8316298752.0,2.22,0.29
2019-11-04,1012.0,1016.33,1024.06,1010.9,0.57,5.78,6092419,11360386816.0,1.3,0.36
2019-11-05,1018.03,1016.5,1020.04,1006.89,0.02,0.17,5912736,9947916288.0,1.29,0.35
2019-11-06,1016.86,1004.7,1017.92,1000.44,-1.16,-11.8,5201797,9106784256.0,1.72,0.31
2019-11-07,1004.85,1020.42,1023.25,1001.42,1.56,15.72,4552359,7752283904.0,2.17,0.27
2019-11-08,1024.21,1015.11,1028.49,1014.5,-0.52,-5.31,5808828,10003781888.0,1.37,0.34
