日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-04-13,1001.19,1011.29,1011.3,1001.19,1.13,11.29,41991226,163611774622.0,1.01,2.26
2026-04-14,1019.24,1024.28,1024.31,1015.05,1.28,12.99,53131852,158481788697.0,0.92,2.86
2026-04-15,1031.32,1019.28,1032.02,1015.32,-0.49,-5.0,48968720,192057594726.0,1.63,2.64
2026-04-16,1021.52,1035.0,1036.17,1016.48,1.54,15.72,50673035,102692241578.0,1.93,2.73
2026-04-17,1040.3,1046.51,1048.61,1038.85,1.11,11.51,72537395,222590844291.0,0.94,3.91
2026-04-20,1055.2,1052.28,1057.9,1046.4,0.55,5.77,66915751,309095095666.0,1.1,3.61
2026-04-21,1050.77,1052.07,1052.68,1044.89,-0.02,-0.21,76819916,228083121782.0,0.74,4.14
2026-04-22,1051.77,1068.26,1069.06,1051.77,1.54,16.19,59673920,209816294797.0,1.64,3.22
2026-04-23,1070.62,1053.94,1072.41,1045.54,-1.34,-14.32,88744715,436784695977.0,2.52,4.78
2026-04-24,1053.21,1053.8,1060.14,1043.51,-0.01,-0.14,74445549,277625209807.0,1.58,4.01
2026-04-27,1054.52,1061.12,1061.75,1049.92,0.69,7.32,45221329,122799825635.0,1.12,2.44
2026-04-28,1063.13,1061.31,1067.0,1056.41,0.02,0.19,53955780,204761387501.0,1.0,2.91
2026-04-29,1054.73,1073.31,1076.61,1052.4,1.13,12.0,41971072,126158636087.0,2.28,2.26
2026-04-30,1081.69,1084.99,1089.06,1073.92,1.09,11.68,80624170,262901152037.0,1.41,4.35
2026-05-06,1099.26,1109.89,1112.97,1091.81,2.29,24.9,71178561,298598815161.0,1.95,3.84
2026-05-07,1116.57,1136.26,1137.02,1111.51,2.38,26.37,125505663,557571216655.0,2.3,6.76
2026-05-08,1133.16,1153.05,1154.14,1132.0,1.48,16.79,175362607,479750993657.0,1.95,9.45
2026-05-11,1170.55,1181.55,1182.19,1164.72,2.47,28.5,115990422,423641026021.0,1.52,6.25
2026-05-12,1187.21,1184.52,1187.21,1171.34,0.25,2.97,164603191,679785196592.0,1.34,8.87
2026-05-13,1176.96,1211.56,1211.56,1176.96,2.28,27.04,106162534,363671123195.0,2.92,5.72
2026-05-14,1222.73,1202.46,1223.73,1201.02,-0.75,-9.1,148513569,618719673598.0,1.87,8.0
2026-05-15,1207.59,1191.55,1214.03,1180.1,-0.91,-10.91,87034829,338833130061.0,2.82,4.69
2026-05-18,1187.06,1204.48,1213.2,1186.42,1.09,12.93,55819017,192914387405.0,2.25,3.01
2026-05-19,1207.55,1233.03,1233.04,1201.31,2.37,28.55,57073704,195746648733.0,2.63,3.08
2026-05-20,1233.4,1243.0,1243.06,1229.53,0.81,9.97,92543477,317917806223.0,1.1,4.99
2026-05-21,1251.36,1191.09,1257.41,1188.26,-4.18,-51.91,106557669,549645797141.0,5.56,5.74
2026-05-22,1195.37,1230.61,1230.61,1187.32,3.32,39.52,98759144,147040027584.0,3.63,5.32
2026-05-25,1254.51,1259.11,1259.11,1233.98,2.32,28.5,102217806,296630056427.0,2.04,5.51
2026-05-26,1257.0,1260.05,1261.95,1235.06,0.07,0.94,170750400,626420888565.0,2.14,9.2
2026-05-27,1253.36,1239.94,1266.44,1233.27,-1.6,-20.11,158481868,510878343906.0,2.63,8.54
2026-05-28,1235.48,1282.89,1284.48,1234.56,3.46,42.95,70107693,277878297378.0,4.03,3.78
2026-05-29,1294.54,1245.1,1298.42,1238.11,-2.95,-37.79,92734456,422852998539.0,4.7,5.0
2026-06-01,1244.01,1237.51,1263.34,1232.23,-0.61,-7.59,65481799,166459791127.0,2.5,3.53
2026-06-02,1240.41,1260.59,1261.94,1229.73,1.87,23.08,55614378,84192811560.0,2.6,3.0
2026-06-03,1259.73,1280.8,1289.08,1257.26,1.6,20.21,75665910,260136422296.0,2.52,4.08
2026-06-04,1265.8,1292.07,1294.68,1265.8,0.88,11.27,72610232,282602009721.0,2.25,3.91
2026-06-05,1282.2,1269.49,1300.44,1261.76,-1.75,-22.58,127848138,312921490774.0,2.99,6.89
2026-06-08,1234.48,1265.43,1295.12,1234.48,-0.32,-4.06,97769384,161729392551.0,4.78,5.27
