日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-06-22,1004.7,958.92,1004.7,955.15,-4.11,-41.08,6990365,5279070464.0,4.96,3.97
2020-06-23,953.25,944.02,955.34,933.49,-1.55,-14.9,4306197,3199185648.0,2.28,2.45
2020-06-24,943.02,922.14,943.25,922.07,-2.32,-21.88,2825316,2051362032.0,2.24,1.61
2020-06-29,917.83,905.83,918.99,900.85,-1.77,-16.31,2615621,1736425280.0,1.97,1.49
2020-06-30,914.21,922.91,926.71,914.09,1.89,17.08,2609368,2165858400.0,1.39,1.48
2020-07-01,920.94,924.43,937.34,917.93,0.16,1.52,2998209,2538644688.0,2.1,1.7
2020-07-02,925.66,947.3,952.19,921.19,2.47,22.87,3361343,2852217120.0,3.35,1.91
2020-07-03,953.48,972.11,976.74,946.04,2.62,24.81,3225708,2700400784.0,3.24,1.83
2020-07-06,986.39,1015.51,1019.09,984.41,4.46,43.4,3320214,2039101968.0,3.57,1.89
2020-07-07,1058.69,1089.55,1091.5,1057.03,7.29,74.04,4556452,3018767632.0,3.39,2.59
2020-07-08,1126.79,1138.1,1141.67,1094.28,4.46,48.55,6523908,4513295616.0,4.35,3.71
2020-07-09,1163.43,1224.16,1230.96,1161.78,7.56,86.06,4365511,3447154832.0,6.08,2.48
2020-07-10,1242.46,1259.74,1287.49,1223.68,2.91,35.58,8016715,8964953856.0,5.21,4.56
2020-07-13,1253.33,1263.54,1264.41,1211.42,0.3,3.8,7374852,8874496256.0,4.21,4.19
2020-07-14,1248.37,1192.88,1249.42,1179.9,-5.59,-70.66,6823600,7379700992.0,5.5,3.88
2020-07-15,1186.95,1165.68,1194.4,1137.87,-2.28,-27.2,6046948,7059942656.0,4.74,3.44
2020-07-16,1162.82,1120.21,1171.43,1117.2,-3.9,-45.47,5026727,5339288576.0,4.65,2.86
2020-07-17,1114.24,1112.71,1132.92,1095.43,-0.67,-7.5,4706875,4990220288.0,3.35,2.68
2020-07-20,1117.13,1137.43,1137.43,1102.28,2.22,24.72,4411877,4349448448.0,3.16,2.51
2020-07-21,1146.6,1147.58,1161.62,1135.89,0.89,10.15,5353160,5227601408.0,2.26,3.04
2020-07-22,1144.99,1139.66,1170.19,1129.83,-0.69,-7.92,4554086,4877681664.0,3.52,2.59
2020-07-23,1136.1,1149.29,1149.82,1102.06,0.84,9.63,4163256,4342751744.0,4.19,2.37
2020-07-24,1151.65,1086.95,1152.9,1080.68,-5.42,-62.34,5132686,4832086016.0,6.28,2.92
2020-07-27,1071.07,1052.98,1074.08,1046.05,-3.13,-33.97,3549391,3385730432.0,2.58,2.02
2020-07-28,1058.53,1065.59,1068.94,1051.91,1.2,12.61,3134794,2949585888.0,1.62,1.78
2020-07-29,1058.38,1088.71,1091.85,1053.08,2.17,23.12,2906604,2820702736.0,3.64,1.65
2020-07-30,1089.22,1119.15,1122.0,1084.48,2.8,30.44,3755805,4040446720.0,3.45,2.13
2020-07-31,1107.43,1130.27,1135.9,1102.81,0.99,11.12,3838127,4168481184.0,2.96,2.18
2020-08-03,1132.69,1155.34,1164.6,1124.04,2.22,25.07,4202284,4425851136.0,3.59,2.39
2020-08-04,1148.93,1120.97,1149.18,1115.24,-2.97,-34.37,3828609,3698110400.0,2.94,2.18
2020-08-05,1120.46,1120.66,1129.95,1108.91,-0.03,-0.31,2378934,2337462576.0,1.88,1.35
