日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2012-11-14,1003.77,967.18,1017.19,967.18,-3.28,-32.82,584442,621777024.0,5.0,0.07
2012-11-15,957.09,930.11,957.09,928.46,-3.83,-37.07,466995,485249424.0,2.96,0.05
2012-11-16,930.19,923.29,930.19,909.77,-0.73,-6.82,452927,464362496.0,2.2,0.05
2012-11-19,926.9,927.93,932.83,914.09,0.5,4.64,385895,406543680.0,2.03,0.04
2012-11-20,931.69,917.2,934.37,915.65,-1.16,-10.73,298389,311920544.0,2.02,0.03
2012-11-21,914.48,926.86,927.4,900.51,1.05,9.66,309297,317997312.0,2.93,0.04
2012-11-22,921.85,918.49,926.34,915.67,-0.9,-8.37,286473,297971920.0,1.15,0.03
2012-11-23,918.93,922.56,928.16,918.51,0.44,4.07,230497,243768864.0,1.05,0.03
2012-11-26,929.8,925.41,936.13,923.68,0.31,2.85,346098,373318064.0,1.35,0.04
2012-11-27,922.46,888.5,922.46,887.01,-3.99,-36.91,338168,339623792.0,3.83,0.04
2012-11-28,883.53,857.28,883.53,852.36,-3.51,-31.22,282340,275601840.0,3.51,0.03
2012-11-29,856.89,846.77,867.97,839.2,-1.23,-10.51,274621,274238544.0,3.36,0.03
2012-11-30,844.98,853.66,856.73,839.47,0.81,6.89,231650,216798753.0,2.04,0.03
2012-12-03,854.19,834.59,855.0,829.96,-2.23,-19.07,218988,214902615.0,2.93,0.02
2012-12-04,831.24,852.78,854.93,829.8,2.18,18.19,297973,287898976.0,3.01,0.03
2012-12-05,848.6,880.35,889.32,847.57,3.23,27.57,465228,465576160.0,4.9,0.05
2012-12-06,886.4,879.63,903.92,879.15,-0.08,-0.72,450859,496081216.0,2.81,0.05
2012-12-07,879.74,895.73,897.42,873.94,1.83,16.1,406642,433673824.0,2.67,0.05
2012-12-10,909.37,915.41,917.23,903.31,2.2,19.68,510959,537691872.0,1.55,0.06
2012-12-11,911.96,909.3,919.16,902.15,-0.67,-6.11,427824,447525344.0,1.86,0.05
2012-12-12,908.43,905.4,911.29,895.93,-0.43,-3.9,320282,324139216.0,1.69,0.04
2012-12-13,901.65,886.63,902.84,885.27,-2.07,-18.77,272636,283699424.0,1.94,0.03
2012-12-14,890.65,924.94,924.97,888.46,4.32,38.31,535327,565016464.0,4.12,0.06
2012-12-17,928.02,936.78,942.23,926.17,1.28,11.84,524761,577694320.0,1.74,0.06
2012-12-18,934.94,944.48,949.02,927.61,0.82,7.7,503538,538229904.0,2.29,0.06
2012-12-19,943.32,945.01,950.29,936.09,0.06,0.53,414649,434606832.0,1.5,0.05
2012-12-20,941.39,942.87,944.58,928.5,-0.23,-2.14,370804,390716448.0,1.7,0.04
2012-12-21,945.42,946.42,957.52,939.21,0.38,3.55,463699,507338160.0,1.94,0.05
2012-12-24,945.06,952.77,955.8,942.64,0.67,6.35,413799,413608176.0,1.39,0.05
2012-12-25,951.35,971.51,978.32,946.18,1.97,18.74,659295,676510896.0,3.37,0.07
2012-12-26,969.38,986.15,987.24,968.81,1.51,14.64,543188,572683792.0,1.9,0.06
2012-12-27,985.29,1003.77,1024.57,985.29,1.79,17.62,1127366,1266666112.0,3.98,0.13
2012-12-28,998.69,1010.54,1011.42,996.06,0.67,6.77,617179,700252192.0,1.53,0.07
2012-12-31,1010.99,1058.77,1062.68,1010.99,4.77,48.23,904756,1113363056.0,5.12,0.1
2013-01-04,1066.89,1049.46,1068.91,1036.23,-0.88,-9.31,691622,845747056.0,3.09,0.08
2013-01-07,1045.0,1105.53,1118.6,1042.18,5.34,56.07,1213109,1567167408.0,7.28,0.14
2013-01-08,1102.95,1122.91,1134.96,1095.11,1.57,17.38,1051217,1346379696.0,3.6,0.12
2013-01-09,1116.1,1097.06,1128.33,1083.53,-2.3,-25.85,784868,991758720.0,3.99,0.09
2013-01-10,1092.47,1107.08,1125.84,1092.47,0.91,10.02,645066,810641088.0,3.04,0.07
2013-01-11,1112.89,1125.93,1162.59,1109.9,1.7,18.85,1303675,1652882080.0,4.76,0.15
2013-01-14,1125.89,1218.6,1222.63,1123.75,8.23,92.67,1676667,2276205408.0,8.78,0.19
2013-01-15,1227.43,1206.54,1295.36,1202.04,-0.99,-12.06,2091481,2977007120.0,7.66,0.24
