日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2014-11-10,1006.86,1014.27,1018.31,1002.06,1.43,14.27,1460511,1642046512.0,1.63,0.09
2014-11-11,1018.53,972.76,1020.76,961.91,-4.09,-41.51,2222987,2487829472.0,5.8,0.14
2014-11-12,971.11,985.83,986.09,965.3,1.34,13.07,1076842,1173496256.0,2.14,0.07
2014-11-13,983.36,973.73,987.43,968.07,-1.23,-12.1,1570564,1798327536.0,1.96,0.1
2014-11-14,971.96,971.54,973.17,963.6,-0.22,-2.19,943039,1033374320.0,0.98,0.06
2014-11-17,975.08,982.75,990.54,970.02,1.15,11.21,1243453,1370210400.0,2.11,0.08
2014-11-18,979.32,985.62,987.72,978.04,0.29,2.87,1031329,1178965264.0,0.98,0.06
2014-11-19,987.85,1002.77,1007.59,987.79,1.74,17.15,2121753,2475460880.0,2.01,0.13
2014-11-20,996.81,1005.85,1005.95,994.89,0.31,3.08,1432935,1711118128.0,1.1,0.09
2014-11-21,1007.58,1014.72,1019.38,1005.11,0.88,8.87,1754322,1985675760.0,1.42,0.11
2014-11-24,1024.93,1037.25,1039.01,1019.12,2.22,22.53,2345305,2665675360.0,1.96,0.15
2014-11-25,1034.64,1045.67,1050.37,1033.37,0.81,8.42,2026191,2344825488.0,1.64,0.13
2014-11-26,1051.23,1054.89,1068.84,1044.4,0.88,9.22,2322476,2797838096.0,2.34,0.14
2014-11-27,1059.14,1066.12,1068.02,1050.97,1.06,11.23,2183228,2559700080.0,1.62,0.14
2014-11-28,1064.41,1053.29,1067.17,1042.95,-1.2,-12.83,2060087,2391291264.0,2.27,0.13
2014-12-01,1060.88,1048.85,1062.94,1039.33,-0.42,-4.44,1979251,2281330272.0,2.24,0.12
2014-12-02,1045.45,1061.44,1064.74,1043.54,1.2,12.59,1857260,2207618336.0,2.02,0.12
2014-12-03,1063.48,1078.2,1078.2,1054.74,1.58,16.76,2561179,2906809536.0,2.21,0.16
2014-12-04,1081.41,1100.6,1101.01,1077.6,2.08,22.4,2677803,3150261120.0,2.17,0.17
2014-12-05,1103.33,1080.81,1113.46,1050.49,-1.8,-19.79,3354144,4261932400.0,5.72,0.21
2014-12-08,1076.27,1096.83,1102.7,1069.3,1.48,16.02,2514464,3226462016.0,3.09,0.16
2014-12-09,1093.78,1069.63,1124.4,1065.27,-2.48,-27.2,3653203,4471448832.0,5.39,0.23
2014-12-10,1081.15,1114.86,1116.85,1073.27,4.23,45.23,2870534,3354477152.0,4.07,0.18
2014-12-11,1110.97,1124.1,1126.2,1103.27,0.83,9.24,2282701,2814470656.0,2.06,0.14
2014-12-12,1124.25,1144.1,1146.18,1120.58,1.78,20.0,2440311,2980799392.0,2.28,0.15
2014-12-15,1139.37,1158.72,1165.26,1134.56,1.28,14.62,2201729,2806326304.0,2.68,0.14
2014-12-16,1158.99,1171.92,1172.83,1153.85,1.14,13.2,2112262,2700171936.0,1.64,0.13
2014-12-17,1169.76,1149.35,1169.77,1128.76,-1.93,-22.57,2351805,2958892544.0,3.5,0.15
2014-12-18,1144.5,1141.64,1154.86,1140.98,-0.67,-7.71,1615595,2002426224.0,1.21,0.1
2014-12-19,1137.4,1130.91,1142.99,1107.17,-0.94,-10.73,1813101,2204524256.0,3.14,0.11
2014-12-22,1132.12,1078.53,1135.55,1068.16,-4.63,-52.38,2295047,2746412880.0,5.96,0.14
2014-12-23,1073.39,1061.42,1086.26,1059.89,-1.59,-17.11,1422002,1688045120.0,2.44,0.09
2014-12-24,1064.61,1073.66,1075.38,1060.3,1.15,12.24,1258363,1444667072.0,1.42,0.08
2014-12-25,1078.43,1092.12,1094.07,1072.82,1.72,18.46,1399553,1598217152.0,1.98,0.09
2014-12-26,1095.35,1105.73,1108.43,1090.92,1.25,13.61,1543776,1808805344.0,1.6,0.1
2014-12-29,1119.87,1102.68,1122.5,1096.79,-0.28,-3.05,2607519,3031345344.0,2.33,0.16
2014-12-30,1105.92,1076.62,1110.97,1071.4,-2.36,-26.06,2083712,2410525904.0,3.59,0.13
2014-12-31,1076.62,1094.97,1095.17,1073.76,1.7,18.35,1598478,1941149024.0,1.99,0.1
2015-01-05,1096.34,1109.6,1114.54,1081.86,1.34,14.63,1841057,2233042432.0,2.98,0.11
2015-01-06,1103.94,1117.09,1117.3,1096.12,0.68,7.49,1506010,1837841920.0,1.91,0.09
2015-01-07,1120.91,1107.26,1124.66,1099.52,-0.88,-9.83,1161284,1478227184.0,2.25,0.07
2015-01-08,1112.19,1127.68,1130.61,1098.02,1.84,20.42,1974676,2507558528.0,2.94,0.12
2015-01-09,1126.88,1100.33,1131.82,1100.33,-2.43,-27.35,1654816,2098517376.0,2.79,0.1
2015-01-12,1091.46,1064.18,1091.46,1060.3,-3.29,-36.15,1288516,1539851616.0,2.83,0.08
2015-01-13,1063.55,1086.8,1088.34,1061.81,2.13,22.62,972288,1169425168.0,2.49,0.06
2015-01-14,1085.6,1093.76,1097.43,1082.46,0.64,6.96,867852,1034905440.0,1.38,0.05
2015-01-15,1094.0,1099.03,1099.74,1088.52,0.48,5.27,1163313,1457862992.0,1.03,0.07
2015-01-16,1101.88,1115.76,1118.62,1098.45,1.52,16.73,1892063,2204422064.0,1.84,0.12
2015-01-19,1075.45,1051.29,1101.87,1038.21,-5.78,-64.47,1900014,2186353296.0,5.71,0.12
2015-01-20,1059.73,1093.28,1093.44,1059.73,3.99,41.99,1794446,2047678464.0,3.21,0.11
2015-01-21,1094.09,1123.75,1127.21,1094.09,2.79,30.47,2179577,2706814080.0,3.03,0.14
2015-01-22,1122.47,1155.21,1159.92,1121.4,2.8,31.46,2369416,2964512864.0,3.43,0.15
2015-01-23,1153.09,1142.09,1158.66,1134.93,-1.14,-13.12,1770732,2197730240.0,2.05,0.11
2015-01-26,1145.86,1187.91,1189.87,1145.11,4.01,45.82,2279800,2883769040.0,3.92,0.14
2015-01-27,1194.92,1207.37,1211.68,1185.37,1.64,19.46,2990591,3702641168.0,2.21,0.19
2015-01-28,1201.44,1192.17,1218.13,1188.47,-1.26,-15.2,2916891,3575578416.0,2.46,0.18
2015-01-29,1176.57,1178.73,1200.16,1170.33,-1.13,-13.44,1734141,2162022640.0,2.5,0.11
2015-01-30,1180.85,1167.88,1197.39,1166.98,-0.92,-10.85,1859618,2341117616.0,2.58,0.12
2015-02-02,1166.6,1185.07,1195.44,1158.74,1.47,17.19,2034362,2729804992.0,3.14,0.13
2015-02-03,1190.99,1215.29,1218.12,1188.3,2.55,30.22,1953501,2622048288.0,2.52,0.12
2015-02-04,1220.87,1226.33,1238.96,1217.56,0.91,11.04,2632667,3421539856.0,1.76,0.16
2015-02-05,1240.67,1246.64,1269.74,1228.96,1.66,20.31,3506208,4598616064.0,3.33,0.22
2015-02-06,1240.33,1224.21,1248.75,1217.91,-1.8,-22.43,2512576,3297159536.0,2.47,0.16
2015-02-09,1224.28,1197.77,1240.0,1196.63,-2.16,-26.44,2594724,3465568016.0,3.54,0.16
2015-02-10,1197.05,1240.5,1240.66,1193.46,3.57,42.73,1891276,2402339584.0,3.94,0.12
2015-02-11,1240.67,1241.13,1261.12,1231.64,0.05,0.63,2133640,2853768848.0,2.38,0.13
2015-02-12,1250.18,1262.85,1277.73,1240.38,1.75,21.72,2199168,2877136016.0,3.01,0.14
2015-02-13,1269.13,1272.53,1283.1,1264.4,0.77,9.68,1954366,2769962528.0,1.48,0.12
2015-02-16,1276.75,1327.77,1327.77,1275.41,4.34,55.24,2646157,3761361136.0,4.11,0.16
2015-02-17,1324.93,1325.6,1335.28,1316.91,-0.16,-2.17,1948086,2707488368.0,1.38,0.12
2015-02-25,1329.67,1324.38,1337.83,1317.64,-0.09,-1.22,1793443,2594094128.0,1.52,0.11
2015-02-26,1320.21,1330.22,1330.83,1309.79,0.44,5.84,1459031,2041074304.0,1.59,0.09
2015-02-27,1333.22,1341.91,1352.53,1330.17,0.88,11.69,1996152,2872365856.0,1.68,0.12
2015-03-02,1348.71,1358.1,1358.29,1340.0,1.21,16.19,2049618,2920642688.0,1.36,0.13
2015-03-03,1355.07,1358.81,1389.92,1349.11,0.05,0.71,2731124,3899942304.0,3.0,0.17
2015-03-04,1359.41,1369.17,1369.86,1350.29,0.76,10.36,1899178,2691307696.0,1.44,0.12
2015-03-05,1368.77,1341.66,1371.77,1339.1,-2.01,-27.51,1753573,2479422336.0,2.39,0.11
2015-03-06,1341.44,1313.82,1344.07,1313.52,-2.08,-27.84,1614545,2277787376.0,2.28,0.1
2015-03-09,1307.85,1341.33,1343.1,1302.0,2.09,27.51,1747989,2370394064.0,3.13,0.11
2015-03-10,1341.63,1357.83,1363.98,1341.18,1.23,16.5,1586002,2167154624.0,1.7,0.1
2015-03-11,1360.55,1361.65,1368.43,1355.25,0.28,3.82,1747417,2306385424.0,0.97,0.11
2015-03-12,1361.65,1361.0,1373.07,1346.59,-0.05,-0.65,1757241,2393858000.0,1.94,0.11
2015-03-13,1366.43,1388.09,1388.36,1360.63,1.99,27.09,1714398,2391104800.0,2.04,0.11
2015-03-16,1398.0,1438.05,1445.28,1397.24,3.6,49.96,2456903,3500001184.0,3.46,0.15
2015-03-17,1445.06,1459.57,1474.34,1436.55,1.5,21.52,2724422,3950759136.0,2.63,0.17
2015-03-18,1456.16,1466.03,1466.31,1448.9,0.44,6.46,1912790,2819825472.0,1.19,0.12
2015-03-19,1466.68,1484.41,1491.23,1459.75,1.25,18.38,2330447,3472396208.0,2.15,0.15
2015-03-20,1484.37,1504.86,1505.01,1484.37,1.38,20.45,1941489,2920870848.0,1.39,0.12
2015-03-23,1511.94,1529.1,1529.3,1506.76,1.61,24.24,2697709,4079447920.0,1.5,0.17
2015-03-24,1538.72,1547.04,1557.91,1497.78,1.17,17.94,3097298,4671687168.0,3.93,0.19
2015-03-25,1545.7,1566.56,1582.45,1537.84,1.26,19.52,3003306,4582246912.0,2.88,0.19
2015-03-26,1561.03,1593.59,1598.54,1541.26,1.73,27.03,2603794,4378004480.0,3.66,0.16
2015-03-27,1585.9,1617.66,1618.38,1584.29,1.51,24.07,1753906,2986200384.0,2.14,0.11
2015-03-30,1620.57,1635.35,1640.98,1620.57,1.09,17.69,2052454,3434412416.0,1.26,0.13
2015-03-31,1633.99,1648.28,1666.27,1623.24,0.79,12.93,2640332,4335958016.0,2.63,0.16
2015-04-01,1641.83,1684.58,1689.09,1641.83,2.2,36.3,2408657,4166093728.0,2.87,0.15
2015-04-02,1689.62,1701.4,1704.24,1678.85,1.0,16.82,2588390,4550630912.0,1.51,0.16
2015-04-03,1689.44,1728.92,1742.36,1678.81,1.62,27.52,3510387,6425694464.0,3.74,0.22
2015-04-07,1736.63,1740.7,1746.81,1724.42,0.68,11.78,2856122,5212323328.0,1.3,0.18
2015-04-08,1738.49,1700.9,1742.15,1676.72,-2.29,-39.8,2679802,4772577536.0,3.76,0.17
2015-04-09,1691.89,1679.58,1695.19,1639.04,-1.25,-21.32,2333827,4106001360.0,3.3,0.15
2015-04-10,1679.54,1720.15,1726.62,1677.32,2.42,40.57,2001813,3600192912.0,2.94,0.12
2015-04-13,1727.9,1738.99,1741.77,1714.56,1.1,18.84,2336203,4159343376.0,1.58,0.15
2015-04-14,1741.85,1755.57,1772.54,1724.02,0.95,16.58,2453803,4376708352.0,2.79,0.15
2015-04-15,1753.84,1687.72,1753.84,1685.07,-3.86,-67.85,2187680,3797658816.0,3.92,0.14
2015-04-16,1670.24,1688.81,1711.87,1655.61,0.06,1.09,1831127,3138401120.0,3.33,0.11
2015-04-17,1693.56,1694.05,1713.34,1687.34,0.31,5.24,2315899,4046221152.0,1.54,0.14
2015-04-20,1685.86,1660.29,1699.46,1651.05,-1.99,-33.76,2655170,4508443648.0,2.86,0.17
2015-04-21,1668.55,1710.12,1710.31,1667.99,3.0,49.83,2031728,3439553088.0,2.55,0.13
2015-04-22,1719.03,1754.58,1754.75,1719.03,2.6,44.46,2652173,4664403712.0,2.09,0.17
2015-04-23,1758.69,1748.46,1768.14,1735.38,-0.35,-6.12,2692743,4864569600.0,1.87,0.17
2015-04-24,1720.8,1746.18,1750.27,1710.75,-0.13,-2.28,2362655,4195411584.0,2.26,0.15
2015-04-27,1807.52,1787.66,1817.31,1774.24,2.38,41.48,2966466,5471987968.0,2.47,0.18
