日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-06-08,990.77,988.21,1000.31,982.63,-1.18,-11.79,77975249,78829355063.0,1.77,0.45
2026-06-09,989.62,993.92,994.96,984.77,0.58,5.71,68448324,66618473029.0,1.03,0.4
2026-06-10,990.58,1008.89,1008.98,990.58,1.51,14.97,79288691,82647449312.0,1.85,0.46
2026-06-11,1005.47,999.02,1013.2,994.72,-0.98,-9.87,66522871,70867867136.0,1.83,0.39
2026-06-12,999.3,1024.22,1025.64,994.9,2.52,25.2,104410529,112950363052.0,3.08,0.6
2026-06-15,1026.58,1036.47,1052.26,1026.58,1.2,12.25,111832353,122046517219.0,2.51,0.65
2026-06-16,1032.45,1032.48,1037.63,1027.6,-0.38,-3.99,79076695,87364880648.0,0.97,0.46
2026-06-17,1032.01,1028.15,1037.28,1023.58,-0.42,-4.33,68650230,72432080139.0,1.33,0.4
2026-06-18,1026.7,1000.68,1026.7,1000.07,-2.67,-27.47,88617036,99206825876.0,2.59,0.51
2026-06-22,997.52,1037.2,1037.75,994.11,3.65,36.52,126498826,151941854744.0,4.36,0.73
2026-06-23,1035.92,1041.55,1059.53,1034.8,0.42,4.35,134637425,153846688322.0,2.38,0.78
2026-06-24,1037.62,1019.89,1045.67,1018.65,-2.08,-21.66,113171748,124472402450.0,2.59,0.66
2026-06-25,1016.61,1032.37,1041.4,1010.72,1.22,12.48,121279346,143757475772.0,3.01,0.7
2026-06-26,1028.4,1005.26,1036.38,1005.12,-2.63,-27.11,106396079,122780590085.0,3.03,0.62
2026-06-30,1004.21,998.78,1011.77,993.36,-1.06,0,87705997.0,96605781713.0,0,0
2026-07-01,998.22,1031.54,1038.10,996.05,3.28,0,115570498.0,144336948501.0,0,0
2026-07-02,1030.57,1021.84,1039.41,1019.39,-0.94,0,103303283.0,115770547814.0,0,0
2026-07-03,0.00,1024.75,0.00,0.00,0.28,0,0,0,0,0
