日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-03-22,1008.67,1082.5,1094.74,1008.67,8.25,82.5,13376679,19056625755.0,8.61,4.09
2024-03-25,1085.27,1030.48,1085.27,1029.75,-4.81,-52.02,21116231,27780291646.0,5.13,6.46
2024-03-26,1013.41,1035.54,1063.3,1013.41,0.49,5.06,19907884,26074304550.0,4.84,6.09
2024-03-27,1006.62,945.79,1013.96,945.47,-8.67,-89.75,15994574,19300529002.0,6.61,4.9
2024-03-28,946.04,999.29,1012.43,945.94,5.66,53.5,14850837,18944881942.0,7.03,4.55
2024-03-29,995.74,1014.74,1014.95,986.91,1.55,15.45,13355304,17059198292.0,2.81,4.09
2024-04-01,1018.34,1018.71,1021.34,1006.82,0.39,3.97,12752950,16568679246.0,1.43,3.9
2024-04-02,1018.33,1002.37,1020.2,993.28,-1.6,-16.34,11761346,15898546224.0,2.64,3.6
2024-04-03,988.89,961.67,990.8,956.56,-4.06,-40.7,10082724,12221645014.0,3.42,3.09
2024-04-08,953.96,927.67,956.54,927.63,-3.54,-34.0,9299803,10235183084.0,3.01,2.85
2024-04-09,928.27,940.23,941.16,925.98,1.35,12.56,6890790,8011821168.0,1.64,2.11
2024-04-10,937.84,907.26,937.84,896.41,-3.51,-32.97,6677389,7932946681.0,4.41,2.04
2024-04-11,898.97,908.79,921.85,898.97,0.17,1.53,5745510,6880424111.0,2.52,1.76
2024-04-12,911.59,925.29,944.27,911.59,1.82,16.5,8807577,11421426957.0,3.6,2.7
2024-04-15,915.65,878.34,923.49,864.91,-5.07,-46.95,7988864,9730036698.0,6.33,2.45
2024-04-16,869.46,809.6,869.46,809.6,-7.83,-68.74,8544794,10197344418.0,6.82,2.62
2024-04-17,819.56,882.15,882.48,819.56,8.96,72.55,8018856,10557159916.0,7.77,2.45
2024-04-18,878.53,886.46,903.57,864.53,0.49,4.31,8807152,11851044264.0,4.43,2.7
2024-04-19,881.22,871.36,886.4,862.92,-1.7,-15.1,6998592,9181666343.0,2.65,2.14
2024-04-22,854.02,857.8,864.96,833.35,-1.56,-13.56,5511125,7496640532.0,3.63,1.69
2024-04-23,864.02,869.87,874.55,863.83,1.41,12.07,4976226,7197220688.0,1.25,1.52
2024-04-24,870.65,923.09,923.31,870.65,6.12,53.22,8308251,12019982565.0,6.05,2.54
2024-04-25,915.5,925.44,929.49,912.27,0.25,2.35,8933414,14048147614.0,1.87,2.73
2024-04-26,928.65,954.74,964.72,923.55,3.17,29.3,11673480,17025655845.0,4.45,3.57
2024-04-29,960.99,990.93,991.4,960.99,3.79,36.19,11897606,18669724452.0,3.19,3.64
2024-04-30,989.82,976.37,989.83,969.78,-1.47,-14.56,9124432,13538757955.0,2.02,2.79
2024-05-06,993.21,1001.48,1009.86,986.9,2.57,25.11,9833747,15928530185.0,2.35,3.01
2024-05-07,1003.25,1004.23,1014.71,992.43,0.27,2.75,8673626,13156947151.0,2.22,2.65
2024-05-08,993.77,978.56,993.77,976.25,-2.56,-25.67,6660607,10655664912.0,1.74,2.04
2024-05-09,978.26,983.98,992.23,978.26,0.55,5.42,5996606,9164062406.0,1.43,1.84
2024-05-10,986.1,959.0,987.01,955.65,-2.54,-24.98,7018681,10115249913.0,3.19,2.15
2024-05-13,951.87,953.59,970.44,939.98,-0.56,-5.41,8197992,13047121651.0,3.18,2.51
2024-05-14,958.19,970.83,985.68,954.09,1.81,17.24,7314139,12886565439.0,3.31,2.24
2024-05-15,966.55,962.16,976.72,959.77,-0.89,-8.67,5713261,8841721139.0,1.75,1.75
2024-05-16,979.7,1003.33,1014.33,979.7,4.28,41.17,9559615,16614030483.0,3.6,2.93
2024-05-17,991.39,1041.09,1044.91,991.39,3.76,37.76,10833666,17224618416.0,5.33,3.32
2024-05-20,1034.53,1038.03,1038.36,1022.83,-0.29,-3.06,9081258,14227846223.0,1.49,2.78
2024-05-21,1037.18,1026.92,1045.94,1019.85,-1.07,-11.11,7309817,12089798368.0,2.51,2.24
2024-05-22,1022.22,1061.39,1061.39,1022.22,3.36,34.47,7988278,14888701608.0,3.81,2.44
2024-05-23,1056.66,1047.03,1059.03,1041.12,-1.35,-14.36,9117502,15454757142.0,1.69,2.79
2024-05-24,1048.89,1070.06,1099.35,1040.99,2.2,23.03,10656842,19390175487.0,5.57,3.26
2024-05-27,1065.21,1051.54,1068.13,1032.25,-1.73,-18.52,9623762,16946827220.0,3.35,2.95
2024-05-28,1033.59,1018.84,1039.96,1018.51,-3.11,-32.7,7345258,12583177571.0,2.04,2.25
