日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-08-23,1022.89,1100.0,1100.0,1010.84,10.0,100.0,1110323,1970591984.0,8.92,0.03
2010-09-09,1101.06,1112.11,1138.86,1064.14,1.1,12.11,315567,1137584080.0,6.79,0.01
2010-09-10,1112.74,1120.13,1148.29,1085.92,0.72,8.02,8066849,16303180907.0,5.61,0.19
2010-09-13,1121.21,1136.25,1154.08,1100.51,1.44,16.12,6772537,14766511792.0,4.78,0.16
2010-09-14,1143.33,1145.55,1171.16,1124.0,0.82,9.3,7428834,15105170814.0,4.15,0.18
2010-09-15,1139.62,1098.79,1154.38,1086.59,-4.08,-46.76,7179029,14237540865.0,5.92,0.17
2010-09-16,1096.43,1082.32,1122.33,1048.32,-1.5,-16.47,7233189,14632738594.0,6.74,0.17
2010-09-17,1086.77,1059.57,1096.8,1045.08,-2.1,-22.75,4805855,10884056787.0,4.78,0.11
2010-09-20,1060.08,1041.25,1075.55,1025.32,-1.73,-18.32,4385319,9832037656.0,4.74,0.1
2010-09-21,1038.91,1036.72,1059.18,1019.11,-0.44,-4.53,3854387,8332530803.0,3.85,0.09
2010-09-27,1044.62,1077.18,1087.8,1036.68,3.9,40.46,4580230,10611002045.0,4.93,0.11
2010-09-28,1075.72,1067.22,1102.92,1052.37,-0.92,-9.96,5478045,13577713092.0,4.69,0.13
2010-09-29,1064.34,1061.14,1096.34,1040.83,-0.57,-6.08,5326182,12143893010.0,5.2,0.13
2010-09-30,1051.18,1081.22,1088.95,1041.28,1.89,20.08,4432416,11266136156.0,4.49,0.1
2010-10-08,1092.56,1114.22,1133.8,1081.39,3.05,33.0,6214652,15613461884.0,4.85,0.15
2010-10-11,1113.7,1117.42,1151.01,1096.24,0.29,3.2,7167915,17144442936.0,4.92,0.17
2010-10-12,1110.92,1120.76,1144.8,1094.5,0.3,3.34,6597336,15264340525.0,4.5,0.16
2010-10-13,1119.59,1135.65,1159.02,1087.45,1.33,14.89,8763366,18627384903.0,6.39,0.21
2010-10-14,1132.09,1095.2,1149.43,1080.96,-3.56,-40.45,7450396,16600751616.0,6.03,0.18
2010-10-15,1087.66,1115.15,1146.83,1070.25,1.82,19.95,8249711,21444946432.0,6.99,0.19
2010-10-18,1119.19,1063.92,1132.29,1050.63,-4.59,-51.23,7483509,19124643768.0,7.32,0.18
2010-10-19,1062.02,1100.21,1111.8,1055.76,3.41,36.29,5870370,13062469467.0,5.27,0.14
2010-10-20,1071.97,1111.44,1134.46,1059.73,1.02,11.23,7345397,15895819312.0,6.79,0.17
2010-10-21,1111.46,1135.49,1154.08,1099.83,2.16,24.05,7175672,16382531467.0,4.88,0.17
2010-10-22,1134.05,1152.59,1174.94,1114.71,1.51,17.1,7023163,16637931097.0,5.3,0.17
2010-10-25,1159.23,1187.01,1206.05,1150.38,2.99,34.42,7961366,18580143752.0,4.83,0.19
2010-10-26,1192.89,1238.47,1259.28,1173.01,4.34,51.46,11518130,26713356308.0,7.27,0.27
2010-10-27,1229.08,1206.73,1256.94,1191.89,-2.56,-31.74,8963353,22805196034.0,5.25,0.21
2010-10-28,1200.72,1214.59,1244.97,1184.74,0.65,7.86,7191293,19784096833.0,4.99,0.17
2010-10-29,1216.75,1259.17,1279.87,1204.88,3.67,44.58,8742561,21762950376.0,6.17,0.21
2010-11-01,1273.13,1324.42,1347.62,1256.84,5.18,65.25,11328356,26999643071.0,7.21,0.27
2010-11-02,1324.83,1309.28,1383.36,1286.72,-1.14,-15.14,12571474,31020129084.0,7.3,0.3
2010-11-03,1307.09,1256.18,1337.93,1244.17,-4.06,-53.1,8444773,21666689735.0,7.16,0.2
2010-11-04,1257.42,1305.46,1325.76,1242.65,3.92,49.28,8442470,21805425814.0,6.62,0.2
2010-11-05,1320.4,1314.03,1356.68,1284.56,0.66,8.57,8105707,19857284044.0,5.52,0.19
2010-11-08,1318.36,1325.21,1346.94,1285.4,0.85,11.18,7136889,16438819482.0,4.68,0.17
2010-11-09,1323.5,1326.48,1352.99,1297.06,0.1,1.27,6710472,15375764773.0,4.22,0.16
2010-11-10,1322.78,1342.51,1364.71,1299.15,1.21,16.03,7125114,18226738629.0,4.94,0.17
2010-11-11,1331.63,1312.03,1373.25,1303.45,-2.27,-30.48,8234029,20689800708.0,5.2,0.19
2010-11-12,1299.97,1204.66,1320.06,1195.22,-8.18,-107.37,8457277,19522064349.0,9.52,0.2
2010-11-15,1206.42,1233.97,1245.65,1178.71,2.43,29.31,4807145,11985149433.0,5.56,0.11
2010-11-16,1237.83,1180.46,1256.9,1161.55,-4.34,-53.51,6080557,14059405762.0,7.73,0.14
2010-11-17,1161.61,1145.67,1199.97,1125.23,-2.95,-34.79,4842080,10562629924.0,6.33,0.11
2010-11-18,1160.34,1170.53,1187.35,1133.53,2.17,24.86,4140359,8835846510.0,4.7,0.1
2010-11-19,1176.13,1203.29,1211.76,1148.48,2.8,32.76,4765480,10947251668.0,5.41,0.11
2010-11-22,1192.9,1224.51,1253.77,1184.81,1.76,21.22,5912291,14572279793.0,5.73,0.14
2010-11-23,1216.65,1191.49,1229.75,1160.07,-2.7,-33.02,4613179,10694850108.0,5.69,0.11
2010-11-24,1181.28,1234.89,1244.41,1177.22,3.64,43.4,4840850,11161876276.0,5.64,0.11
2010-11-25,1245.83,1251.03,1270.5,1226.36,1.31,16.14,4823110,10744602502.0,3.57,0.11
