日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-07-16,962.17,927.43,967.72,925.14,-7.26,-72.57,4314805,6679211776.0,4.26,3.78
2020-07-17,894.38,912.69,947.36,890.91,-1.59,-14.74,4284741,5511832576.0,6.09,3.76
2020-07-20,915.48,918.04,920.98,890.76,0.59,5.35,3492674,5264501760.0,3.31,3.06
2020-07-21,920.3,971.74,981.92,915.92,5.85,53.7,4258137,5253126400.0,7.19,3.73
2020-07-22,963.47,1013.3,1019.18,961.15,4.28,41.56,5359943,5227236352.0,5.97,4.7
2020-07-23,1017.92,1029.76,1043.62,1007.74,1.62,16.46,6693375,9036504576.0,3.54,5.87
2020-07-24,1022.88,960.82,1025.08,960.56,-6.69,-68.94,6797296,9381540864.0,6.27,5.96
2020-07-27,949.61,938.02,959.27,926.26,-2.37,-22.8,4022337,5725753344.0,3.44,3.53
2020-07-28,947.54,974.65,974.65,942.01,3.91,36.63,3658027,5230302976.0,3.48,3.21
2020-07-29,969.82,993.01,998.11,953.54,1.88,18.36,3994956,6117421056.0,4.57,3.5
2020-07-30,986.64,1004.38,1023.08,986.08,1.15,11.37,4728198,6839141888.0,3.73,4.15
2020-07-31,1000.87,1035.35,1042.05,997.96,3.08,30.97,4463496,6589406464.0,4.39,3.91
2020-08-03,1047.09,1052.58,1074.64,1040.18,1.66,17.23,5068444,8667440384.0,3.33,4.44
2020-08-04,1049.6,1025.17,1056.23,1021.17,-2.6,-27.41,4682109,6892914432.0,3.33,4.1
2020-08-05,1015.41,1020.59,1030.37,1001.28,-0.45,-4.58,3261774,4658466560.0,2.84,2.86
2020-08-06,1011.49,996.51,1027.45,985.02,-2.36,-24.08,3447125,4885968640.0,4.16,3.02
2020-08-07,996.68,979.33,999.03,961.0,-1.72,-17.18,2976487,4040188064.0,3.82,2.61
2020-08-10,971.12,973.89,983.93,958.26,-0.56,-5.44,2238435,3378636368.0,2.62,1.96
2020-08-11,976.32,949.49,982.03,949.09,-2.51,-24.4,2315823,2873088736.0,3.38,2.03
2020-08-12,949.44,957.38,957.38,935.31,0.83,7.89,2299335,3211754448.0,2.32,2.02
2020-08-13,957.6,959.71,969.24,949.04,0.24,2.33,2137544,2888756496.0,2.11,1.87
2020-08-14,954.12,961.48,961.66,941.86,0.18,1.77,1919969,2509423808.0,2.06,1.68
2020-08-17,957.43,974.28,978.36,952.13,1.33,12.8,2127013,2673624000.0,2.73,1.86
2020-08-18,973.21,988.5,993.45,972.25,1.46,14.22,2561384,3380963312.0,2.18,2.25
2020-08-19,980.46,956.37,980.46,951.43,-3.25,-32.13,2437800,3484242976.0,2.94,2.14
2020-08-20,949.9,950.48,961.61,944.9,-0.62,-5.89,1550889,1836891360.0,1.75,1.36
2020-08-21,951.63,950.6,954.72,944.8,0.01,0.12,1781448,1868644512.0,1.04,1.56
2020-08-24,953.69,965.86,969.38,938.86,1.61,15.26,1919863,1939690896.0,3.21,1.68
2020-08-25,969.68,975.1,980.23,966.52,0.96,9.24,3272751,3134739360.0,1.42,2.87
2020-08-26,972.62,954.23,976.96,948.79,-2.14,-20.87,3140333,3018602688.0,2.89,2.75
2020-08-27,951.85,969.18,973.25,943.89,1.57,14.95,2601180,2303962160.0,3.08,2.28
2020-08-28,961.93,976.9,978.7,959.71,0.8,7.72,2352763,2183931680.0,1.96,2.06
2020-08-31,982.27,968.86,991.0,968.72,-0.82,-8.04,2366504,2479564192.0,2.28,2.07
2020-09-01,967.28,972.04,972.04,957.0,0.33,3.18,1915875,1792728496.0,1.55,1.68
2020-09-02,975.04,998.58,1005.85,972.57,2.73,26.54,3555638,3292883872.0,3.42,3.12
2020-09-03,996.16,1000.73,1023.67,991.16,0.22,2.15,4431886,3664939840.0,3.26,3.89
2020-09-04,980.01,1002.21,1003.5,976.04,0.15,1.48,3339947,2857895136.0,2.74,2.93
2020-09-07,999.11,988.95,1011.38,982.05,-1.32,-13.26,3806079,3153214848.0,2.93,3.34
2020-09-08,994.06,1013.2,1013.2,981.81,2.45,24.25,3909023,3159864064.0,3.17,3.43
