日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-04,1000.19,1022.28,1023.17,999.91,2.23,22.28,148122058,73539023030.0,2.33,0.97
2026-02-05,1019.99,1021.74,1026.36,1015.89,-0.05,-0.54,127520474,66069980080.0,1.02,0.83
2026-02-06,1017.46,1018.49,1025.93,1014.02,-0.32,-3.25,104496724,54802083896.0,1.17,0.68
2026-02-09,1024.03,1028.95,1032.32,1023.2,1.03,10.46,100471183,50533920597.0,0.9,0.66
2026-02-10,1029.6,1025.49,1029.6,1022.02,-0.34,-3.46,86847532,45117803194.0,0.74,0.57
2026-02-11,1024.93,1029.55,1031.83,1022.18,0.4,4.06,78658913,40363315882.0,0.94,0.51
2026-02-12,1030.05,1020.21,1030.05,1020.1,-0.91,-9.34,96087802,47714470013.0,0.97,0.63
2026-02-13,1020.2,1008.73,1020.74,1007.73,-1.13,-11.48,89195031,44980482029.0,1.28,0.58
2026-02-24,1015.67,1023.05,1025.67,1015.67,1.42,14.32,99198116,50559071817.0,0.99,0.65
2026-02-25,1025.37,1038.06,1046.62,1025.37,1.47,15.01,169303807,82830594299.0,2.08,1.11
2026-02-26,1039.78,1032.67,1041.04,1030.1,-0.52,-5.39,117502913,55613991127.0,1.05,0.77
2026-02-27,1032.72,1042.4,1043.01,1031.7,0.94,9.73,134421847,59318735921.0,1.1,0.88
2026-03-02,1037.16,1040.12,1043.77,1027.92,-0.22,-2.28,159193522,74378339106.0,1.52,1.04
2026-03-03,1041.58,1029.07,1045.15,1027.55,-1.06,-11.05,162961189,82991985988.0,1.69,1.07
2026-03-04,1020.66,1013.56,1024.66,1008.87,-1.51,-15.51,132421256,67675313094.0,1.53,0.87
2026-03-05,1020.82,1021.88,1025.69,1016.59,0.82,8.32,103137815,52193398701.0,0.9,0.68
2026-03-06,1018.85,1034.72,1035.1,1018.05,1.26,12.84,98309335,49286681481.0,1.67,0.64
2026-03-09,1032.45,1029.48,1037.18,1026.08,-0.51,-5.24,125801816,65412633907.0,1.07,0.82
2026-03-10,1030.04,1031.6,1033.42,1028.27,0.21,2.12,103444351,51703715113.0,0.5,0.68
2026-03-11,1032.46,1041.65,1041.83,1026.41,0.97,10.05,129530371,63251939197.0,1.49,0.85
2026-03-12,1043.28,1049.46,1053.01,1041.84,0.75,7.81,149606765,72766862045.0,1.07,0.98
2026-03-13,1049.17,1052.63,1062.16,1049.17,0.3,3.17,150329575,77338960263.0,1.24,0.98
2026-03-16,1053.25,1048.31,1059.97,1045.76,-0.41,-4.32,133299486,69702513404.0,1.35,0.87
2026-03-17,1049.21,1047.39,1061.78,1047.11,-0.09,-0.92,123617587,61891975944.0,1.4,0.81
2026-03-18,1047.85,1041.3,1048.39,1034.44,-0.58,-6.09,108314222,53461760449.0,1.33,0.71
2026-03-19,1036.67,1023.72,1041.29,1021.41,-1.69,-17.58,107055442,54154379190.0,1.91,0.7
2026-03-20,1023.51,1010.16,1028.36,1010.16,-1.32,-13.56,105113570,51009842680.0,1.78,0.69
2026-03-23,999.95,965.29,999.95,961.58,-4.44,-44.87,154179679,74474614990.0,3.8,1.01
2026-03-24,975.71,990.94,991.02,965.82,2.66,25.65,112902377,54024335677.0,2.61,0.74
2026-03-25,991.36,1009.22,1009.97,988.42,1.84,18.28,118081956,55103100721.0,2.17,0.77
2026-03-26,1008.04,1002.5,1015.21,1000.05,-0.67,-6.72,94961463,46898040103.0,1.5,0.62
2026-03-27,995.01,1006.13,1007.16,994.18,0.36,3.63,83173943,41958100047.0,1.29,0.54
2026-03-30,1000.57,1012.99,1013.7,996.55,0.68,6.86,92104157,46791122884.0,1.7,0.6
2026-03-31,1012.94,1006.18,1025.57,1005.7,-0.67,-6.81,105436550,55954371542.0,1.96,0.69
2026-04-01,1016.29,1011.02,1018.14,1007.79,0.48,4.84,86306009,47418846934.0,1.03,0.57
2026-04-02,1009.73,1003.55,1012.99,999.3,-0.74,-7.47,79336516,42747146008.0,1.35,0.52
2026-04-03,1003.12,980.52,1003.29,978.92,-2.29,-23.03,74614650,37451287213.0,2.43,0.49
2026-04-07,979.99,986.37,987.96,975.56,0.6,5.85,65993398,34370377861.0,1.26,0.43
2026-04-08,994.68,1006.67,1006.74,992.61,2.06,20.3,86717997,46481949272.0,1.43,0.57
2026-04-09,1002.61,993.31,1004.1,992.19,-1.33,-13.36,67149902,35196721655.0,1.18,0.44
2026-04-10,996.82,998.64,1004.32,996.29,0.54,5.33,63479169,33354183451.0,0.81,0.42
2026-04-13,997.21,1000.97,1001.52,995.59,0.23,2.33,62233620,32647619096.0,0.59,0.41
2026-04-14,1003.56,1007.05,1007.1,998.18,0.61,6.08,77405890,38096481536.0,0.89,0.51
2026-04-15,1006.88,1003.0,1007.35,1001.33,-0.4,-4.05,71987797,37358699017.0,0.6,0.47
2026-04-16,1002.78,1006.07,1007.45,1000.9,0.31,3.07,65045280,35187402075.0,0.65,0.43
2026-04-17,1006.31,1001.69,1006.63,999.79,-0.44,-4.38,69505404,35747661088.0,0.68,0.46
2026-04-20,1000.56,1000.5,1001.19,995.4,-0.12,-1.19,74983030,40785765564.0,0.58,0.49
2026-04-21,1000.61,1003.49,1005.09,998.89,0.3,2.99,81353336,42862023988.0,0.62,0.53
2026-04-22,1002.12,1001.9,1004.67,998.92,-0.16,-1.59,70029395,39229131381.0,0.57,0.46
2026-04-23,1001.23,1000.92,1004.29,996.07,-0.1,-0.98,92759361,49881435766.0,0.82,0.61
2026-04-24,998.34,994.72,998.46,989.97,-0.62,-6.2,73941272,40163443799.0,0.85,0.48
2026-04-27,992.79,995.27,996.56,988.2,0.06,0.55,86392897,48010677250.0,0.84,0.57
2026-04-28,992.93,997.53,998.06,991.26,0.23,2.26,85688569,47041747806.0,0.68,0.56
2026-04-29,995.82,1007.7,1009.93,995.77,1.02,10.17,98763138,52350627751.0,1.42,0.65
2026-04-30,1003.3,1002.73,1007.1,999.64,-0.49,-4.97,112621026,59687809821.0,0.74,0.74
2026-05-06,998.58,998.08,999.68,993.7,-0.46,-4.65,112005241,63623211294.0,0.6,0.73
2026-05-07,996.07,991.88,998.31,990.96,-0.62,-6.2,102181724,55747906500.0,0.74,0.67
2026-05-08,990.32,997.83,999.12,989.9,0.6,5.95,97632311,49483219271.0,0.93,0.64
2026-05-11,998.31,1004.22,1005.26,996.15,0.64,6.39,116052774,62632870631.0,0.91,0.76
2026-05-12,1004.71,999.92,1004.94,997.71,-0.43,-4.3,97911801,53855435971.0,0.72,0.64
2026-05-13,999.87,999.04,1001.34,996.65,-0.09,-0.88,93347715,51375525974.0,0.47,0.61
2026-05-14,1000.2,988.4,1000.55,988.4,-1.07,-10.64,100161997,53051810163.0,1.22,0.66
2026-05-15,987.14,976.39,987.5,972.78,-1.22,-12.01,97892748,53090759488.0,1.49,0.64
2026-05-18,972.72,968.31,973.05,963.83,-0.83,-8.08,86790502,47260400094.0,0.94,0.57
2026-05-19,967.91,978.94,979.29,967.91,1.1,10.63,84650196,44910857583.0,1.18,0.55
2026-05-20,977.29,965.24,977.29,963.71,-1.4,-13.7,78783478,41364996913.0,1.39,0.52
2026-05-21,964.65,946.3,968.78,946.18,-1.96,-18.94,90287835,48570928723.0,2.34,0.59
2026-05-22,947.16,949.04,952.58,940.98,0.29,2.74,77755625,43165860316.0,1.23,0.51
2026-05-25,951.23,954.16,955.37,949.04,0.54,5.12,77490335,41656831660.0,0.67,0.51
2026-05-26,952.64,951.48,952.64,945.42,-0.28,-2.68,81203433,44930512528.0,0.76,0.53
2026-05-27,949.84,939.81,952.22,933.88,-1.23,-11.67,87459951,47214211946.0,1.93,0.57
2026-05-28,936.78,939.36,945.11,932.89,-0.05,-0.45,78702935,41359687590.0,1.3,0.52
2026-05-29,941.7,951.6,958.66,941.7,1.3,12.24,123931517,63855401244.0,1.81,0.81
2026-06-01,950.58,971.94,972.33,946.4,2.14,20.34,117745994,60074740113.0,2.72,0.77
2026-06-02,973.54,968.09,975.76,966.04,-0.4,-3.85,101420563,51419650707.0,1.0,0.66
2026-06-03,968.95,959.01,969.21,955.66,-0.94,-9.08,96822198,49098720689.0,1.4,0.63
2026-06-04,958.25,945.87,964.04,941.96,-1.37,-13.14,92663293,46945990345.0,2.3,0.61
2026-06-05,946.17,951.17,957.52,946.17,0.56,5.3,92752653,46877517055.0,1.2,0.61
2026-06-08,941.41,937.71,949.86,931.11,-1.42,-13.46,106600596,53828764359.0,1.97,0.7
2026-06-09,938.87,933.69,939.64,929.44,-0.43,-4.02,92245459,48420826690.0,1.09,0.6
2026-06-10,929.57,928.36,929.96,921.12,-0.57,-5.33,97102778,50476569421.0,0.95,0.64
2026-06-11,923.87,918.75,926.99,915.3,-1.04,-9.61,82508726,43779340906.0,1.26,0.54
2026-06-12,921.82,932.51,934.28,917.64,1.5,13.76,111413426,59121229485.0,1.81,0.73
2026-06-15,932.47,930.96,942.85,926.45,-0.17,-1.55,102762111,55617833454.0,1.76,0.67
2026-06-16,928.88,922.96,929.01,916.79,-0.86,-8.0,78730078,41412998104.0,1.31,0.52
2026-06-17,921.68,912.26,922.1,909.09,-1.16,-10.7,87512937,44781593272.0,1.41,0.57
2026-06-18,909.63,896.45,909.67,895.24,-1.73,-15.81,97634614,52693870657.0,1.58,0.64
2026-06-22,891.14,894.99,895.75,873.07,-0.16,-1.46,100735685,53286788601.0,2.53,0.66
2026-06-23,891.77,901.22,911.37,891.69,0.7,6.23,103411757,55344172728.0,2.2,0.68
2026-06-24,899.71,878.24,899.71,877.37,-2.55,-22.98,97699284,49991568131.0,2.48,0.64
2026-06-25,872.83,865.73,873.5,861.02,-1.42,-12.51,87109707,45732959559.0,1.42,0.57
2026-06-26,863.16,851.66,863.29,851.46,-1.63,-14.07,90075081,44915581473.0,1.37,0.59
2026-06-30,849.86,843.09,852.38,838.16,-1.11,0,88858966.0,45232680817.0,0,0
2026-07-01,842.72,863.09,867.71,841.79,2.37,0,88393323.0,43146745832.0,0,0
2026-07-02,864.33,869.64,879.77,863.98,0.76,0,88607223.0,45677873841.0,0,0
2026-07-03,0.00,877.58,0.00,0.00,0.91,0,0,0,0,0
