日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2017-04-05,1095.0,1094.1,1096.2,1092.42,9.41,94.1,10048795,13242839296.0,0.38,0.37
2017-04-06,1174.47,1162.39,1174.47,1161.8,6.24,68.29,15905252,22908292096.0,1.16,0.59
2017-04-07,1222.21,1234.34,1240.31,1214.39,6.19,71.95,35824150,45801198336.0,2.23,1.32
2017-04-10,1280.23,1332.11,1340.77,1277.71,7.92,97.77,45389140,58979753472.0,5.11,1.67
2017-04-11,1397.67,1430.88,1440.8,1394.67,7.41,98.77,47307095,70964109312.0,3.46,1.74
2017-04-12,1460.5,1415.93,1476.53,1408.16,-1.04,-14.95,69317176,102118940672.0,4.78,2.55
2017-04-13,1402.72,1444.61,1452.94,1402.72,2.03,28.68,44294469,53972362496.0,3.55,1.63
2017-04-14,1460.18,1420.81,1461.03,1407.59,-1.65,-23.8,39019401,47728826368.0,3.7,1.44
2017-04-17,1420.14,1375.64,1420.51,1350.52,-3.18,-45.17,64532444,86380691456.0,4.93,2.38
2017-04-18,1358.77,1342.72,1392.47,1339.04,-2.39,-32.92,47700529,65557085184.0,3.88,1.76
2017-04-19,1331.17,1322.35,1345.68,1309.09,-1.52,-20.37,45790689,57976055552.0,2.73,1.69
2017-04-20,1308.25,1249.89,1311.18,1238.13,-5.48,-72.46,46542899,58925922560.0,5.52,1.71
2017-04-21,1240.1,1220.17,1252.85,1212.75,-2.38,-29.72,38909823,47635532544.0,3.21,1.43
2017-04-24,1219.96,1202.06,1227.18,1197.14,-1.48,-18.11,29886261,37677588480.0,2.46,1.1
2017-04-25,1205.16,1221.66,1265.39,1191.51,1.63,19.6,45135631,55543372544.0,6.15,1.66
2017-04-26,1205.53,1275.35,1284.74,1202.15,4.39,53.69,51275753,64479571456.0,6.76,1.89
2017-04-27,1264.57,1245.7,1286.62,1241.05,-2.32,-29.65,52942723,68524787456.0,3.57,1.95
2017-04-28,1231.77,1289.52,1293.11,1230.42,3.52,43.82,50304773,60801904128.0,5.03,1.85
2017-05-02,1288.63,1313.28,1314.59,1271.58,1.84,23.76,51715346,68662213888.0,3.34,1.9
2017-05-03,1300.58,1251.12,1300.58,1248.54,-4.73,-62.16,46223104,63696369152.0,3.96,1.7
2017-05-04,1235.44,1273.27,1319.98,1234.39,1.77,22.15,51237586,70783582208.0,6.84,1.89
2017-05-05,1258.62,1253.79,1281.09,1253.76,-1.53,-19.48,39010882,52742705408.0,2.15,1.44
2017-05-08,1252.58,1170.74,1255.34,1168.63,-6.62,-83.05,36933133,47872751872.0,6.92,1.36
2017-05-09,1157.02,1177.17,1179.23,1148.87,0.55,6.43,24432916,33244085248.0,2.59,0.9
2017-05-10,1175.27,1124.7,1190.63,1124.1,-4.46,-52.47,34903340,47312360704.0,5.65,1.29
2017-05-11,1121.06,1157.75,1157.78,1108.91,2.94,33.05,36592745,46525559552.0,4.35,1.35
2017-05-12,1150.21,1168.34,1187.37,1135.63,0.91,10.59,44363151,60523578112.0,4.47,1.63
2017-05-15,1165.99,1175.22,1187.01,1165.22,0.59,6.88,35373298,53742997248.0,1.87,1.3
2017-05-16,1166.02,1230.05,1232.19,1162.28,4.67,54.83,52054810,74420711424.0,5.95,1.92
2017-05-17,1230.09,1251.28,1264.57,1228.61,1.73,21.23,57433449,78146277376.0,2.92,2.11
2017-05-18,1232.36,1219.66,1242.97,1206.5,-2.53,-31.62,47617359,67703224576.0,2.91,1.75
2017-05-19,1216.97,1230.61,1235.96,1211.5,0.9,10.95,42009331,57479921920.0,2.01,1.55
2017-05-22,1221.38,1194.55,1221.38,1192.01,-2.93,-36.06,37826270,51313903104.0,2.39,1.39
2017-05-23,1188.37,1157.27,1198.37,1156.77,-3.12,-37.28,36746757,50160947456.0,3.48,1.35
2017-05-24,1141.54,1174.61,1174.82,1128.64,1.5,17.34,30899539,41402416896.0,3.99,1.14
2017-05-25,1169.85,1189.12,1198.58,1145.23,1.24,14.51,38060364,52217690624.0,4.54,1.4
2017-05-26,1189.95,1182.63,1208.63,1181.97,-0.55,-6.49,35562116,49011235584.0,2.24,1.31
2017-05-31,1198.73,1181.88,1200.46,1180.47,-0.06,-0.75,30173213,43691137792.0,1.69,1.11
2017-06-01,1172.91,1139.91,1175.63,1139.84,-3.55,-41.97,32350122,43407752192.0,3.03,1.19
2017-06-02,1134.0,1157.74,1161.16,1127.8,1.56,17.83,26354458,35425974272.0,2.93,0.97
2017-06-05,1158.46,1167.4,1177.98,1156.77,0.83,9.66,26910980,35274987008.0,1.83,0.99
2017-06-06,1162.38,1165.28,1170.02,1155.17,-0.18,-2.12,25540786,33866584832.0,1.27,0.94
2017-06-07,1164.73,1200.75,1203.49,1164.24,3.04,35.47,37723087,48219604224.0,3.37,1.39
2017-06-08,1197.87,1192.6,1205.84,1190.69,-0.68,-8.15,34311796,46395968000.0,1.26,1.26
2017-06-09,1189.66,1198.68,1204.58,1177.28,0.51,6.08,32754669,43788857600.0,2.29,1.21
2017-06-12,1192.9,1199.48,1213.77,1191.54,0.07,0.8,31805307,42959884032.0,1.85,1.17
2017-06-13,1195.05,1208.05,1208.52,1194.36,0.71,8.57,25760634,34675062272.0,1.18,0.95
2017-06-14,1206.2,1191.46,1212.64,1191.29,-1.37,-16.59,27164357,35469482496.0,1.77,1.0
2017-06-15,1187.79,1197.25,1200.39,1187.79,0.49,5.79,23048972,29312204800.0,1.06,0.85
2017-06-16,1195.17,1196.08,1209.68,1193.27,-0.1,-1.17,24698786,33803034624.0,1.37,0.91
2017-06-19,1192.03,1195.29,1195.42,1184.41,-0.07,-0.79,21120941,28249334272.0,0.92,0.78
2017-06-20,1197.0,1206.19,1213.89,1196.79,0.91,10.9,28538182,39847597824.0,1.43,1.05
2017-06-21,1209.26,1217.62,1217.65,1202.19,0.95,11.43,28131006,40268655104.0,1.28,1.04
2017-06-22,1216.2,1181.91,1219.68,1181.91,-2.93,-35.71,29575834,40888163328.0,3.1,1.09
2017-06-23,1178.5,1172.92,1181.04,1151.08,-0.76,-8.99,26438387,33922293248.0,2.53,0.97
2017-06-26,1170.39,1187.56,1187.56,1164.52,1.25,14.64,21087172,28642987776.0,1.96,0.78
2017-06-27,1185.84,1183.86,1190.71,1179.63,-0.31,-3.7,18555040,25166971904.0,0.93,0.68
2017-06-28,1180.69,1168.08,1180.69,1162.48,-1.33,-15.78,19315130,25055989248.0,1.54,0.71
2017-06-29,1169.4,1177.6,1187.54,1169.4,0.82,9.52,17755578,23696742144.0,1.55,0.65
2017-06-30,1174.09,1166.22,1174.09,1162.54,-0.97,-11.38,15793987,20626466560.0,0.98,0.58
2017-07-03,1167.86,1181.74,1183.23,1167.86,1.33,15.52,16840893,20563906048.0,1.32,0.62
2017-07-04,1182.83,1188.26,1194.19,1182.47,0.55,6.52,18206629,24457824000.0,0.99,0.67
2017-07-05,1188.95,1193.99,1193.99,1177.72,0.48,5.73,18102688,23778187520.0,1.37,0.67
2017-07-06,1193.52,1187.24,1197.95,1181.82,-0.57,-6.75,18739544,24162018048.0,1.35,0.69
2017-07-07,1184.89,1183.8,1193.73,1182.21,-0.29,-3.44,20706859,26398557440.0,0.97,0.76
2017-07-10,1181.99,1183.13,1189.08,1173.41,-0.06,-0.67,23144876,27779628032.0,1.32,0.85
2017-07-11,1182.34,1148.67,1182.34,1148.66,-2.91,-34.46,20737525,25210496256.0,2.85,0.76
