日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2025-07-21,1135.18,1135.18,1135.18,1128.44,13.52,135.18,2337869,2246386802.0,0.67,0.11
2025-07-22,1240.85,1261.09,1261.45,1240.85,11.09,125.91,26444929,32997965746.0,1.81,1.23
2025-07-23,1354.52,1301.31,1354.52,1301.31,3.19,40.22,86773918,78985523611.0,4.22,4.02
2025-07-24,1302.67,1319.45,1333.63,1282.1,1.39,18.14,131063337,101320544116.0,3.96,6.08
2025-07-25,1317.66,1270.33,1317.81,1270.2,-3.72,-49.12,110879918,96898274762.0,3.61,5.14
2025-07-28,1258.0,1264.29,1272.23,1251.41,-0.48,-6.04,68606181,61426107223.0,1.64,3.18
2025-07-29,1259.04,1285.37,1291.73,1243.51,1.67,21.08,77566757,70097058543.0,3.81,3.6
2025-07-30,1273.76,1264.62,1292.76,1261.1,-1.61,-20.75,94890983,67962299468.0,2.46,4.4
2025-07-31,1255.71,1243.72,1264.52,1238.06,-1.65,-20.9,81897804,56467223212.0,2.09,3.8
2025-08-01,1236.88,1229.75,1243.37,1228.07,-1.12,-13.97,61638610,43578345316.0,1.23,2.86
2025-08-04,1225.71,1233.43,1239.76,1225.17,0.3,3.68,47216178,35802616870.0,1.19,2.19
2025-08-05,1234.86,1240.01,1243.54,1231.04,0.53,6.58,53502803,41631629447.0,1.01,2.48
2025-08-06,1235.88,1234.74,1236.88,1228.41,-0.42,-5.27,49172555,38795989467.0,0.68,2.28
2025-08-07,1232.74,1230.38,1233.6,1220.77,-0.35,-4.36,58637674,41495862929.0,1.04,2.72
2025-08-08,1224.93,1263.42,1266.82,1223.83,2.69,33.04,62531169,52220186913.0,3.49,2.9
2025-08-11,1268.83,1263.09,1268.83,1258.78,-0.03,-0.33,49585761,42586509909.0,0.8,2.3
2025-08-12,1261.24,1246.75,1261.24,1244.45,-1.29,-16.34,40923531,34191651936.0,1.33,1.9
2025-08-13,1247.77,1251.92,1255.3,1245.73,0.41,5.17,40527792,35063707157.0,0.77,1.88
2025-08-14,1250.94,1230.87,1253.55,1230.87,-1.68,-21.05,47233552,40447495495.0,1.81,2.19
2025-08-15,1225.02,1241.03,1242.1,1223.27,0.83,10.16,41460835,34971630036.0,1.53,1.92
2025-08-18,1244.0,1254.42,1257.48,1239.91,1.08,13.39,58997983,43374605806.0,1.42,2.74
2025-08-19,1254.63,1250.42,1260.48,1244.91,-0.32,-4.0,51455767,39151540865.0,1.24,2.39
2025-08-20,1245.8,1256.89,1256.95,1238.64,0.52,6.47,45676641,32887262394.0,1.46,2.12
2025-08-21,1262.09,1254.64,1268.82,1249.61,-0.18,-2.25,53535164,36891860770.0,1.53,2.48
2025-08-22,1252.45,1255.13,1255.13,1244.43,0.04,0.49,46292741,32199548754.0,0.85,2.15
2025-08-25,1258.76,1272.54,1276.04,1257.61,1.39,17.41,61589788,42872007607.0,1.47,2.86
2025-08-26,1271.33,1267.1,1272.0,1259.63,-0.43,-5.44,59147706,36768912217.0,0.97,2.74
2025-08-27,1267.05,1236.19,1269.85,1236.19,-2.44,-30.91,64788508,43700309312.0,2.66,3.0
2025-08-28,1234.46,1237.94,1242.9,1202.23,0.14,1.75,54713542,37357979070.0,3.29,2.54
2025-08-29,1239.43,1235.03,1247.99,1234.01,-0.24,-2.91,53630579,34844314099.0,1.13,2.49
2025-09-01,1236.66,1239.63,1243.32,1232.05,0.37,4.6,49026318,32505117823.0,0.91,2.27
2025-09-02,1240.43,1217.11,1240.43,1205.71,-1.82,-22.52,44718301,28631884242.0,2.8,2.07
2025-09-03,1220.75,1199.13,1223.13,1194.2,-1.48,-17.98,36116817,23542383202.0,2.38,1.67
2025-09-04,1198.94,1193.77,1209.49,1178.58,-0.45,-5.36,39508873,25408771868.0,2.58,1.83
2025-09-05,1195.64,1217.02,1217.07,1191.43,1.95,23.25,34644199,23480031266.0,2.15,1.61
2025-09-08,1218.31,1231.03,1231.45,1216.46,1.15,14.01,33030970,25003607339.0,1.23,1.53
2025-09-09,1230.56,1221.11,1233.85,1215.55,-0.81,-9.92,30587983,23648658039.0,1.49,1.42
2025-09-10,1217.96,1214.97,1223.31,1207.96,-0.5,-6.14,24679510,17433926888.0,1.26,1.14
2025-09-11,1213.06,1229.75,1229.75,1207.06,1.22,14.78,30413123,21695804290.0,1.87,1.41
2025-09-12,1230.55,1230.9,1239.1,1228.37,0.09,1.15,39177741,26639976675.0,0.87,1.82
2025-09-15,1229.96,1226.32,1232.96,1221.9,-0.37,-4.58,31289475,21572089401.0,0.9,1.45
2025-09-16,1226.51,1228.27,1229.01,1211.43,0.16,1.95,31009378,19711853671.0,1.43,1.44
2025-09-17,1226.2,1236.9,1237.8,1222.4,0.7,8.63,32232190,23663251063.0,1.25,1.49
2025-09-18,1236.11,1222.52,1245.71,1213.85,-1.16,-14.38,41658453,30463080652.0,2.58,1.93
2025-09-19,1221.76,1239.2,1241.83,1221.76,1.36,16.68,37034718,32940251054.0,1.64,1.72
2025-09-22,1237.46,1230.53,1237.68,1217.85,-0.7,-8.67,30996174,26330063991.0,1.6,1.44
2025-09-23,1228.94,1223.78,1230.22,1201.47,-0.55,-6.75,36288046,30102795102.0,2.34,1.68
2025-09-24,1222.44,1237.96,1237.96,1218.09,1.16,14.18,28209172,25324795812.0,1.62,1.31
