日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-03-16,1001.55,1008.83,1009.78,1001.47,0.88,8.83,11962520,14672787008.0,0.83,1.09
2026-03-17,1008.87,995.04,1013.45,994.6,-1.37,-13.79,11825807,14102480809.0,1.87,1.08
2026-03-18,994.89,992.34,996.27,981.6,-0.27,-2.7,11021070,11823253875.0,1.47,1.01
2026-03-19,983.99,969.17,986.33,966.59,-2.33,-23.17,11528399,12995353124.0,1.99,1.05
2026-03-20,971.19,948.24,976.53,948.24,-2.16,-20.93,10424402,12803462716.0,2.92,0.95
2026-03-23,933.92,891.67,933.92,887.14,-5.97,-56.57,15750364,16798288872.0,4.93,1.44
2026-03-24,907.96,918.8,918.92,892.71,3.04,27.13,12698211,12875313995.0,2.94,1.16
2026-03-25,921.8,931.06,932.15,921.65,1.33,12.26,11057801,11173970087.0,1.14,1.01
2026-03-26,929.47,922.46,939.86,918.91,-0.92,-8.6,10257646,10394656912.0,2.25,0.94
2026-03-27,914.64,937.29,938.73,913.04,1.61,14.83,10095633,10589353035.0,2.78,0.92
2026-03-30,927.33,938.62,938.89,924.55,0.14,1.33,9890931,10081659521.0,1.53,0.9
2026-03-31,938.53,929.62,948.73,928.64,-0.96,-9.0,9975219,10500333309.0,2.14,0.91
2026-04-01,944.25,949.08,949.18,934.06,2.09,19.46,11160977,12323797691.0,1.63,1.02
2026-04-02,948.42,937.92,948.42,933.45,-1.18,-11.16,11864018,13433199175.0,1.58,1.08
2026-04-03,939.06,916.08,939.67,915.44,-2.33,-21.84,9825328,11087827740.0,2.58,0.9
2026-04-07,917.57,928.35,930.37,915.61,1.34,12.27,9207180,10181251897.0,1.61,0.84
2026-04-08,942.97,954.52,954.52,942.97,2.82,26.17,14675668,16461088448.0,1.24,1.34
2026-04-09,947.61,933.11,948.64,930.99,-2.24,-21.41,11095068,12219465760.0,1.85,1.01
2026-04-10,937.07,938.32,945.0,935.62,0.56,5.21,10975251,12191727314.0,1.01,1.0
2026-04-13,934.15,934.65,935.75,928.58,-0.39,-3.67,10228743,12031188343.0,0.76,0.93
2026-04-14,939.57,939.51,940.86,928.28,0.52,4.86,10555449,12243008414.0,1.35,0.96
2026-04-15,942.75,938.01,943.58,936.31,-0.16,-1.5,10701036,12330400450.0,0.77,0.98
2026-04-16,937.95,945.34,946.09,935.12,0.78,7.33,9615480,10857478977.0,1.17,0.88
2026-04-17,943.8,941.18,943.8,934.37,-0.44,-4.16,11477631,13367132242.0,1.0,1.05
2026-04-20,939.96,944.84,945.58,935.2,0.39,3.66,11314741,13091066853.0,1.1,1.03
2026-04-21,944.11,941.34,949.67,935.68,-0.37,-3.5,9853473,12748332065.0,1.48,0.9
2026-04-22,938.16,936.73,938.16,931.99,-0.49,-4.61,10212731,11475884346.0,0.66,0.93
2026-04-23,934.88,931.46,936.54,927.19,-0.56,-5.27,10935390,12719900038.0,1.0,1.0
2026-04-24,929.05,930.76,934.89,922.81,-0.08,-0.7,9932557,11965068898.0,1.3,0.91
2026-04-27,933.2,948.82,949.84,932.02,1.94,18.06,10917496,13231610579.0,1.91,1.0
2026-04-28,945.96,940.03,948.41,934.47,-0.93,-8.79,11494175,13061312716.0,1.47,1.05
2026-04-29,938.09,949.79,953.49,936.98,1.04,9.76,11470394,12989810904.0,1.76,1.05
2026-04-30,948.95,951.16,957.2,946.89,0.14,1.37,13255134,14373235896.0,1.09,1.21
2026-05-06,952.61,955.78,957.31,950.63,0.49,4.62,14505365,17705222113.0,0.7,1.32
2026-05-07,956.52,959.49,960.92,956.2,0.39,3.71,12290063,14561499536.0,0.49,1.12
2026-05-08,958.25,971.73,973.07,958.25,1.28,12.24,14412670,15639883666.0,1.54,1.32
2026-05-11,971.99,970.57,971.99,963.99,-0.12,-1.16,14191730,17753964730.0,0.82,1.3
2026-05-12,969.4,957.69,969.6,955.37,-1.33,-12.88,12987299,15615051154.0,1.47,1.19
2026-05-13,958.13,960.11,962.96,954.29,0.25,2.42,12501507,16446918471.0,0.91,1.14
2026-05-14,961.15,943.99,961.76,941.78,-1.68,-16.12,13457429,17077778193.0,2.08,1.23
2026-05-15,943.34,933.23,944.7,928.44,-1.14,-10.76,12598735,15432223978.0,1.72,1.15
2026-05-18,932.13,929.66,932.62,923.69,-0.38,-3.57,10921106,14465735766.0,0.96,1.0
