日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-06-08,961.86,982.47,1011.87,961.86,-1.75,-17.53,133145065,330462528473.0,5.0,9.91
2026-06-09,993.49,1006.25,1006.57,976.6,2.42,23.78,116598992,260217633907.0,3.05,8.68
2026-06-10,1010.13,1008.91,1024.01,996.51,0.26,2.66,106316216,299707024130.0,2.73,7.91
2026-06-11,1013.39,1026.67,1031.5,1012.81,1.76,17.76,75870953,230170357968.0,1.85,5.65
2026-06-12,1045.68,1007.14,1049.73,1004.16,-1.9,-19.53,114712515,348977716902.0,4.44,8.54
2026-06-15,1019.75,1070.68,1070.79,1010.59,6.31,63.54,86701300,244568848171.0,5.98,6.45
2026-06-16,1095.11,1126.59,1137.22,1095.11,5.22,55.91,100731452,428581264917.0,3.93,7.5
2026-06-17,1128.7,1170.09,1170.91,1128.7,3.86,43.5,102547860,469588959536.0,3.75,7.63
2026-06-18,1169.46,1192.63,1199.1,1163.37,1.93,22.54,168256192,538839956494.0,3.05,12.53
2026-06-22,1236.6,1259.65,1259.65,1223.17,5.62,67.02,136214300,525143834310.0,3.06,10.14
2026-06-23,1285.77,1238.4,1286.81,1228.36,-1.69,-21.25,130579956,538925389150.0,4.64,9.72
2026-06-24,1227.64,1277.01,1277.01,1222.49,3.12,38.61,111865550,347783109455.0,4.4,8.33
2026-06-25,1300.61,1315.56,1315.92,1290.72,3.02,38.55,128498165,456973749351.0,1.97,9.57
2026-06-26,1315.74,1307.22,1338.1,1286.02,-0.63,-8.34,147055693,606971149879.0,3.96,10.95
2026-06-30,1307.76,1337.16,1339.67,1283.26,1.79,0,135903108.0,490243205771.0,0,0
2026-07-01,1349.08,1335.89,1368.19,1316.93,-0.09,0,153158969.0,403448956518.0,0,0
2026-07-02,1306.45,1302.11,1337.78,1287.71,-2.53,0,164231081.0,402308981171.0,0,0
2026-07-03,0.00,1257.01,0.00,0.00,-3.46,0,0,0,0,0
