日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-01-11,1015.67,1059.36,1059.65,1005.06,5.94,59.36,4669584,4634923787.0,5.46,0.76
2024-01-12,1064.8,1058.72,1084.75,1056.9,-0.06,-0.64,5077849,4910940073.0,2.63,0.82
2024-01-15,1044.54,1048.91,1071.68,1040.57,-0.93,-9.81,4782671,4687457467.0,2.94,0.78
2024-01-16,1042.24,1088.86,1094.83,1042.24,3.81,39.95,5116875,5059598095.0,5.01,0.83
2024-01-17,1093.03,1042.01,1093.03,1042.01,-4.3,-46.85,6025711,6024467751.0,4.69,0.98
2024-01-18,1033.15,1034.52,1048.15,1003.09,-0.72,-7.49,5203561,5038377350.0,4.32,0.84
2024-01-19,1026.99,998.12,1026.99,997.18,-3.52,-36.4,3449711,3162949881.0,2.88,0.56
2024-01-22,987.26,935.95,993.57,928.83,-6.23,-62.17,4108130,3713858701.0,6.49,0.67
2024-01-23,928.28,948.5,955.11,914.64,1.34,12.55,3376027,2977529420.0,4.32,0.55
2024-01-24,952.01,967.62,969.15,935.2,2.02,19.12,4211120,3495836582.0,3.58,0.68
2024-01-25,966.25,992.9,993.86,959.54,2.61,25.28,4378554,3944603634.0,3.55,0.71
2024-01-26,991.47,983.91,1003.4,980.74,-0.91,-8.99,3461240,3153262790.0,2.28,0.56
2024-01-29,987.64,952.99,992.67,951.02,-3.14,-30.92,3190609,2873153936.0,4.23,0.52
2024-01-30,946.69,932.32,959.48,929.55,-2.17,-20.67,2656392,2359819553.0,3.14,0.43
2024-01-31,922.82,885.85,933.83,883.38,-4.98,-46.47,3594483,3147602742.0,5.41,0.58
2024-02-01,882.2,871.6,894.92,862.97,-1.61,-14.25,3626846,3156254266.0,3.61,0.59
2024-02-02,872.73,842.21,888.04,813.93,-3.37,-29.39,3820818,3217116103.0,8.5,0.62
2024-02-05,829.23,764.2,830.71,755.79,-9.26,-78.01,4099919,3274452253.0,8.9,0.66
2024-02-06,745.48,791.8,807.51,725.27,3.61,27.6,3842796,3086121583.0,10.76,0.62
2024-02-07,796.56,795.51,823.06,784.65,0.47,3.71,3605936,3124415319.0,4.85,0.58
2024-02-08,804.03,854.09,855.34,799.18,7.36,58.58,5410109,4403615715.0,7.06,0.88
2024-02-19,866.27,884.59,885.02,857.09,3.57,30.5,5384208,4380791572.0,3.27,0.87
2024-02-20,875.87,893.65,895.23,865.72,1.02,9.06,3951520,3315351194.0,3.34,0.64
2024-02-21,887.42,911.82,932.58,884.34,2.03,18.17,5609470,5070346673.0,5.4,0.91
2024-02-22,903.44,928.83,928.83,902.27,1.87,17.01,4690497,4153937241.0,2.91,0.76
2024-02-23,929.51,947.98,950.85,919.19,2.06,19.15,4315889,3966372567.0,3.41,0.7
2024-02-26,963.52,978.59,981.5,951.12,3.23,30.61,5738905,5317107779.0,3.2,0.93
2024-02-27,969.39,1000.94,1000.94,964.01,2.28,22.35,5573150,5308817656.0,3.77,0.9
2024-02-28,997.57,930.26,1005.57,929.93,-7.06,-70.68,6164759,5885500061.0,7.56,1.0
2024-02-29,920.56,974.19,974.19,920.56,4.72,43.93,5585295,5127193390.0,5.77,0.91
2024-03-01,978.26,982.98,985.77,969.61,0.9,8.79,4938145,4937774499.0,1.66,0.8
2024-03-04,986.75,984.26,989.32,965.07,0.13,1.28,4642896,4626434247.0,2.47,0.75
