日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2012-06-18,1019.98,1021.01,1024.69,1014.88,2.1,21.01,300249,374209200.0,0.98,0.1
2012-06-19,1017.45,1018.1,1026.41,1014.19,-0.29,-2.91,288543,315689312.0,1.2,0.09
2012-06-20,1019.77,1012.1,1021.18,1005.79,-0.59,-6.0,294825,342281936.0,1.51,0.1
2012-06-21,1006.56,986.33,1006.57,980.86,-2.55,-25.77,217954,250657899.0,2.54,0.07
2012-06-25,979.28,962.09,984.78,961.4,-2.46,-24.24,135913,146157204.0,2.37,0.04
2012-06-26,947.37,953.72,961.32,943.84,-0.87,-8.37,158576,165033309.0,1.82,0.05
2012-06-27,956.63,952.54,963.89,951.52,-0.12,-1.18,128315,135731630.0,1.3,0.04
2012-06-28,953.47,937.32,957.73,937.32,-1.6,-15.22,138601,153117864.0,2.14,0.05
2012-06-29,934.1,952.5,952.5,932.48,1.62,15.18,146255,160364290.0,2.14,0.05
2012-07-02,954.86,959.75,963.79,954.12,0.76,7.25,142683,149826428.0,1.02,0.05
2012-07-03,960.42,960.09,968.85,953.19,0.04,0.34,163642,168719677.0,1.63,0.05
2012-07-04,968.5,961.07,982.2,957.3,0.1,0.98,259994,299374384.0,2.59,0.08
2012-07-05,955.41,923.36,955.41,922.06,-3.92,-37.71,209764,231355017.0,3.47,0.07
2012-07-06,931.57,936.21,937.37,903.35,1.39,12.85,210608,231603774.0,3.68,0.07
2012-07-09,930.26,907.2,930.26,906.61,-3.1,-29.01,188035,214862343.0,2.53,0.06
2012-07-10,904.78,879.02,907.57,877.21,-3.11,-28.18,196937,221869990.0,3.35,0.06
2012-07-11,883.93,882.55,888.32,875.85,0.4,3.53,140923,151350557.0,1.42,0.05
2012-07-12,883.3,892.81,897.01,879.76,1.16,10.26,198587,228029846.0,1.95,0.06
2012-07-13,887.31,881.59,894.21,879.75,-1.26,-11.22,156591,198200352.0,1.62,0.05
2012-07-16,879.28,853.94,882.27,851.95,-3.14,-27.65,248348,296425584.0,3.44,0.08
2012-07-17,851.24,853.05,856.41,843.71,-0.1,-0.89,123968,153061737.0,1.49,0.04
2012-07-18,852.16,861.68,861.68,843.83,1.01,8.63,118936,131309543.0,2.09,0.04
2012-07-19,860.47,865.61,875.86,856.68,0.46,3.93,166393,177859565.0,2.23,0.05
2012-07-20,863.81,860.64,869.97,858.51,-0.57,-4.97,119608,127836129.0,1.32,0.04
2012-07-23,852.32,850.06,856.44,837.44,-1.23,-10.58,141302,148409392.0,2.21,0.05
2012-07-24,845.48,857.78,861.9,843.19,0.91,7.72,140381,140616122.0,2.2,0.05
2012-07-25,855.86,853.11,863.63,850.87,-0.54,-4.67,140600,146590500.0,1.49,0.05
2012-07-26,852.98,845.14,858.46,844.5,-0.93,-7.97,109796,105260294.0,1.64,0.04
2012-07-27,850.52,850.33,855.09,846.77,0.61,5.19,127457,126612785.0,0.98,0.04
2012-07-30,849.69,827.94,854.08,827.94,-2.63,-22.39,130933,123992642.0,3.07,0.04
2012-07-31,825.37,806.05,830.85,805.97,-2.64,-21.89,109197,113408138.0,3.01,0.04
2012-08-01,809.46,819.23,825.97,808.1,1.64,13.18,114962,118125068.0,2.22,0.04
2012-08-02,818.53,819.47,831.21,815.17,0.03,0.24,121223,112395113.0,1.96,0.04
2012-08-03,819.72,841.13,841.71,818.97,2.64,21.66,220172,207994135.0,2.77,0.07
2012-08-06,841.99,863.3,863.51,836.82,2.64,22.17,219265,219318202.0,3.17,0.07
2012-08-07,863.92,880.83,891.39,863.92,2.03,17.53,323474,356376016.0,3.18,0.11
2012-08-08,885.44,875.88,885.44,864.06,-0.56,-4.95,243262,258737222.0,2.43,0.08
2012-08-09,873.49,887.37,888.1,867.45,1.31,11.49,238532,228504621.0,2.36,0.08
2012-08-10,884.15,884.2,889.55,881.97,-0.36,-3.17,200029,213750959.0,0.85,0.07
2012-08-13,883.8,868.83,884.22,867.36,-1.74,-15.37,173824,179778309.0,1.91,0.06
2012-08-14,877.7,888.99,889.08,860.26,2.32,20.16,279907,257927552.0,3.32,0.09
2012-08-15,885.58,874.46,887.39,873.99,-1.63,-14.53,219145,202533812.0,1.51,0.07
2012-08-16,870.02,863.91,872.32,859.6,-1.21,-10.55,167225,166613151.0,1.45,0.05
2012-08-17,873.34,866.1,879.6,857.36,0.25,2.19,144048,141873346.0,2.57,0.05
2012-08-24,863.57,855.38,867.36,853.0,-1.24,-10.72,73502,82657352.0,1.66,0.02
2012-08-27,850.22,835.07,850.22,833.93,-2.37,-20.31,64249,78775516.0,1.9,0.02
2012-08-28,837.59,847.99,851.27,832.93,1.55,12.92,48161,63249297.0,2.2,0.02
2012-08-29,849.1,854.58,858.73,843.52,0.78,6.59,54481,77808966.0,1.79,0.02
2012-08-30,847.8,835.24,857.97,826.1,-2.26,-19.34,54232,49079799.0,3.73,0.02
2012-08-31,838.16,838.19,841.11,831.33,0.35,2.95,27002,21463535.0,1.17,0.01
2012-09-03,838.19,856.23,856.45,837.16,2.15,18.04,41069,32187795.0,2.3,0.01
2012-09-04,855.89,850.12,859.84,846.65,-0.71,-6.11,47103,41605325.0,1.54,0.02
2012-09-05,846.38,845.1,846.38,828.62,-0.59,-5.02,96990,150058628.0,2.09,0.03
2012-09-06,841.4,845.85,853.64,836.61,0.09,0.75,84243,102242006.0,2.02,0.03
2012-09-07,850.36,870.98,878.89,850.36,2.97,25.13,200283,238832538.0,3.37,0.07
2012-09-10,867.3,876.41,884.21,866.1,0.62,5.43,117413,145760526.0,2.08,0.04
2012-09-11,873.98,873.43,879.08,868.92,-0.34,-2.98,105338,130937216.0,1.16,0.03
2012-09-12,877.47,884.24,885.65,874.47,1.24,10.81,116288,135539443.0,1.28,0.04
2012-09-13,884.83,869.2,886.25,868.18,-1.7,-15.04,98950,123606867.0,2.04,0.03
2012-09-14,874.26,863.97,877.41,856.03,-0.6,-5.23,93488,119279183.0,2.46,0.03
2012-09-17,864.0,835.92,864.2,835.16,-3.25,-28.05,85911,103190851.0,3.36,0.03
2012-09-18,834.16,829.72,837.07,824.4,-0.74,-6.2,49836,57665939.0,1.52,0.02
2012-09-19,834.51,836.73,840.59,827.07,0.84,7.01,51755,60401186.0,1.63,0.02
2012-09-20,838.82,824.99,838.82,813.48,-1.4,-11.74,126952,118471587.0,3.03,0.04
2012-09-21,826.05,839.3,843.34,825.37,1.73,14.31,203451,170863261.0,2.18,0.07
2012-09-24,831.21,845.68,847.21,816.44,0.76,6.38,167805,150956278.0,3.67,0.05
2012-09-25,835.55,837.86,847.96,834.39,-0.92,-7.82,100862,85985545.0,1.6,0.03
2012-09-26,839.3,819.68,842.34,817.16,-2.17,-18.18,76676,66466117.0,3.01,0.03
