日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-06-19,999.68,1010.16,1010.8,998.38,1.02,10.16,8488913,13803428898.0,1.24,2.48
2023-06-20,1032.02,1017.9,1043.81,1017.9,0.77,7.74,12127543,18482436748.0,2.56,3.55
2023-06-21,1013.92,994.14,1027.49,994.14,-2.33,-23.76,11194597,15631632648.0,3.28,3.28
2023-06-26,983.42,968.36,998.68,966.98,-2.59,-25.78,8969073,11826669400.0,3.19,2.62
2023-06-27,969.46,984.95,989.29,969.46,1.71,16.59,8474074,9813744931.0,2.05,2.48
2023-06-28,983.63,982.64,986.79,954.07,-0.23,-2.31,9763909,10982291098.0,3.32,2.86
2023-06-29,977.59,999.32,1005.56,977.22,1.7,16.68,9880237,11071048232.0,2.88,2.89
2023-06-30,996.17,1017.62,1018.94,996.17,1.83,18.3,10220291,14305186874.0,2.28,2.99
2023-07-03,1021.16,1023.14,1031.02,1013.03,0.54,5.52,10151965,14792234442.0,1.77,2.97
2023-07-04,1022.6,1036.31,1040.46,1016.01,1.29,13.17,9708014,13596446308.0,2.39,2.84
2023-07-05,1033.01,1020.74,1037.02,1018.58,-1.5,-15.57,8524275,13967524892.0,1.78,2.49
2023-07-06,1020.79,1023.04,1031.19,1014.71,0.23,2.3,7673289,13816833795.0,1.61,2.25
2023-07-07,1019.08,1001.97,1019.25,1001.15,-2.06,-21.07,6791078,11010431627.0,1.77,1.99
2023-07-10,1005.41,1001.26,1013.86,998.65,-0.07,-0.71,5350387,8454285078.0,1.52,1.57
2023-07-11,1001.94,1024.99,1024.99,997.3,2.37,23.73,6773294,12802232896.0,2.77,1.98
2023-07-12,1030.5,1025.39,1043.31,1024.0,0.04,0.4,10387449,17501913900.0,1.88,3.04
2023-07-13,1025.55,1030.12,1030.89,1021.38,0.46,4.73,8744791,13676267882.0,0.93,2.56
2023-07-14,1026.79,1013.9,1027.41,1012.97,-1.57,-16.22,7064773,11798439410.0,1.4,2.07
2023-07-17,1008.9,1022.66,1027.6,1003.11,0.86,8.76,8413408,13496728166.0,2.42,2.46
2023-07-18,1026.3,1015.29,1026.3,1010.9,-0.72,-7.37,7476554,10941584756.0,1.51,2.19
2023-07-19,1011.92,1001.8,1016.64,996.49,-1.33,-13.49,6229947,9457209605.0,1.98,1.82
2023-07-20,1003.11,978.38,1005.18,977.32,-2.34,-23.42,6844373,11163791544.0,2.78,2.0
2023-07-21,970.5,957.54,976.31,955.45,-2.13,-20.84,6072703,9035524763.0,2.13,1.78
2023-07-24,954.37,955.92,964.0,948.63,-0.17,-1.62,3868023,6381019330.0,1.61,1.13
2023-07-25,963.44,967.9,968.12,957.69,1.25,11.98,4551604,7403250788.0,1.09,1.33
2023-07-26,965.68,947.04,965.74,945.13,-2.16,-20.86,4575352,7179549381.0,2.13,1.34
2023-07-27,952.68,946.32,965.51,945.57,-0.08,-0.72,4026596,6474625782.0,2.11,1.18
2023-07-28,942.72,946.35,948.71,930.64,0.0,0.03,4598265,6681241050.0,1.91,1.35
2023-07-31,947.09,956.74,959.43,944.93,1.1,10.39,4562532,6732163002.0,1.53,1.33
2023-08-01,954.26,951.7,954.26,944.75,-0.53,-5.04,4484685,6815458536.0,0.99,1.31
2023-08-02,952.07,949.91,952.92,946.4,-0.19,-1.79,4106777,5741115594.0,0.69,1.2
2023-08-03,946.2,950.1,952.74,943.09,0.02,0.19,4545136,5777857714.0,1.02,1.33
2023-08-04,951.03,960.42,961.53,950.78,1.09,10.32,5001785,7553249804.0,1.13,1.46
2023-08-07,959.44,958.18,962.85,954.67,-0.23,-2.24,4196153,7008632938.0,0.85,1.23
2023-08-08,957.69,949.47,961.6,947.38,-0.91,-8.71,4142704,6565657172.0,1.48,1.21
2023-08-09,946.16,932.67,946.16,931.73,-1.77,-16.8,4170747,7418977039.0,1.52,1.22
2023-08-10,931.59,937.92,941.46,931.59,0.56,5.25,2832315,4410268141.0,1.06,0.83
2023-08-11,939.37,918.64,939.59,918.64,-2.06,-19.28,3276498,4499799764.0,2.23,0.96
2023-08-14,912.95,925.67,925.74,910.55,0.77,7.03,3544095,4620441273.0,1.65,1.04
2023-08-15,925.23,915.02,929.9,908.59,-1.15,-10.65,3228633,4774105802.0,2.3,0.94
2023-08-16,912.97,897.64,912.97,897.64,-1.9,-17.38,3200058,4092301550.0,1.68,0.94
2023-08-17,903.07,920.78,921.98,902.59,2.58,23.14,3961460,5212857766.0,2.16,1.16
2023-08-18,922.1,909.36,931.71,909.36,-1.24,-11.42,3885000,5242131464.0,2.43,1.14
2023-08-21,903.35,894.52,912.76,894.46,-1.63,-14.84,3519111,5151007020.0,2.01,1.03
2023-08-22,897.21,899.32,903.08,879.12,0.54,4.8,3698531,5049126562.0,2.68,1.08
2023-08-23,896.07,876.57,896.07,876.5,-2.53,-22.75,3101973,4039639111.0,2.18,0.91
2023-08-24,878.02,875.28,886.96,868.18,-0.15,-1.29,3031838,4158924063.0,2.14,0.89
2023-08-25,871.79,853.75,871.79,850.34,-2.46,-21.53,3640267,5049854560.0,2.45,1.07
2023-08-28,904.31,864.23,904.31,863.21,1.23,10.48,4581952,6235046958.0,4.81,1.34
2023-08-29,863.27,902.14,902.8,862.59,4.39,37.91,5066993,6955388968.0,4.65,1.48
2023-08-30,903.36,913.27,921.54,903.11,1.23,11.13,4621506,6402089126.0,2.04,1.35
2023-08-31,911.3,907.16,911.3,903.35,-0.67,-6.11,3356541,4592790742.0,0.87,0.98
2023-09-01,907.4,908.33,913.99,902.08,0.13,1.17,3141613,4011551118.0,1.31,0.92
2023-09-04,912.05,921.34,921.34,905.96,1.43,13.01,3556653,4615082629.0,1.69,1.04
2023-09-05,920.69,921.23,926.17,917.84,-0.01,-0.11,3296579,4198195398.0,0.9,0.96
2023-09-06,918.16,928.63,929.19,913.95,0.8,7.4,3198087,3969016124.0,1.65,0.94
2023-09-07,926.98,908.75,926.98,908.75,-2.14,-19.88,3231837,4038254074.0,1.96,0.95
2023-09-08,906.2,913.58,917.3,904.59,0.53,4.83,2847106,3316016634.0,1.4,0.83
2023-09-11,915.57,921.69,925.02,907.56,0.89,8.11,3817380,5792173516.0,1.91,1.12
2023-09-12,922.73,920.89,924.21,916.73,-0.09,-0.8,3681665,6846541851.0,0.81,1.08
2023-09-13,919.89,901.64,919.89,894.39,-2.09,-19.25,3371238,5158705146.0,2.77,0.99
2023-09-14,901.07,886.72,901.74,882.49,-1.65,-14.92,2894869,4501855755.0,2.13,0.85
2023-09-15,889.35,881.39,891.3,878.62,-0.6,-5.33,2519525,3733343209.0,1.43,0.74
2023-09-18,878.87,892.82,901.83,874.13,1.3,11.43,2893825,4059701099.0,3.14,0.85
2023-09-19,890.94,876.31,891.01,875.09,-1.85,-16.51,2674195,3673967905.0,1.78,0.78
2023-09-20,873.94,866.83,880.57,866.76,-1.08,-9.48,2022833,2911870508.0,1.58,0.59
2023-09-21,865.75,862.59,871.24,860.36,-0.49,-4.24,1936195,2616921143.0,1.26,0.57
2023-09-22,861.27,887.85,887.99,861.27,2.93,25.26,3362868,5828155741.0,3.1,0.98
2023-09-25,888.85,883.69,894.94,879.43,-0.47,-4.16,3487461,6470341748.0,1.75,1.02
2023-09-26,881.07,884.0,889.88,880.28,0.04,0.31,3555700,5049791235.0,1.09,1.04
2023-09-27,881.34,893.07,898.21,879.02,1.03,9.07,3939937,5054260492.0,2.17,1.15
2023-09-28,896.17,907.44,909.43,896.17,1.61,14.37,3814806,5190776479.0,1.48,1.12
2023-10-09,931.0,940.93,942.91,928.38,3.69,33.49,7537763,9122014238.0,1.6,2.21
2023-10-10,947.29,954.44,956.87,945.95,1.44,13.51,7692941,9710285602.0,1.16,2.25
2023-10-11,952.58,951.91,959.32,942.35,-0.27,-2.53,7351474,10184520559.0,1.78,2.15
2023-10-12,951.72,962.65,964.85,946.89,1.13,10.74,6056191,8949200436.0,1.89,1.77
2023-10-13,958.82,964.06,964.68,957.18,0.15,1.41,5630110,8417882999.0,0.78,1.65
2023-10-16,962.04,948.69,962.43,943.69,-1.59,-15.37,6511551,8367259770.0,1.94,1.91
2023-10-17,948.95,938.22,949.2,933.77,-1.1,-10.47,5297201,6773094904.0,1.63,1.55
2023-10-18,933.88,919.61,934.01,918.58,-1.98,-18.61,4955690,6586369590.0,1.64,1.45
2023-10-19,913.21,904.17,923.74,903.7,-1.68,-15.44,4544662,5942952681.0,2.18,1.33
2023-10-20,900.01,902.28,918.62,899.12,-0.21,-1.89,4685402,6210274803.0,2.16,1.37
2023-10-23,897.53,878.46,897.53,873.36,-2.64,-23.82,5779995,6674490351.0,2.68,1.69
2023-10-24,880.06,888.93,890.59,871.64,1.19,10.47,5073180,6329976471.0,2.16,1.48
2023-10-25,890.22,894.66,903.54,889.4,0.64,5.73,5009957,6343998699.0,1.59,1.47
2023-10-26,888.47,905.9,906.38,877.68,1.26,11.24,5695145,7829807867.0,3.21,1.67
2023-10-27,901.64,917.63,921.67,895.41,1.29,11.73,5914877,7987209778.0,2.9,1.73
2023-10-30,913.16,929.34,930.65,912.15,1.28,11.71,6080124,7734020287.0,2.02,1.78
2023-10-31,928.76,924.48,931.54,916.86,-0.52,-4.86,6038301,7562946176.0,1.58,1.77
2023-11-01,923.38,925.17,931.67,919.07,0.07,0.69,5372058,6270486266.0,1.36,1.57
2023-11-02,924.27,908.61,929.79,908.57,-1.79,-16.56,4660447,5682771582.0,2.29,1.36
2023-11-03,912.62,928.17,930.86,912.62,2.15,19.56,5388470,6694185429.0,2.01,1.58
2023-11-06,932.15,952.77,952.77,932.15,2.65,24.6,7059630,9032920588.0,2.22,2.07
2023-11-07,952.11,960.62,963.39,949.36,0.82,7.85,6833913,9068794538.0,1.47,2.0
2023-11-08,959.91,959.21,964.17,952.08,-0.15,-1.41,6765166,8593604507.0,1.26,1.98
2023-11-09,959.17,952.1,962.31,948.92,-0.74,-7.11,5837530,7259357076.0,1.4,1.71
