日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-11-22,992.48,996.52,1025.61,991.95,-0.35,-3.48,5242680,10721062776.0,3.37,4.31
2023-11-23,986.23,968.22,988.38,962.75,-2.84,-28.3,4479498,8055628217.0,2.57,3.68
2023-11-24,964.62,936.44,964.94,934.26,-3.28,-31.78,4444896,8018429991.0,3.17,3.65
2023-11-27,927.52,953.52,962.65,924.56,1.82,17.08,4370712,8093057550.0,4.07,3.59
2023-11-28,949.3,968.2,981.03,949.3,1.54,14.68,4448397,8393790158.0,3.33,3.65
2023-11-29,959.73,958.01,980.64,955.93,-1.05,-10.19,4256757,7740652856.0,2.55,3.5
2023-11-30,955.87,931.74,957.85,917.65,-2.74,-26.27,3816256,6661120981.0,4.2,3.13
2023-12-01,927.31,944.71,945.59,918.59,1.39,12.97,2970561,5494303728.0,2.9,2.44
2023-12-04,941.22,943.15,960.02,936.58,-0.17,-1.56,3228629,5872545162.0,2.48,2.65
2023-12-05,937.59,906.87,937.67,906.87,-3.85,-36.28,2633130,4821686603.0,3.27,2.16
2023-12-06,902.16,908.78,916.77,902.16,0.21,1.91,2195482,3735418894.0,1.61,1.8
2023-12-07,907.28,904.24,915.95,903.33,-0.5,-4.54,2637190,4494088937.0,1.39,2.17
2023-12-08,908.51,934.06,937.5,908.51,3.3,29.82,3251507,6405557737.0,3.21,2.67
2023-12-11,921.92,931.49,934.28,913.78,-0.28,-2.57,2563705,4784633568.0,2.19,2.11
2023-12-12,931.04,933.83,948.82,928.87,0.25,2.34,2667866,5129053986.0,2.14,2.19
2023-12-13,927.42,911.04,930.66,911.04,-2.44,-22.79,2105366,3761077911.0,2.1,1.73
2023-12-14,916.06,897.21,920.43,896.54,-1.52,-13.83,2110664,3552702821.0,2.62,1.73
2023-12-15,898.26,888.04,901.91,885.7,-1.02,-9.17,1462628,2711546190.0,1.81,1.2
2023-12-18,882.39,870.61,884.32,868.86,-1.96,-17.43,1252835,2311778766.0,1.74,1.03
2023-12-19,869.71,877.86,885.26,869.71,0.83,7.25,994011,1951929416.0,1.79,0.82
2023-12-20,877.76,856.89,880.72,856.18,-2.39,-20.97,1161461,2311147295.0,2.8,0.95
2023-12-21,851.89,865.07,872.75,846.16,0.95,8.18,1444981,2661905560.0,3.1,1.19
2023-12-22,877.72,852.61,880.35,847.59,-1.44,-12.46,1574091,2982467266.0,3.79,1.29
2023-12-25,845.21,844.24,858.27,839.22,-0.98,-8.37,947124,1840005746.0,2.23,0.78
2023-12-26,843.17,820.85,843.63,815.03,-2.77,-23.39,1337851,2444097064.0,3.39,1.1
2023-12-27,825.2,848.49,855.92,821.05,3.37,27.64,1737360,3237836178.0,4.25,1.43
2023-12-28,853.18,863.26,868.86,843.14,1.74,14.77,1819151,3440073823.0,3.03,1.49
2023-12-29,859.97,878.53,880.49,858.65,1.77,15.27,1624678,3238209755.0,2.53,1.33
2024-01-02,874.72,860.16,875.78,859.03,-2.09,-18.37,1178395,2330149552.0,1.91,0.97
2024-01-03,856.67,841.12,858.08,831.69,-2.21,-19.04,1301177,2527929363.0,3.07,1.07
2024-01-04,840.37,828.0,840.68,823.84,-1.56,-13.12,928225,1972477797.0,2.0,0.76
2024-01-05,826.79,803.03,831.95,798.23,-3.02,-24.97,1269120,2321769997.0,4.07,1.04
2024-01-08,801.84,777.95,802.69,777.36,-3.12,-25.08,1150500,2081676376.0,3.15,0.94
2024-01-09,784.08,781.11,792.33,774.43,0.41,3.16,1060305,1925881296.0,2.3,0.87
2024-01-10,778.08,774.2,785.13,763.9,-0.88,-6.91,909457,1728384734.0,2.72,0.75
2024-01-11,773.18,791.8,796.14,771.18,2.27,17.6,895514,1768535629.0,3.22,0.74
2024-01-12,788.06,776.87,792.11,776.63,-1.89,-14.93,719082,1363458972.0,1.96,0.59
2024-01-15,774.03,777.38,787.35,766.79,0.07,0.51,789534,1600572122.0,2.65,0.65
2024-01-16,775.86,771.15,778.92,758.43,-0.8,-6.23,815206,1622760538.0,2.64,0.67
2024-01-17,769.72,745.91,772.63,745.64,-3.27,-25.24,775979,1539220683.0,3.5,0.64
2024-01-18,741.9,750.07,750.07,723.81,0.56,4.16,1112780,2088073391.0,3.52,0.91
2024-01-19,753.87,741.03,768.78,741.03,-1.21,-9.04,986159,2063892024.0,3.7,0.81
2024-01-22,741.79,695.02,748.02,689.72,-6.21,-46.01,1208575,2364156631.0,7.87,0.99
2024-01-23,695.43,704.32,709.88,684.66,1.34,9.3,1090767,1996944809.0,3.63,0.9
2024-01-24,707.69,699.83,712.17,672.44,-0.64,-4.49,1080932,1948066117.0,5.64,0.89
2024-01-25,701.78,730.24,730.82,695.27,4.35,30.41,1259182,2447821341.0,5.08,1.03
2024-01-26,725.51,711.9,729.26,709.55,-2.51,-18.34,1427097,2524360308.0,2.7,1.17
2024-01-29,715.66,683.03,723.68,683.02,-4.06,-28.87,1374561,2216302413.0,5.71,1.13
2024-01-30,672.25,643.2,678.19,641.96,-5.83,-39.83,1172176,2022581300.0,5.3,0.96
2024-01-31,641.88,610.36,648.95,610.29,-5.11,-32.84,1358162,2072678995.0,6.01,1.12
2024-02-01,608.65,611.15,627.66,597.44,0.13,0.79,1189134,1856805724.0,4.95,0.98
2024-02-02,613.86,576.72,621.63,555.42,-5.63,-34.43,1631367,2334646951.0,10.83,1.34
2024-02-05,569.65,514.99,572.33,507.37,-10.7,-61.73,2002795,2664434147.0,11.26,1.64
2024-02-06,503.56,548.21,556.95,487.18,6.45,33.22,2121333,2706244671.0,13.55,1.74
2024-02-07,552.65,560.58,586.01,546.62,2.26,12.37,2566944,3642064757.0,7.19,2.11
