日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-07-15,998.57,990.78,1000.91,988.82,-0.92,-9.22,1734275,2960264064.0,1.21,0.17
2016-07-18,989.18,1003.84,1007.39,988.24,1.32,13.06,2414207,3667498512.0,1.93,0.24
2016-07-19,1003.1,1005.74,1006.7,991.5,0.19,1.9,2575465,3697321040.0,1.51,0.25
2016-07-20,1002.31,1000.42,1007.25,997.59,-0.53,-5.32,2001861,3287797424.0,0.96,0.2
2016-07-21,1000.08,996.87,1005.49,995.63,-0.35,-3.55,1773094,2851189936.0,0.99,0.17
2016-07-22,998.96,985.55,1000.01,985.25,-1.14,-11.32,1655685,2640011792.0,1.48,0.16
2016-07-25,984.76,990.83,994.51,981.01,0.54,5.28,2047366,3080574960.0,1.37,0.2
2016-07-26,991.58,1002.25,1002.4,991.13,1.15,11.42,1812064,2857021360.0,1.14,0.18
2016-07-27,1001.83,953.34,1005.26,945.04,-4.88,-48.91,2954233,4489223168.0,6.01,0.29
2016-07-28,953.22,956.01,965.65,940.95,0.28,2.67,2106143,3864068048.0,2.59,0.21
2016-07-29,954.17,950.91,958.94,946.3,-0.53,-5.1,1544681,3060869584.0,1.32,0.15
2016-08-01,947.69,934.03,948.04,922.09,-1.78,-16.88,1974539,3531688256.0,2.73,0.19
2016-08-02,933.01,943.71,943.87,933.01,1.04,9.68,1635428,3032047680.0,1.16,0.16
2016-08-03,941.51,949.71,950.99,940.19,0.64,6.0,1518220,3036199296.0,1.14,0.15
2016-08-04,947.48,958.12,958.46,943.9,0.89,8.41,1769411,3096289424.0,1.53,0.17
2016-08-05,957.24,954.49,961.73,953.15,-0.38,-3.63,1709371,2883848400.0,0.9,0.17
2016-08-08,953.59,963.89,964.05,944.57,0.98,9.4,1425520,2348526672.0,2.04,0.14
2016-08-09,964.91,970.31,970.68,961.63,0.67,6.42,1895038,3256021712.0,0.94,0.19
2016-08-10,970.92,964.74,974.67,964.68,-0.57,-5.57,1705197,3288284304.0,1.03,0.17
2016-08-11,962.74,953.8,965.58,953.69,-1.13,-10.94,1793326,3232493872.0,1.23,0.18
2016-08-12,953.56,963.98,963.98,952.05,1.07,10.18,1476592,2809475632.0,1.25,0.15
2016-08-15,966.42,984.07,985.85,962.32,2.08,20.09,2372138,4201349840.0,2.44,0.23
2016-08-16,985.05,990.43,991.13,982.73,0.65,6.36,2174611,3826859056.0,0.85,0.21
2016-08-17,990.19,993.41,996.1,987.14,0.3,2.98,2153175,3814284672.0,0.9,0.21
2016-08-18,1000.28,999.24,1008.1,995.92,0.59,5.83,2430295,4432785152.0,1.23,0.24
2016-08-19,1000.72,1004.87,1005.85,996.63,0.56,5.63,1815572,3413102192.0,0.92,0.18
2016-08-22,1007.61,1002.34,1011.9,1001.98,-0.25,-2.53,1997035,3309861968.0,0.99,0.2
2016-08-23,1006.18,1006.76,1009.8,1000.54,0.44,4.42,2072987,3452903632.0,0.92,0.2
2016-08-24,1008.18,1006.09,1012.04,1003.19,-0.07,-0.67,2061608,3353665216.0,0.88,0.2
2016-08-25,1002.28,1003.47,1004.7,990.3,-0.26,-2.62,2137397,3686430928.0,1.43,0.21
2016-08-26,1005.85,1009.93,1015.61,1005.85,0.64,6.46,2173303,3512673568.0,0.97,0.21
