日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-04-29,1082.11,1100.07,1100.07,1054.08,10.01,100.07,234731,1423326880.0,4.6,3.53
2016-05-03,1077.97,1043.66,1077.97,1009.16,-5.13,-56.41,166175,959515936.0,6.26,2.5
2016-05-04,1027.67,1033.78,1049.59,1019.04,-0.95,-9.88,108833,625196912.0,2.93,1.64
2016-05-05,1024.08,1005.39,1024.08,995.33,-2.75,-28.39,110148,616067104.0,2.78,1.66
2016-05-06,1007.19,953.47,1019.94,952.57,-5.16,-51.92,103967,572237472.0,6.7,1.56
2016-05-09,936.04,875.49,936.04,862.56,-8.18,-77.98,86311,429605632.0,7.71,1.3
2016-05-10,865.97,904.96,934.06,865.97,3.37,29.47,94051,475453824.0,7.78,1.42
2016-05-11,914.12,869.21,914.12,869.21,-3.95,-35.75,69601,343157936.0,4.96,1.05
2016-05-12,844.59,858.79,858.79,826.81,-1.2,-10.42,59943,281727136.0,3.68,0.9
2016-05-13,855.19,865.43,886.63,855.19,0.77,6.64,65700,317464608.0,3.66,0.99
2016-05-16,861.12,873.16,874.24,855.19,0.89,7.73,48248,232668331.0,2.2,0.73
2016-05-17,872.8,864.71,890.77,863.82,-0.97,-8.45,54865,267257136.0,3.09,0.83
2016-05-18,851.78,807.58,851.78,790.87,-6.61,-57.13,67531,308310576.0,7.04,1.02
2016-05-19,810.82,802.37,820.7,799.5,-0.65,-5.21,46676,210822391.0,2.63,0.7
2016-05-20,790.51,819.26,822.85,785.12,2.11,16.89,53335,239112875.0,4.7,0.8
2016-05-23,818.72,842.26,856.81,818.72,2.81,23.0,71776,335472576.0,4.65,1.08
2016-05-24,835.97,816.75,835.97,809.02,-3.03,-25.51,45885,209387137.0,3.2,0.69
2016-05-25,825.55,846.03,847.29,820.34,3.58,29.28,61871,286061296.0,3.3,0.93
2016-05-26,840.82,860.22,862.2,816.75,1.68,14.19,68657,320894368.0,5.37,1.03
2016-05-27,852.32,853.04,879.81,849.62,-0.83,-7.18,73504,353970176.0,3.51,1.11
2016-05-30,839.02,843.87,860.22,825.01,-1.07,-9.17,49829,234290781.0,4.13,0.75
2016-05-31,847.11,900.65,903.7,847.11,6.73,56.78,93310,459125792.0,6.71,1.4
2016-06-01,901.9,906.76,940.53,894.72,0.68,6.11,97609,498110544.0,5.09,1.47
2016-06-02,898.85,965.51,981.14,897.23,6.48,58.75,112141,581969936.0,9.25,1.69
