日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-03-02,1000.34,990.37,1008.59,980.98,-0.96,-9.63,4875913,7562321175.0,2.76,0.8
2021-03-03,989.82,998.71,1004.57,979.62,0.84,8.34,4765741,6262931953.0,2.52,0.78
2021-03-04,995.5,989.7,1006.03,981.38,-0.9,-9.01,4844573,7057288431.0,2.47,0.79
2021-03-05,987.34,1002.46,1009.92,979.96,1.29,12.76,4479025,6354293840.0,3.03,0.73
2021-03-08,1006.28,991.85,1022.01,986.96,-1.06,-10.61,5662884,8410435860.0,3.5,0.92
2021-03-09,989.69,971.61,999.94,953.57,-2.04,-20.24,5310593,8157962570.0,4.68,0.87
2021-03-10,978.24,963.56,988.42,956.49,-0.83,-8.05,5009234,6873852632.0,3.29,0.82
2021-03-11,964.38,974.46,980.18,954.59,1.13,10.9,4493524,6279278555.0,2.66,0.73
2021-03-12,974.15,975.2,984.6,960.19,0.08,0.74,4048598,5123504314.0,2.5,0.66
2021-03-15,973.47,974.77,987.75,960.63,-0.04,-0.43,4069756,5635285142.0,2.78,0.66
2021-03-16,975.63,992.21,998.41,970.93,1.79,17.44,4346866,5098089652.0,2.82,0.71
2021-03-17,992.96,998.03,1007.35,983.05,0.59,5.82,3906056,5113072822.0,2.45,0.64
2021-03-18,998.29,1004.27,1017.52,990.02,0.63,6.24,4685976,5975497152.0,2.76,0.76
2021-03-19,1001.36,1010.75,1027.07,990.75,0.65,6.48,6459443,7972403646.0,3.62,1.05
2021-03-22,1010.47,1018.33,1029.36,999.65,0.75,7.58,5920466,7586141590.0,2.94,0.97
2021-03-23,1016.69,1006.16,1026.72,997.19,-1.2,-12.17,5164626,6201346868.0,2.9,0.84
2021-03-24,1003.03,1000.29,1016.32,990.01,-0.58,-5.87,4287798,5360306943.0,2.61,0.7
2021-03-25,997.55,1000.09,1013.78,984.6,-0.02,-0.2,4036926,5599176175.0,2.92,0.66
2021-03-26,1002.07,1013.31,1021.25,994.17,1.32,13.22,5173406,7680513684.0,2.71,0.84
2021-03-29,1013.44,1019.22,1032.9,1002.64,0.58,5.91,5532896,9517895763.0,2.99,0.9
2021-03-30,1022.23,1018.79,1038.92,1005.35,-0.04,-0.43,5563008,9760380562.0,3.29,0.91
2021-03-31,1014.35,1018.97,1032.33,1002.19,0.02,0.18,4753709,7202842515.0,2.96,0.78
2021-04-01,1019.22,1016.87,1030.12,1004.16,-0.21,-2.1,4156501,6446378266.0,2.55,0.68
2021-04-02,1017.63,1015.45,1028.37,1005.67,-0.14,-1.42,3980759,6900530529.0,2.23,0.65
2021-04-06,1015.83,1020.9,1030.03,1005.58,0.54,5.45,3815197,6064668871.0,2.41,0.62
2021-04-07,1019.8,1025.35,1033.8,1009.01,0.44,4.45,4073270,7639443902.0,2.43,0.66
2021-04-08,1024.41,1023.48,1037.34,1012.07,-0.18,-1.87,4074496,6989486738.0,2.46,0.66
2021-04-09,1024.54,1032.41,1043.33,1012.02,0.87,8.93,4545165,6936602254.0,3.06,0.74
2021-04-12,1033.87,1026.73,1047.55,1015.92,-0.55,-5.68,5105254,8279618924.0,3.06,0.83
2021-04-13,1022.19,1018.07,1038.02,1008.02,-0.84,-8.66,4832131,6694341526.0,2.92,0.79
2021-04-14,1015.79,1030.27,1039.71,1005.95,1.2,12.2,4953211,6484117351.0,3.32,0.81
2021-04-15,1033.3,1036.26,1052.28,1015.74,0.58,5.99,5981929,7136030014.0,3.55,0.98
2021-04-16,1035.24,1049.49,1060.21,1026.54,1.28,13.23,6479774,7213880695.0,3.25,1.06
2021-04-19,1047.98,1052.71,1064.74,1037.64,0.31,3.22,6401776,8542596537.0,2.58,1.04
2021-04-20,1051.31,1051.01,1068.03,1040.37,-0.16,-1.7,5687001,7482061848.0,2.63,0.93
2021-04-21,1048.58,1077.0,1089.63,1040.96,2.47,25.99,8339650,10193118368.0,4.63,1.36
2021-04-22,1080.96,1078.22,1096.88,1062.87,0.11,1.22,8214244,9307905443.0,3.16,1.34
2021-04-23,1076.95,1068.25,1089.1,1057.02,-0.92,-9.97,6171222,8732239270.0,2.98,1.01
2021-04-26,1071.23,1070.71,1100.54,1058.52,0.23,2.46,8641755,11778383284.0,3.93,1.41
2021-04-27,1065.25,1082.54,1092.84,1046.06,1.1,11.83,8205967,9502005221.0,4.37,1.34
2021-04-28,1080.1,1088.51,1105.4,1064.27,0.55,5.97,8493927,11883018092.0,3.8,1.39
2021-04-29,1083.88,1082.79,1109.85,1066.7,-0.53,-5.72,10301041,12547088051.0,3.96,1.68
2021-04-30,1075.71,1096.94,1109.14,1065.15,1.31,14.15,12304946,14989387467.0,4.06,2.01
2021-05-06,1097.27,1088.95,1118.69,1072.86,-0.73,-7.99,11071231,12686855331.0,4.18,1.81
2021-05-07,1088.79,1065.88,1100.84,1056.33,-2.12,-23.07,9530146,11067465887.0,4.09,1.56
2021-05-10,1066.21,1070.24,1087.57,1051.11,0.41,4.36,7318050,9289430184.0,3.42,1.19
2021-05-11,1067.94,1081.28,1090.49,1052.13,1.03,11.04,7794793,9321494254.0,3.58,1.27
2021-05-12,1078.86,1099.2,1107.01,1066.71,1.66,17.92,8047602,9753527663.0,3.73,1.31
2021-05-13,1097.07,1150.0,1177.89,1086.57,4.62,50.8,18054179,21412255456.0,8.31,2.95
2021-05-14,1154.62,1156.09,1187.17,1130.46,0.53,6.09,17956448,23521607347.0,4.93,2.93
2021-05-17,1148.54,1138.02,1172.48,1123.08,-1.56,-18.07,12989744,18362506153.0,4.27,2.12
2021-05-18,1133.09,1162.22,1173.28,1115.37,2.13,24.2,13785551,17042299303.0,5.09,2.25
2021-05-19,1158.46,1151.86,1178.09,1137.41,-0.89,-10.36,11704089,14827864131.0,3.5,1.91
2021-05-20,1149.81,1155.37,1187.81,1134.38,0.3,3.51,12861073,16451097554.0,4.64,2.1
2021-05-21,1152.47,1145.14,1171.42,1130.27,-0.89,-10.23,9895591,13428176423.0,3.56,1.62
2021-05-24,1142.76,1141.64,1158.04,1120.23,-0.31,-3.5,8992351,11654094604.0,3.3,1.47
2021-05-25,1145.08,1163.4,1177.65,1136.53,1.91,21.76,10948181,15778335769.0,3.6,1.79
2021-05-26,1165.06,1187.05,1210.36,1148.24,2.03,23.65,14453025,23737767299.0,5.34,2.36
2021-05-27,1181.93,1183.36,1199.05,1164.96,-0.31,-3.69,11431286,19477618279.0,2.87,1.87
2021-05-28,1186.51,1170.65,1198.52,1157.74,-1.07,-12.71,10722979,15767441585.0,3.45,1.75
2021-05-31,1170.95,1186.77,1197.03,1157.15,1.38,16.12,9440268,14557468554.0,3.41,1.54
2021-06-01,1190.8,1196.41,1216.63,1173.94,0.81,9.64,10397803,15548007438.0,3.6,1.7
2021-06-02,1195.01,1181.36,1210.33,1167.79,-1.26,-15.05,11616160,15377532588.0,3.56,1.9
2021-06-03,1181.04,1182.6,1202.62,1164.74,0.1,1.24,8584712,14199369020.0,3.21,1.4
