日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1015.31,1015.31,1015.31,1015.31,1.53,15.31,1054739,1786091903.0,0.0,0.22
2010-01-05,1012.91,1012.91,1012.91,1012.91,-0.24,-2.4,980317,1717732879.0,0.0,0.21
2010-01-06,989.95,989.95,989.95,989.95,-2.27,-22.96,1030541,1845265911.0,0.0,0.22
2010-01-07,955.23,955.23,955.23,955.23,-3.51,-34.72,1519410,2304399426.0,0.0,0.32
2010-01-08,947.07,947.07,947.07,947.07,-0.85,-8.16,1338542,2254349697.0,0.0,0.28
2010-01-11,947.48,947.48,947.48,947.48,0.04,0.41,1118747,1756348502.0,0.0,0.24
2010-01-12,966.37,966.37,966.37,966.37,1.99,18.89,1186108,1839428768.0,0.0,0.25
2010-01-13,935.69,935.69,935.69,935.69,-3.17,-30.68,828765,1227244742.0,0.0,0.18
2010-01-14,947.91,947.91,947.91,947.91,1.31,12.22,667007,967059906.0,0.0,0.14
2010-01-15,962.69,962.69,962.69,962.69,1.56,14.78,797614,1227883322.0,0.0,0.17
2010-01-18,970.7,970.7,970.7,970.7,0.83,8.01,945451,1284625495.0,0.0,0.2
2010-01-19,964.15,964.15,964.15,964.15,-0.67,-6.55,780895,1100889434.0,0.0,0.17
2010-01-20,937.91,937.91,937.91,937.91,-2.72,-26.24,1086509,1513536002.0,0.0,0.23
2010-01-21,928.63,928.63,928.63,928.63,-0.99,-9.28,693919,936162249.0,0.0,0.15
2010-01-22,915.5,915.5,915.5,915.5,-1.41,-13.13,880415,1212758323.0,0.0,0.19
2010-01-25,900.96,900.96,900.96,900.96,-1.59,-14.54,305660,539011667.0,0.0,0.06
2010-01-26,869.49,869.49,869.49,869.49,-3.49,-31.47,375470,612497868.0,0.0,0.08
2010-01-27,845.92,845.92,845.92,845.92,-2.71,-23.57,526795,664685745.0,0.0,0.11
2010-01-28,854.41,854.41,854.41,854.41,1.0,8.49,480591,590978134.0,0.0,0.1
2010-01-29,853.52,853.52,853.52,853.52,-0.1,-0.89,528190,646079093.0,0.0,0.11
2010-02-01,837.25,837.25,837.25,837.25,-1.91,-16.27,748475,839411669.0,0.0,0.16
2010-02-02,841.65,841.65,841.65,841.65,0.53,4.4,700697,886194656.0,0.0,0.15
2010-02-03,874.89,874.89,874.89,874.89,3.95,33.24,1017718,1071285364.0,0.0,0.22
2010-02-04,884.05,884.05,884.05,884.05,1.05,9.16,1606483,1531159095.0,0.0,0.34
2010-02-05,850.84,850.84,850.84,850.84,-3.76,-33.21,1135954,1077158880.0,0.0,0.24
2010-02-08,859.04,859.04,859.04,859.04,0.96,8.2,643456,577433214.0,0.0,0.14
2010-02-09,851.57,851.57,851.57,851.57,-0.87,-7.47,461680,454570671.0,0.0,0.1
2010-02-10,877.16,877.16,877.16,877.16,3.01,25.59,429788,553432284.0,0.0,0.09
2010-02-11,875.43,875.43,875.43,875.43,-0.2,-1.73,465398,640210282.0,0.0,0.1
2010-02-12,883.34,883.34,883.34,883.34,0.9,7.91,372508,449131951.0,0.0,0.08
2010-02-22,872.87,872.87,872.87,872.87,-1.19,-10.47,407529,465711644.0,0.0,0.09
2010-02-23,886.8,886.8,886.8,886.8,1.6,13.93,619043,737926411.0,0.0,0.13
