日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1001.67,1001.67,1001.67,1001.67,0.17,1.67,295015,364774245.0,0.0,0.19
2010-01-05,1017.63,1017.63,1017.63,1017.63,1.59,15.96,334987,472081295.0,0.0,0.22
2010-01-06,1008.28,1008.28,1008.28,1008.28,-0.92,-9.35,301409,375706738.0,0.0,0.2
2010-01-07,994.53,994.53,994.53,994.53,-1.36,-13.75,541407,917174480.0,0.0,0.36
2010-01-08,992.65,992.65,992.65,992.65,-0.19,-1.88,378849,636908864.0,0.0,0.25
2010-01-11,1002.54,1002.54,1002.54,1002.54,1.0,9.89,533453,1019897962.0,0.0,0.35
2010-01-12,1029.47,1029.47,1029.47,1029.47,2.69,26.93,578746,1124782788.0,0.0,0.38
2010-01-13,1042.74,1042.74,1042.74,1042.74,1.29,13.27,586403,1005880028.0,0.0,0.38
2010-01-14,1066.52,1066.52,1066.52,1066.52,2.28,23.78,643001,993609379.0,0.0,0.42
2010-01-15,1066.27,1066.27,1066.27,1066.27,-0.02,-0.25,488614,635469570.0,0.0,0.32
2010-01-18,1091.22,1091.22,1091.22,1091.22,2.34,24.95,766489,970750014.0,0.0,0.5
2010-01-19,1095.87,1095.87,1095.87,1095.87,0.43,4.65,364029,512350522.0,0.0,0.24
2010-01-20,1048.17,1048.17,1048.17,1048.17,-4.35,-47.7,443782,662850196.0,0.0,0.29
2010-01-21,1064.87,1064.87,1064.87,1064.87,1.59,16.7,791914,884652425.0,0.0,0.52
2010-01-22,1022.35,1022.35,1022.35,1022.35,-3.99,-42.52,563747,699263229.0,0.0,0.37
2010-01-25,999.05,999.05,999.05,999.05,-2.28,-23.3,398172,467722177.0,0.0,0.26
2010-01-26,952.23,952.23,952.23,952.23,-4.69,-46.82,363391,453461334.0,0.0,0.24
2010-01-27,941.22,941.22,941.22,941.22,-1.16,-11.01,274633,348526706.0,0.0,0.18
2010-01-28,955.89,955.89,955.89,955.89,1.56,14.67,233245,303722673.0,0.0,0.15
