日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.06,998.06,998.06,998.06,-0.19,-1.94,509231,531704135.0,0.0,0.32
2010-01-05,996.69,996.69,996.69,996.69,-0.14,-1.37,540891,570568251.0,0.0,0.34
2010-01-06,989.86,989.86,989.86,989.86,-0.69,-6.83,498601,534537555.0,0.0,0.31
2010-01-07,979.31,979.31,979.31,979.31,-1.07,-10.55,550629,573328017.0,0.0,0.35
2010-01-08,985.93,985.93,985.93,985.93,0.68,6.62,421643,448604360.0,0.0,0.27
2010-01-11,980.19,980.19,980.19,980.19,-0.58,-5.74,583173,614847526.0,0.0,0.37
2010-01-12,993.42,993.42,993.42,993.42,1.35,13.23,767749,767716096.0,0.0,0.48
2010-01-13,981.47,981.47,981.47,981.47,-1.2,-11.95,654726,659554646.0,0.0,0.41
2010-01-14,995.73,995.73,995.73,995.73,1.45,14.26,568474,592918985.0,0.0,0.36
2010-01-15,1012.85,1012.85,1012.85,1012.85,1.72,17.12,788630,852488748.0,0.0,0.5
2010-01-18,1031.67,1031.67,1031.67,1031.67,1.86,18.82,800429,880110062.0,0.0,0.5
2010-01-19,1054.78,1054.78,1054.78,1054.78,2.24,23.11,817340,888332387.0,0.0,0.52
2010-01-20,1057.36,1057.36,1057.36,1057.36,0.24,2.58,1291893,1264547077.0,0.0,0.82
2010-01-21,1066.58,1066.58,1066.58,1066.58,0.87,9.22,831430,901488856.0,0.0,0.52
2010-01-22,1040.21,1040.21,1040.21,1040.21,-2.47,-26.37,902867,982187372.0,0.0,0.57
2010-01-25,1012.74,1012.74,1012.74,1012.74,-2.64,-27.47,464454,494122013.0,0.0,0.29
2010-01-26,971.99,971.99,971.99,971.99,-4.02,-40.75,544483,552028392.0,0.0,0.34
2010-01-27,956.48,956.48,956.48,956.48,-1.6,-15.51,399451,388049724.0,0.0,0.25
2010-01-28,959.71,959.71,959.71,959.71,0.34,3.23,348837,336262024.0,0.0,0.22
2010-01-29,953.09,953.09,953.09,953.09,-0.69,-6.62,390197,380534897.0,0.0,0.25
2010-02-01,952.99,952.99,952.99,952.99,-0.01,-0.1,382067,358948026.0,0.0,0.24
2010-02-02,948.88,948.88,948.88,948.88,-0.43,-4.11,327567,302186319.0,0.0,0.21
2010-02-03,958.4,958.4,958.4,958.4,1.0,9.52,392437,384823644.0,0.0,0.25
2010-02-04,962.69,962.69,962.69,962.69,0.45,4.29,355224,364070958.0,0.0,0.22
2010-02-05,947.15,947.15,947.15,947.15,-1.61,-15.54,658046,575914538.0,0.0,0.42
2010-02-08,943.83,943.83,943.83,943.83,-0.35,-3.32,338116,294572615.0,0.0,0.21
2010-02-09,947.36,947.36,947.36,947.36,0.37,3.53,301792,277652260.0,0.0,0.19
2010-02-10,952.48,952.48,952.48,952.48,0.54,5.12,232333,211733406.0,0.0,0.15
2010-02-11,956.16,956.16,956.16,956.16,0.39,3.68,236969,230393237.0,0.0,0.15
2010-02-12,964.18,964.18,964.18,964.18,0.84,8.02,216724,220278141.0,0.0,0.14
2010-02-22,963.7,963.7,963.7,963.7,-0.05,-0.48,293807,277819546.0,0.0,0.19
2010-02-23,964.86,964.86,964.86,964.86,0.12,1.16,291704,273437658.0,0.0,0.18
2010-02-24,984.76,984.76,984.76,984.76,2.06,19.9,393926,382689105.0,0.0,0.25
