日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,995.15,995.15,995.15,995.15,-0.49,-4.85,113314,112833868.0,0.0,0.24
2010-01-05,998.1,998.1,998.1,998.1,0.3,2.95,132502,130547518.0,0.0,0.28
2010-01-06,1028.23,1028.23,1028.23,1028.23,3.02,30.13,189014,195157139.0,0.0,0.41
2010-01-07,998.44,998.44,998.44,998.44,-2.9,-29.79,158344,158647238.0,0.0,0.34
2010-01-08,991.1,991.1,991.1,991.1,-0.74,-7.34,109326,108292532.0,0.0,0.23
2010-01-11,973.52,973.52,973.52,973.52,-1.77,-17.58,30329,32112022.0,0.0,0.07
2010-01-12,1008.44,1008.44,1008.44,1008.44,3.59,34.92,235275,233860404.0,0.0,0.51
2010-01-13,992.23,992.23,992.23,992.23,-1.61,-16.21,201581,200548496.0,0.0,0.43
2010-01-14,1017.25,1017.25,1017.25,1017.25,2.52,25.02,174997,178629142.0,0.0,0.38
2010-01-15,1036.7,1036.7,1036.7,1036.7,1.91,19.45,239878,249542905.0,0.0,0.52
2010-01-18,1043.83,1043.83,1043.83,1043.83,0.69,7.13,123850,126141695.0,0.0,0.27
2010-01-19,1043.83,1043.83,1043.83,1043.83,0.0,0.0,218971,231626599.0,0.0,0.47
2010-01-20,1021.31,1021.31,1021.31,1021.31,-2.16,-22.52,237646,247599701.0,0.0,0.51
2010-01-21,1010.03,1010.03,1010.03,1010.03,-1.1,-11.28,142033,143735829.0,0.0,0.31
2010-01-22,989.79,989.79,989.79,989.79,-2.0,-20.24,174010,170732775.0,0.0,0.37
2010-01-25,984.11,984.11,984.11,984.11,-0.57,-5.68,72870,74004079.0,0.0,0.16
2010-01-26,997.56,997.56,997.56,997.56,1.37,13.45,176958,184445503.0,0.0,0.38
2010-01-27,972.3,972.3,972.3,972.3,-2.53,-25.26,103472,107373627.0,0.0,0.22
2010-01-28,944.59,944.59,944.59,944.59,-2.85,-27.71,89055,88752271.0,0.0,0.19
2010-01-29,946.74,946.74,946.74,946.74,0.23,2.15,80237,77349173.0,0.0,0.17
2010-02-01,911.98,911.98,911.98,911.98,-3.67,-34.76,100761,92503421.0,0.0,0.22
2010-02-02,903.89,903.89,903.89,903.89,-0.89,-8.09,56670,51840545.0,0.0,0.12
2010-02-03,920.87,920.87,920.87,920.87,1.88,16.98,62259,56321535.0,0.0,0.13
2010-02-04,936.65,936.65,936.65,936.65,1.71,15.78,100083,92065633.0,0.0,0.22
2010-02-05,939.91,939.91,939.91,939.91,0.35,3.26,164130,153713681.0,0.0,0.35
2010-02-08,936.26,936.26,936.26,936.26,-0.39,-3.65,58528,54001330.0,0.0,0.13
2010-02-09,939.46,939.46,939.46,939.46,0.34,3.2,46854,44248205.0,0.0,0.1
2010-02-10,954.09,954.09,954.09,954.09,1.56,14.63,51841,49720082.0,0.0,0.11
2010-02-11,941.15,941.15,941.15,941.15,-1.36,-12.94,35490,33473494.0,0.0,0.08
2010-02-12,958.76,958.76,958.76,958.76,1.87,17.61,42935,41651613.0,0.0,0.09
2010-02-22,958.24,958.24,958.24,958.24,-0.05,-0.52,59465,56139325.0,0.0,0.13
2010-02-23,958.88,958.88,958.88,958.88,0.07,0.64,58980,55680184.0,0.0,0.13
2010-02-24,994.75,994.75,994.75,994.75,3.74,35.87,90880,89999935.0,0.0,0.2
2010-02-25,1014.65,1014.65,1014.65,1014.65,2.0,19.9,152686,156398954.0,0.0,0.33
2010-02-26,1013.37,1013.37,1013.37,1013.37,-0.13,-1.28,121022,126242147.0,0.0,0.26
2010-03-01,1030.41,1030.41,1030.41,1030.41,1.68,17.04,180489,186411582.0,0.0,0.39
2010-03-02,1032.37,1032.37,1032.37,1032.37,0.19,1.96,151710,155959305.0,0.0,0.33
