日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,996.61,1023.55,1030.41,981.4,2.36,23.55,15219,15954000.0,4.9,0.01
2000-01-05,1025.38,1032.84,1062.3,1008.65,0.91,9.29,33747,43535000.0,5.24,0.02
2000-01-06,1020.96,1058.27,1062.44,1011.4,2.46,25.43,35049,42358000.0,4.94,0.02
2000-01-07,1068.1,1086.43,1107.59,1056.01,2.66,28.16,71455,88644000.0,4.87,0.05
2000-01-10,1081.85,1126.05,1135.54,1060.71,3.65,39.62,139332,187213000.0,6.89,0.1
2000-01-11,1132.5,1080.72,1141.02,1073.18,-4.03,-45.33,67677,89478000.0,6.02,0.05
2000-01-12,1080.17,1043.97,1096.07,1028.59,-3.4,-36.75,63174,81297000.0,6.24,0.04
2000-01-13,1044.83,1037.91,1063.67,1022.47,-0.58,-6.06,21406,24155000.0,3.95,0.01
2000-01-14,1034.51,1037.67,1060.63,1015.94,-0.02,-0.24,29859,36651000.0,4.31,0.02
2000-01-17,1033.79,1057.9,1069.4,1018.37,1.95,20.23,31917,35131000.0,4.92,0.02
2000-01-18,1059.85,1053.89,1075.18,1040.28,-0.38,-4.01,23324,24496000.0,3.3,0.02
2000-01-19,1051.24,1070.65,1080.98,1044.95,1.59,16.76,42427,47786000.0,3.42,0.03
2000-01-20,1078.33,1096.1,1105.75,1064.17,2.38,25.45,66999,79079000.0,3.88,0.05
2000-01-21,1101.69,1092.13,1133.29,1066.16,-0.36,-3.97,103506,125727000.0,6.12,0.07
2000-01-24,1092.42,1108.04,1128.29,1065.34,1.46,15.91,109539,142624000.0,5.76,0.08
2000-01-25,1114.03,1113.61,1145.65,1080.98,0.5,5.57,79530,106501000.0,5.84,0.05
2000-01-26,1124.47,1103.33,1137.24,1084.62,-0.92,-10.28,80135,104202000.0,4.73,0.06
2000-01-27,1113.56,1112.48,1139.16,1090.91,0.83,9.15,66593,90224000.0,4.37,0.05
2000-01-28,1116.0,1127.16,1153.47,1082.92,1.32,14.68,111965,161388000.0,6.34,0.08
2000-02-14,1145.49,1227.22,1232.28,1129.04,8.88,100.06,166293,240855000.0,9.16,0.11
2000-02-15,1238.86,1240.26,1312.01,1179.76,1.06,13.04,286797,434166000.0,10.78,0.2
2000-02-16,1243.34,1259.39,1292.96,1172.61,1.54,19.13,233748,327535000.0,9.7,0.16
2000-02-17,1252.01,1170.35,1293.3,1157.62,-7.07,-89.04,194083,262610000.0,10.77,0.13
2000-02-18,1138.71,1165.92,1197.5,1115.17,-0.38,-4.43,116098,167212000.0,7.03,0.08
2000-02-21,1169.5,1179.11,1217.4,1121.39,1.13,13.19,132017,173934000.0,8.23,0.09
2000-02-22,1181.91,1159.6,1217.56,1136.09,-1.65,-19.51,137958,183331000.0,6.91,0.1
2000-02-23,1153.54,1149.95,1181.46,1130.16,-0.83,-9.65,84949,96187000.0,4.42,0.06
2000-02-24,1150.45,1172.27,1199.11,1140.46,1.94,22.32,85624,120815000.0,5.1,0.06
2000-02-25,1174.41,1156.39,1201.69,1141.1,-1.35,-15.88,90638,125545000.0,5.17,0.06
2000-02-28,1154.31,1183.39,1196.5,1135.03,2.33,27.0,104603,133933000.0,5.32,0.07
2000-02-29,1189.85,1163.3,1199.1,1139.11,-1.7,-20.09,91843,115223000.0,5.07,0.06
2000-03-01,1167.47,1174.81,1212.99,1149.45,0.99,11.51,112227,135115000.0,5.46,0.08
2000-03-02,1175.84,1201.52,1229.42,1155.28,2.27,26.71,188256,211508000.0,6.31,0.13
2000-03-03,1217.65,1227.96,1257.11,1195.47,2.2,26.44,231180,274340000.0,5.13,0.16
2000-03-06,1247.09,1203.05,1285.54,1196.29,-2.03,-24.91,267994,319970000.0,7.27,0.18
2000-03-07,1186.58,1202.74,1220.24,1164.08,-0.03,-0.31,146157,178908000.0,4.67,0.1
2000-03-08,1207.44,1229.18,1247.41,1185.22,2.2,26.44,139436,169286000.0,5.17,0.1
2000-03-09,1236.56,1215.76,1255.56,1192.16,-1.09,-13.42,99253,117200000.0,5.16,0.07
2000-03-10,1217.95,1182.37,1241.47,1177.02,-2.75,-33.39,90550,105314000.0,5.3,0.06
2000-03-13,1180.63,1210.87,1229.84,1168.61,2.41,28.5,78526,95683000.0,5.18,0.05
2000-03-14,1196.11,1183.58,1210.21,1146.47,-2.25,-27.29,84838,99520000.0,5.26,0.06
