日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,985.13,985.13,985.13,985.13,-1.49,-14.87,20887,34923065.0,0.0,0.2
2010-01-05,1033.91,1033.91,1033.91,1033.91,4.95,48.78,69964,120220311.0,0.0,0.69
2010-01-06,1042.24,1042.24,1042.24,1042.24,0.81,8.33,78753,139920519.0,0.0,0.77
2010-01-07,1022.61,1022.61,1022.61,1022.61,-1.88,-19.63,30213,52464067.0,0.0,0.3
2010-01-08,1045.81,1045.81,1045.81,1045.81,2.27,23.2,33206,57000520.0,0.0,0.33
2010-01-11,1048.19,1048.19,1048.19,1048.19,0.23,2.38,79949,144734254.0,0.0,0.78
2010-01-12,1055.32,1055.32,1055.32,1055.32,0.68,7.13,32315,56951180.0,0.0,0.32
2010-01-13,1036.29,1036.29,1036.29,1036.29,-1.8,-19.03,29571,51884201.0,0.0,0.29
2010-01-14,1058.3,1058.3,1058.3,1058.3,2.12,22.01,29997,53155966.0,0.0,0.29
2010-01-15,1052.35,1052.35,1052.35,1052.35,-0.56,-5.95,19498,34509421.0,0.0,0.19
2010-01-18,1085.66,1085.66,1085.66,1085.66,3.17,33.31,49886,89484061.0,0.0,0.49
2010-01-19,1194.53,1194.53,1194.53,1194.53,10.03,108.87,155290,305183919.0,0.0,1.52
2010-01-20,1220.11,1220.11,1220.11,1220.11,2.14,25.58,171551,351704617.0,0.0,1.68
2010-01-21,1202.26,1202.26,1202.26,1202.26,-1.46,-17.85,58705,120022473.0,0.0,0.58
2010-01-22,1183.22,1183.22,1183.22,1183.22,-1.58,-19.04,67621,133702087.0,0.0,0.66
2010-01-25,1161.21,1161.21,1161.21,1161.21,-1.86,-22.01,40138,79112168.0,0.0,0.39
2010-01-26,1086.85,1086.85,1086.85,1086.85,-6.4,-74.36,59558,110585838.0,0.0,0.58
2010-01-27,1093.99,1093.99,1093.99,1093.99,0.66,7.14,39818,74396251.0,0.0,0.39
2010-01-28,1080.31,1080.31,1080.31,1080.31,-1.25,-13.68,31198,56307538.0,0.0,0.31
2010-01-29,1130.28,1130.28,1130.28,1130.28,4.63,49.97,49526,92605300.0,0.0,0.49
2010-02-01,1107.08,1107.08,1107.08,1107.08,-2.05,-23.2,36978,68447679.0,0.0,0.36
2010-02-02,1086.26,1086.26,1086.26,1086.26,-1.88,-20.82,23772,44290829.0,0.0,0.23
2010-02-03,1085.66,1085.66,1085.66,1085.66,-0.06,-0.6,29980,53820237.0,0.0,0.29
2010-02-04,1091.02,1091.02,1091.02,1091.02,0.49,5.36,29589,54541754.0,0.0,0.29
2010-02-05,1059.49,1059.49,1059.49,1059.49,-2.89,-31.53,19995,35707255.0,0.0,0.2
2010-02-08,1073.17,1073.17,1073.17,1073.17,1.29,13.68,16757,30386331.0,0.0,0.16
2010-02-09,1103.51,1103.51,1103.51,1103.51,2.83,30.34,26004,48328561.0,0.0,0.26
2010-02-10,1119.57,1119.57,1119.57,1119.57,1.46,16.06,15769,29405678.0,0.0,0.15
2010-02-11,1104.11,1104.11,1104.11,1104.11,-1.38,-15.46,11023,20555439.0,0.0,0.11
2010-02-12,1120.17,1120.17,1120.17,1120.17,1.45,16.06,14607,27381858.0,0.0,0.14
2010-02-22,1113.03,1113.03,1113.03,1113.03,-0.64,-7.14,17424,32811045.0,0.0,0.17
2010-02-23,1086.85,1086.85,1086.85,1086.85,-2.35,-26.18,22396,40960357.0,0.0,0.22
2010-02-24,1099.94,1099.94,1099.94,1099.94,1.2,13.09,19322,35312177.0,0.0,0.19
2010-02-25,1146.94,1146.94,1146.94,1146.94,4.27,47.0,35305,67244386.0,0.0,0.35
2010-02-26,1133.25,1133.25,1133.25,1133.25,-1.19,-13.69,25528,49135555.0,0.0,0.25
2010-03-01,1158.24,1158.24,1158.24,1158.24,2.21,24.99,30268,58576152.0,0.0,0.3
2010-03-02,1149.91,1149.91,1149.91,1149.91,-0.72,-8.33,24579,47225131.0,0.0,0.24
2010-03-03,1159.43,1159.43,1159.43,1159.43,0.83,9.52,28907,55796494.0,0.0,0.28
