日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1007.91,1050.86,1068.5,993.95,5.09,50.86,114413,247229000.0,7.46,0.01
2000-01-05,1053.83,1088.6,1120.37,1044.8,3.59,37.74,179463,319773000.0,7.19,0.01
2000-01-06,1079.86,1153.54,1165.44,1074.07,5.97,64.94,231647,413601000.0,8.39,0.02
2000-01-07,1160.18,1171.32,1205.76,1135.23,1.54,17.78,219346,371323000.0,6.11,0.02
2000-01-10,1171.97,1219.06,1240.17,1144.0,4.08,47.74,240311,453374000.0,8.21,0.02
2000-01-11,1237.62,1188.36,1272.9,1158.46,-2.52,-30.7,214496,423540000.0,9.39,0.01
2000-01-12,1180.0,1126.61,1206.08,1119.16,-5.2,-61.75,134649,257023000.0,7.31,0.01
2000-01-13,1125.73,1125.13,1153.66,1086.96,-0.13,-1.48,88443,163476000.0,5.92,0.01
2000-01-14,1132.39,1127.6,1157.48,1105.72,0.22,2.47,92309,169751000.0,4.6,0.01
2000-01-17,1126.62,1176.52,1178.34,1115.52,4.34,48.92,107767,192957000.0,5.57,0.01
2000-01-18,1178.53,1148.74,1204.0,1132.37,-2.36,-27.78,84031,139119000.0,6.09,0.01
2000-01-19,1143.29,1134.59,1171.92,1108.9,-1.23,-14.15,83794,145959000.0,5.49,0.01
2000-01-20,1130.33,1140.98,1153.39,1101.63,0.56,6.39,111088,209909000.0,4.56,0.01
2000-01-21,1141.47,1162.22,1212.98,1116.51,1.86,21.24,212170,435987000.0,8.46,0.01
2000-01-24,1161.65,1209.45,1227.82,1116.46,4.06,47.23,214971,437077000.0,9.58,0.01
2000-01-25,1212.51,1187.21,1236.0,1161.13,-1.84,-22.24,135407,269706000.0,6.19,0.01
2000-01-26,1183.74,1198.54,1224.24,1164.71,0.95,11.33,116600,204520000.0,5.01,0.01
2000-01-27,1204.12,1241.35,1268.87,1180.84,3.57,42.81,182029,372174000.0,7.34,0.01
2000-01-28,1236.69,1272.12,1313.95,1217.1,2.48,30.77,208868,497374000.0,7.8,0.01
2000-02-14,1315.56,1388.45,1389.37,1305.17,9.14,116.33,144181,326818000.0,6.62,0.01
2000-02-15,1456.86,1417.39,1509.79,1400.26,2.08,28.94,271090,686316000.0,7.89,0.02
2000-02-16,1430.05,1464.65,1493.71,1382.27,3.33,47.26,249772,595058000.0,7.86,0.02
2000-02-17,1486.91,1359.75,1538.81,1346.27,-7.16,-104.9,321385,726050000.0,13.15,0.02
2000-02-18,1330.11,1396.12,1423.72,1280.87,2.67,36.37,243573,511221000.0,10.51,0.02
2000-02-21,1424.48,1366.97,1466.54,1311.87,-2.09,-29.15,217794,424652000.0,11.08,0.01
2000-02-22,1386.23,1293.73,1400.19,1274.6,-5.36,-73.24,234576,455835000.0,9.19,0.02
2000-02-23,1273.6,1308.26,1346.08,1245.06,1.12,14.53,163392,327714000.0,7.81,0.01
2000-02-24,1300.27,1329.11,1357.75,1278.65,1.59,20.85,118284,236929000.0,6.05,0.01
2000-02-25,1321.82,1307.62,1362.14,1289.56,-1.62,-21.49,132305,292375000.0,5.46,0.01
2000-02-28,1298.0,1389.8,1396.55,1264.01,6.28,82.18,201195,483317000.0,10.14,0.01
2000-02-29,1399.51,1398.01,1458.89,1360.01,0.59,8.21,139510,309933000.0,7.11,0.01
2000-03-01,1405.35,1394.56,1447.2,1361.63,-0.25,-3.45,138218,241933000.0,6.12,0.01
2000-03-02,1396.31,1408.69,1445.29,1369.84,1.01,14.13,150083,263834000.0,5.41,0.01
2000-03-03,1428.08,1415.91,1469.3,1377.43,0.51,7.22,184518,332295000.0,6.52,0.01
2000-03-06,1421.62,1351.36,1461.96,1324.3,-4.56,-64.55,175910,321217000.0,9.72,0.01
2000-03-07,1334.43,1348.92,1377.71,1275.19,-0.18,-2.44,100841,195166000.0,7.59,0.01
2000-03-08,1366.05,1419.13,1431.37,1357.83,5.2,70.21,148178,343814000.0,5.45,0.01
2000-03-09,1439.8,1464.74,1506.63,1393.27,3.21,45.61,188919,425254000.0,7.99,0.01
2000-03-10,1458.99,1422.14,1505.98,1390.86,-2.91,-42.6,170007,397174000.0,7.86,0.01
2000-03-13,1508.47,1520.9,1549.72,1486.55,6.94,98.76,108018,230863000.0,4.44,0.01
2000-03-14,1476.0,1465.48,1520.8,1403.51,-3.64,-55.42,164285,323050000.0,7.71,0.01
2000-03-15,1488.83,1474.77,1538.12,1456.28,0.63,9.29,157784,274231000.0,5.58,0.01
2000-03-16,1469.66,1401.88,1474.13,1386.28,-4.94,-72.89,98654,170925000.0,5.96,0.01
2000-03-17,1392.5,1447.3,1465.2,1388.68,3.24,45.42,100396,194349000.0,5.46,0.01
2000-03-20,1439.66,1537.78,1546.82,1417.87,6.25,90.48,132955,245997000.0,8.91,0.01
2000-03-21,1555.66,1606.82,1626.14,1538.52,4.49,69.04,251594,489427000.0,5.7,0.02
2000-03-22,1675.76,1687.0,1704.92,1607.5,4.99,80.18,266817,584609000.0,6.06,0.02
2000-03-23,1738.01,1755.23,1780.93,1684.56,4.04,68.23,185719,394771000.0,5.71,0.01
2000-03-24,1773.92,1727.83,1838.24,1708.47,-1.56,-27.4,241477,606588000.0,7.39,0.02
2000-03-27,1717.58,1775.94,1804.28,1681.58,2.78,48.11,168090,355364000.0,7.1,0.01
2000-03-28,1771.99,1732.84,1810.28,1714.99,-2.43,-43.1,152258,298313000.0,5.37,0.01
2000-03-29,1736.08,1730.73,1771.24,1670.11,-0.12,-2.11,127252,256871000.0,5.84,0.01
2000-03-30,1730.51,1786.95,1810.51,1712.07,3.25,56.22,106726,244152000.0,5.69,0.01
2000-03-31,1788.73,1808.16,1869.03,1754.75,1.19,21.21,161198,390115000.0,6.4,0.01
2000-04-03,1739.33,1772.04,1845.59,1725.09,-2.0,-36.12,153766,395295000.0,6.66,0.01
2000-04-04,1773.59,1752.47,1821.84,1700.36,-1.1,-19.57,107748,236534000.0,6.86,0.01
2000-04-05,1757.92,1739.7,1799.47,1696.42,-0.73,-12.77,93202,182905000.0,5.88,0.01
2000-04-06,1746.0,1769.33,1783.0,1726.38,1.7,29.63,99682,201803000.0,3.25,0.01
2000-04-07,1778.04,1786.83,1827.06,1733.1,0.99,17.5,150406,351605000.0,5.31,0.01
2000-04-10,1791.99,1794.85,1842.42,1758.49,0.45,8.02,127911,233475000.0,4.7,0.01
2000-04-11,1796.79,1757.54,1830.25,1717.56,-2.08,-37.31,128691,223704000.0,6.28,0.01
2000-04-12,1758.44,1703.83,1777.65,1675.37,-3.06,-53.71,120248,245520000.0,5.82,0.01
2000-04-13,1704.21,1696.4,1731.6,1677.36,-0.44,-7.43,90135,178200000.0,3.18,0.01
2000-04-14,1704.38,1668.5,1730.92,1643.41,-1.64,-27.9,121461,252337000.0,5.16,0.01
2000-04-17,1628.33,1628.32,1701.8,1574.7,-2.41,-40.18,146667,271522000.0,7.62,0.01
2000-04-18,1643.29,1649.91,1703.72,1611.61,1.33,21.59,92991,219980000.0,5.66,0.01
2000-04-19,1626.92,1669.3,1695.44,1617.12,1.18,19.39,131274,190372000.0,4.75,0.01
2000-04-20,1674.72,1658.33,1692.35,1634.43,-0.66,-10.97,86259,174658000.0,3.47,0.01
2000-04-21,1658.91,1662.06,1699.28,1619.34,0.22,3.73,283284,385866000.0,4.82,0.02
2000-04-24,1654.8,1631.41,1683.12,1604.96,-1.84,-30.65,178049,231421000.0,4.7,0.01
2000-04-25,1619.47,1599.1,1636.15,1558.54,-1.98,-32.31,170693,289094000.0,4.76,0.01
2000-04-26,1601.22,1617.66,1645.77,1565.66,1.16,18.56,117105,193947000.0,5.01,0.01
2000-04-27,1616.37,1599.83,1641.36,1569.79,-1.1,-17.83,203536,275557000.0,4.42,0.01
2000-04-28,1600.13,1599.74,1630.83,1551.8,-0.01,-0.09,127565,202510000.0,4.94,0.01
2000-05-08,1603.78,1642.2,1670.69,1576.56,2.65,42.46,135663,241292000.0,5.88,0.01
2000-05-09,1644.93,1600.34,1674.03,1580.66,-2.55,-41.86,125262,231125000.0,5.69,0.01
2000-05-10,1598.74,1550.09,1608.28,1520.22,-3.14,-50.25,94269,143117000.0,5.5,0.01
