日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1008.34,1008.34,1008.34,1008.34,0.83,8.34,164030,219337429.0,0.0,0.16
2010-01-05,1044.95,1044.95,1044.95,1044.95,3.63,36.61,359813,391600599.0,0.0,0.35
2010-01-06,1048.96,1048.96,1048.96,1048.96,0.38,4.01,434572,413888769.0,0.0,0.42
2010-01-07,1040.13,1040.13,1040.13,1040.13,-0.84,-8.83,368965,393743182.0,0.0,0.36
2010-01-08,1049.15,1049.15,1049.15,1049.15,0.87,9.02,250377,257681219.0,0.0,0.24
2010-01-11,1079.8,1079.8,1079.8,1079.8,2.92,30.65,315119,374995380.0,0.0,0.31
2010-01-12,1113.43,1113.43,1113.43,1113.43,3.11,33.63,362699,528570650.0,0.0,0.35
2010-01-13,1106.68,1106.68,1106.68,1106.68,-0.61,-6.75,314736,519300103.0,0.0,0.31
2010-01-14,1133.13,1133.13,1133.13,1133.13,2.39,26.45,302441,376369800.0,0.0,0.29
2010-01-15,1130.7,1130.7,1130.7,1130.7,-0.21,-2.43,198495,253942948.0,0.0,0.19
2010-01-18,1159.78,1159.78,1159.78,1159.78,2.57,29.08,231448,318482215.0,0.0,0.23
2010-01-19,1139.5,1139.5,1139.5,1139.5,-1.75,-20.28,211158,278039474.0,0.0,0.21
2010-01-20,1067.87,1067.87,1067.87,1067.87,-6.29,-71.63,277794,353609723.0,0.0,0.27
2010-01-21,1074.62,1074.62,1074.62,1074.62,0.63,6.75,88440,135573557.0,0.0,0.09
2010-01-22,1038.61,1038.61,1038.61,1038.61,-3.35,-36.01,171944,203750992.0,0.0,0.17
2010-01-25,1035.79,1035.79,1035.79,1035.79,-0.27,-2.82,82468,101064989.0,0.0,0.08
2010-01-26,990.02,990.02,990.02,990.02,-4.42,-45.77,114085,136342975.0,0.0,0.11
2010-01-27,992.65,992.65,992.65,992.65,0.27,2.63,99805,152440856.0,0.0,0.1
2010-01-28,1010.5,1010.5,1010.5,1010.5,1.8,17.85,89155,119141964.0,0.0,0.09
2010-01-29,1027.89,1027.89,1027.89,1027.89,1.72,17.39,131739,176096065.0,0.0,0.13
2010-02-01,1017.49,1017.49,1017.49,1017.49,-1.01,-10.4,109029,130588365.0,0.0,0.11
2010-02-02,1016.76,1016.76,1016.76,1016.76,-0.07,-0.73,126309,159007629.0,0.0,0.12
2010-02-03,1021.53,1021.53,1021.53,1021.53,0.47,4.77,133576,155876941.0,0.0,0.13
