日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,996.28,1011.56,1024.86,979.25,1.16,11.56,258678,200062000.0,4.56,0.01
2000-01-05,1008.03,1012.87,1037.91,991.35,0.13,1.31,285345,246335000.0,4.6,0.01
2000-01-06,1013.69,1049.55,1056.03,1000.25,3.62,36.68,341836,299500000.0,5.51,0.01
2000-01-07,1055.16,1083.07,1110.88,1041.8,3.19,33.52,537728,502861000.0,6.58,0.01
2000-01-10,1089.15,1095.8,1110.56,1061.86,1.18,12.73,462899,452551000.0,4.5,0.01
2000-01-11,1095.53,1046.32,1101.66,1034.81,-4.52,-49.48,408092,392330000.0,6.1,0.01
2000-01-12,1039.93,1016.07,1055.85,1006.32,-2.89,-30.25,249900,236812000.0,4.73,0.01
2000-01-13,1012.07,1007.51,1027.58,989.81,-0.84,-8.56,234601,218942000.0,3.72,0.01
2000-01-14,1008.37,997.54,1021.02,981.97,-0.99,-9.97,161928,165642000.0,3.88,0.0
2000-01-17,994.2,1003.37,1019.66,978.44,0.58,5.83,145173,142216000.0,4.13,0.0
2000-01-18,1004.35,1004.16,1024.63,989.27,0.08,0.79,217883,249040000.0,3.52,0.0
2000-01-19,1002.51,1000.97,1013.39,986.23,-0.32,-3.19,156317,158610000.0,2.7,0.0
2000-01-20,997.45,1011.62,1020.3,986.17,1.06,10.65,150629,157901000.0,3.41,0.0
2000-01-21,1016.73,1008.62,1030.32,995.38,-0.3,-3.0,204236,224910000.0,3.45,0.0
2000-01-24,1012.75,1012.41,1031.97,979.05,0.38,3.79,341214,324231000.0,5.25,0.01
2000-01-25,1021.39,1022.19,1047.15,1003.25,0.97,9.78,235423,250116000.0,4.34,0.01
2000-01-26,1028.28,1020.81,1042.26,1007.59,-0.14,-1.38,251520,242058000.0,3.39,0.01
2000-01-27,1028.13,1028.4,1053.97,1005.07,0.74,7.59,315229,311542000.0,4.79,0.01
2000-01-28,1023.57,1061.1,1070.65,1006.97,3.18,32.7,552112,576356000.0,6.19,0.01
2000-02-14,1110.42,1150.72,1153.98,1087.85,8.45,89.62,485709,520491000.0,6.23,0.01
2000-02-15,1185.97,1153.03,1203.2,1135.12,0.2,2.31,815256,926033000.0,5.92,0.02
2000-02-16,1160.21,1133.63,1187.41,1103.72,-1.68,-19.4,894895,1012106000.0,7.26,0.02
2000-02-17,1146.06,1107.43,1201.29,1088.82,-2.31,-26.2,963405,1076012000.0,9.92,0.02
2000-02-18,1093.8,1099.94,1130.58,1064.71,-0.68,-7.49,481352,580253000.0,5.95,0.01
2000-02-21,1100.24,1117.42,1148.91,1077.79,1.59,17.48,547605,614172000.0,6.47,0.01
2000-02-22,1132.81,1096.97,1159.13,1085.91,-1.83,-20.45,483126,544087000.0,6.55,0.01
2000-02-23,1086.0,1082.43,1125.35,1067.84,-1.33,-14.54,335572,363273000.0,5.24,0.01
2000-02-24,1085.09,1102.51,1113.85,1075.6,1.86,20.08,261997,312249000.0,3.53,0.01
2000-02-25,1107.92,1100.09,1121.55,1085.85,-0.22,-2.42,293833,338658000.0,3.24,0.01
2000-02-28,1106.24,1140.48,1147.96,1087.96,3.67,40.39,463602,527619000.0,5.45,0.01
2000-02-29,1162.06,1153.06,1180.18,1108.88,1.1,12.58,727597,871777000.0,6.25,0.02
2000-03-01,1159.17,1175.17,1206.76,1137.31,1.92,22.11,615275,709414000.0,6.02,0.01
2000-03-02,1178.88,1157.3,1190.81,1138.71,-1.52,-17.87,461977,511581000.0,4.43,0.01
2000-03-03,1168.95,1198.71,1219.87,1148.82,3.58,41.41,795418,959166000.0,6.14,0.02
2000-03-06,1210.73,1166.29,1229.08,1163.22,-2.7,-32.42,523746,633270000.0,5.49,0.01
2000-03-07,1153.72,1177.53,1186.75,1136.68,0.96,11.24,292176,343882000.0,4.29,0.01
2000-03-08,1176.02,1211.82,1227.76,1162.77,2.91,34.29,791133,960626000.0,5.52,0.02
2000-03-09,1211.43,1235.37,1266.88,1190.25,1.94,23.55,768857,925353000.0,6.32,0.02
2000-03-10,1235.23,1199.0,1252.77,1190.23,-2.94,-36.37,419700,485136000.0,5.06,0.01
2000-03-13,1199.49,1212.18,1234.6,1189.49,1.1,13.18,315281,374377000.0,3.76,0.01
2000-03-14,1138.74,1162.82,1189.64,1117.41,-4.07,-49.36,637861,739398000.0,5.96,0.01
2000-03-15,1154.24,1123.13,1167.42,1098.68,-3.41,-39.69,515900,544412000.0,5.91,0.01
2000-03-16,1113.45,1065.89,1118.61,1059.99,-5.1,-57.24,381498,391459000.0,5.22,0.01
2000-03-17,1059.46,1094.51,1116.68,1056.5,2.69,28.62,354443,395705000.0,5.65,0.01
2000-03-20,1069.67,1095.21,1115.64,1060.4,0.06,0.7,403472,431551000.0,5.05,0.01
2000-03-21,1101.18,1113.63,1143.69,1082.99,1.68,18.42,383959,413920000.0,5.54,0.01
2000-03-22,1115.64,1104.43,1130.2,1091.69,-0.83,-9.2,270061,300896000.0,3.46,0.01
2000-03-23,1106.88,1117.19,1131.04,1089.37,1.16,12.76,392508,448491000.0,3.77,0.01
2000-03-24,1123.29,1106.08,1142.93,1098.31,-0.99,-11.11,406596,450138000.0,3.99,0.01
2000-03-27,1104.62,1131.17,1142.59,1096.33,2.27,25.09,480763,555807000.0,4.18,0.01
2000-03-28,1139.96,1153.01,1170.8,1121.15,1.93,21.84,593974,689446000.0,4.39,0.01
2000-03-29,1157.18,1145.17,1176.41,1125.69,-0.68,-7.84,331762,378669000.0,4.4,0.01
2000-03-30,1144.55,1208.8,1215.64,1135.23,5.56,63.63,532154,636864000.0,7.02,0.01
2000-03-31,1206.3,1196.25,1231.51,1170.17,-1.04,-12.55,420299,491833000.0,5.07,0.01
2000-04-03,1205.15,1203.37,1234.04,1188.55,0.6,7.12,306893,354743000.0,3.8,0.01
2000-04-04,1210.54,1177.63,1216.11,1156.7,-2.14,-25.74,354799,396650000.0,4.94,0.01
2000-04-05,1172.56,1183.99,1198.45,1149.49,0.54,6.36,282709,331866000.0,4.16,0.01
2000-04-06,1195.76,1215.68,1239.38,1184.38,2.68,31.69,394906,466473000.0,4.65,0.01
2000-04-07,1225.19,1215.66,1244.13,1199.01,0.0,-0.02,367582,457137000.0,3.71,0.01
2000-04-10,1227.11,1242.11,1258.4,1213.06,2.18,26.45,500202,690419000.0,3.73,0.01
2000-04-11,1244.7,1233.22,1264.95,1214.77,-0.72,-8.89,319769,426373000.0,4.04,0.01
2000-04-12,1236.14,1245.38,1258.54,1201.9,0.99,12.16,317473,447694000.0,4.59,0.01
2000-04-13,1253.25,1262.45,1273.34,1236.41,1.37,17.07,362775,494120000.0,2.97,0.01
2000-04-14,1271.16,1295.31,1316.43,1255.99,2.6,32.86,620958,863879000.0,4.79,0.01
2000-04-17,1302.07,1285.61,1330.74,1250.99,-0.75,-9.7,752966,1064474000.0,6.16,0.02
2000-04-18,1284.95,1317.06,1339.44,1267.49,2.45,31.45,643758,989357000.0,5.6,0.01
2000-04-19,1330.58,1353.54,1374.57,1310.31,2.77,36.48,553166,891742000.0,4.88,0.01
2000-04-20,1371.49,1393.72,1416.4,1355.58,2.97,40.18,446335,681834000.0,4.49,0.01
2000-04-21,1413.57,1412.92,1446.26,1387.05,1.38,19.2,376847,591411000.0,4.25,0.01
2000-04-24,1440.93,1406.9,1465.79,1372.72,-0.43,-6.02,600176,1104890000.0,6.59,0.01
2000-04-25,1399.17,1425.99,1459.04,1375.27,1.36,19.09,677620,1034785000.0,5.95,0.02
2000-04-26,1432.3,1411.76,1454.51,1396.21,-1.0,-14.23,382262,585748000.0,4.09,0.01
2000-04-27,1413.27,1373.87,1437.72,1336.67,-2.68,-37.89,1027145,1705201000.0,7.16,0.02
2000-04-28,1367.43,1416.83,1428.18,1349.06,3.13,42.96,700689,1274234000.0,5.76,0.02
2000-05-08,1447.0,1441.22,1464.65,1413.01,1.72,24.39,400703,758590000.0,3.64,0.01
2000-05-09,1443.48,1426.31,1476.87,1407.91,-1.03,-14.91,620989,1208814000.0,4.78,0.01
2000-05-10,1423.54,1388.49,1446.31,1361.92,-2.65,-37.82,383077,689612000.0,5.92,0.01
2000-05-11,1383.45,1352.55,1411.0,1336.87,-2.59,-35.94,395230,704619000.0,5.34,0.01
2000-05-12,1351.87,1343.54,1388.69,1328.47,-0.67,-9.01,241983,399475000.0,4.45,0.01
2000-05-15,1344.54,1321.69,1357.29,1305.7,-1.63,-21.85,215900,356630000.0,3.84,0.0
2000-05-16,1319.39,1341.63,1358.81,1306.31,1.51,19.94,131727,198038000.0,3.97,0.0
2000-05-17,1346.94,1351.83,1382.89,1332.04,0.76,10.2,182164,318605000.0,3.79,0.0
2000-05-18,1351.68,1392.11,1403.39,1340.18,2.98,40.28,280300,519774000.0,4.68,0.01
2000-05-19,1397.23,1415.72,1430.42,1377.24,1.7,23.61,247711,425599000.0,3.82,0.01
2000-05-22,1429.05,1465.89,1479.26,1407.75,3.54,50.17,369501,600575000.0,5.05,0.01
2000-05-23,1500.54,1472.37,1523.49,1426.68,0.44,6.48,389795,620834000.0,6.6,0.01
2000-05-24,1467.94,1463.04,1498.07,1435.54,-0.63,-9.33,371719,568802000.0,4.25,0.01
