日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1005.93,1005.93,1005.93,1005.93,0.59,5.93,679319,1069449156.0,0.0,0.27
2010-01-05,1017.68,1017.68,1017.68,1017.68,1.17,11.75,612931,1050096010.0,0.0,0.24
2010-01-06,1007.66,1007.66,1007.66,1007.66,-0.98,-10.02,542698,840445712.0,0.0,0.21
2010-01-07,992.88,992.88,992.88,992.88,-1.47,-14.78,602861,960386275.0,0.0,0.24
2010-01-08,997.33,997.33,997.33,997.33,0.45,4.45,424550,629182195.0,0.0,0.17
2010-01-11,1000.57,1000.57,1000.57,1000.57,0.32,3.24,595795,914840084.0,0.0,0.23
2010-01-12,1024.07,1024.07,1024.07,1024.07,2.35,23.5,616661,971692685.0,0.0,0.24
2010-01-13,1016.87,1016.87,1016.87,1016.87,-0.7,-7.2,605789,974145722.0,0.0,0.24
2010-01-14,1039.87,1039.87,1039.87,1039.87,2.26,23.0,607427,942153571.0,0.0,0.24
2010-01-15,1047.92,1047.92,1047.92,1047.92,0.77,8.05,621929,960377997.0,0.0,0.24
2010-01-18,1050.07,1050.07,1050.07,1050.07,0.21,2.15,680174,1267849828.0,0.0,0.27
2010-01-19,1052.43,1052.43,1052.43,1052.43,0.22,2.36,770826,1329750259.0,0.0,0.3
2010-01-20,1005.96,1005.96,1005.96,1005.96,-4.42,-46.47,842697,1404178978.0,0.0,0.33
2010-01-21,1005.91,1005.91,1005.91,1005.91,0.0,-0.05,437877,744639328.0,0.0,0.17
2010-01-22,971.87,971.87,971.87,971.87,-3.38,-34.04,579205,942264228.0,0.0,0.23
2010-01-25,957.93,957.93,957.93,957.93,-1.43,-13.94,302369,472484795.0,0.0,0.12
2010-01-26,926.59,926.59,926.59,926.59,-3.27,-31.34,372131,597933048.0,0.0,0.15
2010-01-27,925.15,925.15,925.15,925.15,-0.16,-1.44,344855,566067228.0,0.0,0.14
2010-01-28,932.32,932.32,932.32,932.32,0.78,7.17,311562,525899239.0,0.0,0.12
2010-01-29,931.26,931.26,931.26,931.26,-0.11,-1.06,254264,437985280.0,0.0,0.1
2010-02-01,909.72,909.72,909.72,909.72,-2.31,-21.54,396585,661495782.0,0.0,0.16
2010-02-02,904.99,904.99,904.99,904.99,-0.52,-4.73,310373,511741475.0,0.0,0.12
2010-02-03,916.25,916.25,916.25,916.25,1.24,11.26,375176,573469802.0,0.0,0.15
2010-02-04,913.97,913.97,913.97,913.97,-0.25,-2.28,312978,469938685.0,0.0,0.12
2010-02-05,892.19,892.19,892.19,892.19,-2.38,-21.78,373131,598765624.0,0.0,0.15
2010-02-08,895.08,895.08,895.08,895.08,0.32,2.89,206488,322680988.0,0.0,0.08
2010-02-09,895.66,895.66,895.66,895.66,0.06,0.58,267651,456546231.0,0.0,0.1
2010-02-10,911.63,911.63,911.63,911.63,1.78,15.97,205102,346637769.0,0.0,0.08
2010-02-11,919.78,919.78,919.78,919.78,0.89,8.15,262641,411024142.0,0.0,0.1
2010-02-12,927.32,927.32,927.32,927.32,0.82,7.54,205717,315224316.0,0.0,0.08
2010-02-22,924.33,924.33,924.33,924.33,-0.32,-2.99,227361,383054498.0,0.0,0.09
2010-02-23,934.58,934.58,934.58,934.58,1.11,10.25,235477,360265090.0,0.0,0.09
2010-02-24,959.4,959.4,959.4,959.4,2.66,24.82,387038,663459767.0,0.0,0.15
2010-02-25,968.62,968.62,968.62,968.62,0.96,9.22,459904,678861889.0,0.0,0.18
2010-02-26,982.4,982.4,982.4,982.4,1.42,13.78,508566,772436918.0,0.0,0.2
2010-03-01,987.88,987.88,987.88,987.88,0.56,5.48,503804,800590748.0,0.0,0.2
2010-03-02,1001.34,1001.34,1001.34,1001.34,1.36,13.46,538015,767665841.0,0.0,0.21
2010-03-03,1011.3,1011.3,1011.3,1011.3,0.99,9.96,623444,1015275420.0,0.0,0.24
2010-03-04,966.79,966.79,966.79,966.79,-4.4,-44.51,675627,1065882381.0,0.0,0.26
2010-03-05,972.3,972.3,972.3,972.3,0.57,5.51,415636,624169824.0,0.0,0.16
2010-03-08,995.11,995.11,995.11,995.11,2.35,22.81,494036,748770200.0,0.0,0.19
2010-03-09,999.1,999.1,999.1,999.1,0.4,3.99,466267,725456222.0,0.0,0.18
2010-03-10,987.28,987.28,987.28,987.28,-1.18,-11.82,372939,510657575.0,0.0,0.15
2010-03-11,982.8,982.8,982.8,982.8,-0.45,-4.48,370068,594563928.0,0.0,0.15
2010-03-12,975.86,975.86,975.86,975.86,-0.71,-6.94,379794,649840922.0,0.0,0.15
2010-03-15,967.1,967.1,967.1,967.1,-0.9,-8.76,278339,488252828.0,0.0,0.11
2010-03-16,972.87,972.87,972.87,972.87,0.6,5.77,243342,414040017.0,0.0,0.1
2010-03-17,998.48,998.48,998.48,998.48,2.63,25.61,489393,808228558.0,0.0,0.19
2010-03-18,1002.49,1002.49,1002.49,1002.49,0.4,4.01,498400,807890527.0,0.0,0.2
2010-03-19,1011.39,1011.39,1011.39,1011.39,0.89,8.9,449332,744736082.0,0.0,0.18
2010-03-22,1025.32,1025.32,1025.32,1025.32,1.38,13.93,614240,1047587741.0,0.0,0.24
2010-03-23,1024.4,1024.4,1024.4,1024.4,-0.09,-0.92,385975,584389926.0,0.0,0.15
2010-03-24,1033.87,1033.87,1033.87,1033.87,0.92,9.47,399928,683527891.0,0.0,0.16
2010-03-25,1026.96,1026.96,1026.96,1026.96,-0.67,-6.91,417881,704769266.0,0.0,0.16
2010-03-26,1041.36,1041.36,1041.36,1041.36,1.4,14.4,298253,553600472.0,0.0,0.12
2010-03-29,1051.05,1051.05,1051.05,1051.05,0.93,9.69,463325,733383917.0,0.0,0.18
2010-03-30,1058.11,1058.11,1058.11,1058.11,0.67,7.06,425658,673523829.0,0.0,0.17
2010-03-31,1078.65,1078.65,1078.65,1078.65,1.94,20.54,595697,962809570.0,0.0,0.23
2010-04-01,1085.87,1085.87,1085.87,1085.87,0.67,7.22,569646,916630109.0,0.0,0.22
2010-04-02,1082.63,1082.63,1082.63,1082.63,-0.3,-3.24,525591,879191194.0,0.0,0.21
2010-04-06,1089.19,1089.19,1089.19,1089.19,0.61,6.56,467077,709270713.0,0.0,0.18
2010-04-07,1098.87,1098.87,1098.87,1098.87,0.89,9.68,734147,1048447367.0,0.0,0.29
2010-04-08,1092.9,1092.9,1092.9,1092.9,-0.54,-5.97,643694,991495729.0,0.0,0.25
2010-04-09,1122.84,1122.84,1122.84,1122.84,2.74,29.94,706623,1130998326.0,0.0,0.28
2010-04-12,1144.57,1144.57,1144.57,1144.57,1.94,21.73,744208,1211214468.0,0.0,0.29
2010-04-13,1099.63,1099.63,1099.63,1099.63,-3.93,-44.94,649266,1107158700.0,0.0,0.25
2010-04-14,1105.48,1105.48,1105.48,1105.48,0.53,5.85,489313,780004357.0,0.0,0.19
2010-04-15,1106.05,1106.05,1106.05,1106.05,0.05,0.57,540813,998132390.0,0.0,0.21
2010-04-16,1112.71,1112.71,1112.71,1112.71,0.6,6.66,524842,871446971.0,0.0,0.21
2010-04-19,1081.17,1081.17,1081.17,1081.17,-2.83,-31.54,550429,909890301.0,0.0,0.22
2010-04-20,1099.14,1099.14,1099.14,1099.14,1.66,17.97,519184,833301867.0,0.0,0.2
2010-04-21,1139.78,1139.78,1139.78,1139.78,3.7,40.64,908658,1472782648.0,0.0,0.36
2010-04-22,1139.62,1139.62,1139.62,1139.62,-0.01,-0.16,684493,1093114834.0,0.0,0.27
2010-04-23,1138.93,1138.93,1138.93,1138.93,-0.06,-0.69,535870,875080014.0,0.0,0.21
2010-04-26,1142.72,1142.72,1142.72,1142.72,0.33,3.79,425521,748515706.0,0.0,0.17
2010-04-27,1109.98,1109.98,1109.98,1109.98,-2.87,-32.74,562876,873105382.0,0.0,0.22
2010-04-28,1098.46,1098.46,1098.46,1098.46,-1.04,-11.52,448048,697672335.0,0.0,0.18
2010-04-29,1073.65,1073.65,1073.65,1073.65,-2.26,-24.81,484055,775072133.0,0.0,0.19
2010-04-30,1037.67,1037.67,1037.67,1037.67,-3.35,-35.98,747173,1395341846.0,0.0,0.29
2010-05-04,1030.9,1030.9,1030.9,1030.9,-0.65,-6.77,394946,681326944.0,0.0,0.15
2010-05-05,1061.47,1061.47,1061.47,1061.47,2.97,30.57,539585,979937688.0,0.0,0.21
2010-05-06,1034.2,1034.2,1034.2,1034.2,-2.57,-27.27,525068,1002721212.0,0.0,0.21
2010-05-07,1017.76,1017.76,1017.76,1017.76,-1.59,-16.44,495878,945588145.0,0.0,0.19
2010-05-10,980.59,980.59,980.59,980.59,-3.65,-37.17,453352,796965447.0,0.0,0.18
