日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,961.02,961.02,961.02,961.02,-3.9,-38.98,102641,110180116.0,0.0,0.13
2010-01-05,974.62,974.62,974.62,974.62,1.42,13.6,59085,63188658.0,0.0,0.08
2010-01-06,953.76,953.76,953.76,953.76,-2.14,-20.86,55635,58907676.0,0.0,0.07
2010-01-07,945.6,945.6,945.6,945.6,-0.86,-8.16,42962,45506007.0,0.0,0.06
2010-01-08,968.27,968.27,968.27,968.27,2.4,22.67,39046,41415715.0,0.0,0.05
2010-01-11,968.27,968.27,968.27,968.27,0.0,0.0,39468,41801049.0,0.0,0.05
2010-01-12,980.96,980.96,980.96,980.96,1.31,12.69,60311,64634860.0,0.0,0.08
2010-01-13,963.74,963.74,963.74,963.74,-1.76,-17.22,37778,40207849.0,0.0,0.05
2010-01-14,994.56,994.56,994.56,994.56,3.2,30.82,72061,78797324.0,0.0,0.09
2010-01-15,994.56,994.56,994.56,994.56,0.0,0.0,40934,44833389.0,0.0,0.05
2010-01-18,1024.48,1024.48,1024.48,1024.48,3.01,29.92,70816,79200938.0,0.0,0.09
2010-01-19,1008.16,1008.16,1008.16,1008.16,-1.59,-16.32,58002,64197654.0,0.0,0.07
2010-01-20,956.48,956.48,956.48,956.48,-5.13,-51.68,53166,57405731.0,0.0,0.07
2010-01-21,977.33,977.33,977.33,977.33,2.18,20.85,27604,29462875.0,0.0,0.04
2010-01-22,956.48,956.48,956.48,956.48,-2.13,-20.85,44217,46610048.0,0.0,0.06
2010-01-25,970.08,970.08,970.08,970.08,1.42,13.6,44483,47534752.0,0.0,0.06
2010-01-26,991.84,991.84,991.84,991.84,2.24,21.76,64076,69049777.0,0.0,0.08
2010-01-27,1024.48,1024.48,1024.48,1024.48,3.29,32.64,173129,193879924.0,0.0,0.22
2010-01-28,1060.74,1060.74,1060.74,1060.74,3.54,36.26,135594,154300518.0,0.0,0.17
2010-01-29,1049.86,1049.86,1049.86,1049.86,-1.03,-10.88,107888,125594028.0,0.0,0.14
2010-02-01,1033.55,1033.55,1033.55,1033.55,-1.55,-16.31,92850,105281394.0,0.0,0.12
2010-02-02,1046.24,1046.24,1046.24,1046.24,1.23,12.69,80097,93187213.0,0.0,0.1
2010-02-03,1069.81,1069.81,1069.81,1069.81,2.25,23.57,124726,145787602.0,0.0,0.16
2010-02-04,1042.61,1042.61,1042.61,1042.61,-2.54,-27.2,74125,85899665.0,0.0,0.1
2010-02-05,1053.49,1053.49,1053.49,1053.49,1.04,10.88,66149,74891773.0,0.0,0.09
2010-02-08,1051.68,1051.68,1051.68,1051.68,-0.17,-1.81,40884,47299865.0,0.0,0.05
2010-02-09,1027.2,1027.2,1027.2,1027.2,-2.33,-24.48,32866,37289960.0,0.0,0.04
2010-02-10,1048.96,1048.96,1048.96,1048.96,2.12,21.76,33848,38790249.0,0.0,0.04
2010-02-11,1041.7,1041.7,1041.7,1041.7,-0.69,-7.26,59825,70225580.0,0.0,0.08
2010-02-12,1063.46,1063.46,1063.46,1063.46,2.09,21.76,30406,35246019.0,0.0,0.04
2010-02-22,1089.76,1089.76,1089.76,1089.76,2.47,26.3,76448,91537662.0,0.0,0.1
2010-02-23,1112.42,1112.42,1112.42,1112.42,2.08,22.66,77119,93000778.0,0.0,0.1
2010-02-24,1116.05,1116.05,1116.05,1116.05,0.33,3.63,57641,71041099.0,0.0,0.07
2010-02-25,1145.06,1145.06,1145.06,1145.06,2.6,29.01,75515,95363195.0,0.0,0.1
2010-02-26,1138.71,1138.71,1138.71,1138.71,-0.55,-6.35,47771,60104478.0,0.0,0.06
2010-03-01,1142.34,1142.34,1142.34,1142.34,0.32,3.63,56925,71113976.0,0.0,0.07
2010-03-02,1184.04,1184.04,1184.04,1184.04,3.65,41.7,86080,112253102.0,0.0,0.11
2010-03-03,1223.03,1223.03,1223.03,1223.03,3.29,38.99,59897,79965932.0,0.0,0.08
2010-03-04,1190.39,1190.39,1190.39,1190.39,-2.67,-32.64,58303,77068370.0,0.0,0.07
2010-03-05,1171.35,1171.35,1171.35,1171.35,-1.6,-19.04,43295,56300935.0,0.0,0.06
2010-03-08,1187.67,1187.67,1187.67,1187.67,1.39,16.32,34873,45349229.0,0.0,0.04
2010-03-09,1174.07,1174.07,1174.07,1174.07,-1.15,-13.6,33452,42849795.0,0.0,0.04
2010-03-10,1145.06,1145.06,1145.06,1145.06,-2.47,-29.01,32227,40834467.0,0.0,0.04
2010-03-11,1150.5,1150.5,1150.5,1150.5,0.48,5.44,15502,19662547.0,0.0,0.02
2010-03-12,1149.59,1149.59,1149.59,1149.59,-0.08,-0.91,20919,26479244.0,0.0,0.03
2010-03-15,1213.06,1213.06,1213.06,1213.06,5.52,63.47,86888,114877813.0,0.0,0.11
2010-03-16,1222.12,1222.12,1222.12,1222.12,0.75,9.06,30662,40955139.0,0.0,0.04
2010-03-17,1221.22,1221.22,1221.22,1221.22,-0.07,-0.9,33770,45244209.0,0.0,0.04
2010-03-18,1222.12,1222.12,1222.12,1222.12,0.07,0.9,25072,33722211.0,0.0,0.03
2010-03-19,1203.08,1203.08,1203.08,1203.08,-1.56,-19.04,26518,35170358.0,0.0,0.03
2010-03-22,1201.27,1201.27,1201.27,1201.27,-0.15,-1.81,45052,58774705.0,0.0,0.06
2010-03-23,1201.27,1201.27,1201.27,1201.27,0.0,0.0,32551,43392581.0,0.0,0.04
2010-03-24,1208.52,1208.52,1208.52,1208.52,0.6,7.25,24689,32813826.0,0.0,0.03
2010-03-25,1157.75,1157.75,1157.75,1157.75,-4.2,-50.77,32577,42200499.0,0.0,0.04
2010-03-26,1180.42,1180.42,1180.42,1180.42,1.96,22.67,25561,33256936.0,0.0,0.03
2010-03-29,1214.87,1214.87,1214.87,1214.87,2.92,34.45,48410,64448370.0,0.0,0.06
2010-03-30,1219.4,1219.4,1219.4,1219.4,0.37,4.53,28343,37874339.0,0.0,0.04
2010-03-31,1185.86,1185.86,1185.86,1185.86,-2.75,-33.54,37019,48863696.0,0.0,0.05
2010-04-01,1217.59,1217.59,1217.59,1217.59,2.68,31.73,44254,58787284.0,0.0,0.06
2010-04-02,1279.24,1279.24,1279.24,1279.24,5.06,61.65,86778,120955569.0,0.0,0.11
2010-04-06,1308.25,1308.25,1308.25,1308.25,2.27,29.01,72363,104038373.0,0.0,0.09
2010-04-07,1312.78,1312.78,1312.78,1312.78,0.35,4.53,36844,53106166.0,0.0,0.05
2010-04-08,1332.73,1332.73,1332.73,1332.73,1.52,19.95,54931,80819042.0,0.0,0.07
2010-04-09,1346.33,1346.33,1346.33,1346.33,1.02,13.6,61133,90602504.0,0.0,0.08
2010-04-12,1367.18,1367.18,1367.18,1367.18,1.55,20.85,53566,79847802.0,0.0,0.07
2010-04-13,1330.92,1330.92,1330.92,1330.92,-2.65,-36.26,56331,82925628.0,0.0,0.07
2010-04-15,1330.92,1330.92,1330.92,1330.92,0.0,0.0,47194,69530389.0,0.0,0.06
2010-04-16,1338.17,1338.17,1338.17,1338.17,0.54,7.25,22676,33336915.0,0.0,0.03
2010-04-19,1242.07,1242.07,1242.07,1242.07,-7.18,-96.1,46263,64775671.0,0.0,0.06
2010-04-20,1252.04,1252.04,1252.04,1252.04,0.8,9.97,26065,35353221.0,0.0,0.03
2010-04-21,1291.93,1291.93,1291.93,1291.93,3.19,39.89,37041,51927811.0,0.0,0.05
2010-04-22,1306.44,1306.44,1306.44,1306.44,1.12,14.51,30096,42801173.0,0.0,0.04
2010-04-23,1304.62,1304.62,1304.62,1304.62,-0.14,-1.82,22514,32265230.0,0.0,0.03
2010-04-26,1349.05,1349.05,1349.05,1349.05,3.41,44.43,56342,82703278.0,0.0,0.07
2010-04-27,1349.05,1349.05,1349.05,1349.05,0.0,0.0,49761,73288034.0,0.0,0.06
2010-04-28,1349.96,1349.96,1349.96,1349.96,0.07,0.91,29724,43485921.0,0.0,0.04
2010-04-29,1366.27,1366.27,1366.27,1366.27,1.21,16.31,64494,97170661.0,0.0,0.08
2010-04-30,1368.99,1368.99,1368.99,1368.99,0.2,2.72,88846,131322202.0,0.0,0.11
2010-05-04,1390.75,1390.75,1390.75,1390.75,1.59,21.76,51579,78822341.0,0.0,0.07
2010-05-05,1365.37,1365.37,1365.37,1365.37,-1.82,-25.38,48782,73701516.0,0.0,0.06
2010-05-06,1387.13,1387.13,1387.13,1387.13,1.59,21.76,78229,121016803.0,0.0,0.1
2010-05-07,1336.36,1336.36,1336.36,1336.36,-3.66,-50.77,56494,84115495.0,0.0,0.07
2010-05-10,1352.68,1352.68,1352.68,1352.68,1.22,16.32,45793,66689959.0,0.0,0.06
2010-05-11,1305.53,1305.53,1305.53,1305.53,-3.49,-47.15,31310,45987863.0,0.0,0.04
2010-05-12,1174.98,1174.98,1174.98,1174.98,-10.0,-130.55,89685,120838011.0,0.0,0.12
2010-05-13,1265.64,1265.64,1265.64,1265.64,7.72,90.66,53267,72700694.0,0.0,0.07
2010-05-17,1151.41,1151.41,1151.41,1151.41,-9.03,-114.23,38500,50864233.0,0.0,0.05
2010-05-18,1162.29,1162.29,1162.29,1162.29,0.94,10.88,23360,29388819.0,0.0,0.03
2010-05-19,1178.6,1178.6,1178.6,1178.6,1.4,16.31,22115,28703720.0,0.0,0.03
2010-05-20,1174.07,1174.07,1174.07,1174.07,-0.38,-4.53,14082,18443385.0,0.0,0.02
2010-05-21,1211.24,1211.24,1211.24,1211.24,3.17,37.17,19017,24860517.0,0.0,0.02
2010-05-24,1269.27,1269.27,1269.27,1269.27,4.79,58.03,30171,41592218.0,0.0,0.04
2010-05-25,1274.71,1274.71,1274.71,1274.71,0.43,5.44,23797,33601998.0,0.0,0.03
2010-05-26,1278.33,1278.33,1278.33,1278.33,0.28,3.62,28304,40030747.0,0.0,0.04
2010-05-27,1298.28,1298.28,1298.28,1298.28,1.56,19.95,21464,30509338.0,0.0,0.03
2010-05-28,1317.32,1317.32,1317.32,1317.32,1.47,19.04,31967,46703216.0,0.0,0.04
2010-05-31,1278.33,1278.33,1278.33,1278.33,-2.96,-38.99,25836,37467101.0,0.0,0.03
2010-06-01,1304.62,1304.62,1304.62,1304.62,2.06,26.29,24088,34113152.0,0.0,0.03
2010-06-02,1330.92,1330.92,1330.92,1330.92,2.02,26.3,25559,37058565.0,0.0,0.03
2010-06-03,1340.89,1340.89,1340.89,1340.89,0.75,9.97,47563,71659010.0,0.0,0.06
2010-06-04,1362.65,1362.65,1362.65,1362.65,1.62,21.76,25211,37760646.0,0.0,0.03
2010-06-07,1367.18,1367.18,1367.18,1367.18,0.33,4.53,35722,53848091.0,0.0,0.05
2010-06-08,1359.93,1359.93,1359.93,1359.93,-0.53,-7.25,21848,32615758.0,0.0,0.03
2010-06-09,1389.85,1389.85,1389.85,1389.85,2.2,29.92,35056,53367642.0,0.0,0.05
2010-06-10,1392.57,1392.57,1392.57,1392.57,0.2,2.72,21335,32770868.0,0.0,0.03
2010-06-11,1386.22,1386.22,1386.22,1386.22,-0.46,-6.35,21307,32277075.0,0.0,0.03
2010-06-17,1365.37,1365.37,1365.37,1365.37,-1.5,-20.85,16089,24142308.0,0.0,0.02
2010-06-18,1339.98,1339.98,1339.98,1339.98,-1.86,-25.39,24473,36252661.0,0.0,0.03
2010-06-21,1359.93,1359.93,1359.93,1359.93,1.49,19.95,13777,20412134.0,0.0,0.02
2010-06-22,1363.55,1363.55,1363.55,1363.55,0.27,3.62,13361,20123769.0,0.0,0.02
2010-06-23,1359.93,1359.93,1359.93,1359.93,-0.27,-3.62,11324,17053513.0,0.0,0.01
2010-06-24,1359.93,1359.93,1359.93,1359.93,0.0,0.0,20660,30774105.0,0.0,0.03
2010-06-25,1348.14,1348.14,1348.14,1348.14,-0.87,-11.79,8354,12400855.0,0.0,0.01
2010-06-28,1329.1,1329.1,1329.1,1329.1,-1.41,-19.04,13395,19805482.0,0.0,0.02
2010-06-29,1286.49,1286.49,1286.49,1286.49,-3.21,-42.61,16110,23164383.0,0.0,0.02
2010-06-30,1253.85,1253.85,1253.85,1253.85,-2.54,-32.64,19256,26027649.0,0.0,0.02
2010-07-01,1233.0,1233.0,1233.0,1233.0,-1.66,-20.85,8903,12196472.0,0.0,0.01
2010-07-02,1231.19,1231.19,1231.19,1231.19,-0.15,-1.81,20460,27414234.0,0.0,0.03
2010-07-05,1260.2,1260.2,1260.2,1260.2,2.36,29.01,18789,25718936.0,0.0,0.02
2010-07-06,1318.22,1318.22,1318.22,1318.22,4.6,58.02,23846,34520120.0,0.0,0.03
2010-07-07,1321.85,1321.85,1321.85,1321.85,0.28,3.63,6206,9003123.0,0.0,0.01
2010-07-08,1340.89,1340.89,1340.89,1340.89,1.44,19.04,20855,30624871.0,0.0,0.03
2010-07-09,1387.13,1387.13,1387.13,1387.13,3.45,46.24,43311,65034531.0,0.0,0.06
2010-07-12,1370.81,1370.81,1370.81,1370.81,-1.18,-16.32,28621,43145601.0,0.0,0.04
2010-07-13,1345.42,1345.42,1345.42,1345.42,-1.85,-25.39,16366,24157346.0,0.0,0.02
2010-07-14,1339.08,1339.08,1339.08,1339.08,-0.47,-6.34,12911,19148538.0,0.0,0.02
2010-07-15,1330.92,1330.92,1330.92,1330.92,-0.61,-8.16,19052,28144343.0,0.0,0.02
2010-07-16,1318.22,1318.22,1318.22,1318.22,-0.95,-12.7,21063,30044038.0,0.0,0.03
2010-07-19,1385.31,1385.31,1385.31,1385.31,5.09,67.09,60171,90641345.0,0.0,0.08
2010-07-20,1413.42,1413.42,1413.42,1413.42,2.03,28.11,58478,91217580.0,0.0,0.08
2010-07-21,1406.17,1406.17,1406.17,1406.17,-0.51,-7.25,26999,42146042.0,0.0,0.03
2010-07-22,1468.72,1468.72,1468.72,1468.72,4.45,62.55,50558,80845534.0,0.0,0.06
2010-07-23,1474.16,1474.16,1474.16,1474.16,0.37,5.44,23293,37562659.0,0.0,0.03
2010-07-26,1455.12,1455.12,1455.12,1455.12,-1.29,-19.04,27732,44502510.0,0.0,0.04
2010-07-27,1441.52,1441.52,1441.52,1441.52,-0.93,-13.6,29220,46898582.0,0.0,0.04
2010-07-28,1448.78,1448.78,1448.78,1448.78,0.5,7.26,34125,54449549.0,0.0,0.04
2010-07-29,1447.87,1447.87,1447.87,1447.87,-0.06,-0.91,27582,44043293.0,0.0,0.04
2010-07-30,1407.07,1407.07,1407.07,1407.07,-2.82,-40.8,42745,66596208.0,0.0,0.05
2010-08-02,1446.96,1446.96,1446.96,1446.96,2.83,39.89,38432,61333840.0,0.0,0.05
2010-08-03,1412.51,1412.51,1412.51,1412.51,-2.38,-34.45,32324,50832737.0,0.0,0.04
2010-08-04,1398.91,1398.91,1398.91,1398.91,-0.96,-13.6,69811,105603697.0,0.0,0.09
2010-08-05,1372.62,1372.62,1372.62,1372.62,-1.88,-26.29,48399,73238952.0,0.0,0.06
2010-08-06,1432.46,1432.46,1432.46,1432.46,4.36,59.84,62960,98210836.0,0.0,0.08
