日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2011-08-01,1100.19,1100.19,1100.19,1100.19,10.02,100.19,110835,305296348.0,0.0,0.77
2011-08-02,1149.91,1149.91,1149.91,1149.91,4.52,49.72,119037,354173993.0,0.0,0.82
2011-08-03,1069.45,1069.45,1069.45,1069.45,-7.0,-80.46,68902,198304631.0,0.0,0.48
2011-08-04,1034.16,1034.16,1034.16,1034.16,-3.3,-35.29,53186,145751779.0,0.0,0.37
2011-08-05,1020.87,1020.87,1020.87,1020.87,-1.29,-13.29,40282,105954934.0,0.0,0.28
2011-08-08,918.79,918.79,918.79,918.79,-10.0,-102.08,36868,92830139.0,0.0,0.25
2011-08-09,864.14,864.14,864.14,864.14,-5.95,-54.65,51037,115020583.0,0.0,0.35
2011-08-10,847.44,847.44,847.44,847.44,-1.93,-16.7,40127,92403456.0,0.0,0.28
2011-08-11,880.84,880.84,880.84,880.84,3.94,33.4,40072,89204635.0,0.0,0.28
2011-08-12,865.28,865.28,865.28,865.28,-1.77,-15.56,34187,78971677.0,0.0,0.24
2011-08-15,917.65,917.65,917.65,917.65,6.05,52.37,42886,102060953.0,0.0,0.3
2011-08-16,916.51,916.51,916.51,916.51,-0.12,-1.14,34776,84825819.0,0.0,0.24
2011-08-17,927.51,927.51,927.51,927.51,1.2,11.0,27392,66455252.0,0.0,0.19
2011-08-18,867.17,867.17,867.17,867.17,-6.51,-60.34,30017,70622332.0,0.0,0.21
2011-08-19,836.05,836.05,836.05,836.05,-3.59,-31.12,17530,38464585.0,0.0,0.12
2011-08-22,885.01,885.01,885.01,885.01,5.86,48.96,29001,67586014.0,0.0,0.2
2011-08-23,948.77,948.77,948.77,948.77,7.2,63.76,49574,120784674.0,0.0,0.34
2011-08-24,935.48,935.48,935.48,935.48,-1.4,-13.29,48074,121213364.0,0.0,0.33
2011-08-25,939.28,939.28,939.28,939.28,0.41,3.8,28022,68503104.0,0.0,0.19
2011-08-26,1009.49,1009.49,1009.49,1009.49,7.47,70.21,57574,149244482.0,0.0,0.4
2011-08-29,986.72,986.72,986.72,986.72,-2.26,-22.77,36430,95642398.0,0.0,0.25
2011-08-30,941.94,941.94,941.94,941.94,-4.54,-44.78,29247,75227267.0,0.0,0.2
