日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1012.37,1012.37,1012.37,1012.37,1.24,12.37,455565,778234324.0,0.0,0.57
2010-01-05,1042.25,1042.25,1042.25,1042.25,2.95,29.88,862197,1995709505.0,0.0,1.07
2010-01-06,1041.99,1041.99,1041.99,1041.99,-0.02,-0.26,736886,1820514391.0,0.0,0.92
2010-01-07,1038.94,1038.94,1038.94,1038.94,-0.29,-3.05,731288,1678742443.0,0.0,0.91
2010-01-08,1033.94,1033.94,1033.94,1033.94,-0.48,-5.0,475218,1049009334.0,0.0,0.59
2010-01-11,1051.63,1051.63,1051.63,1051.63,1.71,17.69,551182,1247559495.0,0.0,0.68
2010-01-12,1070.46,1070.46,1070.46,1070.46,1.79,18.83,715206,1583127005.0,0.0,0.89
2010-01-13,1037.52,1037.52,1037.52,1037.52,-3.08,-32.94,867384,2132307172.0,0.0,1.08
2010-01-14,1066.88,1066.88,1066.88,1066.88,2.83,29.36,696449,1533299607.0,0.0,0.87
2010-01-15,1080.84,1080.84,1080.84,1080.84,1.31,13.96,679759,1409365388.0,0.0,0.84
2010-01-18,1089.19,1089.19,1089.19,1089.19,0.77,8.35,640391,1416573937.0,0.0,0.8
2010-01-19,1086.53,1086.53,1086.53,1086.53,-0.24,-2.66,425786,782869328.0,0.0,0.53
2010-01-20,1043.04,1043.04,1043.04,1043.04,-4.0,-43.49,530394,959079555.0,0.0,0.66
2010-01-21,1033.48,1033.48,1033.48,1033.48,-0.92,-9.56,339155,657285819.0,0.0,0.42
2010-01-22,1003.06,1003.06,1003.06,1003.06,-2.94,-30.42,410533,734593913.0,0.0,0.51
2010-01-25,991.53,991.53,991.53,991.53,-1.15,-11.53,240325,470014369.0,0.0,0.3
2010-01-26,949.72,949.72,949.72,949.72,-4.22,-41.81,283264,505417603.0,0.0,0.35
2010-01-27,935.56,935.56,935.56,935.56,-1.49,-14.16,239678,455190340.0,0.0,0.3
2010-01-28,920.64,920.64,920.64,920.64,-1.59,-14.92,548731,1192829550.0,0.0,0.68
2010-01-29,913.3,913.3,913.3,913.3,-0.8,-7.34,396728,805294504.0,0.0,0.49
2010-02-01,885.0,885.0,885.0,885.0,-3.1,-28.3,362171,675769705.0,0.0,0.45
2010-02-02,899.27,899.27,899.27,899.27,1.61,14.27,527721,848522644.0,0.0,0.66
2010-02-03,924.71,924.71,924.71,924.71,2.83,25.44,317032,624250733.0,0.0,0.39
2010-02-04,910.68,910.68,910.68,910.68,-1.52,-14.03,410496,665877896.0,0.0,0.51
2010-02-05,879.22,879.22,879.22,879.22,-3.45,-31.46,456915,727222545.0,0.0,0.57
2010-02-08,882.53,882.53,882.53,882.53,0.38,3.31,247895,417587520.0,0.0,0.31
2010-02-09,899.85,899.85,899.85,899.85,1.96,17.32,253260,482431769.0,0.0,0.31
2010-02-10,907.12,907.12,907.12,907.12,0.81,7.27,289879,561820971.0,0.0,0.36
2010-02-11,909.43,909.43,909.43,909.43,0.25,2.31,241236,437151102.0,0.0,0.3
2010-02-12,922.1,922.1,922.1,922.1,1.39,12.67,228777,445647924.0,0.0,0.28
2010-02-22,918.02,918.02,918.02,918.02,-0.44,-4.08,220365,402387610.0,0.0,0.27
2010-02-23,911.98,911.98,911.98,911.98,-0.66,-6.04,208022,384640075.0,0.0,0.26
2010-02-24,926.99,926.99,926.99,926.99,1.65,15.01,266866,479241117.0,0.0,0.33
2010-02-25,944.24,944.24,944.24,944.24,1.86,17.25,348884,603047764.0,0.0,0.43
2010-02-26,938.44,938.44,938.44,938.44,-0.61,-5.8,335202,611202572.0,0.0,0.42
2010-03-01,957.62,957.62,957.62,957.62,2.04,19.18,490221,965272208.0,0.0,0.61
2010-03-02,939.08,939.08,939.08,939.08,-1.94,-18.54,358143,655940892.0,0.0,0.44
2010-03-03,953.64,953.64,953.64,953.64,1.55,14.56,423550,759768184.0,0.0,0.53
2010-03-04,919.54,919.54,919.54,919.54,-3.58,-34.1,419895,735062389.0,0.0,0.52
2010-03-05,925.08,925.08,925.08,925.08,0.6,5.54,320084,573192531.0,0.0,0.4
2010-03-08,938.7,938.7,938.7,938.7,1.47,13.62,371878,558984342.0,0.0,0.46
2010-03-09,942.96,942.96,942.96,942.96,0.45,4.26,358487,618020315.0,0.0,0.45
2010-03-10,933.67,933.67,933.67,933.67,-0.99,-9.29,317512,548513032.0,0.0,0.39
2010-03-11,919.91,919.91,919.91,919.91,-1.47,-13.76,264483,428741767.0,0.0,0.33
2010-03-12,903.05,903.05,903.05,903.05,-1.83,-16.86,276530,458792257.0,0.0,0.34
2010-03-15,897.55,897.55,897.55,897.55,-0.61,-5.5,440000,607460381.0,0.0,0.55
2010-03-16,903.96,903.96,903.96,903.96,0.71,6.41,287864,395099261.0,0.0,0.36
2010-03-17,924.85,924.85,924.85,924.85,2.31,20.89,348404,510419138.0,0.0,0.43
2010-03-18,920.16,920.16,920.16,920.16,-0.51,-4.69,239504,344429608.0,0.0,0.3
2010-03-19,955.05,955.05,955.05,955.05,3.79,34.89,622532,918439517.0,0.0,0.77
2010-03-22,952.93,952.93,952.93,952.93,-0.22,-2.12,405903,628754798.0,0.0,0.5
2010-03-23,942.48,942.48,942.48,942.48,-1.1,-10.45,412039,633379544.0,0.0,0.51
2010-03-24,943.05,943.05,943.05,943.05,0.06,0.57,391277,600818176.0,0.0,0.49
2010-03-25,925.67,925.67,925.67,925.67,-1.84,-17.38,362467,592807190.0,0.0,0.45
2010-03-26,933.46,933.46,933.46,933.46,0.84,7.79,283710,417921711.0,0.0,0.35
2010-03-29,958.06,958.06,958.06,958.06,2.64,24.6,530619,897434758.0,0.0,0.66
2010-03-30,966.65,966.65,966.65,966.65,0.9,8.59,473077,836889284.0,0.0,0.59
2010-03-31,965.33,965.33,965.33,965.33,-0.14,-1.32,423852,767904389.0,0.0,0.53
