日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1018.01,1018.01,1018.01,1018.01,1.8,18.01,518404,990693729.0,0.0,0.3
2010-01-05,1036.21,1036.21,1036.21,1036.21,1.79,18.2,454439,885276460.0,0.0,0.26
2010-01-06,1030.5,1030.5,1030.5,1030.5,-0.55,-5.71,453356,900617493.0,0.0,0.26
2010-01-07,1018.34,1018.34,1018.34,1018.34,-1.18,-12.16,358876,685617370.0,0.0,0.21
2010-01-08,1025.01,1025.01,1025.01,1025.01,0.65,6.67,319651,629067330.0,0.0,0.18
2010-01-11,1037.02,1037.02,1037.02,1037.02,1.17,12.01,268672,503476873.0,0.0,0.15
2010-01-12,1078.98,1078.98,1078.98,1078.98,4.05,41.96,378621,701857415.0,0.0,0.22
2010-01-13,1080.85,1080.85,1080.85,1080.85,0.17,1.87,438913,794903003.0,0.0,0.25
2010-01-14,1107.07,1107.07,1107.07,1107.07,2.43,26.22,392226,777072570.0,0.0,0.23
2010-01-15,1104.14,1104.14,1104.14,1104.14,-0.26,-2.93,292300,568441046.0,0.0,0.17
2010-01-18,1108.37,1108.37,1108.37,1108.37,0.38,4.23,298990,578476191.0,0.0,0.17
2010-01-19,1121.91,1121.91,1121.91,1121.91,1.22,13.54,248445,495637412.0,0.0,0.14
2010-01-20,1088.2,1088.2,1088.2,1088.2,-3.0,-33.71,348539,688848047.0,0.0,0.2
2010-01-21,1085.38,1085.38,1085.38,1085.38,-0.26,-2.82,191758,366686812.0,0.0,0.11
2010-01-22,1058.15,1058.15,1058.15,1058.15,-2.51,-27.23,269042,506408657.0,0.0,0.15
2010-01-25,1069.01,1069.01,1069.01,1069.01,1.03,10.86,156744,342630139.0,0.0,0.09
2010-01-26,1015.0,1015.0,1015.0,1015.0,-5.05,-54.01,227087,454598871.0,0.0,0.13
2010-01-27,1008.23,1008.23,1008.23,1008.23,-0.67,-6.77,151872,276905043.0,0.0,0.09
2010-01-28,1006.87,1006.87,1006.87,1006.87,-0.13,-1.36,115050,220399230.0,0.0,0.07
2010-01-29,1019.1,1019.1,1019.1,1019.1,1.21,12.23,153162,280016354.0,0.0,0.09
2010-02-01,1023.5,1023.5,1023.5,1023.5,0.43,4.4,170950,308211925.0,0.0,0.1
2010-02-02,1021.25,1021.25,1021.25,1021.25,-0.22,-2.25,241924,410437002.0,0.0,0.14
2010-02-03,1019.1,1019.1,1019.1,1019.1,-0.21,-2.15,266765,474984128.0,0.0,0.15
2010-02-04,1034.02,1034.02,1034.02,1034.02,1.46,14.92,221557,406675491.0,0.0,0.13
2010-02-05,1017.07,1017.07,1017.07,1017.07,-1.64,-16.95,165625,301315740.0,0.0,0.1
2010-02-08,1026.67,1026.67,1026.67,1026.67,0.94,9.6,176632,347747130.0,0.0,0.1
2010-02-09,996.13,996.13,996.13,996.13,-2.97,-30.54,148471,299353304.0,0.0,0.09
2010-02-10,1006.57,1006.57,1006.57,1006.57,1.05,10.44,170404,340671265.0,0.0,0.1
2010-02-11,995.55,995.55,995.55,995.55,-1.09,-11.02,102512,194927796.0,0.0,0.06
2010-02-12,1005.69,1005.69,1005.69,1005.69,1.02,10.14,99735,190002763.0,0.0,0.06
2010-02-22,1015.86,1015.86,1015.86,1015.86,1.01,10.17,152145,245797139.0,0.0,0.09
2010-02-23,1032.75,1032.75,1032.75,1032.75,1.66,16.89,155095,275976843.0,0.0,0.09
