日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.54,1000.54,1000.54,1000.54,0.05,0.54,374826,379487981.0,0.0,0.25
2010-01-05,1019.04,1019.04,1019.04,1019.04,1.85,18.5,538589,593057778.0,0.0,0.35
2010-01-06,1007.58,1007.58,1007.58,1007.58,-1.12,-11.46,462518,487163934.0,0.0,0.3
2010-01-07,979.28,979.28,979.28,979.28,-2.81,-28.3,468960,451744365.0,0.0,0.31
2010-01-08,993.71,993.71,993.71,993.71,1.47,14.43,492629,451667476.0,0.0,0.32
2010-01-11,1008.14,1008.14,1008.14,1008.14,1.45,14.43,581432,568111891.0,0.0,0.38
2010-01-12,1028.43,1028.43,1028.43,1028.43,2.01,20.29,580589,600068274.0,0.0,0.38
2010-01-13,1011.6,1011.6,1011.6,1011.6,-1.64,-16.83,471711,474928616.0,0.0,0.31
2010-01-14,1034.89,1034.89,1034.89,1034.89,2.3,23.29,539343,581887978.0,0.0,0.35
2010-01-15,1038.58,1038.58,1038.58,1038.58,0.36,3.69,747010,599726139.0,0.0,0.49
2010-01-18,1066.72,1066.72,1066.72,1066.72,2.71,28.14,752377,733297408.0,0.0,0.49
2010-01-19,1084.83,1084.83,1084.83,1084.83,1.7,18.11,928501,1150509629.0,0.0,0.61
2010-01-20,1047.66,1047.66,1047.66,1047.66,-3.43,-37.17,919165,1052492982.0,0.0,0.6
2010-01-21,1050.16,1050.16,1050.16,1050.16,0.24,2.5,547378,638615296.0,0.0,0.36
2010-01-22,1017.67,1017.67,1017.67,1017.67,-3.09,-32.49,560438,660794175.0,0.0,0.37
2010-01-25,992.69,992.69,992.69,992.69,-2.45,-24.98,297703,369423948.0,0.0,0.2
2010-01-26,966.38,966.38,966.38,966.38,-2.65,-26.31,399962,430110668.0,0.0,0.26
2010-01-27,967.68,967.68,967.68,967.68,0.13,1.3,314908,422565470.0,0.0,0.21
2010-01-28,977.25,977.25,977.25,977.25,0.99,9.57,261858,323025724.0,0.0,0.17
2010-01-29,981.87,981.87,981.87,981.87,0.47,4.62,326565,401804330.0,0.0,0.21
2010-02-01,968.53,968.53,968.53,968.53,-1.36,-13.34,409070,591214539.0,0.0,0.27
2010-02-02,958.82,958.82,958.82,958.82,-1.0,-9.71,262239,338836377.0,0.0,0.17
2010-02-03,965.83,965.83,965.83,965.83,0.73,7.01,448306,586655057.0,0.0,0.29
2010-02-04,989.38,989.38,989.38,989.38,2.44,23.55,521996,652301798.0,0.0,0.34
2010-02-05,967.25,967.25,967.25,967.25,-2.24,-22.13,593718,812137882.0,0.0,0.39
2010-02-08,962.3,962.3,962.3,962.3,-0.51,-4.95,285556,355934855.0,0.0,0.19
2010-02-09,960.7,960.7,960.7,960.7,-0.17,-1.6,253055,263719486.0,0.0,0.17
2010-02-10,980.21,980.21,980.21,980.21,2.03,19.51,234348,274845907.0,0.0,0.15
2010-02-11,974.89,974.89,974.89,974.89,-0.54,-5.32,240992,278812799.0,0.0,0.16
2010-02-12,986.92,986.92,986.92,986.92,1.23,12.03,210848,226911477.0,0.0,0.14
2010-02-22,984.19,984.19,984.19,984.19,-0.28,-2.73,336517,375130591.0,0.0,0.22
2010-02-23,1006.36,1006.36,1006.36,1006.36,2.25,22.17,318864,380455141.0,0.0,0.21
2010-02-24,1030.2,1030.2,1030.2,1030.2,2.37,23.84,561353,578742642.0,0.0,0.37
