日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.37,998.37,998.37,998.37,-0.16,-1.63,238399,226634941.0,0.0,0.19
2010-01-05,1016.06,1016.06,1016.06,1016.06,1.77,17.69,317753,301058181.0,0.0,0.25
2010-01-06,1008.85,1008.85,1008.85,1008.85,-0.71,-7.21,379086,346513598.0,0.0,0.3
2010-01-07,989.51,989.51,989.51,989.51,-1.92,-19.34,539772,402333960.0,0.0,0.43
2010-01-08,1013.98,1013.98,1013.98,1013.98,2.47,24.47,294649,273049511.0,0.0,0.23
2010-01-11,1040.89,1040.89,1040.89,1040.89,2.65,26.91,408944,456970880.0,0.0,0.33
2010-01-12,1056.63,1056.63,1056.63,1056.63,1.51,15.74,411459,441492020.0,0.0,0.33
2010-01-13,1090.3,1090.3,1090.3,1090.3,3.19,33.67,622657,651047845.0,0.0,0.5
2010-01-14,1117.52,1117.52,1117.52,1117.52,2.5,27.22,669549,1078220855.0,0.0,0.53
2010-01-15,1119.9,1119.9,1119.9,1119.9,0.21,2.38,540519,705024310.0,0.0,0.43
2010-01-18,1121.07,1121.07,1121.07,1121.07,0.1,1.17,445795,572603636.0,0.0,0.35
2010-01-19,1135.16,1135.16,1135.16,1135.16,1.26,14.09,382759,588387507.0,0.0,0.3
2010-01-20,1128.68,1128.68,1128.68,1128.68,-0.57,-6.48,686622,955064637.0,0.0,0.55
2010-01-21,1134.66,1134.66,1134.66,1134.66,0.53,5.98,523124,622268827.0,0.0,0.42
2010-01-22,1077.14,1077.14,1077.14,1077.14,-5.07,-57.52,485911,580680427.0,0.0,0.39
2010-01-25,1064.88,1064.88,1064.88,1064.88,-1.14,-12.26,253228,313069893.0,0.0,0.2
2010-01-26,1018.83,1018.83,1018.83,1018.83,-4.32,-46.05,283263,346441910.0,0.0,0.23
2010-01-27,1008.01,1008.01,1008.01,1008.01,-1.06,-10.82,185337,247210903.0,0.0,0.15
2010-01-28,1017.21,1017.21,1017.21,1017.21,0.91,9.2,165140,233443083.0,0.0,0.13
2010-01-29,1040.29,1040.29,1040.29,1040.29,2.27,23.08,202320,272828718.0,0.0,0.16
2010-02-01,1037.34,1037.34,1037.34,1037.34,-0.28,-2.95,277072,437654511.0,0.0,0.22
2010-02-02,1065.67,1065.67,1065.67,1065.67,2.73,28.33,311318,512372389.0,0.0,0.25
2010-02-03,1066.95,1066.95,1066.95,1066.95,0.12,1.28,321922,412735553.0,0.0,0.26
2010-02-04,1069.0,1069.0,1069.0,1069.0,0.19,2.05,304660,412617390.0,0.0,0.24
2010-02-05,1023.97,1023.97,1023.97,1023.97,-4.21,-45.03,271454,356948849.0,0.0,0.22
2010-02-08,1016.3,1016.3,1016.3,1016.3,-0.75,-7.67,187695,237164670.0,0.0,0.15
2010-02-09,1014.95,1014.95,1014.95,1014.95,-0.13,-1.35,174027,203850131.0,0.0,0.14
2010-02-10,1035.1,1035.1,1035.1,1035.1,1.99,20.15,152217,195285716.0,0.0,0.12
2010-02-11,1029.22,1029.22,1029.22,1029.22,-0.57,-5.88,204883,197370031.0,0.0,0.16
2010-02-12,1058.1,1058.1,1058.1,1058.1,2.81,28.88,363989,292434441.0,0.0,0.29
2010-02-22,1083.36,1083.36,1083.36,1083.36,2.39,25.26,534883,456960190.0,0.0,0.43
2010-02-23,1094.18,1094.18,1094.18,1094.18,1.0,10.82,813896,619608637.0,0.0,0.65
2010-02-24,1113.27,1113.27,1113.27,1113.27,1.74,19.09,608203,538399333.0,0.0,0.48
2010-02-25,1123.81,1123.81,1123.81,1123.81,0.95,10.54,548923,445922764.0,0.0,0.44
2010-02-26,1131.22,1131.22,1131.22,1131.22,0.66,7.41,649226,581060540.0,0.0,0.52
2010-03-01,1145.94,1145.94,1145.94,1145.94,1.3,14.72,524406,495612023.0,0.0,0.42
2010-03-02,1172.16,1172.16,1172.16,1172.16,2.29,26.22,682672,739575130.0,0.0,0.54
2010-03-03,1204.53,1204.53,1204.53,1204.53,2.76,32.37,804200,928911857.0,0.0,0.64
2010-03-04,1143.84,1143.84,1143.84,1143.84,-5.04,-60.69,692117,745665363.0,0.0,0.55
2010-03-05,1136.97,1136.97,1136.97,1136.97,-0.6,-6.87,360621,396289485.0,0.0,0.29
2010-03-08,1126.91,1126.91,1126.91,1126.91,-0.88,-10.06,343034,666344422.0,0.0,0.27
2010-03-09,1116.6,1116.6,1116.6,1116.6,-0.91,-10.31,282058,495180470.0,0.0,0.22
2010-03-10,1113.04,1113.04,1113.04,1113.04,-0.32,-3.56,303140,438641519.0,0.0,0.24
2010-03-11,1121.82,1121.82,1121.82,1121.82,0.79,8.78,291074,528172437.0,0.0,0.23
2010-03-12,1111.18,1111.18,1111.18,1111.18,-0.95,-10.64,289297,517782465.0,0.0,0.23
2010-03-15,1094.31,1094.31,1094.31,1094.31,-1.52,-16.87,348174,701278373.0,0.0,0.28
2010-03-16,1088.28,1088.28,1088.28,1088.28,-0.55,-6.03,263772,502891239.0,0.0,0.21
