日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1006.74,1006.74,1006.74,1006.74,0.67,6.74,229142,233565946.0,0.0,0.18
2010-01-05,1018.51,1018.51,1018.51,1018.51,1.17,11.77,268379,273698438.0,0.0,0.22
2010-01-06,1005.7,1005.7,1005.7,1005.7,-1.26,-12.81,247123,264721516.0,0.0,0.2
2010-01-07,980.85,980.85,980.85,980.85,-2.47,-24.85,248594,245337045.0,0.0,0.2
2010-01-08,1001.52,1001.52,1001.52,1001.52,2.11,20.67,199123,222766083.0,0.0,0.16
2010-01-11,992.87,992.87,992.87,992.87,-0.86,-8.65,187689,194480276.0,0.0,0.15
2010-01-12,1021.99,1021.99,1021.99,1021.99,2.93,29.12,259003,268549638.0,0.0,0.21
2010-01-13,1013.09,1013.09,1013.09,1013.09,-0.87,-8.9,381694,322896129.0,0.0,0.31
2010-01-14,1033.34,1033.34,1033.34,1033.34,2.0,20.25,369386,348730094.0,0.0,0.3
2010-01-15,1043.18,1043.18,1043.18,1043.18,0.95,9.84,341021,355110092.0,0.0,0.27
2010-01-18,1055.49,1055.49,1055.49,1055.49,1.18,12.31,266642,304628666.0,0.0,0.21
2010-01-19,1044.9,1044.9,1044.9,1044.9,-1.0,-10.59,315203,414105135.0,0.0,0.25
2010-01-20,997.18,997.18,997.18,997.18,-4.57,-47.72,189371,264686846.0,0.0,0.15
2010-01-21,988.1,988.1,988.1,988.1,-0.91,-9.08,183388,180409854.0,0.0,0.15
2010-01-22,957.02,957.02,957.02,957.02,-3.15,-31.08,216140,219541742.0,0.0,0.17
2010-01-25,949.71,949.71,949.71,949.71,-0.76,-7.31,97909,96559679.0,0.0,0.08
2010-01-26,926.33,926.33,926.33,926.33,-2.46,-23.38,171620,173561979.0,0.0,0.14
2010-01-27,919.28,919.28,919.28,919.28,-0.76,-7.05,108430,105220520.0,0.0,0.09
2010-01-28,922.48,922.48,922.48,922.48,0.35,3.2,109320,104766416.0,0.0,0.09
2010-01-29,926.55,926.55,926.55,926.55,0.44,4.07,146933,173215770.0,0.0,0.12
2010-02-01,906.19,906.19,906.19,906.19,-2.2,-20.36,150618,186386701.0,0.0,0.12
2010-02-02,904.75,904.75,904.75,904.75,-0.16,-1.44,109862,129683910.0,0.0,0.09
2010-02-03,925.19,925.19,925.19,925.19,2.26,20.44,143205,154742436.0,0.0,0.12
2010-02-04,933.31,933.31,933.31,933.31,0.88,8.12,159171,167746962.0,0.0,0.13
2010-02-05,918.88,918.88,918.88,918.88,-1.55,-14.43,195468,187269629.0,0.0,0.16
2010-02-08,912.07,912.07,912.07,912.07,-0.74,-6.81,123995,121220619.0,0.0,0.1
2010-02-09,910.25,910.25,910.25,910.25,-0.2,-1.82,66988,63556771.0,0.0,0.05
2010-02-10,924.6,924.6,924.6,924.6,1.58,14.35,61876,62674977.0,0.0,0.05
2010-02-11,919.77,919.77,919.77,919.77,-0.52,-4.83,77811,78499602.0,0.0,0.06
2010-02-12,928.03,928.03,928.03,928.03,0.9,8.26,65229,63939486.0,0.0,0.05
2010-02-22,925.69,925.69,925.69,925.69,-0.25,-2.34,86671,82075748.0,0.0,0.07
2010-02-23,918.84,918.84,918.84,918.84,-0.74,-6.85,100109,99141281.0,0.0,0.08
2010-02-24,942.74,942.74,942.74,942.74,2.6,23.9,143536,135781155.0,0.0,0.12
2010-02-25,963.46,963.46,963.46,963.46,2.2,20.72,200432,205165130.0,0.0,0.16
2010-02-26,970.26,970.26,970.26,970.26,0.71,6.8,196946,205926950.0,0.0,0.16
2010-03-01,991.34,991.34,991.34,991.34,2.17,21.08,296393,800316597.0,0.0,0.24
2010-03-02,1007.33,1007.33,1007.33,1007.33,1.61,15.99,334006,777280112.0,0.0,0.27
2010-03-03,1010.52,1010.52,1010.52,1010.52,0.32,3.19,256739,560815121.0,0.0,0.21
2010-03-04,975.67,975.67,975.67,975.67,-3.45,-34.85,294072,544596908.0,0.0,0.24
2010-03-05,974.64,974.64,974.64,974.64,-0.11,-1.03,183552,355323125.0,0.0,0.15
2010-03-08,987.14,987.14,987.14,987.14,1.28,12.5,173657,356827569.0,0.0,0.14
2010-03-09,988.36,988.36,988.36,988.36,0.12,1.22,120649,245365318.0,0.0,0.1
2010-03-10,979.77,979.77,979.77,979.77,-0.87,-8.59,127262,246718956.0,0.0,0.1
2010-03-11,981.01,981.01,981.01,981.01,0.13,1.24,142214,320800823.0,0.0,0.11
2010-03-12,963.03,963.03,963.03,963.03,-1.83,-17.98,128089,298598286.0,0.0,0.1
2010-03-15,951.82,951.82,951.82,951.82,-1.16,-11.21,114982,261932759.0,0.0,0.09
2010-03-16,960.37,960.37,960.37,960.37,0.9,8.55,87261,234666931.0,0.0,0.07
2010-03-17,985.59,985.59,985.59,985.59,2.63,25.22,113098,192642596.0,0.0,0.09
2010-03-18,999.67,999.67,999.67,999.67,1.43,14.08,122236,266054103.0,0.0,0.1
2010-03-19,1007.32,1007.32,1007.32,1007.32,0.77,7.65,139398,207546459.0,0.0,0.11
2010-03-22,1005.59,1005.59,1005.59,1005.59,-0.17,-1.73,144926,220881383.0,0.0,0.12
2010-03-23,1003.5,1003.5,1003.5,1003.5,-0.21,-2.09,174241,265526396.0,0.0,0.14
2010-03-24,1017.79,1017.79,1017.79,1017.79,1.42,14.29,404970,736209075.0,0.0,0.33
2010-03-25,1014.64,1014.64,1014.64,1014.64,-0.31,-3.15,351695,648295967.0,0.0,0.28
2010-03-26,1020.39,1020.39,1020.39,1020.39,0.57,5.75,252941,438103770.0,0.0,0.2
2010-03-29,1039.15,1039.15,1039.15,1039.15,1.84,18.76,307611,535233261.0,0.0,0.25
2010-03-30,1046.19,1046.19,1046.19,1046.19,0.68,7.04,261254,442769059.0,0.0,0.21
2010-03-31,1050.25,1050.25,1050.25,1050.25,0.39,4.06,235103,449766929.0,0.0,0.19
2010-04-01,1061.86,1061.86,1061.86,1061.86,1.11,11.61,380717,629581721.0,0.0,0.31
2010-04-02,1057.63,1057.63,1057.63,1057.63,-0.4,-4.23,212280,469309914.0,0.0,0.17
2010-04-06,1078.72,1078.72,1078.72,1078.72,1.99,21.09,336144,575160700.0,0.0,0.27
2010-04-07,1109.39,1109.39,1109.39,1109.39,2.84,30.67,657375,851312328.0,0.0,0.53
2010-04-08,1095.43,1095.43,1095.43,1095.43,-1.26,-13.96,458957,677220869.0,0.0,0.37
2010-04-09,1116.18,1116.18,1116.18,1116.18,1.89,20.75,353691,508880068.0,0.0,0.28
2010-04-12,1121.55,1121.55,1121.55,1121.55,0.48,5.37,411112,600307909.0,0.0,0.33
2010-04-13,1095.68,1095.68,1095.68,1095.68,-2.31,-25.87,507499,852249643.0,0.0,0.41
2010-04-14,1094.5,1094.5,1094.5,1094.5,-0.11,-1.18,304790,477335200.0,0.0,0.24
2010-04-15,1114.27,1114.27,1114.27,1114.27,1.81,19.77,563540,859809352.0,0.0,0.45
2010-04-16,1117.0,1117.0,1117.0,1117.0,0.25,2.73,413587,627268471.0,0.0,0.33
2010-04-19,1080.02,1080.02,1080.02,1080.02,-3.31,-36.98,482245,664078786.0,0.0,0.39
2010-04-20,1107.88,1107.88,1107.88,1107.88,2.58,27.86,470887,625937711.0,0.0,0.38
2010-04-21,1132.04,1132.04,1132.04,1132.04,2.18,24.16,491781,749398386.0,0.0,0.4
2010-04-22,1151.12,1151.12,1151.12,1151.12,1.69,19.08,508718,751305572.0,0.0,0.41
2010-04-23,1152.25,1152.25,1152.25,1152.25,0.1,1.13,420863,692054235.0,0.0,0.34
2010-04-26,1126.94,1126.94,1126.94,1126.94,-2.2,-25.31,311320,612906107.0,0.0,0.25
2010-04-27,1070.76,1070.76,1070.76,1070.76,-4.99,-56.18,396950,622816136.0,0.0,0.32
2010-04-28,1045.57,1045.57,1045.57,1045.57,-2.35,-25.19,265707,459118202.0,0.0,0.21
2010-04-29,1017.81,1017.81,1017.81,1017.81,-2.66,-27.76,270631,366135966.0,0.0,0.22
2010-04-30,986.06,986.06,986.06,986.06,-3.12,-31.75,278731,360285457.0,0.0,0.22
2010-05-04,989.52,989.52,989.52,989.52,0.35,3.46,174866,241099833.0,0.0,0.14
2010-05-05,1025.11,1025.11,1025.11,1025.11,3.6,35.59,191742,295855680.0,0.0,0.15
2010-05-06,989.42,989.42,989.42,989.42,-3.48,-35.69,186032,286335761.0,0.0,0.15
2010-05-07,968.5,968.5,968.5,968.5,-2.11,-20.92,190643,291563529.0,0.0,0.15
2010-05-10,977.56,977.56,977.56,977.56,0.94,9.06,183013,211176417.0,0.0,0.15
2010-05-11,960.0,960.0,960.0,960.0,-1.8,-17.56,172102,224752954.0,0.0,0.14
2010-05-12,934.78,934.78,934.78,934.78,-2.63,-25.22,134557,240443804.0,0.0,0.11
2010-05-13,950.01,950.01,950.01,950.01,1.63,15.23,166779,144595548.0,0.0,0.13
2010-05-14,951.67,951.67,951.67,951.67,0.17,1.66,156982,241086031.0,0.0,0.13
2010-05-17,878.27,878.27,878.27,878.27,-7.71,-73.4,172046,206238578.0,0.0,0.14
2010-05-18,876.82,876.82,876.82,876.82,-0.17,-1.45,185255,220380961.0,0.0,0.15
2010-05-19,884.65,884.65,884.65,884.65,0.89,7.83,277092,485434853.0,0.0,0.22
2010-05-20,853.39,853.39,853.39,853.39,-3.53,-31.26,209886,324588851.0,0.0,0.17
2010-05-21,875.36,875.36,875.36,875.36,2.57,21.97,242429,337317566.0,0.0,0.19
2010-05-24,915.94,915.94,915.94,915.94,4.64,40.58,333841,568918179.0,0.0,0.27
2010-05-25,898.59,898.59,898.59,898.59,-1.89,-17.35,250679,342589936.0,0.0,0.2
2010-05-26,908.43,908.43,908.43,908.43,1.1,9.84,273450,739434114.0,0.0,0.22
2010-05-27,924.96,924.96,924.96,924.96,1.82,16.53,283121,638633285.0,0.0,0.23
2010-05-28,929.08,929.08,929.08,929.08,0.45,4.12,295505,550955379.0,0.0,0.24
2010-05-31,901.77,901.77,901.77,901.77,-2.94,-27.31,244295,448266394.0,0.0,0.2
2010-06-01,878.89,878.89,878.89,878.89,-2.54,-22.88,216391,350545524.0,0.0,0.17
2010-06-02,889.17,889.17,889.17,889.17,1.17,10.28,137997,243735758.0,0.0,0.11
2010-06-03,884.34,884.34,884.34,884.34,-0.54,-4.83,162449,287985413.0,0.0,0.13
2010-06-04,896.02,896.02,896.02,896.02,1.32,11.68,152877,253587810.0,0.0,0.12
2010-06-07,899.81,899.81,899.81,899.81,0.42,3.79,217274,391279946.0,0.0,0.17
2010-06-08,904.88,904.88,904.88,904.88,0.56,5.07,160989,267181301.0,0.0,0.13
2010-06-09,919.46,919.46,919.46,919.46,1.61,14.58,217027,349266207.0,0.0,0.17
2010-06-10,933.61,933.61,933.61,933.61,1.54,14.15,236421,413754122.0,0.0,0.19
2010-06-11,928.37,928.37,928.37,928.37,-0.56,-5.24,198670,348783074.0,0.0,0.16
2010-06-17,927.84,927.84,927.84,927.84,-0.06,-0.53,182548,300414370.0,0.0,0.15
2010-06-18,879.85,879.85,879.85,879.85,-5.17,-47.99,236217,387967779.0,0.0,0.19
2010-06-21,904.96,904.96,904.96,904.96,2.85,25.11,169584,266496457.0,0.0,0.14
2010-06-22,909.52,909.52,909.52,909.52,0.5,4.56,189889,262604564.0,0.0,0.15
2010-06-23,897.16,897.16,897.16,897.16,-1.36,-12.36,158789,246854156.0,0.0,0.13
2010-06-24,899.46,899.46,899.46,899.46,0.26,2.3,130560,201414136.0,0.0,0.1
2010-06-25,880.38,880.38,880.38,880.38,-2.12,-19.08,122418,191503867.0,0.0,0.1
2010-06-28,861.41,861.41,861.41,861.41,-2.15,-18.97,134126,200736277.0,0.0,0.11
2010-06-29,805.68,805.68,805.68,805.68,-6.47,-55.73,199550,329149288.0,0.0,0.16
2010-06-30,786.72,786.72,786.72,786.72,-2.35,-18.96,138169,189049632.0,0.0,0.11
2010-07-01,778.95,778.95,778.95,778.95,-0.99,-7.77,130826,228514055.0,0.0,0.11
2010-07-02,768.58,768.58,768.58,768.58,-1.33,-10.37,145782,236786925.0,0.0,0.12
2010-07-05,766.81,766.81,766.81,766.81,-0.23,-1.77,94914,159359437.0,0.0,0.08
2010-07-06,785.32,785.32,785.32,785.32,2.41,18.51,121448,201512440.0,0.0,0.1
2010-07-07,805.71,805.71,805.71,805.71,2.6,20.39,126385,189402337.0,0.0,0.1
2010-07-08,797.3,797.3,797.3,797.3,-1.04,-8.41,119826,184792567.0,0.0,0.1
2010-07-09,818.93,818.93,818.93,818.93,2.71,21.63,153329,242470401.0,0.0,0.12
2010-07-12,822.49,822.49,822.49,822.49,0.43,3.56,177034,234200036.0,0.0,0.14
2010-07-13,806.68,806.68,806.68,806.68,-1.92,-15.81,137715,214812665.0,0.0,0.11
2010-07-14,814.81,814.81,814.81,814.81,1.01,8.13,133055,165838522.0,0.0,0.11
2010-07-15,795.9,795.9,795.9,795.9,-2.32,-18.91,137646,215758528.0,0.0,0.11
2010-07-16,791.16,791.16,791.16,791.16,-0.6,-4.74,121933,180036245.0,0.0,0.1
2010-07-19,806.26,806.26,806.26,806.26,1.91,15.1,141453,171615748.0,0.0,0.11
2010-07-20,834.81,834.81,834.81,834.81,3.54,28.55,254188,365277460.0,0.0,0.2
2010-07-21,840.52,840.52,840.52,840.52,0.68,5.71,233316,341762477.0,0.0,0.19
2010-07-22,857.61,857.61,857.61,857.61,2.03,17.09,280149,327509210.0,0.0,0.23
2010-07-23,860.72,860.72,860.72,860.72,0.36,3.11,323520,350653613.0,0.0,0.26
2010-07-26,878.52,878.52,878.52,878.52,2.07,17.8,321654,359668966.0,0.0,0.26
2010-07-27,881.57,881.57,881.57,881.57,0.35,3.05,240888,319736661.0,0.0,0.19
