日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1006.48,1006.48,1006.48,1006.48,0.65,6.48,687881,514411816.0,0.0,0.88
2010-01-05,1018.72,1018.72,1018.72,1018.72,1.22,12.24,362140,267151279.0,0.0,0.46
2010-01-06,1013.54,1013.54,1013.54,1013.54,-0.51,-5.18,326005,279406133.0,0.0,0.42
2010-01-07,978.94,978.94,978.94,978.94,-3.41,-34.6,327270,242917361.0,0.0,0.42
2010-01-08,1002.45,1002.45,1002.45,1002.45,2.4,23.51,216677,172555684.0,0.0,0.28
2010-01-11,1007.39,1007.39,1007.39,1007.39,0.49,4.94,249519,201714546.0,0.0,0.32
2010-01-12,1034.47,1034.47,1034.47,1034.47,2.69,27.08,395161,333978123.0,0.0,0.51
2010-01-13,997.67,997.67,997.67,997.67,-3.56,-36.8,317122,256523783.0,0.0,0.41
2010-01-14,1039.55,1039.55,1039.55,1039.55,4.2,41.88,366371,320818706.0,0.0,0.47
2010-01-15,1044.61,1044.61,1044.61,1044.61,0.49,5.06,370790,314464379.0,0.0,0.48
2010-01-18,1049.64,1049.64,1049.64,1049.64,0.48,5.03,378032,284155389.0,0.0,0.48
2010-01-19,1036.87,1036.87,1036.87,1036.87,-1.22,-12.77,377196,276992387.0,0.0,0.48
2010-01-20,990.16,990.16,990.16,990.16,-4.5,-46.71,361228,266270040.0,0.0,0.46
2010-01-21,994.31,994.31,994.31,994.31,0.42,4.15,532042,756754287.0,0.0,0.68
2010-01-22,940.06,940.06,940.06,940.06,-5.46,-54.25,463788,550421983.0,0.0,0.59
2010-01-25,936.73,936.73,936.73,936.73,-0.35,-3.33,821840,676342541.0,0.0,1.05
2010-01-26,907.64,907.64,907.64,907.64,-3.11,-29.09,481666,446421512.0,0.0,0.62
2010-01-27,931.84,931.84,931.84,931.84,2.67,24.2,808102,654914446.0,0.0,1.04
2010-01-28,933.28,933.28,933.28,933.28,0.15,1.44,563796,474153447.0,0.0,0.72
2010-01-29,955.7,955.7,955.7,955.7,2.4,22.42,66198,84945150.0,0.0,0.08
2010-02-01,980.57,980.57,980.57,980.57,2.6,24.87,1283826,1145592723.0,0.0,1.65
2010-02-02,965.72,965.72,965.72,965.72,-1.51,-14.85,826126,694298620.0,0.0,1.06
2010-02-03,950.23,950.23,950.23,950.23,-1.6,-15.49,701617,616932681.0,0.0,0.9
2010-02-04,989.04,989.04,989.04,989.04,4.08,38.81,2172421,1595920019.0,0.0,2.79
2010-02-05,986.91,986.91,986.91,986.91,-0.22,-2.13,2076820,1578042952.0,0.0,2.66
2010-02-08,950.28,950.28,950.28,950.28,-3.71,-36.63,753954,609888988.0,0.0,0.97
2010-02-09,933.79,933.79,933.79,933.79,-1.74,-16.49,764567,582936851.0,0.0,0.98
2010-02-10,936.12,936.12,936.12,936.12,0.25,2.33,473862,363130366.0,0.0,0.61
2010-02-11,920.02,920.02,920.02,920.02,-1.72,-16.1,664662,470091179.0,0.0,0.85
2010-02-12,942.78,942.78,942.78,942.78,2.47,22.76,395592,341775874.0,0.0,0.51
2010-02-22,987.46,987.46,987.46,987.46,4.74,44.68,865448,829214850.0,0.0,1.11
2010-02-23,1025.7,1025.7,1025.7,1025.7,3.87,38.24,991000,925846260.0,0.0,1.27
2010-02-24,1024.73,1024.73,1024.73,1024.73,-0.09,-0.97,1051668,882489355.0,0.0,1.35
2010-02-25,1049.31,1049.31,1049.31,1049.31,2.4,24.58,1054061,1011297504.0,0.0,1.35
2010-02-26,1050.46,1050.46,1050.46,1050.46,0.11,1.15,928837,842310159.0,0.0,1.19
2010-03-01,1066.52,1066.52,1066.52,1066.52,1.53,16.06,1213166,1068593084.0,0.0,1.56
2010-03-02,1053.18,1053.18,1053.18,1053.18,-1.25,-13.34,833271,786631941.0,0.0,1.07
2010-03-03,1142.49,1142.49,1142.49,1142.49,8.48,89.31,1949444,1978321537.0,0.0,2.5
2010-03-04,1077.77,1077.77,1077.77,1077.77,-5.66,-64.72,1497259,1586430702.0,0.0,1.92
2010-03-05,1046.58,1046.58,1046.58,1046.58,-2.89,-31.19,736796,707918460.0,0.0,0.94
2010-03-08,1050.86,1050.86,1050.86,1050.86,0.41,4.28,502911,491465161.0,0.0,0.64
2010-03-09,1039.27,1039.27,1039.27,1039.27,-1.1,-11.59,463671,451456222.0,0.0,0.59
2010-03-10,1015.24,1015.24,1015.24,1015.24,-2.31,-24.03,448315,415235168.0,0.0,0.57
2010-03-11,1001.11,1001.11,1001.11,1001.11,-1.39,-14.13,434070,424176056.0,0.0,0.56
2010-03-12,991.18,991.18,991.18,991.18,-0.99,-9.93,445701,425722698.0,0.0,0.57
2010-03-15,1005.67,1005.67,1005.67,1005.67,1.46,14.49,378156,367011334.0,0.0,0.48
2010-03-16,994.22,994.22,994.22,994.22,-1.14,-11.45,302618,269757031.0,0.0,0.39
2010-03-17,1013.9,1013.9,1013.9,1013.9,1.98,19.68,382709,345221428.0,0.0,0.49
2010-03-18,1013.1,1013.1,1013.1,1013.1,-0.08,-0.8,348098,321619278.0,0.0,0.45
2010-03-19,1022.83,1022.83,1022.83,1022.83,0.96,9.73,458133,480573561.0,0.0,0.59
2010-03-22,1028.01,1028.01,1028.01,1028.01,0.51,5.18,412253,406541792.0,0.0,0.53
2010-03-23,1053.62,1053.62,1053.62,1053.62,2.49,25.61,1002631,948664961.0,0.0,1.29
2010-03-24,1048.11,1048.11,1048.11,1048.11,-0.52,-5.51,794058,667952046.0,0.0,1.02
2010-03-25,996.53,996.53,996.53,996.53,-4.92,-51.58,514992,382673502.0,0.0,0.66
2010-03-26,989.94,989.94,989.94,989.94,-0.66,-6.59,378901,374294155.0,0.0,0.49
2010-03-29,993.93,993.93,993.93,993.93,0.4,3.99,413405,371871555.0,0.0,0.53
2010-03-30,992.94,992.94,992.94,992.94,-0.1,-0.99,289089,296420031.0,0.0,0.37
2010-03-31,982.52,982.52,982.52,982.52,-1.05,-10.42,302793,292871666.0,0.0,0.39
2010-04-01,990.76,990.76,990.76,990.76,0.84,8.24,456592,396372015.0,0.0,0.59
2010-04-02,986.28,986.28,986.28,986.28,-0.45,-4.48,340389,331241728.0,0.0,0.44
2010-04-06,1005.76,1005.76,1005.76,1005.76,1.98,19.48,582981,557776199.0,0.0,0.75
2010-04-07,1016.48,1016.48,1016.48,1016.48,1.07,10.72,466689,526687152.0,0.0,0.6
2010-04-08,1005.48,1005.48,1005.48,1005.48,-1.08,-11.0,410988,443861564.0,0.0,0.53
2010-04-09,1012.86,1012.86,1012.86,1012.86,0.73,7.38,372510,382136135.0,0.0,0.48
2010-04-12,1007.87,1007.87,1007.87,1007.87,-0.49,-4.99,422637,398199292.0,0.0,0.54
2010-04-13,996.84,996.84,996.84,996.84,-1.09,-11.03,457530,417798713.0,0.0,0.59
2010-04-14,1017.79,1017.79,1017.79,1017.79,2.1,20.95,463280,509706166.0,0.0,0.59
2010-04-15,1019.04,1019.04,1019.04,1019.04,0.12,1.25,514475,642888595.0,0.0,0.66
2010-04-16,996.74,996.74,996.74,996.74,-2.19,-22.3,303942,337593662.0,0.0,0.39
2010-04-19,948.31,948.31,948.31,948.31,-4.86,-48.43,414482,360041614.0,0.0,0.53
2010-04-20,975.65,975.65,975.65,975.65,2.88,27.34,428792,406665048.0,0.0,0.55
2010-04-21,997.78,997.78,997.78,997.78,2.27,22.13,425096,428966340.0,0.0,0.55
2010-04-22,1037.8,1037.8,1037.8,1037.8,4.01,40.02,800997,1093262201.0,0.0,1.03
2010-04-23,1042.25,1042.25,1042.25,1042.25,0.43,4.45,582679,866687240.0,0.0,0.75
2010-04-26,1041.92,1041.92,1041.92,1041.92,-0.03,-0.33,501072,763938271.0,0.0,0.64
2010-04-27,1011.31,1011.31,1011.31,1011.31,-2.94,-30.61,505056,587030800.0,0.0,0.65
2010-04-28,1023.68,1023.68,1023.68,1023.68,1.22,12.37,372589,499296457.0,0.0,0.48
2010-04-29,974.92,974.92,974.92,974.92,-4.76,-48.76,508070,709124226.0,0.0,0.65
2010-04-30,922.37,922.37,922.37,922.37,-5.39,-52.55,463171,502276133.0,0.0,0.59
2010-05-04,936.24,936.24,936.24,936.24,1.5,13.87,248197,269704096.0,0.0,0.32
2010-05-05,983.05,983.05,983.05,983.05,5.0,46.81,479662,488544432.0,0.0,0.62
2010-05-06,949.65,949.65,949.65,949.65,-3.4,-33.4,386022,438893727.0,0.0,0.5
2010-05-07,1007.33,1007.33,1007.33,1007.33,6.07,57.68,1082478,935095531.0,0.0,1.39
2010-05-10,998.01,998.01,998.01,998.01,-0.93,-9.32,1178841,997812290.0,0.0,1.51
2010-05-11,957.02,957.02,957.02,957.02,-4.11,-40.99,581822,535675629.0,0.0,0.75
2010-05-12,872.21,872.21,872.21,872.21,-8.86,-84.81,576145,502218589.0,0.0,0.74
2010-05-13,881.07,881.07,881.07,881.07,1.02,8.86,539742,457474130.0,0.0,0.69
2010-05-14,883.59,883.59,883.59,883.59,0.29,2.52,499973,481326845.0,0.0,0.64
2010-05-17,829.72,829.72,829.72,829.72,-6.1,-53.87,414620,387805734.0,0.0,0.53
2010-05-18,848.16,848.16,848.16,848.16,2.22,18.44,248093,189130810.0,0.0,0.32
2010-05-19,872.13,872.13,872.13,872.13,2.83,23.97,288368,291197747.0,0.0,0.37
2010-05-20,851.56,851.56,851.56,851.56,-2.36,-20.57,444718,444359435.0,0.0,0.57
2010-05-21,908.74,908.74,908.74,908.74,6.71,57.18,343857,488586047.0,0.0,0.44
2010-05-24,955.96,955.96,955.96,955.96,5.2,47.22,593274,616742874.0,0.0,0.76
2010-05-25,941.71,941.71,941.71,941.71,-1.49,-14.25,492321,455946223.0,0.0,0.63
2010-05-26,966.54,966.54,966.54,966.54,2.64,24.83,457804,539629728.0,0.0,0.59
2010-05-27,981.98,981.98,981.98,981.98,1.6,15.44,491099,540788001.0,0.0,0.63
2010-05-28,966.02,966.02,966.02,966.02,-1.63,-15.96,367181,399014506.0,0.0,0.47
2010-05-31,927.54,927.54,927.54,927.54,-3.98,-38.48,330131,346101032.0,0.0,0.42
2010-06-01,888.57,888.57,888.57,888.57,-4.2,-38.97,358852,353897260.0,0.0,0.46
2010-06-02,899.66,899.66,899.66,899.66,1.25,11.09,267182,236853257.0,0.0,0.34
2010-06-03,894.17,894.17,894.17,894.17,-0.61,-5.49,348582,324491264.0,0.0,0.45
2010-06-04,896.92,896.92,896.92,896.92,0.31,2.75,275696,224508274.0,0.0,0.35
2010-06-07,878.5,878.5,878.5,878.5,-2.05,-18.42,224955,202937769.0,0.0,0.29
2010-06-08,896.92,896.92,896.92,896.92,2.1,18.42,225458,219469502.0,0.0,0.29
2010-06-09,910.29,910.29,910.29,910.29,1.49,13.37,319800,296081522.0,0.0,0.41
2010-06-10,920.73,920.73,920.73,920.73,1.15,10.44,414652,402034822.0,0.0,0.53
2010-06-11,908.27,908.27,908.27,908.27,-1.35,-12.46,254870,242896442.0,0.0,0.33
2010-06-17,893.81,893.81,893.81,893.81,-1.59,-14.46,156502,143305365.0,0.0,0.2
2010-06-18,859.04,859.04,859.04,859.04,-3.89,-34.77,94097,126589482.0,0.0,0.12
2010-06-21,880.35,880.35,880.35,880.35,2.48,21.31,248811,196971556.0,0.0,0.32
2010-06-22,885.39,885.39,885.39,885.39,0.57,5.04,212979,192732924.0,0.0,0.27
2010-06-23,881.24,881.24,881.24,881.24,-0.47,-4.15,206735,181798294.0,0.0,0.27
2010-06-24,872.53,872.53,872.53,872.53,-0.99,-8.71,131511,114808267.0,0.0,0.17
2010-06-25,855.28,855.28,855.28,855.28,-1.98,-17.25,143809,116561468.0,0.0,0.18
2010-06-28,853.48,853.48,853.48,853.48,-0.21,-1.8,113980,96056790.0,0.0,0.15
2010-06-29,787.83,787.83,787.83,787.83,-7.69,-65.65,264775,195609973.0,0.0,0.34
2010-06-30,749.13,749.13,749.13,749.13,-4.91,-38.7,172395,132598416.0,0.0,0.22
2010-07-01,727.22,727.22,727.22,727.22,-2.92,-21.91,127805,96974449.0,0.0,0.16
2010-07-02,721.58,721.58,721.58,721.58,-0.78,-5.64,196921,142511883.0,0.0,0.25
2010-07-05,702.72,702.72,702.72,702.72,-2.61,-18.86,142479,103704398.0,0.0,0.18
2010-07-06,728.81,728.81,728.81,728.81,3.71,26.09,206590,144103068.0,0.0,0.26
2010-07-07,743.36,743.36,743.36,743.36,2.0,14.55,234225,171531683.0,0.0,0.3
2010-07-08,729.98,729.98,729.98,729.98,-1.8,-13.38,165949,120356593.0,0.0,0.21
2010-07-09,755.7,755.7,755.7,755.7,3.52,25.72,334765,244147896.0,0.0,0.43
2010-07-12,771.58,771.58,771.58,771.58,2.1,15.88,298928,233130734.0,0.0,0.38
2010-07-13,753.52,753.52,753.52,753.52,-2.34,-18.06,196382,143995483.0,0.0,0.25
2010-07-14,776.59,776.59,776.59,776.59,3.06,23.07,318325,266593587.0,0.0,0.41
2010-07-15,730.82,730.82,730.82,730.82,-5.89,-45.77,144556,168284998.0,0.0,0.19
2010-07-16,716.11,716.11,716.11,716.11,-2.01,-14.71,122413,52877544.0,0.0,0.16
2010-07-19,734.8,734.8,734.8,734.8,2.61,18.69,268347,207633961.0,0.0,0.34
2010-07-20,760.43,760.43,760.43,760.43,3.49,25.63,429275,336127667.0,0.0,0.55
2010-07-21,768.28,768.28,768.28,768.28,1.03,7.85,412470,348045054.0,0.0,0.53
2010-07-22,768.85,768.85,768.85,768.85,0.07,0.57,315254,257860964.0,0.0,0.4
2010-07-23,769.84,769.84,769.84,769.84,0.13,0.99,429321,298851729.0,0.0,0.55
2010-07-26,781.11,781.11,781.11,781.11,1.46,11.27,365255,291724756.0,0.0,0.47
2010-07-27,772.83,772.83,772.83,772.83,-1.06,-8.28,296986,236343735.0,0.0,0.38
2010-07-28,789.56,789.56,789.56,789.56,2.16,16.73,468029,370393744.0,0.0,0.6
2010-07-29,796.76,796.76,796.76,796.76,0.91,7.2,460072,348712776.0,0.0,0.59
