日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2011-09-21,1072.52,1072.52,1072.52,1072.52,7.25,72.52,162089,286492288.0,0.0,0.56
2011-09-22,1000.0,1000.0,1000.0,1000.0,-6.76,-72.52,108992,190457498.0,0.0,0.38
2011-09-23,1014.15,1014.15,1014.15,1014.15,1.42,14.15,69240,115492536.0,0.0,0.24
2011-09-26,1081.96,1081.96,1081.96,1081.96,6.69,67.81,164323,305297728.0,0.0,0.57
2011-09-27,1091.39,1091.39,1091.39,1091.39,0.87,9.43,110222,202234366.0,0.0,0.38
2011-09-28,1004.13,1004.13,1004.13,1004.13,-8.0,-87.26,91080,160393754.0,0.0,0.32
2011-09-29,949.29,949.29,949.29,949.29,-5.46,-54.84,55530,91608767.0,0.0,0.19
2011-09-30,931.01,931.01,931.01,931.01,-1.93,-18.28,41732,66357803.0,0.0,0.14
2011-10-10,943.99,943.99,943.99,943.99,1.39,12.98,30403,48696732.0,0.0,0.11
2011-10-11,937.5,937.5,937.5,937.5,-0.69,-6.49,36280,59072838.0,0.0,0.13
2011-10-12,966.39,966.39,966.39,966.39,3.08,28.89,43784,70747807.0,0.0,0.15
2011-10-13,1001.77,1001.77,1001.77,1001.77,3.66,35.38,57363,95688892.0,0.0,0.2
2011-10-14,977.01,977.01,977.01,977.01,-2.47,-24.76,36051,59831205.0,0.0,0.12
2011-10-17,1052.48,1052.48,1052.48,1052.48,7.72,75.47,92959,163237515.0,0.0,0.32
2011-10-18,1040.68,1040.68,1040.68,1040.68,-1.12,-11.8,102417,183017847.0,0.0,0.35
2011-10-19,1067.22,1067.22,1067.22,1067.22,2.55,26.54,91045,165305036.0,0.0,0.32
2011-10-20,988.21,988.21,988.21,988.21,-7.4,-79.01,63839,108658584.0,0.0,0.22
2011-10-21,1043.63,1043.63,1043.63,1043.63,5.61,55.42,103250,183968266.0,0.0,0.36
2011-10-24,1093.75,1093.75,1093.75,1093.75,4.8,50.12,115188,198710078.0,0.0,0.4
2011-10-25,1203.42,1203.42,1203.42,1203.42,10.03,109.67,134341,262922852.0,0.0,0.47
2011-10-26,1248.82,1248.82,1248.82,1248.82,3.77,45.4,182454,387076736.0,0.0,0.63
2011-10-27,1237.03,1237.03,1237.03,1237.03,-0.94,-11.79,117156,250196410.0,0.0,0.41
