日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-07-29,1015.23,1015.23,1015.23,1015.23,1.52,15.23,72536,215676350.0,0.0,0.13
2010-07-30,951.95,951.95,951.95,951.95,-6.23,-63.28,52831,150909705.0,0.0,0.1
2010-08-02,967.17,967.17,967.17,967.17,1.6,15.22,26332,75097921.0,0.0,0.05
2010-08-03,966.84,966.84,966.84,966.84,-0.03,-0.33,30059,86764374.0,0.0,0.06
2010-08-04,1063.62,1063.62,1063.62,1063.62,10.01,96.78,62536,192984644.0,0.0,0.12
2010-08-05,1068.36,1068.36,1068.36,1068.36,0.45,4.74,53810,171058679.0,0.0,0.1
2010-08-06,1065.99,1065.99,1065.99,1065.99,-0.22,-2.37,29478,92174720.0,0.0,0.05
2010-08-09,1099.49,1099.49,1099.49,1099.49,3.14,33.5,37901,124423291.0,0.0,0.07
2010-08-10,1052.45,1052.45,1052.45,1052.45,-4.28,-47.04,25132,79696458.0,0.0,0.05
2010-08-11,1069.37,1069.37,1069.37,1069.37,1.61,16.92,19558,61199605.0,0.0,0.04
2010-08-12,1022.67,1022.67,1022.67,1022.67,-4.37,-46.7,16083,49697119.0,0.0,0.03
2010-08-13,1033.84,1033.84,1033.84,1033.84,1.09,11.17,11404,34685023.0,0.0,0.02
2010-08-16,1042.64,1042.64,1042.64,1042.64,0.85,8.8,13765,42067031.0,0.0,0.03
2010-08-17,1069.37,1069.37,1069.37,1069.37,2.56,26.73,17180,53825128.0,0.0,0.03
2010-08-18,1037.23,1037.23,1037.23,1037.23,-3.01,-32.14,14567,45156776.0,0.0,0.03
2010-08-19,1037.56,1037.56,1037.56,1037.56,0.03,0.33,10059,30929950.0,0.0,0.02
2010-08-20,1000.34,1000.34,1000.34,1000.34,-3.59,-37.22,16019,47811476.0,0.0,0.03
2010-08-23,1003.38,1003.38,1003.38,1003.38,0.3,3.04,6817,20183489.0,0.0,0.01
2010-08-24,1013.88,1013.88,1013.88,1013.88,1.05,10.5,6988,20965584.0,0.0,0.01
2010-08-25,989.51,989.51,989.51,989.51,-2.4,-24.37,6838,20287946.0,0.0,0.01
2010-08-26,996.62,996.62,996.62,996.62,0.72,7.11,6258,18448167.0,0.0,0.01
2010-08-27,999.66,999.66,999.66,999.66,0.31,3.04,6150,18132526.0,0.0,0.01
2010-08-30,1019.63,1019.63,1019.63,1019.63,2.0,19.97,9835,29534621.0,0.0,0.02
2010-08-31,1012.18,1012.18,1012.18,1012.18,-0.73,-7.45,8517,25334453.0,0.0,0.02
2010-09-01,991.88,991.88,991.88,991.88,-2.01,-20.3,9684,29018796.0,0.0,0.02
2010-09-02,1006.43,1006.43,1006.43,1006.43,1.47,14.55,9388,27582126.0,0.0,0.02
2010-09-03,1033.5,1033.5,1033.5,1033.5,2.69,27.07,16107,48703211.0,0.0,0.03
2010-09-06,991.88,991.88,991.88,991.88,-4.03,-41.62,10558,31403972.0,0.0,0.02
2010-09-07,1005.08,1005.08,1005.08,1005.08,1.33,13.2,4789,14183586.0,0.0,0.01
2010-09-08,1011.17,1011.17,1011.17,1011.17,0.61,6.09,6419,19208220.0,0.0,0.01
2010-09-09,994.25,994.25,994.25,994.25,-1.67,-16.92,7361,21817535.0,0.0,0.01
2010-09-10,996.28,996.28,996.28,996.28,0.2,2.03,7350,21455313.0,0.0,0.01
2010-09-13,998.31,998.31,998.31,998.31,0.2,2.03,6425,18893019.0,0.0,0.01
2010-09-14,1025.72,1025.72,1025.72,1025.72,2.75,27.41,10514,31406061.0,0.0,0.02
2010-09-15,978.0,978.0,978.0,978.0,-4.65,-47.72,8790,25806350.0,0.0,0.02
2010-09-16,926.23,926.23,926.23,926.23,-5.29,-51.77,9791,27319546.0,0.0,0.02
2010-09-17,921.49,921.49,921.49,921.49,-0.51,-4.74,3431,9361616.0,0.0,0.01
2010-09-20,886.97,886.97,886.97,886.97,-3.75,-34.52,4724,12640538.0,0.0,0.01
2010-09-21,871.74,871.74,871.74,871.74,-1.72,-15.23,3978,10283931.0,0.0,0.01
2010-09-27,886.63,886.63,886.63,886.63,1.71,14.89,3259,8477556.0,0.0,0.01
2010-09-28,872.42,872.42,872.42,872.42,-1.6,-14.21,3173,8247795.0,0.0,0.01
2010-09-29,855.5,855.5,855.5,855.5,-1.94,-16.92,2556,6524503.0,0.0,0.0
2010-09-30,879.87,879.87,879.87,879.87,2.85,24.37,2793,7198378.0,0.0,0.01
2010-10-08,889.34,889.34,889.34,889.34,1.08,9.47,4899,12827357.0,0.0,0.01
2010-10-11,873.77,873.77,873.77,873.77,-1.75,-15.57,6844,17754390.0,0.0,0.01
2010-10-12,882.57,882.57,882.57,882.57,1.01,8.8,3449,8993449.0,0.0,0.01
2010-10-13,887.99,887.99,887.99,887.99,0.61,5.42,4630,12020963.0,0.0,0.01
2010-10-14,871.07,871.07,871.07,871.07,-1.91,-16.92,4789,12464036.0,0.0,0.01
2010-10-15,845.35,845.35,845.35,845.35,-2.95,-25.72,7796,19642097.0,0.0,0.01
2010-10-18,816.58,816.58,816.58,816.58,-3.4,-28.77,7436,17899780.0,0.0,0.01
2010-10-19,870.73,870.73,870.73,870.73,6.63,54.15,10641,27032698.0,0.0,0.02
2010-10-20,869.37,869.37,869.37,869.37,-0.16,-1.36,7643,19741826.0,0.0,0.01
2010-10-21,869.37,869.37,869.37,869.37,0.0,0.0,4740,12076285.0,0.0,0.01
2010-10-22,899.83,899.83,899.83,899.83,3.5,30.46,8438,22316516.0,0.0,0.02
2010-10-25,912.01,912.01,912.01,912.01,1.35,12.18,9539,25554258.0,0.0,0.02
2010-10-26,886.29,886.29,886.29,886.29,-2.82,-25.72,8762,22939484.0,0.0,0.02
2010-10-27,882.91,882.91,882.91,882.91,-0.38,-3.38,5870,15399344.0,0.0,0.01
2010-10-28,907.61,907.61,907.61,907.61,2.8,24.7,16337,43087307.0,0.0,0.03
2010-10-29,988.16,988.16,988.16,988.16,8.87,80.55,28830,82109353.0,0.0,0.05
2010-11-01,1016.92,1016.92,1016.92,1016.92,2.91,28.76,24737,74059697.0,0.0,0.05
2010-11-02,1017.94,1017.94,1017.94,1017.94,0.1,1.02,12870,38103357.0,0.0,0.02
2010-11-03,1000.0,1000.0,1000.0,1000.0,-1.76,-17.94,10581,31195527.0,0.0,0.02
2010-11-04,1024.37,1024.37,1024.37,1024.37,2.44,24.37,9986,30167779.0,0.0,0.02
2010-11-05,1041.62,1041.62,1041.62,1041.62,1.68,17.25,9555,29090359.0,0.0,0.02
