日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1019.42,1019.42,1019.42,1019.42,1.94,19.42,246068,297759901.0,0.0,1.58
2010-01-05,1038.68,1038.68,1038.68,1038.68,1.89,19.26,231005,289463528.0,0.0,1.48
2010-01-06,1042.62,1042.62,1042.62,1042.62,0.38,3.94,210980,264525307.0,0.0,1.35
2010-01-07,1017.24,1017.24,1017.24,1017.24,-2.43,-25.38,164466,203413227.0,0.0,1.06
2010-01-08,1041.27,1041.27,1041.27,1041.27,2.36,24.03,110099,135746892.0,0.0,0.71
2010-01-11,1083.77,1083.77,1083.77,1083.77,4.08,42.5,248598,325220353.0,0.0,1.6
2010-01-12,1092.87,1092.87,1092.87,1092.87,0.84,9.1,168920,225790824.0,0.0,1.08
2010-01-13,1067.06,1067.06,1067.06,1067.06,-2.36,-25.81,133611,176269727.0,0.0,0.86
2010-01-14,1130.57,1130.57,1130.57,1130.57,5.95,63.51,203841,282009453.0,0.0,1.31
2010-01-15,1145.82,1145.82,1145.82,1145.82,1.35,15.25,187229,272029398.0,0.0,1.2
2010-01-18,1151.71,1151.71,1151.71,1151.71,0.51,5.89,144019,203300474.0,0.0,0.92
2010-01-19,1130.03,1130.03,1130.03,1130.03,-1.88,-21.68,126614,174103445.0,0.0,0.81
2010-01-20,1086.4,1086.4,1086.4,1086.4,-3.86,-43.63,165563,219930425.0,0.0,1.06
2010-01-21,1109.65,1109.65,1109.65,1109.65,2.14,23.25,110249,148460196.0,0.0,0.71
2010-01-22,1096.81,1096.81,1096.81,1096.81,-1.16,-12.84,124088,164584002.0,0.0,0.8
2010-01-25,1083.57,1083.57,1083.57,1083.57,-1.21,-13.24,78237,102056356.0,0.0,0.5
2010-01-26,1032.46,1032.46,1032.46,1032.46,-4.72,-51.11,132918,174618464.0,0.0,0.85
2010-01-27,1044.28,1044.28,1044.28,1044.28,1.14,11.82,114099,144118294.0,0.0,0.73
2010-01-28,1066.93,1066.93,1066.93,1066.93,2.17,22.65,103284,130050801.0,0.0,0.66
2010-01-29,1089.1,1089.1,1089.1,1089.1,2.08,22.17,149433,211030764.0,0.0,0.96
2010-02-01,1092.04,1092.04,1092.04,1092.04,0.27,2.94,128836,178998587.0,0.0,0.83
2010-02-02,1091.08,1091.08,1091.08,1091.08,-0.09,-0.96,95386,133347783.0,0.0,0.61
2010-02-03,1107.87,1107.87,1107.87,1107.87,1.54,16.79,113789,147539862.0,0.0,0.73
2010-02-04,1138.07,1138.07,1138.07,1138.07,2.73,30.2,109520,158720593.0,0.0,0.7
2010-02-05,1106.97,1106.97,1106.97,1106.97,-2.73,-31.1,105801,142161089.0,0.0,0.68
2010-02-08,1138.55,1138.55,1138.55,1138.55,2.85,31.58,49311,55790157.0,0.0,0.32
2010-02-09,1101.24,1101.24,1101.24,1101.24,-3.28,-37.31,60917,81719015.0,0.0,0.39
2010-02-10,1115.08,1115.08,1115.08,1115.08,1.26,13.84,68139,91405182.0,0.0,0.44
2010-02-11,1100.71,1100.71,1100.71,1100.71,-1.29,-14.37,51089,71218504.0,0.0,0.33
2010-02-12,1145.28,1145.28,1145.28,1145.28,4.05,44.57,62362,86364003.0,0.0,0.4
2010-02-22,1148.05,1148.05,1148.05,1148.05,0.24,2.77,46057,65412074.0,0.0,0.3
2010-02-23,1170.22,1170.22,1170.22,1170.22,1.93,22.17,77934,113018276.0,0.0,0.5
2010-02-24,1187.35,1187.35,1187.35,1187.35,1.46,17.13,80194,110598684.0,0.0,0.51
