日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,986.41,986.41,986.41,986.41,-1.36,-13.59,16596,67509592.0,0.0,0.08
2010-01-05,955.34,955.34,955.34,955.34,-3.15,-31.07,18874,73929619.0,0.0,0.1
2010-01-06,917.48,917.48,917.48,917.48,-3.96,-37.86,17680,67451357.0,0.0,0.09
2010-01-07,903.4,903.4,903.4,903.4,-1.53,-14.08,16238,60907679.0,0.0,0.08
2010-01-08,859.22,859.22,859.22,859.22,-4.89,-44.18,17616,62722106.0,0.0,0.09
2010-01-11,851.46,851.46,851.46,851.46,-0.9,-7.76,15021,52877946.0,0.0,0.08
2010-01-12,873.79,873.79,873.79,873.79,2.62,22.33,13480,48296816.0,0.0,0.07
2010-01-13,851.46,851.46,851.46,851.46,-2.56,-22.33,9345,32987730.0,0.0,0.05
2010-01-14,936.65,936.65,936.65,936.65,10.01,85.19,30300,113281358.0,0.0,0.15
2010-01-15,951.46,951.46,951.46,951.46,1.58,14.81,41106,164452275.0,0.0,0.21
2010-01-18,929.13,929.13,929.13,929.13,-2.35,-22.33,17856,68142684.0,0.0,0.09
2010-01-19,907.04,907.04,907.04,907.04,-2.38,-22.09,14085,52578640.0,0.0,0.07
2010-01-20,855.58,855.58,855.58,855.58,-5.67,-51.46,14249,51078961.0,0.0,0.07
2010-01-21,864.81,864.81,864.81,864.81,1.08,9.23,6730,24029952.0,0.0,0.03
2010-01-22,815.53,815.53,815.53,815.53,-5.7,-49.28,8936,30215666.0,0.0,0.05
2010-01-25,810.68,810.68,810.68,810.68,-0.59,-4.85,10915,36100557.0,0.0,0.06
2010-01-26,804.61,804.61,804.61,804.61,-0.75,-6.07,8022,26957414.0,0.0,0.04
2010-01-27,773.54,773.54,773.54,773.54,-3.86,-31.07,7670,24626076.0,0.0,0.04
2010-01-28,747.33,747.33,747.33,747.33,-3.39,-26.21,10776,32904270.0,0.0,0.05
2010-01-29,757.52,757.52,757.52,757.52,1.36,10.19,12249,38033696.0,0.0,0.06
2010-02-01,780.8,780.8,780.8,780.8,3.07,23.28,20692,65651743.0,0.0,0.11
2010-02-02,761.17,761.17,761.17,761.17,-2.51,-19.63,21903,69830307.0,0.0,0.11
2010-02-03,716.02,716.02,716.02,716.02,-5.93,-45.15,43089,126806559.0,0.0,0.22
2010-02-04,708.74,708.74,708.74,708.74,-1.02,-7.28,15396,44978821.0,0.0,0.08
2010-02-05,700.49,700.49,700.49,700.49,-1.16,-8.25,18718,54257234.0,0.0,0.1
2010-02-08,702.67,702.67,702.67,702.67,0.31,2.18,12386,36054689.0,0.0,0.06
2010-02-09,705.58,705.58,705.58,705.58,0.41,2.91,12769,36833390.0,0.0,0.06
2010-02-10,749.52,749.52,749.52,749.52,6.23,43.94,26722,80387604.0,0.0,0.14
2010-02-11,752.43,752.43,752.43,752.43,0.39,2.91,23819,73728805.0,0.0,0.12
2010-02-12,763.11,763.11,763.11,763.11,1.42,10.68,14983,46580006.0,0.0,0.08
2010-02-22,781.29,781.29,781.29,781.29,2.38,18.18,22581,73852919.0,0.0,0.11
2010-02-23,787.14,787.14,787.14,787.14,0.75,5.85,15134,48235215.0,0.0,0.08
2010-02-24,865.78,865.78,865.78,865.78,9.99,78.64,29910,104278328.0,0.0,0.15
2010-02-25,871.85,871.85,871.85,871.85,0.7,6.07,42293,153826282.0,0.0,0.22
2010-02-26,844.18,844.18,844.18,844.18,-3.17,-27.67,22306,78123819.0,0.0,0.11
2010-03-01,885.68,885.68,885.68,885.68,4.92,41.5,25172,91208194.0,0.0,0.13
2010-03-02,867.96,867.96,867.96,867.96,-2.0,-17.72,17468,62564030.0,0.0,0.09
2010-03-03,845.87,845.87,845.87,845.87,-2.55,-22.09,21526,74949429.0,0.0,0.11
2010-03-04,819.9,819.9,819.9,819.9,-3.07,-25.97,16027,56119225.0,0.0,0.08
2010-03-05,824.03,824.03,824.03,824.03,0.5,4.13,11549,39176191.0,0.0,0.06
2010-03-08,836.89,836.89,836.89,836.89,1.56,12.86,10551,36134036.0,0.0,0.05
2010-03-09,824.27,824.27,824.27,824.27,-1.51,-12.62,7458,25304753.0,0.0,0.04
