日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1006.18,1006.18,1006.18,1006.18,0.62,6.18,1636359,2091038504.0,0.0,1.21
2010-01-05,1019.8,1019.8,1019.8,1019.8,1.35,13.62,1384176,1696647292.0,0.0,1.03
2010-01-06,1015.28,1015.28,1015.28,1015.28,-0.44,-4.52,1280092,1514259289.0,0.0,0.95
2010-01-07,990.13,990.13,990.13,990.13,-2.48,-25.15,1428785,1643606547.0,0.0,1.06
2010-01-08,1005.9,1005.9,1005.9,1005.9,1.59,15.77,1113595,1312537896.0,0.0,0.83
2010-01-11,1005.96,1005.96,1005.96,1005.96,0.01,0.06,1331002,1583295186.0,0.0,0.99
2010-01-12,1026.38,1026.38,1026.38,1026.38,2.03,20.42,1489150,1728225030.0,0.0,1.11
2010-01-13,1010.62,1010.62,1010.62,1010.62,-1.54,-15.76,2292088,2553970311.0,0.0,1.7
2010-01-14,1029.76,1029.76,1029.76,1029.76,1.89,19.14,1522700,1785137547.0,0.0,1.13
2010-01-15,1040.8,1040.8,1040.8,1040.8,1.07,11.04,1309078,1549735121.0,0.0,0.97
2010-01-18,1062.21,1062.21,1062.21,1062.21,2.06,21.41,1785071,2022595829.0,0.0,1.32
2010-01-19,1058.05,1058.05,1058.05,1058.05,-0.39,-4.16,1989175,2269122657.0,0.0,1.48
2010-01-20,1021.83,1021.83,1021.83,1021.83,-3.42,-36.22,1836756,2148277078.0,0.0,1.36
2010-01-21,1023.97,1023.97,1023.97,1023.97,0.21,2.14,1202613,1379856555.0,0.0,0.89
2010-01-22,988.52,988.52,988.52,988.52,-3.46,-35.45,1317166,1507661824.0,0.0,0.98
2010-01-25,977.46,977.46,977.46,977.46,-1.12,-11.06,765684,847128211.0,0.0,0.57
2010-01-26,944.07,944.07,944.07,944.07,-3.42,-33.39,943490,986247774.0,0.0,0.7
2010-01-27,937.08,937.08,937.08,937.08,-0.74,-6.99,835349,957200924.0,0.0,0.62
2010-01-28,945.63,945.63,945.63,945.63,0.91,8.55,618917,704142400.0,0.0,0.46
2010-01-29,954.01,954.01,954.01,954.01,0.89,8.38,864529,941707811.0,0.0,0.64
2010-02-01,940.66,940.66,940.66,940.66,-1.4,-13.35,1054752,1065361949.0,0.0,0.78
2010-02-02,929.77,929.77,929.77,929.77,-1.16,-10.89,783304,820805642.0,0.0,0.58
2010-02-03,943.37,943.37,943.37,943.37,1.46,13.6,946194,877947389.0,0.0,0.7
2010-02-04,961.8,961.8,961.8,961.8,1.95,18.43,1274148,1331620018.0,0.0,0.95
2010-02-05,951.73,951.73,951.73,951.73,-1.05,-10.07,1242830,1282121495.0,0.0,0.92
2010-02-08,955.84,955.84,955.84,955.84,0.43,4.11,1248481,1370557641.0,0.0,0.93
2010-02-09,936.65,936.65,936.65,936.65,-2.01,-19.19,812674,900043216.0,0.0,0.6
2010-02-10,949.13,949.13,949.13,949.13,1.33,12.48,580795,701444516.0,0.0,0.43
2010-02-11,946.02,946.02,946.02,946.02,-0.33,-3.11,620133,724789423.0,0.0,0.46
2010-02-12,956.91,956.91,956.91,956.91,1.15,10.89,557352,599091164.0,0.0,0.41
2010-02-22,952.65,952.65,952.65,952.65,-0.45,-4.26,919289,1064067103.0,0.0,0.68
2010-02-23,967.92,967.92,967.92,967.92,1.6,15.27,1342820,1510371663.0,0.0,1.0
2010-02-24,984.74,984.74,984.74,984.74,1.74,16.82,1746927,1883649880.0,0.0,1.3
2010-02-25,1005.98,1005.98,1005.98,1005.98,2.16,21.24,1260875,1565075758.0,0.0,0.94
2010-02-26,1009.93,1009.93,1009.93,1009.93,0.39,3.95,1535748,1796650845.0,0.0,1.14
2010-03-01,1021.32,1021.32,1021.32,1021.32,1.13,11.39,1797315,2034535183.0,0.0,1.33
2010-03-02,1041.52,1041.52,1041.52,1041.52,1.98,20.2,1829938,1959860362.0,0.0,1.36
2010-03-03,1061.26,1061.26,1061.26,1061.26,1.9,19.74,2871976,3340704481.0,0.0,2.13
2010-03-04,1008.38,1008.38,1008.38,1008.38,-4.98,-52.88,2343838,2629778222.0,0.0,1.74
2010-03-05,1003.94,1003.94,1003.94,1003.94,-0.44,-4.44,1478290,1571230345.0,0.0,1.1
2010-03-08,1011.36,1011.36,1011.36,1011.36,0.74,7.42,974539,1074120236.0,0.0,0.72
2010-03-09,1004.73,1004.73,1004.73,1004.73,-0.66,-6.63,926407,998857153.0,0.0,0.69
2010-03-10,997.94,997.94,997.94,997.94,-0.68,-6.79,948080,1041802802.0,0.0,0.7
2010-03-11,994.8,994.8,994.8,994.8,-0.31,-3.14,1116564,1239493271.0,0.0,0.83
2010-03-12,977.57,977.57,977.57,977.57,-1.73,-17.23,980162,1080248849.0,0.0,0.73
2010-03-15,964.45,964.45,964.45,964.45,-1.34,-13.12,630210,717138737.0,0.0,0.47
2010-03-16,974.96,974.96,974.96,974.96,1.09,10.51,517199,602000359.0,0.0,0.38
2010-03-17,998.53,998.53,998.53,998.53,2.42,23.57,994373,1109115831.0,0.0,0.74
2010-03-18,996.83,996.83,996.83,996.83,-0.17,-1.7,882905,991746528.0,0.0,0.66
2010-03-19,1007.82,1007.82,1007.82,1007.82,1.1,10.99,956602,1118489736.0,0.0,0.71
2010-03-22,1012.89,1012.89,1012.89,1012.89,0.5,5.07,940182,1134032675.0,0.0,0.7
2010-03-23,1019.4,1019.4,1019.4,1019.4,0.64,6.51,2519090,2663786755.0,0.0,1.87
2010-03-24,1023.65,1023.65,1023.65,1023.65,0.42,4.25,2855382,2984496484.0,0.0,2.12
2010-03-25,995.49,995.49,995.49,995.49,-2.75,-28.16,1925818,2041426307.0,0.0,1.43
2010-03-26,1003.14,1003.14,1003.14,1003.14,0.77,7.65,1351194,1397111916.0,0.0,1.0
2010-03-29,1009.75,1009.75,1009.75,1009.75,0.66,6.61,1304381,1386022886.0,0.0,0.97
2010-03-30,1013.1,1013.1,1013.1,1013.1,0.33,3.35,1089448,1197617057.0,0.0,0.81
2010-03-31,1017.7,1017.7,1017.7,1017.7,0.45,4.6,1344149,1488644829.0,0.0,1.0
2010-04-01,1033.47,1033.47,1033.47,1033.47,1.55,15.77,1723478,1979579762.0,0.0,1.28
2010-04-02,1028.64,1028.64,1028.64,1028.64,-0.47,-4.83,1214047,1407264369.0,0.0,0.9
2010-04-06,1033.22,1033.22,1033.22,1033.22,0.45,4.58,1267037,1457180902.0,0.0,0.94
2010-04-07,1032.56,1032.56,1032.56,1032.56,-0.06,-0.66,1127871,1371527224.0,0.0,0.84
2010-04-08,1030.34,1030.34,1030.34,1030.34,-0.22,-2.22,1258965,1543947945.0,0.0,0.93
2010-04-09,1042.27,1042.27,1042.27,1042.27,1.16,11.93,1066682,1296078548.0,0.0,0.79
2010-04-12,1052.7,1052.7,1052.7,1052.7,1.0,10.43,1397078,1661835215.0,0.0,1.04
2010-04-13,1051.32,1051.32,1051.32,1051.32,-0.13,-1.38,1939348,2418596436.0,0.0,1.44
2010-04-14,1065.65,1065.65,1065.65,1065.65,1.36,14.33,1409366,1867178739.0,0.0,1.05
2010-04-15,1055.87,1055.87,1055.87,1055.87,-0.92,-9.78,1059143,1385643945.0,0.0,0.79
2010-04-16,1043.23,1043.23,1043.23,1043.23,-1.2,-12.64,1008961,1176858766.0,0.0,0.75
2010-04-19,1009.32,1009.32,1009.32,1009.32,-3.25,-33.91,1383767,1642079369.0,0.0,1.03
2010-04-20,1014.97,1014.97,1014.97,1014.97,0.56,5.65,1422933,1638538808.0,0.0,1.06
2010-04-21,1030.67,1030.67,1030.67,1030.67,1.55,15.7,1342413,1653156954.0,0.0,1.0
2010-04-22,1030.49,1030.49,1030.49,1030.49,-0.02,-0.18,1803541,2198117603.0,0.0,1.34
2010-04-23,1043.24,1043.24,1043.24,1043.24,1.24,12.75,1466803,1833646857.0,0.0,1.09
2010-04-26,1036.39,1036.39,1036.39,1036.39,-0.66,-6.85,1580512,2126733176.0,0.0,1.17
2010-04-27,990.46,990.46,990.46,990.46,-4.43,-45.93,1314450,1630377890.0,0.0,0.98
2010-04-28,985.77,985.77,985.77,985.77,-0.47,-4.69,874085,1064774339.0,0.0,0.65
2010-04-29,938.73,938.73,938.73,938.73,-4.77,-47.04,1299074,1654512507.0,0.0,0.96
