日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2015-12-09,994.81,1010.66,1013.09,994.01,1.07,10.66,4079099,5308614912.0,1.91,0.65
2015-12-10,1005.88,994.43,1010.28,993.19,-1.61,-16.23,3975142,4876369664.0,1.69,0.64
2015-12-11,992.36,995.13,1002.85,983.88,0.07,0.7,3534648,3919376016.0,1.91,0.56
2015-12-14,985.48,1012.9,1012.9,984.17,1.79,17.77,3076525,3527120672.0,2.89,0.49
2015-12-15,1013.37,1016.59,1022.9,1013.1,0.36,3.69,2891494,3566964816.0,0.97,0.46
2015-12-16,1019.88,1022.79,1030.56,1019.41,0.61,6.2,3264539,3824374608.0,1.1,0.52
2015-12-17,1028.93,1046.86,1046.86,1028.45,2.35,24.07,4589020,5718369280.0,1.8,0.73
2015-12-18,1046.34,1048.05,1055.63,1040.62,0.11,1.19,4288780,5428695296.0,1.43,0.69
2015-12-21,1043.24,1060.45,1061.56,1042.77,1.18,12.4,4765885,5877736448.0,1.79,0.76
2015-12-22,1062.66,1075.1,1075.1,1055.82,1.38,14.65,4913855,5974122240.0,1.82,0.79
2015-12-23,1075.36,1058.57,1077.48,1057.51,-1.54,-16.53,4861378,6082792704.0,1.86,0.78
2015-12-24,1068.59,1082.63,1083.71,1061.74,2.27,24.06,4133809,5571815936.0,2.08,0.66
2015-12-25,1090.44,1101.04,1104.49,1089.02,1.7,18.41,4470794,6844188672.0,1.43,0.71
2015-12-28,1103.08,1067.87,1112.2,1067.87,-3.01,-33.17,6127663,7736174336.0,4.03,0.98
2015-12-29,1066.83,1073.79,1074.2,1051.99,0.55,5.92,3863262,4874518272.0,2.08,0.62
2015-12-30,1074.65,1082.03,1082.65,1068.32,0.77,8.24,3535493,4271639200.0,1.33,0.57
2015-12-31,1082.84,1065.82,1087.25,1065.71,-1.5,-16.21,3321652,4110792160.0,1.99,0.53
2016-01-04,1065.35,975.29,1066.74,974.89,-8.49,-90.53,3348574,3961159136.0,8.62,0.54
2016-01-05,931.93,961.86,978.47,927.54,-1.38,-13.43,4213760,4595635200.0,5.22,0.67
2016-01-06,961.91,981.74,981.8,953.97,2.07,19.88,3464346,3641992448.0,2.89,0.55
2016-01-07,962.34,899.12,962.34,897.51,-8.42,-82.62,970632,986314704.0,6.6,0.16
2016-01-08,914.76,903.74,926.32,861.78,0.51,4.62,4309020,4332536576.0,7.18,0.69
2016-01-11,883.93,837.7,893.78,837.48,-7.31,-66.04,3520783,3522717664.0,6.23,0.56
2016-01-12,836.23,836.3,846.0,822.51,-0.17,-1.4,2890167,2816499552.0,2.8,0.46
2016-01-13,842.95,810.67,853.33,810.54,-3.06,-25.63,2899030,2676894816.0,5.12,0.46
2016-01-14,783.12,837.11,838.94,782.21,3.26,26.44,3091494,2871519360.0,7.0,0.49
2016-01-15,829.65,811.16,839.86,803.11,-3.1,-25.95,3039247,2894976496.0,4.39,0.49
2016-01-18,792.32,821.28,832.42,791.09,1.25,10.12,2473979,2406006432.0,5.1,0.4
2016-01-19,821.34,854.18,855.37,819.23,4.01,32.9,3022918,3034885712.0,4.4,0.48
2016-01-20,849.62,845.66,862.63,838.91,-1.0,-8.52,2962911,3042531088.0,2.78,0.47
2016-01-21,833.39,809.59,852.49,809.21,-4.27,-36.07,2642046,2598974480.0,5.12,0.42
2016-01-22,819.35,819.22,826.09,794.47,1.19,9.63,2089029,1949316576.0,3.91,0.33
2016-01-25,826.87,825.96,834.5,816.97,0.82,6.74,1761252,1672052240.0,2.14,0.28
2016-01-26,816.21,758.63,816.98,757.75,-8.15,-67.33,2847480,2590933344.0,7.17,0.46
2016-01-27,760.32,748.49,763.53,715.67,-1.34,-10.14,3203080,2723464048.0,6.31,0.51
2016-01-28,742.01,718.35,752.31,716.97,-4.03,-30.14,2310309,2049826832.0,4.72,0.37
2016-01-29,718.92,745.57,752.21,713.42,3.79,27.22,2449855,2169873520.0,5.4,0.39
2016-02-01,744.23,742.44,752.29,729.24,-0.42,-3.13,2078037,1825286032.0,3.09,0.33
2016-02-02,744.57,767.03,769.95,744.36,3.31,24.59,2196564,2011203728.0,3.45,0.35
2016-02-03,759.68,771.24,773.41,752.85,0.55,4.21,1860588,1682276464.0,2.68,0.3
2016-02-04,771.33,788.71,791.8,771.33,2.27,17.47,2284021,2115819440.0,2.65,0.37
2016-02-05,790.38,785.63,796.69,784.74,-0.39,-3.08,1769292,1594179424.0,1.52,0.28
2016-02-15,756.9,778.53,782.88,756.71,-0.9,-7.1,1554239,1362199504.0,3.33,0.25
2016-02-16,783.9,809.33,810.5,783.87,3.96,30.8,2471424,2318726416.0,3.42,0.4
2016-02-17,806.21,814.75,816.04,800.08,0.67,5.42,2478702,2269322704.0,1.97,0.4
2016-02-18,820.88,813.31,824.51,810.54,-0.18,-1.44,2619460,2451885536.0,1.71,0.42
2016-02-19,810.86,812.63,816.54,805.16,-0.08,-0.68,2119979,1952950720.0,1.4,0.34
2016-02-22,823.28,836.44,836.44,818.52,2.93,23.81,3186683,2971184448.0,2.21,0.51
2016-02-23,839.33,848.42,849.17,831.65,1.43,11.98,4000986,3626014768.0,2.09,0.64
2016-02-24,840.48,851.29,851.29,829.98,0.34,2.87,3313502,3158290640.0,2.51,0.53
2016-02-25,848.59,779.82,849.12,777.18,-8.4,-71.47,3902495,3565850592.0,8.45,0.62
2016-02-26,785.17,782.63,789.53,766.77,0.36,2.81,2645076,2229300416.0,2.92,0.42
2016-02-29,779.7,740.26,780.3,730.55,-5.41,-42.37,2493888,2070458304.0,6.36,0.4
2016-03-01,741.3,759.53,763.7,735.58,2.6,19.27,2093390,1730742416.0,3.8,0.33
2016-03-02,761.76,797.85,799.5,761.08,5.05,38.32,2924863,2612120400.0,5.06,0.47
2016-03-03,802.32,807.09,818.11,799.24,1.16,9.24,3518540,3250734128.0,2.37,0.56
2016-03-04,807.03,790.63,813.87,775.24,-2.04,-16.46,3564302,3086606992.0,4.79,0.57
2016-03-07,798.55,813.77,815.3,798.55,2.93,23.14,3026193,2660049808.0,2.12,0.48
