日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-09-20,1027.27,1040.58,1097.02,1006.98,4.06,40.58,1371063,2242982768.0,9.0,0.33
2016-09-21,1014.59,995.56,1033.61,993.66,-4.33,-45.02,750676,1194641696.0,3.84,0.18
2016-09-22,1008.88,959.42,1020.93,956.88,-3.63,-36.14,760715,1177528080.0,6.43,0.18
2016-09-23,949.91,913.76,965.76,909.96,-4.76,-45.66,538102,792087728.0,5.82,0.13
2016-09-26,908.69,878.25,930.88,878.25,-3.89,-35.51,392960,561618320.0,5.76,0.09
2016-09-27,875.08,855.42,884.59,824.35,-2.6,-22.83,512601,688656224.0,6.86,0.12
2016-09-28,846.54,830.06,849.72,822.45,-2.96,-25.36,316597,416421536.0,3.19,0.08
2016-09-29,830.69,833.23,859.86,830.69,0.38,3.17,322404,428691104.0,3.51,0.08
2016-09-30,826.89,800.89,826.89,800.89,-3.88,-32.34,332608,424934432.0,3.12,0.08
2016-10-10,806.6,824.35,824.35,797.08,2.93,23.46,296514,380108656.0,3.4,0.07
2016-10-11,824.35,852.89,852.89,821.18,3.46,28.54,416376,550693904.0,3.85,0.1
2016-10-12,887.77,883.24,887.77,866.03,3.56,30.35,1524532,2041682976.0,2.55,0.36
2016-10-13,871.07,847.47,874.68,844.47,-4.05,-35.77,1031642,1352910400.0,3.42,0.25
2016-10-14,848.45,861.26,890.43,843.21,1.63,13.79,1043483,1388661568.0,5.57,0.25
2016-10-17,850.8,822.2,850.8,817.28,-4.54,-39.06,791746,1000854768.0,3.89,0.19
2016-10-18,828.45,825.13,829.28,800.73,0.36,2.93,2093062,2390215152.0,3.47,0.5
2016-10-19,817.13,811.57,819.45,803.59,-1.64,-13.56,1173676,1322554954.0,1.92,0.28
2016-10-20,811.98,790.02,814.17,790.02,-2.66,-21.55,985207,1105603800.0,2.98,0.23
2016-10-21,785.03,770.67,794.05,766.62,-2.45,-19.35,1038315,1128699612.0,3.47,0.25
2016-10-24,771.33,792.23,810.72,765.82,2.8,21.56,1435058,1618898608.0,5.83,0.34
2016-10-25,785.85,813.83,820.64,777.76,2.73,21.6,1638705,1881973120.0,5.41,0.39
2016-10-26,807.58,796.01,807.58,791.63,-2.19,-17.82,948839,1092862516.0,1.96,0.23
2016-10-27,795.01,797.06,806.46,791.87,0.13,1.05,674464,783279702.0,1.83,0.16
2016-10-28,795.21,859.85,875.38,794.88,7.88,62.79,2146451,2705147504.0,10.1,0.51
2016-10-31,855.94,905.29,914.05,848.96,5.28,45.44,2689457,3396229344.0,7.57,0.64
2016-11-01,901.33,894.44,901.33,876.71,-1.2,-10.85,2014127,2569834128.0,2.72,0.48
2016-11-02,881.66,877.68,887.1,858.6,-1.87,-16.76,1523325,1901645440.0,3.19,0.36
2016-11-03,866.6,868.03,887.4,861.45,-1.1,-9.65,1347000,1687670688.0,2.96,0.32
2016-11-04,861.79,856.67,874.91,855.79,-1.31,-11.36,863463,1069185323.0,2.2,0.21
2016-11-07,854.42,860.26,869.67,852.13,0.42,3.59,648169,799517204.0,2.05,0.15
2016-11-08,863.41,877.0,894.76,858.75,1.95,16.74,1277724,1623082256.0,4.19,0.3
2016-11-09,867.89,849.54,867.89,840.2,-3.13,-27.46,1044076,1279218535.0,3.16,0.25
2016-11-10,860.33,908.64,922.44,854.35,6.96,59.1,1574468,2078350992.0,8.01,0.37
2016-11-11,924.25,932.33,954.69,913.53,2.61,23.69,2160534,2907512032.0,4.53,0.51
2016-11-14,914.14,969.92,1002.64,913.11,4.03,37.59,2155178,2986402784.0,9.6,0.51
2016-11-15,953.75,947.14,958.31,942.96,-2.35,-22.78,1099199,1500728560.0,1.58,0.26
2016-11-16,948.52,940.97,959.83,938.93,-0.65,-6.17,817208,1114940532.0,2.21,0.19
2016-11-17,935.02,933.63,935.02,915.87,-0.78,-7.34,629037,842186440.0,2.04,0.15
2016-11-18,929.26,907.22,930.38,904.9,-2.83,-26.41,588797,780653439.0,2.73,0.14
2016-11-21,905.09,919.7,935.83,903.42,1.38,12.48,685788,915152306.0,3.57,0.16
