日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1008.34,1008.34,1008.34,1008.34,0.83,8.34,521370,991200756.0,0.0,0.28
2010-01-05,1023.41,1023.41,1023.41,1023.41,1.49,15.07,467309,873978973.0,0.0,0.25
2010-01-06,1015.3,1015.3,1015.3,1015.3,-0.79,-8.11,402651,803488526.0,0.0,0.22
2010-01-07,984.27,984.27,984.27,984.27,-3.06,-31.03,368206,715465505.0,0.0,0.2
2010-01-08,996.52,996.52,996.52,996.52,1.24,12.25,269109,533880641.0,0.0,0.15
2010-01-11,1014.39,1014.39,1014.39,1014.39,1.79,17.87,383295,810395953.0,0.0,0.21
2010-01-12,1025.49,1025.49,1025.49,1025.49,1.09,11.1,407874,842520919.0,0.0,0.22
2010-01-13,1019.45,1019.45,1019.45,1019.45,-0.59,-6.04,430656,792666987.0,0.0,0.23
2010-01-14,1058.81,1058.81,1058.81,1058.81,3.86,39.36,585875,1070992249.0,0.0,0.32
2010-01-15,1071.84,1071.84,1071.84,1071.84,1.23,13.03,548660,934508215.0,0.0,0.3
2010-01-18,1086.2,1086.2,1086.2,1086.2,1.34,14.36,598777,1073632893.0,0.0,0.32
2010-01-19,1085.38,1085.38,1085.38,1085.38,-0.08,-0.82,503111,1063221244.0,0.0,0.27
2010-01-20,1051.27,1051.27,1051.27,1051.27,-3.14,-34.11,702205,1280866762.0,0.0,0.38
2010-01-21,1046.65,1046.65,1046.65,1046.65,-0.44,-4.62,544729,817272451.0,0.0,0.29
2010-01-22,1028.61,1028.61,1028.61,1028.61,-1.72,-18.04,492869,790166251.0,0.0,0.27
2010-01-25,1027.66,1027.66,1027.66,1027.66,-0.09,-0.95,537958,761727642.0,0.0,0.29
2010-01-26,991.49,991.49,991.49,991.49,-3.52,-36.17,421354,653113724.0,0.0,0.23
2010-01-27,984.32,984.32,984.32,984.32,-0.72,-7.17,355481,522849822.0,0.0,0.19
2010-01-28,1010.46,1010.46,1010.46,1010.46,2.66,26.14,403104,638319393.0,0.0,0.22
2010-01-29,1013.78,1013.78,1013.78,1013.78,0.33,3.32,610806,854756013.0,0.0,0.33
2010-02-01,1001.47,1001.47,1001.47,1001.47,-1.21,-12.31,390199,662925789.0,0.0,0.21
2010-02-02,994.78,994.78,994.78,994.78,-0.67,-6.69,563608,802881133.0,0.0,0.3
2010-02-03,997.61,997.61,997.61,997.61,0.28,2.83,480068,773474993.0,0.0,0.26
2010-02-04,997.2,997.2,997.2,997.2,-0.04,-0.41,501031,664810423.0,0.0,0.27
2010-02-05,972.59,972.59,972.59,972.59,-2.47,-24.61,455827,630476963.0,0.0,0.25
2010-02-08,971.81,971.81,971.81,971.81,-0.08,-0.78,278578,406888923.0,0.0,0.15
2010-02-09,978.21,978.21,978.21,978.21,0.66,6.4,316666,452015538.0,0.0,0.17
2010-02-10,986.18,986.18,986.18,986.18,0.81,7.97,196243,320904363.0,0.0,0.11
2010-02-11,987.28,987.28,987.28,987.28,0.11,1.1,198532,365728113.0,0.0,0.11
2010-02-12,1002.37,1002.37,1002.37,1002.37,1.53,15.09,179142,343633997.0,0.0,0.1
2010-02-22,1005.8,1005.8,1005.8,1005.8,0.34,3.43,229328,357893151.0,0.0,0.12
2010-02-23,1004.28,1004.28,1004.28,1004.28,-0.15,-1.52,249506,410881775.0,0.0,0.13
2010-02-24,1034.01,1034.01,1034.01,1034.01,2.96,29.73,346572,624878392.0,0.0,0.19
2010-02-25,1041.43,1041.43,1041.43,1041.43,0.72,7.42,375163,620166379.0,0.0,0.2
2010-02-26,1036.98,1036.98,1036.98,1036.98,-0.43,-4.45,210911,472022700.0,0.0,0.11
2010-03-01,1044.67,1044.67,1044.67,1044.67,0.74,7.69,391204,631390872.0,0.0,0.21
2010-03-02,1037.6,1037.6,1037.6,1037.6,-0.68,-7.07,461587,722597714.0,0.0,0.25
2010-03-03,1051.52,1051.52,1051.52,1051.52,1.34,13.92,537353,821421295.0,0.0,0.29
2010-03-04,1017.65,1017.65,1017.65,1017.65,-3.22,-33.87,445369,746008016.0,0.0,0.24
2010-03-05,1030.5,1030.5,1030.5,1030.5,1.26,12.85,325903,553722689.0,0.0,0.18
2010-03-08,1033.26,1033.26,1033.26,1033.26,0.27,2.76,247867,403266380.0,0.0,0.13
2010-03-09,1028.78,1028.78,1028.78,1028.78,-0.43,-4.48,235336,407730256.0,0.0,0.13
2010-03-10,1013.58,1013.58,1013.58,1013.58,-1.48,-15.2,244947,493897288.0,0.0,0.13
2010-03-11,1010.29,1010.29,1010.29,1010.29,-0.32,-3.29,251906,498900653.0,0.0,0.14
2010-03-12,998.27,998.27,998.27,998.27,-1.19,-12.02,231466,445777460.0,0.0,0.12
2010-03-15,997.51,997.51,997.51,997.51,-0.08,-0.76,202362,418354756.0,0.0,0.11
2010-03-16,1013.29,1013.29,1013.29,1013.29,1.58,15.78,293585,475200438.0,0.0,0.16
2010-03-17,1031.88,1031.88,1031.88,1031.88,1.83,18.59,307679,598216114.0,0.0,0.17
2010-03-18,1035.39,1035.39,1035.39,1035.39,0.34,3.51,405125,705847326.0,0.0,0.22
2010-03-19,1038.44,1038.44,1038.44,1038.44,0.29,3.05,358119,637403830.0,0.0,0.19
2010-03-22,1043.42,1043.42,1043.42,1043.42,0.48,4.98,448772,784098299.0,0.0,0.24
2010-03-23,1045.22,1045.22,1045.22,1045.22,0.17,1.8,381629,711654391.0,0.0,0.21
2010-03-24,1048.96,1048.96,1048.96,1048.96,0.36,3.74,471712,740966701.0,0.0,0.25
2010-03-25,1056.07,1056.07,1056.07,1056.07,0.68,7.11,720247,2066647466.0,0.0,0.39
2010-03-26,1064.59,1064.59,1064.59,1064.59,0.81,8.52,674153,1970466164.0,0.0,0.36
2010-03-29,1055.8,1055.8,1055.8,1055.8,-0.83,-8.79,439204,1277254915.0,0.0,0.24
2010-03-30,1050.93,1050.93,1050.93,1050.93,-0.46,-4.87,387341,936147906.0,0.0,0.21
2010-03-31,1062.46,1062.46,1062.46,1062.46,1.1,11.53,516391,1092826598.0,0.0,0.28
2010-04-01,1084.81,1084.81,1084.81,1084.81,2.1,22.35,859364,1487709063.0,0.0,0.46
2010-04-02,1084.42,1084.42,1084.42,1084.42,-0.04,-0.39,692768,1359567682.0,0.0,0.37
2010-04-06,1088.63,1088.63,1088.63,1088.63,0.39,4.21,482413,922816672.0,0.0,0.26
2010-04-07,1076.06,1076.06,1076.06,1076.06,-1.15,-12.57,394100,1018910749.0,0.0,0.21
2010-04-08,1067.34,1067.34,1067.34,1067.34,-0.81,-8.72,436307,945780324.0,0.0,0.24
2010-04-09,1082.72,1082.72,1082.72,1082.72,1.44,15.38,449206,1050041502.0,0.0,0.24
2010-04-12,1083.29,1083.29,1083.29,1083.29,0.05,0.57,546939,1182606415.0,0.0,0.3
2010-04-13,1056.34,1056.34,1056.34,1056.34,-2.49,-26.95,566599,1418765923.0,0.0,0.31
2010-04-14,1073.35,1073.35,1073.35,1073.35,1.61,17.01,478649,962846336.0,0.0,0.26
2010-04-15,1060.34,1060.34,1060.34,1060.34,-1.21,-13.01,415087,609617736.0,0.0,0.22
2010-04-16,1062.64,1062.64,1062.64,1062.64,0.22,2.3,375900,743210292.0,0.0,0.2
2010-04-19,1016.42,1016.42,1016.42,1016.42,-4.35,-46.22,411773,1233399003.0,0.0,0.22
2010-04-20,1009.75,1009.75,1009.75,1009.75,-0.66,-6.67,487127,1190283971.0,0.0,0.26
2010-04-21,1039.65,1039.65,1039.65,1039.65,2.96,29.9,542005,1252228419.0,0.0,0.29
2010-04-22,1046.02,1046.02,1046.02,1046.02,0.61,6.37,508664,1265129205.0,0.0,0.27
2010-04-23,1023.11,1023.11,1023.11,1023.11,-2.19,-22.91,489481,1261518115.0,0.0,0.26
2010-04-26,1016.74,1016.74,1016.74,1016.74,-0.62,-6.37,367786,1000520413.0,0.0,0.2
2010-04-27,985.91,985.91,985.91,985.91,-3.03,-30.83,437131,1026655671.0,0.0,0.24
2010-04-28,987.58,987.58,987.58,987.58,0.17,1.67,449533,913698035.0,0.0,0.24
2010-04-29,943.66,943.66,943.66,943.66,-4.45,-43.92,452982,930567118.0,0.0,0.24
2010-04-30,912.13,912.13,912.13,912.13,-3.34,-31.53,389245,699818499.0,0.0,0.21
2010-05-04,907.28,907.28,907.28,907.28,-0.53,-4.85,376395,607895625.0,0.0,0.2
2010-05-05,931.94,931.94,931.94,931.94,2.72,24.66,440896,715196841.0,0.0,0.24
2010-05-06,909.12,909.12,909.12,909.12,-2.45,-22.82,440612,718336392.0,0.0,0.24
2010-05-07,890.61,890.61,890.61,890.61,-2.04,-18.51,394519,632752024.0,0.0,0.21
2010-05-10,873.53,873.53,873.53,873.53,-1.92,-17.08,370491,564769347.0,0.0,0.2
2010-05-11,849.2,849.2,849.2,849.2,-2.79,-24.33,461709,653741521.0,0.0,0.25
2010-05-12,836.63,836.63,836.63,836.63,-1.48,-12.57,329077,482506294.0,0.0,0.18
2010-05-13,852.12,852.12,852.12,852.12,1.85,15.49,328918,493144535.0,0.0,0.18
2010-05-14,850.64,850.64,850.64,850.64,-0.17,-1.48,270738,408220801.0,0.0,0.15
2010-05-17,792.26,792.26,792.26,792.26,-6.86,-58.38,332303,463459689.0,0.0,0.18
2010-05-18,797.57,797.57,797.57,797.57,0.67,5.31,354180,449547398.0,0.0,0.19
2010-05-19,796.68,796.68,796.68,796.68,-0.11,-0.89,253379,367477340.0,0.0,0.14
2010-05-20,782.87,782.87,782.87,782.87,-1.73,-13.81,258118,361308631.0,0.0,0.14
2010-05-21,796.73,796.73,796.73,796.73,1.77,13.86,340072,462085994.0,0.0,0.18
2010-05-24,838.36,838.36,838.36,838.36,5.23,41.63,475652,720417034.0,0.0,0.26
2010-05-25,837.01,837.01,837.01,837.01,-0.16,-1.35,444876,594956768.0,0.0,0.24
2010-05-26,841.77,841.77,841.77,841.77,0.57,4.76,341994,443246332.0,0.0,0.18
2010-05-27,857.05,857.05,857.05,857.05,1.82,15.28,455041,609651324.0,0.0,0.25
2010-05-28,874.76,874.76,874.76,874.76,2.07,17.71,348711,603361595.0,0.0,0.19
2010-05-31,854.23,854.23,854.23,854.23,-2.35,-20.53,500865,761029081.0,0.0,0.27
2010-06-01,825.07,825.07,825.07,825.07,-3.41,-29.16,393440,572327938.0,0.0,0.21
2010-06-02,836.86,836.86,836.86,836.86,1.43,11.79,279099,386486817.0,0.0,0.15
2010-06-03,830.32,830.32,830.32,830.32,-0.78,-6.54,353663,552136246.0,0.0,0.19
2010-06-04,829.98,829.98,829.98,829.98,-0.04,-0.34,246652,409161196.0,0.0,0.13
2010-06-07,831.14,831.14,831.14,831.14,0.14,1.16,286858,470659090.0,0.0,0.15
2010-06-08,847.68,847.68,847.68,847.68,1.99,16.54,338773,556703734.0,0.0,0.18
2010-06-09,862.91,862.91,862.91,862.91,1.8,15.23,372020,579578739.0,0.0,0.2
2010-06-10,863.71,863.71,863.71,863.71,0.09,0.8,474334,706569476.0,0.0,0.26
2010-06-11,859.14,859.14,859.14,859.14,-0.53,-4.57,338882,516155615.0,0.0,0.18
2010-06-17,850.25,850.25,850.25,850.25,-1.03,-8.89,327248,556136613.0,0.0,0.18
2010-06-18,809.44,809.44,809.44,809.44,-4.8,-40.81,347973,535276618.0,0.0,0.19
2010-06-21,825.91,825.91,825.91,825.91,2.03,16.47,291303,437542723.0,0.0,0.16
2010-06-22,828.76,828.76,828.76,828.76,0.35,2.85,212374,316183212.0,0.0,0.11
2010-06-23,822.88,822.88,822.88,822.88,-0.71,-5.88,422300,690409607.0,0.0,0.23
2010-06-24,824.53,824.53,824.53,824.53,0.2,1.65,545270,670565152.0,0.0,0.29
2010-06-25,817.12,817.12,817.12,817.12,-0.9,-7.41,443099,649365094.0,0.0,0.24
2010-06-28,799.14,799.14,799.14,799.14,-2.2,-17.98,328318,412144341.0,0.0,0.18
2010-06-29,752.4,752.4,752.4,752.4,-5.85,-46.74,394631,510939515.0,0.0,0.21
2010-06-30,739.27,739.27,739.27,739.27,-1.75,-13.13,343240,413378823.0,0.0,0.19
2010-07-01,736.37,736.37,736.37,736.37,-0.39,-2.9,393397,560184186.0,0.0,0.21
2010-07-02,727.64,727.64,727.64,727.64,-1.19,-8.73,368107,581230250.0,0.0,0.2
2010-07-05,721.51,721.51,721.51,721.51,-0.84,-6.13,234949,393715598.0,0.0,0.13
2010-07-06,744.58,744.58,744.58,744.58,3.2,23.07,265506,449912071.0,0.0,0.14
2010-07-07,754.28,754.28,754.28,754.28,1.3,9.7,243725,378154454.0,0.0,0.13
2010-07-08,751.28,751.28,751.28,751.28,-0.4,-3.0,244029,413086697.0,0.0,0.13
2010-07-09,765.64,765.64,765.64,765.64,1.91,14.36,334405,541067994.0,0.0,0.18
2010-07-12,782.31,782.31,782.31,782.31,2.18,16.67,471746,692390621.0,0.0,0.25
2010-07-13,769.29,769.29,769.29,769.29,-1.66,-13.02,389820,577011056.0,0.0,0.21
2010-07-14,778.62,778.62,778.62,778.62,1.21,9.33,313149,532539806.0,0.0,0.17
2010-07-15,750.59,750.59,750.59,750.59,-3.6,-28.03,273979,517687475.0,0.0,0.15
