日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1043.47,1043.47,1043.47,1043.47,4.35,43.47,511272,410824481.0,0.0,0.6
2010-01-05,1102.01,1102.01,1102.01,1102.01,5.61,58.54,972002,965783435.0,0.0,1.14
2010-01-06,1139.84,1139.84,1139.84,1139.84,3.43,37.83,992633,1139970540.0,0.0,1.17
2010-01-07,1113.5,1113.5,1113.5,1113.5,-2.31,-26.34,736088,845727222.0,0.0,0.87
2010-01-08,1151.45,1151.45,1151.45,1151.45,3.41,37.95,834426,805425508.0,0.0,0.98
2010-01-11,1167.39,1167.39,1167.39,1167.39,1.38,15.94,959732,1009033912.0,0.0,1.13
2010-01-12,1176.82,1176.82,1176.82,1176.82,0.81,9.43,689681,772705534.0,0.0,0.81
2010-01-13,1154.66,1154.66,1154.66,1154.66,-1.88,-22.16,655627,707671423.0,0.0,0.77
2010-01-14,1179.29,1179.29,1179.29,1179.29,2.13,24.63,573737,643433851.0,0.0,0.67
2010-01-15,1177.1,1177.1,1177.1,1177.1,-0.19,-2.19,450604,498783504.0,0.0,0.53
2010-01-18,1205.75,1205.75,1205.75,1205.75,2.43,28.65,625656,669837008.0,0.0,0.74
2010-01-19,1226.86,1226.86,1226.86,1226.86,1.75,21.11,567461,692017980.0,0.0,0.67
2010-01-20,1133.51,1133.51,1133.51,1133.51,-7.61,-93.35,728462,800384956.0,0.0,0.86
2010-01-21,1113.16,1113.16,1113.16,1113.16,-1.8,-20.35,515067,646197329.0,0.0,0.61
2010-01-22,1074.24,1074.24,1074.24,1074.24,-3.5,-38.92,472907,552748278.0,0.0,0.56
2010-01-25,1053.97,1053.97,1053.97,1053.97,-1.89,-20.27,260539,292741564.0,0.0,0.31
2010-01-26,1015.69,1015.69,1015.69,1015.69,-3.63,-38.28,306541,335555370.0,0.0,0.36
2010-01-27,1012.16,1012.16,1012.16,1012.16,-0.35,-3.53,272997,285620423.0,0.0,0.32
2010-01-28,1013.53,1013.53,1013.53,1013.53,0.14,1.37,268565,257141938.0,0.0,0.32
2010-01-29,1017.96,1017.96,1017.96,1017.96,0.44,4.43,439793,452616498.0,0.0,0.52
2010-02-01,975.99,975.99,975.99,975.99,-4.12,-41.97,394140,387824932.0,0.0,0.46
2010-02-02,984.58,984.58,984.58,984.58,0.88,8.59,297187,295344304.0,0.0,0.35
2010-02-03,996.92,996.92,996.92,996.92,1.25,12.34,372778,368941616.0,0.0,0.44
2010-02-04,996.52,996.52,996.52,996.52,-0.04,-0.4,347101,360978162.0,0.0,0.41
2010-02-05,991.94,991.94,991.94,991.94,-0.46,-4.58,172505,233625740.0,0.0,0.2
2010-02-08,978.8,978.8,978.8,978.8,-1.32,-13.14,227316,238282398.0,0.0,0.27
2010-02-09,968.13,968.13,968.13,968.13,-1.09,-10.67,188203,183159354.0,0.0,0.22
2010-02-10,992.94,992.94,992.94,992.94,2.56,24.81,174020,179080721.0,0.0,0.2
2010-02-11,989.77,989.77,989.77,989.77,-0.32,-3.17,178505,178335800.0,0.0,0.21
2010-02-12,1008.08,1008.08,1008.08,1008.08,1.85,18.31,184609,200950737.0,0.0,0.22
2010-02-22,1004.83,1004.83,1004.83,1004.83,-0.32,-3.25,200970,220012745.0,0.0,0.24
2010-02-23,1029.52,1029.52,1029.52,1029.52,2.46,24.69,342148,351429172.0,0.0,0.4
2010-02-24,1054.85,1054.85,1054.85,1054.85,2.46,25.33,360604,384003108.0,0.0,0.42
2010-02-25,1069.99,1069.99,1069.99,1069.99,1.44,15.14,324105,364958239.0,0.0,0.38
