日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-03-02,1002.44,984.65,1015.33,972.11,-1.54,-15.35,3926279,17960874015.0,4.32,0.91
2021-03-03,981.99,1002.31,1011.75,970.14,1.79,17.66,3877192,16727639155.0,4.23,0.9
2021-03-04,998.81,978.86,1013.24,969.35,-2.34,-23.45,4334280,18767685047.0,4.38,1.01
2021-03-05,971.13,989.64,1001.97,961.51,1.1,10.78,3556210,15212765542.0,4.13,0.83
2021-03-08,995.02,969.45,1016.75,961.57,-2.04,-20.19,4453845,18496766501.0,5.58,1.04
2021-03-09,967.72,933.7,982.6,914.98,-3.69,-35.75,4764096,18692351531.0,6.98,1.11
2021-03-10,942.96,924.82,959.32,912.91,-0.95,-8.88,3633994,15294903614.0,4.97,0.85
2021-03-11,925.73,938.82,950.72,912.99,1.51,14.0,3212047,14447358325.0,4.08,0.75
2021-03-12,939.81,932.35,952.39,917.87,-0.69,-6.47,3123403,12449203325.0,3.68,0.73
2021-03-15,929.49,917.83,945.65,903.51,-1.56,-14.52,3270154,14327884790.0,4.52,0.76
2021-03-16,918.7,925.16,937.87,905.18,0.8,7.33,3086249,12381179145.0,3.56,0.72
2021-03-17,923.62,933.0,943.01,913.82,0.85,7.84,2492919,10314534465.0,3.16,0.58
2021-03-18,933.32,942.57,957.79,923.57,1.03,9.57,3175207,12068878952.0,3.67,0.74
2021-03-19,935.23,943.78,962.79,922.51,0.13,1.21,3330649,12786403625.0,4.27,0.77
2021-03-22,944.94,952.86,967.21,934.36,0.96,9.08,3101835,11131333899.0,3.48,0.72
2021-03-23,952.89,946.24,969.22,933.57,-0.69,-6.62,2930311,11573995232.0,3.74,0.68
2021-03-24,943.55,940.07,961.74,922.57,-0.65,-6.17,2805146,11569730471.0,4.14,0.65
2021-03-25,936.51,939.27,956.13,920.96,-0.09,-0.8,2770557,11307061362.0,3.74,0.64
2021-03-26,942.25,953.91,964.45,930.57,1.56,14.64,3485646,14402279777.0,3.61,0.81
2021-03-29,958.72,959.38,977.78,943.31,0.57,5.47,3526132,13872514718.0,3.61,0.82
2021-03-30,959.0,956.19,975.95,941.78,-0.33,-3.19,3130175,12203644614.0,3.56,0.73
2021-03-31,956.64,954.88,972.24,940.44,-0.14,-1.31,3068142,12585308460.0,3.33,0.71
2021-04-01,955.49,961.04,972.95,941.55,0.65,6.16,2704597,11613249748.0,3.29,0.63
2021-04-02,961.58,967.2,983.28,948.69,0.64,6.16,2847859,12202073349.0,3.6,0.66
2021-04-06,968.37,975.05,988.17,955.72,0.81,7.85,2753694,10456034300.0,3.36,0.64
2021-04-07,977.78,975.36,990.41,959.5,0.03,0.31,3106178,11617300330.0,3.17,0.72
2021-04-08,975.74,984.49,999.05,962.68,0.94,9.13,3079459,13107727477.0,3.73,0.72
2021-04-09,986.41,982.52,1003.66,965.72,-0.2,-1.97,3367684,13854897252.0,3.85,0.78
2021-04-12,981.59,960.52,995.7,951.22,-2.24,-22.0,3433205,14755265358.0,4.53,0.8
2021-04-13,962.77,975.36,993.18,952.76,1.54,14.84,3140286,13436363420.0,4.21,0.73
2021-04-14,977.46,984.72,999.27,959.35,0.96,9.36,3304631,14541185490.0,4.09,0.77
2021-04-15,986.01,994.75,1013.68,967.61,1.02,10.03,4118900,16957023637.0,4.68,0.96
