日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1000.0,1000.0,1000.0,1000.0,0.0,0.0,9096,12393462.0,0.0,0.01
2010-01-05,997.79,997.79,997.79,997.79,-0.22,-2.21,11114,15013197.0,0.0,0.01
2010-01-06,994.85,994.85,994.85,994.85,-0.29,-2.94,12506,17149150.0,0.0,0.01
2010-01-07,990.43,990.43,990.43,990.43,-0.44,-4.42,12928,17481211.0,0.0,0.01
2010-01-08,1039.74,1039.74,1039.74,1039.74,4.98,49.31,42864,59876891.0,0.0,0.04
2010-01-11,1089.04,1089.04,1089.04,1089.04,4.74,49.3,37256,54376081.0,0.0,0.03
2010-01-12,1098.6,1098.6,1098.6,1098.6,0.88,9.56,36000,53843869.0,0.0,0.03
2010-01-13,1125.83,1125.83,1125.83,1125.83,2.48,27.23,27297,41519549.0,0.0,0.02
2010-01-14,1139.07,1139.07,1139.07,1139.07,1.18,13.24,29524,45339745.0,0.0,0.03
2010-01-15,1195.73,1195.73,1195.73,1195.73,4.97,56.66,44538,71845255.0,0.0,0.04
2010-01-18,1203.83,1203.83,1203.83,1203.83,0.68,8.1,26660,43656561.0,0.0,0.02
2010-01-19,1171.45,1171.45,1171.45,1171.45,-2.69,-32.38,27566,44277130.0,0.0,0.02
2010-01-20,1175.13,1175.13,1175.13,1175.13,0.31,3.68,35637,57310057.0,0.0,0.03
2010-01-21,1173.66,1173.66,1173.66,1173.66,-0.13,-1.47,11973,19187048.0,0.0,0.01
2010-01-22,1114.79,1114.79,1114.79,1114.79,-5.02,-58.87,18143,28129763.0,0.0,0.02
2010-01-25,1059.6,1059.6,1059.6,1059.6,-4.95,-55.19,16264,23642798.0,0.0,0.01
2010-01-26,1083.15,1083.15,1083.15,1083.15,2.22,23.55,12280,17873510.0,0.0,0.01
2010-01-27,1034.58,1034.58,1034.58,1034.58,-4.48,-48.57,8210,11599988.0,0.0,0.01
