日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2019-11-07,1057.58,1075.21,1082.26,1014.22,7.52,75.21,131575,1176558262.0,6.8,1.77
2019-11-08,1059.34,1175.09,1216.22,1041.13,9.29,99.88,115529,1111870032.0,16.28,1.56
2019-11-11,1180.96,1151.7,1206.35,1125.73,-1.99,-23.39,82219,812063182.0,6.86,1.11
2019-11-12,1138.54,1105.88,1172.74,1045.83,-3.98,-45.82,107872,1018121357.0,11.02,1.45
2019-11-13,1095.18,1139.84,1157.46,1064.63,3.07,33.96,59784,569411216.0,8.39,0.81
2019-11-14,1130.32,1111.63,1151.59,1106.35,-2.47,-28.21,45545,437315156.0,3.97,0.61
2019-11-15,1104.58,1167.45,1202.12,1094.36,5.02,55.82,59397,582634107.0,9.69,0.8
2019-11-18,1165.81,1103.76,1188.01,1088.72,-5.46,-63.69,65394,629699536.0,8.5,0.88
2019-11-19,1103.76,1117.51,1132.2,1091.3,1.25,13.75,36308,343828088.0,3.71,0.49
2019-11-20,1110.46,1117.51,1160.75,1110.46,0.0,0.0,38308,370476252.0,4.5,0.52
2019-11-21,1106.35,1093.42,1143.71,1081.08,-2.16,-24.09,32177,304534640.0,5.6,0.43
2019-11-22,1083.2,1018.33,1096.95,1018.33,-6.87,-75.09,48133,431093596.0,7.19,0.65
2019-11-25,1011.28,1008.81,1015.75,980.02,-0.93,-9.52,28935,246525926.0,3.51,0.39
2019-11-26,1010.58,1010.93,1022.91,989.66,0.21,2.12,19979,171304654.0,3.3,0.27
2019-11-27,1012.93,969.1,1015.51,951.82,-4.14,-41.83,43034,357622330.0,6.3,0.58
2019-11-28,963.93,979.67,992.24,963.93,1.09,10.57,17936,149840942.0,2.92,0.24
2019-11-29,979.67,943.36,982.96,929.61,-3.71,-36.31,31465,253782593.0,5.45,0.42
2019-12-02,940.07,928.32,961.81,917.86,-1.59,-15.04,31226,248600440.0,4.66,0.42
2019-12-03,930.79,940.19,948.3,923.15,1.28,11.87,24149,192070554.0,2.71,0.33
2019-12-04,930.44,954.17,977.67,930.44,1.49,13.98,22589,184498196.0,5.02,0.3
2019-12-05,962.87,942.19,963.57,930.44,-1.26,-11.98,23998,192981890.0,3.47,0.32
2019-12-06,934.2,935.37,953.58,934.2,-0.72,-6.82,13417,107508953.0,2.06,0.18
2019-12-09,935.37,965.92,965.92,933.26,3.27,30.55,18008,145852979.0,3.49,0.24
2019-12-10,967.1,983.55,1020.68,950.18,1.83,17.63,42160,356438528.0,7.3,0.57
2019-12-11,974.15,963.57,996.36,961.22,-2.03,-19.98,16946,140317213.0,3.57,0.23
2019-12-12,963.57,972.74,987.66,963.57,0.95,9.17,18956,157994504.0,2.5,0.26
2019-12-13,975.32,977.56,987.07,969.33,0.5,4.82,12967,107908529.0,1.82,0.17
2019-12-16,979.67,981.9,982.61,956.4,0.44,4.34,18837,155396104.0,2.68,0.25
2019-12-17,981.2,992.71,1019.39,976.73,1.1,10.81,24801,211372732.0,4.34,0.33
2019-12-18,989.07,1007.05,1022.91,989.07,1.44,14.34,24536,211037734.0,3.41,0.33
2019-12-19,1008.23,1007.17,1035.61,1001.76,0.01,0.12,17029,147554991.0,3.36,0.23
2019-12-20,999.77,984.96,1017.74,984.96,-2.21,-22.21,12860,108711380.0,3.25,0.17
2019-12-23,978.97,925.73,984.96,925.73,-6.01,-59.23,26656,214862642.0,6.01,0.36
2019-12-24,927.85,942.42,943.6,927.85,1.8,16.69,16736,133361648.0,1.7,0.23
2019-12-25,945.59,933.49,957.58,932.32,-0.95,-8.93,14027,112352184.0,2.68,0.19
2019-12-26,926.21,979.91,985.9,926.21,4.97,46.42,22275,183453994.0,6.39,0.3
2019-12-27,984.14,951.82,991.77,949.47,-2.87,-28.09,14138,116426007.0,4.32,0.19
2019-12-30,941.48,977.67,980.96,940.66,2.72,25.85,14305,117034582.0,4.23,0.19
2019-12-31,981.08,980.02,984.14,955.35,0.24,2.35,16694,137765016.0,2.94,0.23
2020-01-02,985.9,999.18,1017.04,984.37,1.96,19.16,24884,212129293.0,3.33,0.34
2020-01-03,1013.87,979.55,1013.87,972.97,-1.96,-19.63,21846,183310706.0,4.09,0.29
2020-01-06,968.27,987.07,990.6,960.05,0.77,7.52,19401,160605770.0,3.12,0.26
2020-01-07,985.9,990.25,991.66,974.15,0.32,3.18,21691,181288772.0,1.77,0.29
2020-01-08,975.32,966.16,980.61,957.58,-2.43,-24.09,18328,150931989.0,2.33,0.25
2020-01-09,968.27,996.95,1004.94,968.27,3.19,30.79,24384,205441838.0,3.8,0.33
2020-01-10,993.54,982.84,1003.53,975.79,-1.42,-14.11,19556,164025503.0,2.78,0.26
2020-01-13,975.32,965.45,975.32,947.71,-1.77,-17.39,32673,266977498.0,2.81,0.44
2020-01-14,968.27,984.61,992.95,958.87,1.98,19.16,28142,233207794.0,3.53,0.38
2020-01-15,978.26,975.91,985.9,963.81,-0.88,-8.7,16670,138016880.0,2.24,0.22
2020-01-16,976.97,1057.11,1073.8,973.33,8.32,81.2,61044,538021785.0,10.3,0.82
2020-01-17,1069.33,1077.44,1113.75,1062.87,1.92,20.33,53157,489722800.0,4.81,0.72
2020-01-20,1066.98,1085.78,1089.07,1050.06,0.77,8.34,44089,403044928.0,3.62,0.59
2020-01-21,1085.78,1050.53,1102.94,1041.36,-3.25,-35.25,34998,317739960.0,5.67,0.47
2020-01-22,1038.78,1047.24,1053.94,1016.57,-0.31,-3.29,29673,260717843.0,3.56,0.4
2020-01-23,1030.55,998.83,1042.07,987.31,-4.62,-48.41,36669,314924880.0,5.23,0.49
2020-02-03,846.18,905.29,938.54,846.18,-9.36,-93.54,42322,321078464.0,9.25,0.57
2020-02-04,916.57,958.87,966.16,908.34,5.92,53.58,24331,195850409.0,6.39,0.33
2020-02-05,955.7,973.68,991.89,949.59,1.54,14.81,32949,270040540.0,4.41,0.44
2020-02-06,963.57,976.26,983.2,952.76,0.26,2.58,43222,355434916.0,3.13,0.58
2020-02-07,969.45,960.87,989.42,938.66,-1.58,-15.39,33616,275217338.0,5.2,0.45
2020-02-10,951.82,980.02,989.78,937.49,1.99,19.15,31985,264058159.0,5.44,0.43
2020-02-11,987.78,953.0,987.78,943.01,-2.76,-27.02,21415,174371675.0,4.57,0.29
2020-02-12,953.0,964.75,974.74,950.65,1.23,11.75,20634,168920468.0,2.53,0.28
2020-02-13,964.51,1019.39,1023.5,959.58,5.66,54.64,46161,391557988.0,6.63,0.62
2020-02-14,1031.73,995.3,1042.3,986.02,-2.36,-24.09,33376,286533536.0,5.52,0.45
2020-02-17,996.01,1016.92,1020.68,988.95,2.17,21.62,23147,199199654.0,3.19,0.31
2020-02-18,1017.51,1006.46,1027.03,990.13,-1.03,-10.46,23888,204739530.0,3.63,0.32
2020-02-19,1016.45,1105.76,1155.11,1016.45,9.87,99.3,67350,625818436.0,13.78,0.91
2020-02-20,1095.77,1084.96,1123.38,1075.21,-1.88,-20.8,40363,378126799.0,4.36,0.54
2020-02-21,1084.96,1058.99,1084.96,1053.0,-2.39,-25.97,33263,300665832.0,2.95,0.45
2020-02-24,1057.58,1046.06,1057.58,1023.27,-1.22,-12.93,31744,280283422.0,3.24,0.43
2020-02-25,1022.33,1048.77,1055.23,1018.33,0.26,2.71,29222,257740331.0,3.53,0.39
2020-02-26,1030.32,998.94,1037.37,998.83,-4.75,-49.83,28344,244711572.0,3.67,0.38
2020-02-27,1002.12,1032.9,1035.02,997.42,3.4,33.96,22507,195245060.0,3.76,0.3
2020-02-28,1004.82,1015.28,1054.76,1004.82,-1.71,-17.62,32624,285402048.0,4.83,0.44
2020-03-02,1018.8,1052.88,1079.91,1018.8,3.7,37.6,25352,227860217.0,6.02,0.34
2020-03-03,1062.75,1074.74,1076.38,1051.7,2.08,21.86,22465,203661102.0,2.34,0.3
