日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1001.25,1001.25,1001.25,1001.25,0.13,1.25,6204094,9701067804.0,0.0,0.2
2010-01-05,1011.01,1011.01,1011.01,1011.01,0.97,9.76,6652829,10114351304.0,0.0,0.22
2010-01-06,1011.51,1011.51,1011.51,1011.51,0.05,0.5,7576084,11663930938.0,0.0,0.25
2010-01-07,988.21,988.21,988.21,988.21,-2.3,-23.3,7020062,10389613344.0,0.0,0.23
2010-01-08,996.78,996.78,996.78,996.78,0.87,8.57,5364757,7706842860.0,0.0,0.17
2010-01-11,1000.29,1000.29,1000.29,1000.29,0.35,3.51,6718734,9933328948.0,0.0,0.22
2010-01-12,1025.52,1025.52,1025.52,1025.52,2.52,25.23,9457805,18294119888.0,0.0,0.31
2010-01-13,1025.19,1025.19,1025.19,1025.19,-0.03,-0.33,10187653,17907911457.0,0.0,0.33
2010-01-14,1053.73,1053.73,1053.73,1053.73,2.78,28.54,11163721,18682718446.0,0.0,0.36
2010-01-15,1058.21,1058.21,1058.21,1058.21,0.43,4.48,9048259,15184975030.0,0.0,0.29
2010-01-18,1076.95,1076.95,1076.95,1076.95,1.77,18.74,10073606,16686372514.0,0.0,0.33
2010-01-19,1076.21,1076.21,1076.21,1076.21,-0.07,-0.74,10641976,17209995549.0,0.0,0.34
2010-01-20,1038.59,1038.59,1038.59,1038.59,-3.5,-37.62,10845486,18114443152.0,0.0,0.35
2010-01-21,1046.96,1046.96,1046.96,1046.96,0.81,8.37,7450615,11517740222.0,0.0,0.24
2010-01-22,1022.37,1022.37,1022.37,1022.37,-2.35,-24.59,9757611,14281922888.0,0.0,0.32
2010-01-25,1007.95,1007.95,1007.95,1007.95,-1.41,-14.42,5626391,8109251281.0,0.0,0.18
2010-01-26,976.65,976.65,976.65,976.65,-3.11,-31.3,6847149,10769285332.0,0.0,0.22
2010-01-27,971.39,971.39,971.39,971.39,-0.54,-5.26,5074319,8050508619.0,0.0,0.16
2010-01-28,985.88,985.88,985.88,985.88,1.49,14.49,4903541,8281635217.0,0.0,0.16
2010-01-29,1003.34,1003.34,1003.34,1003.34,1.77,17.46,6788507,10701852974.0,0.0,0.22
2010-02-01,1001.58,1001.58,1001.58,1001.58,-0.18,-1.76,7411713,12648396248.0,0.0,0.24
2010-02-02,990.81,990.81,990.81,990.81,-1.08,-10.77,5816387,9432021928.0,0.0,0.19
2010-02-03,993.58,993.58,993.58,993.58,0.28,2.77,7016911,11206775635.0,0.0,0.23
2010-02-04,1005.17,1005.17,1005.17,1005.17,1.17,11.59,7301861,10935773486.0,0.0,0.24
2010-02-05,989.87,989.87,989.87,989.87,-1.52,-15.3,6260555,9646901608.0,0.0,0.2
2010-02-08,992.12,992.12,992.12,992.12,0.23,2.25,5184117,7622342123.0,0.0,0.17
2010-02-09,990.3,990.3,990.3,990.3,-0.18,-1.82,4526059,6516638249.0,0.0,0.15
2010-02-10,1003.72,1003.72,1003.72,1003.72,1.36,13.42,4008862,7063600133.0,0.0,0.13
2010-02-11,1003.03,1003.03,1003.03,1003.03,-0.07,-0.69,3958731,6587744460.0,0.0,0.13
2010-02-12,1013.25,1013.25,1013.25,1013.25,1.02,10.22,4085718,7259676706.0,0.0,0.13
2010-02-22,1012.99,1012.99,1012.99,1012.99,-0.03,-0.26,5162609,7486965783.0,0.0,0.17
2010-02-23,1024.15,1024.15,1024.15,1024.15,1.1,11.16,5663111,8635804209.0,0.0,0.18
2010-02-24,1053.56,1053.56,1053.56,1053.56,2.87,29.41,8136610,12770068094.0,0.0,0.26
2010-02-25,1066.46,1066.46,1066.46,1066.46,1.22,12.9,8491278,13876123903.0,0.0,0.27
2010-02-26,1071.52,1071.52,1071.52,1071.52,0.47,5.06,8612843,14208958534.0,0.0,0.28
2010-03-01,1081.86,1081.86,1081.86,1081.86,0.96,10.34,7975224,12878771832.0,0.0,0.26
2010-03-02,1079.4,1079.4,1079.4,1079.4,-0.23,-2.46,7317894,11636800367.0,0.0,0.24
2010-03-03,1086.54,1086.54,1086.54,1086.54,0.66,7.14,7626044,11698047807.0,0.0,0.25
2010-03-04,1052.05,1052.05,1052.05,1052.05,-3.17,-34.49,8749578,13702000602.0,0.0,0.28
