日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-03-17,1007.8,1007.8,1007.8,1007.8,0.78,7.8,61411,362587251.0,0.0,0.09
2010-03-18,995.09,995.09,995.09,995.09,-1.26,-12.71,42493,249301397.0,0.0,0.06
2010-03-19,942.71,942.71,942.71,942.71,-5.26,-52.38,41177,232224608.0,0.0,0.06
2010-03-22,954.75,954.75,954.75,954.75,1.28,12.04,20869,117126234.0,0.0,0.03
2010-03-23,942.88,942.88,942.88,942.88,-1.24,-11.87,15728,87621078.0,0.0,0.02
2010-03-24,1037.12,1037.12,1037.12,1037.12,9.99,94.24,36161,214330102.0,0.0,0.05
2010-03-25,1057.29,1057.29,1057.29,1057.29,1.94,20.17,56274,357084711.0,0.0,0.08
2010-03-26,1084.24,1084.24,1084.24,1084.24,2.55,26.95,37556,239525849.0,0.0,0.06
2010-03-29,1100.34,1100.34,1100.34,1100.34,1.48,16.1,25768,164600541.0,0.0,0.04
2010-03-30,1127.12,1127.12,1127.12,1127.12,2.43,26.78,24740,163902727.0,0.0,0.04
2010-03-31,1118.64,1118.64,1118.64,1118.64,-0.75,-8.48,20577,137116995.0,0.0,0.03
2010-04-01,1123.39,1123.39,1123.39,1123.39,0.42,4.75,25870,176288275.0,0.0,0.04
2010-04-02,1115.93,1115.93,1115.93,1115.93,-0.66,-7.46,20956,138061580.0,0.0,0.03
2010-04-06,1177.97,1177.97,1177.97,1177.97,5.56,62.04,20503,138471299.0,0.0,0.03
2010-04-07,1186.44,1186.44,1186.44,1186.44,0.72,8.47,22348,155584623.0,0.0,0.03
2010-04-08,1115.93,1115.93,1115.93,1115.93,-5.94,-70.51,22953,156051523.0,0.0,0.03
2010-04-09,1135.59,1135.59,1135.59,1135.59,1.76,19.66,17183,114132821.0,0.0,0.03
2010-04-12,1140.17,1140.17,1140.17,1140.17,0.4,4.58,17276,115683756.0,0.0,0.03
2010-04-13,1072.88,1072.88,1072.88,1072.88,-5.9,-67.29,28769,182706650.0,0.0,0.04
2010-04-14,1072.88,1072.88,1072.88,1072.88,0.0,0.0,13156,82588352.0,0.0,0.02
2010-04-15,1011.7,1011.7,1011.7,1011.7,-5.7,-61.18,13870,84490282.0,0.0,0.02
2010-04-16,1018.81,1018.81,1018.81,1018.81,0.7,7.11,11506,69342458.0,0.0,0.02
2010-04-19,1014.41,1014.41,1014.41,1014.41,-0.43,-4.4,9836,59670899.0,0.0,0.01
2010-04-20,1003.39,1003.39,1003.39,1003.39,-1.09,-11.02,10080,59224360.0,0.0,0.02
2010-04-21,1071.86,1071.86,1071.86,1071.86,6.82,68.47,14636,90615191.0,0.0,0.02
2010-04-22,1086.44,1086.44,1086.44,1086.44,1.36,14.58,14604,93712012.0,0.0,0.02
2010-04-23,1067.8,1067.8,1067.8,1067.8,-1.72,-18.64,9714,62267650.0,0.0,0.01
2010-04-26,1093.22,1093.22,1093.22,1093.22,2.38,25.42,10646,68801271.0,0.0,0.02
2010-04-27,1045.76,1045.76,1045.76,1045.76,-4.34,-47.46,13198,81293652.0,0.0,0.02
2010-04-28,1031.02,1031.02,1031.02,1031.02,-1.41,-14.74,8297,50448345.0,0.0,0.01
2010-04-29,986.78,986.78,986.78,986.78,-4.29,-44.24,6647,39948192.0,0.0,0.01
2010-04-30,1004.92,1004.92,1004.92,1004.92,1.84,18.14,5936,34124791.0,0.0,0.01
2010-05-04,1015.76,1015.76,1015.76,1015.76,1.08,10.84,3588,21406612.0,0.0,0.01
2010-05-05,1039.32,1039.32,1039.32,1039.32,2.32,23.56,5151,31287135.0,0.0,0.01
2010-05-06,1017.46,1017.46,1017.46,1017.46,-2.1,-21.86,5527,33514226.0,0.0,0.01
2010-05-07,1021.7,1021.7,1021.7,1021.7,0.42,4.24,5028,30073485.0,0.0,0.01
2010-05-10,959.32,959.32,959.32,959.32,-6.11,-62.38,6928,39599281.0,0.0,0.01
2010-05-11,898.31,898.31,898.31,898.31,-6.36,-61.01,5876,32615202.0,0.0,0.01
2010-05-12,829.32,829.32,829.32,829.32,-7.68,-68.99,8632,42933506.0,0.0,0.01
2010-05-13,844.07,844.07,844.07,844.07,1.78,14.75,6354,30805971.0,0.0,0.01
2010-05-14,840.68,840.68,840.68,840.68,-0.4,-3.39,6931,34195828.0,0.0,0.01
2010-05-17,803.39,803.39,803.39,803.39,-4.44,-37.29,4772,22951153.0,0.0,0.01
2010-05-18,811.86,811.86,811.86,811.86,1.05,8.47,5454,25593959.0,0.0,0.01
2010-05-20,813.56,813.56,813.56,813.56,0.21,1.7,7759,37842851.0,0.0,0.01
2010-05-21,844.24,844.24,844.24,844.24,3.77,30.68,8824,42460747.0,0.0,0.01
2010-05-24,896.61,896.61,896.61,896.61,6.2,52.37,10023,51756417.0,0.0,0.02
2010-05-25,891.53,891.53,891.53,891.53,-0.57,-5.08,7938,41816815.0,0.0,0.01
2010-05-26,881.7,881.7,881.7,881.7,-1.1,-9.83,4247,22093152.0,0.0,0.01
2010-05-27,900.51,900.51,900.51,900.51,2.13,18.81,6302,33048261.0,0.0,0.01
2010-05-28,901.7,901.7,901.7,901.7,0.13,1.19,5364,28799535.0,0.0,0.01
2010-05-31,844.07,844.07,844.07,844.07,-6.39,-57.63,5088,26270450.0,0.0,0.01
2010-06-01,824.24,824.24,824.24,824.24,-2.35,-19.83,5102,24766957.0,0.0,0.01
2010-06-02,845.42,845.42,845.42,845.42,2.57,21.18,2994,14647035.0,0.0,0.0
2010-06-03,852.54,852.54,852.54,852.54,0.84,7.12,4752,24105803.0,0.0,0.01
2010-06-04,864.41,864.41,864.41,864.41,1.39,11.87,2319,11678562.0,0.0,0.0
2010-06-07,886.95,886.95,886.95,886.95,2.61,22.54,5925,30587618.0,0.0,0.01
2010-06-08,911.86,911.86,911.86,911.86,2.81,24.91,7520,39991578.0,0.0,0.01
2010-06-09,911.86,911.86,911.86,911.86,0.0,0.0,6464,34867315.0,0.0,0.01
2010-06-10,919.83,919.83,919.83,919.83,0.87,7.97,4358,23698683.0,0.0,0.01
2010-06-11,938.81,938.81,938.81,938.81,2.06,18.98,5433,29958196.0,0.0,0.01
2010-06-17,902.88,902.88,902.88,902.88,-3.83,-35.93,18605,100910881.0,0.0,0.03
2010-06-18,833.05,833.05,833.05,833.05,-7.73,-69.83,15712,79175318.0,0.0,0.02
2010-06-21,850.85,850.85,850.85,850.85,2.14,17.8,7332,36087463.0,0.0,0.01
2010-06-22,858.14,858.14,858.14,858.14,0.86,7.29,6208,31398186.0,0.0,0.01
2010-06-23,858.64,858.64,858.64,858.64,0.06,0.5,6348,31988867.0,0.0,0.01
2010-06-24,863.73,863.73,863.73,863.73,0.59,5.09,4203,21431283.0,0.0,0.01
2010-06-25,861.86,861.86,861.86,861.86,-0.22,-1.87,5142,25914280.0,0.0,0.01
2010-06-28,843.22,843.22,843.22,843.22,-2.16,-18.64,3726,18669522.0,0.0,0.01
2010-06-29,783.9,783.9,783.9,783.9,-7.03,-59.32,5950,28423313.0,0.0,0.01
2010-06-30,789.49,789.49,789.49,789.49,0.71,5.59,7920,35645143.0,0.0,0.01
2010-07-01,762.71,762.71,762.71,762.71,-3.39,-26.78,4174,19043763.0,0.0,0.01
2010-07-02,769.32,769.32,769.32,769.32,0.87,6.61,5893,26448895.0,0.0,0.01
2010-07-05,761.86,761.86,761.86,761.86,-0.97,-7.46,3830,16994827.0,0.0,0.01
2010-07-06,784.75,784.75,784.75,784.75,3.0,22.89,4861,22344554.0,0.0,0.01
2010-07-07,790.85,790.85,790.85,790.85,0.78,6.1,3768,17470969.0,0.0,0.01
2010-07-08,813.56,813.56,813.56,813.56,2.87,22.71,9752,47202195.0,0.0,0.01
