日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1020.94,1020.94,1020.94,1020.94,2.09,20.94,63081,73078412.0,0.0,0.21
2010-01-05,1054.1,1054.1,1054.1,1054.1,3.25,33.16,115553,137545822.0,0.0,0.39
2010-01-06,1025.31,1025.31,1025.31,1025.31,-2.73,-28.79,79669,94694532.0,0.0,0.27
2010-01-07,987.78,987.78,987.78,987.78,-3.66,-37.53,61065,70120791.0,0.0,0.2
2010-01-08,1013.09,1013.09,1013.09,1013.09,2.56,25.31,38851,44478177.0,0.0,0.13
2010-01-11,1030.54,1030.54,1030.54,1030.54,1.72,17.45,52215,61055279.0,0.0,0.17
2010-01-12,1040.14,1040.14,1040.14,1040.14,0.93,9.6,72432,86486746.0,0.0,0.24
2010-01-13,1054.97,1054.97,1054.97,1054.97,1.43,14.83,87316,103965300.0,0.0,0.29
2010-01-14,1081.15,1081.15,1081.15,1081.15,2.48,26.18,110284,135133767.0,0.0,0.37
2010-01-15,1068.94,1068.94,1068.94,1068.94,-1.13,-12.21,68664,84014019.0,0.0,0.23
2010-01-18,1089.01,1089.01,1089.01,1089.01,1.88,20.07,56896,70589760.0,0.0,0.19
2010-01-19,1064.57,1064.57,1064.57,1064.57,-2.24,-24.44,57267,70566388.0,0.0,0.19
2010-01-20,1019.2,1019.2,1019.2,1019.2,-4.26,-45.37,63187,75021157.0,0.0,0.21
2010-01-21,1038.39,1038.39,1038.39,1038.39,1.88,19.19,41775,49490538.0,0.0,0.14
2010-01-22,1016.58,1016.58,1016.58,1016.58,-2.1,-21.81,39134,45605416.0,0.0,0.13
2010-01-25,1003.49,1003.49,1003.49,1003.49,-1.29,-13.09,21509,25017910.0,0.0,0.07
2010-01-26,951.13,951.13,951.13,951.13,-5.22,-52.36,41123,45446076.0,0.0,0.14
2010-01-27,907.5,907.5,907.5,907.5,-4.59,-43.63,30340,31919263.0,0.0,0.1
2010-01-28,915.36,915.36,915.36,915.36,0.87,7.86,21352,22095024.0,0.0,0.07
2010-01-29,904.89,904.89,904.89,904.89,-1.14,-10.47,23883,25043346.0,0.0,0.08
2010-02-01,869.98,869.98,869.98,869.98,-3.86,-34.91,28320,28490643.0,0.0,0.09
2010-02-02,848.17,848.17,848.17,848.17,-2.51,-21.81,25524,25382378.0,0.0,0.09
2010-02-03,877.84,877.84,877.84,877.84,3.5,29.67,30694,30180623.0,0.0,0.1
2010-02-04,876.09,876.09,876.09,876.09,-0.2,-1.75,22724,22873841.0,0.0,0.08
2010-02-05,841.19,841.19,841.19,841.19,-3.98,-34.9,24694,24110742.0,0.0,0.08
2010-02-08,850.79,850.79,850.79,850.79,1.14,9.6,10734,10470761.0,0.0,0.04
2010-02-09,862.13,862.13,862.13,862.13,1.33,11.34,10568,10394866.0,0.0,0.04
2010-02-10,871.73,871.73,871.73,871.73,1.11,9.6,10454,10374756.0,0.0,0.04
2010-02-11,863.87,863.87,863.87,863.87,-0.9,-7.86,13236,13231391.0,0.0,0.04
2010-02-12,883.07,883.07,883.07,883.07,2.22,19.2,14573,14683956.0,0.0,0.05
2010-02-22,878.71,878.71,878.71,878.71,-0.49,-4.36,17633,17900102.0,0.0,0.06
2010-02-23,867.37,867.37,867.37,867.37,-1.29,-11.34,19410,19152117.0,0.0,0.06
2010-02-24,883.94,883.94,883.94,883.94,1.91,16.57,19832,19920357.0,0.0,0.07
2010-02-25,904.01,904.01,904.01,904.01,2.27,20.07,35013,36156268.0,0.0,0.12
2010-02-26,896.16,896.16,896.16,896.16,-0.87,-7.85,21870,22556011.0,0.0,0.07
2010-03-01,904.01,904.01,904.01,904.01,0.88,7.85,25703,26675487.0,0.0,0.09
2010-03-02,924.96,924.96,924.96,924.96,2.32,20.95,44557,46754172.0,0.0,0.15
2010-03-03,931.07,931.07,931.07,931.07,0.66,6.11,33831,35744400.0,0.0,0.11
