日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2011-01-31,975.38,975.38,975.38,975.38,-2.46,-24.62,30959,84510578.0,0.0,0.17
2011-02-01,984.66,984.66,984.66,984.66,0.95,9.28,22668,62702993.0,0.0,0.12
2011-02-09,976.45,976.45,976.45,976.45,-0.83,-8.21,14072,38596655.0,0.0,0.08
2011-02-10,998.22,998.22,998.22,998.22,2.23,21.77,20665,57256215.0,0.0,0.11
2011-02-11,998.93,998.93,998.93,998.93,0.07,0.71,17549,49066640.0,0.0,0.09
2011-02-14,1009.63,1009.63,1009.63,1009.63,1.07,10.7,24717,69626313.0,0.0,0.13
2011-02-15,999.64,999.64,999.64,999.64,-0.99,-9.99,18638,52627149.0,0.0,0.1
2011-02-16,1026.76,1026.76,1026.76,1026.76,2.71,27.12,25619,73241518.0,0.0,0.14
2011-02-17,1016.77,1016.77,1016.77,1016.77,-0.97,-9.99,16282,46381437.0,0.0,0.09
2011-02-18,1033.89,1033.89,1033.89,1033.89,1.68,17.12,31458,91858032.0,0.0,0.17
2011-02-21,1040.31,1040.31,1040.31,1040.31,0.62,6.42,17457,50770080.0,0.0,0.09
2011-02-22,1006.42,1006.42,1006.42,1006.42,-3.26,-33.89,18704,53487679.0,0.0,0.1
2011-02-23,1012.84,1012.84,1012.84,1012.84,0.64,6.42,8344,23643227.0,0.0,0.04
2011-02-24,1021.41,1021.41,1021.41,1021.41,0.85,8.57,9056,25943392.0,0.0,0.05
2011-02-25,1019.62,1019.62,1019.62,1019.62,-0.18,-1.79,7880,22450569.0,0.0,0.04
2011-02-28,1033.18,1033.18,1033.18,1033.18,1.33,13.56,11893,34284426.0,0.0,0.06
2011-03-01,1018.2,1018.2,1018.2,1018.2,-1.45,-14.98,17527,49937574.0,0.0,0.09
2011-03-02,1013.91,1013.91,1013.91,1013.91,-0.42,-4.29,11664,32988984.0,0.0,0.06
2011-03-03,1003.21,1003.21,1003.21,1003.21,-1.06,-10.7,7300,20607800.0,0.0,0.04
2011-03-04,1009.63,1009.63,1009.63,1009.63,0.64,6.42,5248,14816562.0,0.0,0.03
2011-03-07,1016.41,1016.41,1016.41,1016.41,0.67,6.78,7647,21749747.0,0.0,0.04
2011-03-08,1019.62,1019.62,1019.62,1019.62,0.32,3.21,6633,18923932.0,0.0,0.04
2011-03-09,1017.13,1017.13,1017.13,1017.13,-0.24,-2.49,7514,21433283.0,0.0,0.04
2011-03-10,1013.2,1013.2,1013.2,1013.2,-0.39,-3.93,6890,19636531.0,0.0,0.04
2011-03-11,1012.49,1012.49,1012.49,1012.49,-0.07,-0.71,6876,19547108.0,0.0,0.04
2011-03-14,1026.04,1026.04,1026.04,1026.04,1.34,13.55,11238,32116747.0,0.0,0.06
2011-03-15,1013.91,1013.91,1013.91,1013.91,-1.18,-12.13,9803,27802414.0,0.0,0.05
2011-03-16,1030.33,1030.33,1030.33,1030.33,1.62,16.42,15979,46002720.0,0.0,0.09
2011-03-17,1021.76,1021.76,1021.76,1021.76,-0.83,-8.57,12724,36653050.0,0.0,0.07
2011-03-18,1027.47,1027.47,1027.47,1027.47,0.56,5.71,10507,30371871.0,0.0,0.06
2011-03-21,1021.41,1021.41,1021.41,1021.41,-0.59,-6.06,5669,16285709.0,0.0,0.03
2011-03-22,1016.41,1016.41,1016.41,1016.41,-0.49,-5.0,4797,13643035.0,0.0,0.03
2011-03-23,1019.62,1019.62,1019.62,1019.62,0.32,3.21,5241,14938865.0,0.0,0.03
2011-03-24,1019.62,1019.62,1019.62,1019.62,0.0,0.0,3358,9595321.0,0.0,0.02
2011-03-25,1024.62,1024.62,1024.62,1024.62,0.49,5.0,6980,19996332.0,0.0,0.04
2011-03-28,1011.42,1011.42,1011.42,1011.42,-1.29,-13.2,7711,21954642.0,0.0,0.04
2011-03-29,999.64,999.64,999.64,999.64,-1.16,-11.78,6601,18609514.0,0.0,0.04
2011-03-30,992.15,992.15,992.15,992.15,-0.75,-7.49,4549,12691540.0,0.0,0.02
2011-03-31,988.58,988.58,988.58,988.58,-0.36,-3.57,3925,10908459.0,0.0,0.02
2011-04-01,995.01,995.01,995.01,995.01,0.65,6.43,1522,4235953.0,0.0,0.01
2011-04-06,991.08,991.08,991.08,991.08,-0.39,-3.93,2834,7855428.0,0.0,0.02
2011-04-07,997.15,997.15,997.15,997.15,0.61,6.07,3765,10467900.0,0.0,0.02
2011-04-11,992.15,992.15,992.15,992.15,-0.5,-5.0,3608,10073141.0,0.0,0.02
2011-04-12,992.15,992.15,992.15,992.15,0.0,0.0,2565,7121933.0,0.0,0.01
2011-04-13,995.36,995.36,995.36,995.36,0.32,3.21,3049,8474831.0,0.0,0.02
2011-04-14,992.87,992.87,992.87,992.87,-0.25,-2.49,2206,6148102.0,0.0,0.01
2011-04-15,987.87,987.87,987.87,987.87,-0.5,-5.0,3810,10572101.0,0.0,0.02
2011-04-18,989.65,989.65,989.65,989.65,0.18,1.78,3079,8533486.0,0.0,0.02
2011-04-19,986.44,986.44,986.44,986.44,-0.32,-3.21,4304,11867299.0,0.0,0.02
2011-04-20,987.88,987.88,987.88,987.88,0.15,1.44,2248,6151040.0,0.0,0.01
2011-04-21,990.76,990.76,990.76,990.76,0.29,2.88,2414,6628756.0,0.0,0.01
2011-04-22,1001.2,1001.2,1001.2,1001.2,1.05,10.44,7799,21777487.0,0.0,0.04
2011-04-25,982.48,982.48,982.48,982.48,-1.87,-18.72,5068,13959656.0,0.0,0.03
2011-04-26,974.56,974.56,974.56,974.56,-0.81,-7.92,3675,9968126.0,0.0,0.02
2011-04-27,965.56,965.56,965.56,965.56,-0.92,-9.0,3493,9435621.0,0.0,0.02
2011-04-28,915.88,915.88,915.88,915.88,-5.15,-49.68,13283,34675689.0,0.0,0.07
2011-04-29,916.24,916.24,916.24,916.24,0.04,0.36,10915,27879254.0,0.0,0.06
2011-05-03,908.68,908.68,908.68,908.68,-0.83,-7.56,19106,47856061.0,0.0,0.1
2011-05-04,897.52,897.52,897.52,897.52,-1.23,-11.16,6454,16128261.0,0.0,0.03
2011-05-05,901.48,901.48,901.48,901.48,0.44,3.96,3596,8993468.0,0.0,0.02
2011-05-06,909.76,909.76,909.76,909.76,0.92,8.28,5386,13569769.0,0.0,0.03
2011-05-09,916.24,916.24,916.24,916.24,0.71,6.48,5467,13927139.0,0.0,0.03
2011-05-10,925.24,925.24,925.24,925.24,0.98,9.0,4209,10741603.0,0.0,0.02
2011-05-11,923.44,923.44,923.44,923.44,-0.19,-1.8,3587,9190777.0,0.0,0.02
2011-05-12,917.68,917.68,917.68,917.68,-0.62,-5.76,5343,13719839.0,0.0,0.03
2011-05-13,924.16,924.16,924.16,924.16,0.71,6.48,2928,7457922.0,0.0,0.02
2011-05-16,927.04,927.04,927.04,927.04,0.31,2.88,3902,10062599.0,0.0,0.02
2011-05-17,927.76,927.76,927.76,927.76,0.08,0.72,4026,10388351.0,0.0,0.02
2011-05-18,920.56,920.56,920.56,920.56,-0.78,-7.2,3194,8193361.0,0.0,0.02
2011-05-19,916.96,916.96,916.96,916.96,-0.39,-3.6,2404,6152254.0,0.0,0.01
2011-05-20,906.88,906.88,906.88,906.88,-1.1,-10.08,2424,6130608.0,0.0,0.01
2011-05-23,880.24,880.24,880.24,880.24,-2.94,-26.64,4539,11220458.0,0.0,0.02
2011-05-24,879.52,879.52,879.52,879.52,-0.08,-0.72,4584,11125167.0,0.0,0.02
2011-05-25,871.24,871.24,871.24,871.24,-0.94,-8.28,2724,6625193.0,0.0,0.01
2011-05-26,871.6,871.6,871.6,871.6,0.04,0.36,2648,6410337.0,0.0,0.01
2011-05-27,846.76,846.76,846.76,846.76,-2.85,-24.84,3909,9283364.0,0.0,0.02
2011-05-30,842.44,842.44,842.44,842.44,-0.51,-4.32,2360,5549517.0,0.0,0.01
2011-05-31,850.36,850.36,850.36,850.36,0.94,7.92,3095,7282013.0,0.0,0.02
2011-06-01,857.2,857.2,857.2,857.2,0.8,6.84,2631,6238214.0,0.0,0.01
2011-06-02,843.16,843.16,843.16,843.16,-1.64,-14.04,2595,6064431.0,0.0,0.01
2011-06-03,853.6,853.6,853.6,853.6,1.24,10.44,2110,4987208.0,0.0,0.01
2011-06-07,857.2,857.2,857.2,857.2,0.42,3.6,3133,7425114.0,0.0,0.02
2011-06-08,852.16,852.16,852.16,852.16,-0.59,-5.04,2075,4907675.0,0.0,0.01
2011-06-09,837.4,837.4,837.4,837.4,-1.73,-14.76,2534,5937834.0,0.0,0.01
2011-06-10,834.52,834.52,834.52,834.52,-0.34,-2.88,3311,7654819.0,0.0,0.02
2011-06-13,831.28,831.28,831.28,831.28,-0.39,-3.24,2073,4756646.0,0.0,0.01
2011-06-14,844.96,844.96,844.96,844.96,1.65,13.68,3673,8621033.0,0.0,0.02
2011-06-15,834.16,834.16,834.16,834.16,-1.28,-10.8,2237,5221618.0,0.0,0.01
2011-06-16,828.4,828.4,828.4,828.4,-0.69,-5.76,2125,4893733.0,0.0,0.01
2011-06-17,822.28,822.28,822.28,822.28,-0.74,-6.12,1489,3419440.0,0.0,0.01
2011-06-20,821.2,821.2,821.2,821.2,-0.13,-1.08,1788,4086195.0,0.0,0.01
2011-06-21,844.6,844.6,844.6,844.6,2.85,23.4,4611,10748185.0,0.0,0.02
