日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1030.8,1030.8,1030.8,1030.8,3.08,30.8,1378942,1205453620.0,0.0,0.49
2010-01-05,1080.16,1080.16,1080.16,1080.16,4.79,49.36,2414322,2171596585.0,0.0,0.86
2010-01-06,1061.04,1061.04,1061.04,1061.04,-1.77,-19.12,1288542,1117502270.0,0.0,0.46
2010-01-07,1031.34,1031.34,1031.34,1031.34,-2.8,-29.7,1114913,996376515.0,0.0,0.4
2010-01-08,1075.23,1075.23,1075.23,1075.23,4.26,43.89,1326032,1070874198.0,0.0,0.47
2010-01-11,1105.13,1105.13,1105.13,1105.13,2.78,29.9,2122463,1681883723.0,0.0,0.76
2010-01-12,1103.65,1103.65,1103.65,1103.65,-0.13,-1.48,1348923,1118803464.0,0.0,0.48
2010-01-13,1115.09,1115.09,1115.09,1115.09,1.04,11.44,1840362,1429846562.0,0.0,0.66
2010-01-14,1136.48,1136.48,1136.48,1136.48,1.92,21.39,1675910,1375420955.0,0.0,0.6
2010-01-15,1135.62,1135.62,1135.62,1135.62,-0.08,-0.86,1171121,938549528.0,0.0,0.42
2010-01-18,1149.17,1149.17,1149.17,1149.17,1.19,13.55,1091338,987724692.0,0.0,0.39
2010-01-19,1145.47,1145.47,1145.47,1145.47,-0.32,-3.7,1118760,987656469.0,0.0,0.4
2010-01-20,1064.36,1064.36,1064.36,1064.36,-7.08,-81.11,1462273,1232303751.0,0.0,0.52
2010-01-21,1066.24,1066.24,1066.24,1066.24,0.18,1.88,742380,585518736.0,0.0,0.27
2010-01-22,1043.23,1043.23,1043.23,1043.23,-2.16,-23.01,875928,684759193.0,0.0,0.31
2010-01-25,1055.44,1055.44,1055.44,1055.44,1.17,12.21,631492,576071566.0,0.0,0.23
2010-01-26,1033.15,1033.15,1033.15,1033.15,-2.11,-22.29,1155873,1080248132.0,0.0,0.41
2010-01-27,1022.08,1022.08,1022.08,1022.08,-1.07,-11.07,707318,607790246.0,0.0,0.25
2010-01-28,1051.27,1051.27,1051.27,1051.27,2.86,29.19,666260,570944569.0,0.0,0.24
2010-01-29,1070.76,1070.76,1070.76,1070.76,1.85,19.49,1035440,1034004494.0,0.0,0.37
