日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,998.93,998.93,998.93,998.93,-0.11,-1.07,25778,23944861.0,0.0,0.05
2010-01-05,976.34,976.34,976.34,976.34,-2.26,-22.59,68380,62088873.0,0.0,0.14
2010-01-06,954.84,954.84,954.84,954.84,-2.2,-21.5,62381,55653611.0,0.0,0.13
2010-01-07,919.36,919.36,919.36,919.36,-3.72,-35.48,53935,46605321.0,0.0,0.11
2010-01-08,934.41,934.41,934.41,934.41,1.64,15.05,28127,24287507.0,0.0,0.06
2010-01-11,972.04,972.04,972.04,972.04,4.03,37.63,61071,54526747.0,0.0,0.13
2010-01-12,975.27,975.27,975.27,975.27,0.33,3.23,34373,31092662.0,0.0,0.07
2010-01-13,938.71,938.71,938.71,938.71,-3.75,-36.56,32802,29143798.0,0.0,0.07
2010-01-14,981.72,981.72,981.72,981.72,4.58,43.01,46009,41765806.0,0.0,0.1
2010-01-15,979.57,979.57,979.57,979.57,-0.22,-2.15,39487,36391158.0,0.0,0.08
2010-01-18,1015.05,1015.05,1015.05,1015.05,3.62,35.48,53438,49745127.0,0.0,0.11
2010-01-19,1032.26,1032.26,1032.26,1032.26,1.7,17.21,58524,55440994.0,0.0,0.12
2010-01-20,986.02,986.02,986.02,986.02,-4.48,-46.24,53584,50633304.0,0.0,0.11
2010-01-21,1000.0,1000.0,1000.0,1000.0,1.42,13.98,26203,24151518.0,0.0,0.05
2010-01-22,974.19,974.19,974.19,974.19,-2.58,-25.81,27682,24940907.0,0.0,0.06
2010-01-25,952.69,952.69,952.69,952.69,-2.21,-21.5,21816,19619303.0,0.0,0.05
2010-01-26,915.05,915.05,915.05,915.05,-3.95,-37.64,21985,18776168.0,0.0,0.05
2010-01-27,1001.08,1001.08,1001.08,1001.08,9.4,86.03,90063,82297536.0,0.0,0.19
2010-01-28,1064.52,1064.52,1064.52,1064.52,6.34,63.44,187310,184700249.0,0.0,0.39
2010-01-29,1170.97,1170.97,1170.97,1170.97,10.0,106.45,193567,204653677.0,0.0,0.41
2010-02-01,1134.41,1134.41,1134.41,1134.41,-3.12,-36.56,141852,149378787.0,0.0,0.3
2010-02-02,1161.29,1161.29,1161.29,1161.29,2.37,26.88,138623,148072723.0,0.0,0.29
2010-02-03,1115.05,1115.05,1115.05,1115.05,-3.98,-46.24,114841,118383618.0,0.0,0.24
2010-02-04,1168.82,1168.82,1168.82,1168.82,4.82,53.77,125267,136153799.0,0.0,0.26
2010-02-05,1149.46,1149.46,1149.46,1149.46,-1.66,-19.36,80693,85041739.0,0.0,0.17
2010-02-08,1161.29,1161.29,1161.29,1161.29,1.03,11.83,66251,72515262.0,0.0,0.14
2010-02-09,1189.25,1189.25,1189.25,1189.25,2.41,27.96,61873,66705932.0,0.0,0.13
2010-02-10,1307.53,1307.53,1307.53,1307.53,9.95,118.28,207399,248786693.0,0.0,0.43
2010-02-11,1230.11,1230.11,1230.11,1230.11,-5.92,-77.42,108489,126714958.0,0.0,0.23
2010-02-12,1222.58,1222.58,1222.58,1222.58,-0.61,-7.53,64957,74133865.0,0.0,0.14
2010-02-22,1253.76,1253.76,1253.76,1253.76,2.55,31.18,44704,51598748.0,0.0,0.09
2010-02-23,1284.95,1284.95,1284.95,1284.95,2.49,31.19,62026,71792188.0,0.0,0.13
2010-02-24,1266.67,1266.67,1266.67,1266.67,-1.42,-18.28,51267,60181656.0,0.0,0.11
2010-02-25,1268.82,1268.82,1268.82,1268.82,0.17,2.15,75943,90639755.0,0.0,0.16
2010-02-26,1291.4,1291.4,1291.4,1291.4,1.78,22.58,69234,82524326.0,0.0,0.15
2010-03-01,1313.98,1313.98,1313.98,1313.98,1.75,22.58,89486,111594994.0,0.0,0.19
2010-03-02,1318.28,1318.28,1318.28,1318.28,0.33,4.3,67023,82586223.0,0.0,0.14
2010-03-03,1315.05,1315.05,1315.05,1315.05,-0.25,-3.23,50847,61860868.0,0.0,0.11
2010-03-04,1250.54,1250.54,1250.54,1250.54,-4.91,-64.51,59346,71108004.0,0.0,0.12
2010-03-05,1260.22,1260.22,1260.22,1260.22,0.77,9.68,37733,43953736.0,0.0,0.08
2010-03-08,1273.12,1273.12,1273.12,1273.12,1.02,12.9,33282,39162925.0,0.0,0.07
2010-03-09,1253.76,1253.76,1253.76,1253.76,-1.52,-19.36,29480,34586849.0,0.0,0.06
2010-03-10,1288.17,1288.17,1288.17,1288.17,2.74,34.41,66241,79258246.0,0.0,0.14
2010-03-11,1311.83,1311.83,1311.83,1311.83,1.84,23.66,72754,88263102.0,0.0,0.15
2010-03-12,1253.76,1253.76,1253.76,1253.76,-4.43,-58.07,56809,67715383.0,0.0,0.12
2010-03-15,1229.03,1229.03,1229.03,1229.03,-1.97,-24.73,33497,38660983.0,0.0,0.07
2010-03-16,1247.31,1247.31,1247.31,1247.31,1.49,18.28,24832,28287029.0,0.0,0.05
2010-03-17,1284.95,1284.95,1284.95,1284.95,3.02,37.64,60652,72792955.0,0.0,0.13
2010-03-18,1286.02,1286.02,1286.02,1286.02,0.08,1.07,32967,39341080.0,0.0,0.07
2010-03-19,1322.58,1322.58,1322.58,1322.58,2.84,36.56,69880,85483531.0,0.0,0.15
2010-03-22,1333.33,1333.33,1333.33,1333.33,0.81,10.75,44103,53903740.0,0.0,0.09
2010-03-23,1373.12,1373.12,1373.12,1373.12,2.98,39.79,82760,105128691.0,0.0,0.17
2010-03-24,1365.59,1365.59,1365.59,1365.59,-0.55,-7.53,88725,115323530.0,0.0,0.19
2010-03-25,1339.79,1339.79,1339.79,1339.79,-1.89,-25.8,49482,62791187.0,0.0,0.1
2010-03-26,1349.46,1349.46,1349.46,1349.46,0.72,9.67,40609,51265705.0,0.0,0.09
2010-03-29,1364.52,1364.52,1364.52,1364.52,1.12,15.06,29137,36962654.0,0.0,0.06
2010-03-30,1435.48,1435.48,1435.48,1435.48,5.2,70.96,81655,107589587.0,0.0,0.17
2010-03-31,1418.28,1418.28,1418.28,1418.28,-1.2,-17.2,48938,64342234.0,0.0,0.1
2010-04-01,1438.71,1438.71,1438.71,1438.71,1.44,20.43,58923,79648869.0,0.0,0.12
2010-04-02,1438.71,1438.71,1438.71,1438.71,0.0,0.0,41894,56106308.0,0.0,0.09
2010-04-06,1450.54,1450.54,1450.54,1450.54,0.82,11.83,31957,42915667.0,0.0,0.07
2010-04-07,1431.18,1431.18,1431.18,1431.18,-1.33,-19.36,31611,42172733.0,0.0,0.07
2010-04-08,1439.79,1439.79,1439.79,1439.79,0.6,8.61,37752,50647959.0,0.0,0.08
2010-04-12,1386.02,1386.02,1386.02,1386.02,-3.73,-53.77,123312,160547144.0,0.0,0.26
2010-04-13,1327.96,1327.96,1327.96,1327.96,-4.19,-58.06,100395,125656220.0,0.0,0.21
2010-04-14,1354.84,1354.84,1354.84,1354.84,2.02,26.88,40159,50362537.0,0.0,0.08
2010-04-15,1333.33,1333.33,1333.33,1333.33,-1.59,-21.51,42034,52977374.0,0.0,0.09
2010-04-16,1327.96,1327.96,1327.96,1327.96,-0.4,-5.37,37708,46227875.0,0.0,0.08
2010-04-19,1288.17,1288.17,1288.17,1288.17,-3.0,-39.79,39546,48485958.0,0.0,0.08
2010-04-20,1312.9,1312.9,1312.9,1312.9,1.92,24.73,26190,31517463.0,0.0,0.05
2010-04-21,1365.59,1365.59,1365.59,1365.59,4.01,52.69,49791,62480547.0,0.0,0.1
2010-04-22,1363.44,1363.44,1363.44,1363.44,-0.16,-2.15,44690,56657560.0,0.0,0.09
2010-04-23,1341.94,1341.94,1341.94,1341.94,-1.58,-21.5,34343,43329609.0,0.0,0.07
2010-04-26,1321.51,1321.51,1321.51,1321.51,-1.52,-20.43,34351,42701143.0,0.0,0.07
2010-04-27,1239.79,1239.79,1239.79,1239.79,-6.18,-81.72,55715,65083669.0,0.0,0.12
2010-04-28,1247.31,1247.31,1247.31,1247.31,0.61,7.52,24928,29088568.0,0.0,0.05
2010-04-29,1205.38,1205.38,1205.38,1205.38,-3.36,-41.93,28640,33031913.0,0.0,0.06
2010-04-30,1153.76,1153.76,1153.76,1153.76,-4.28,-51.62,26991,29240365.0,0.0,0.06
2010-05-04,1132.26,1132.26,1132.26,1132.26,-1.86,-21.5,24742,26300285.0,0.0,0.05
2010-05-05,1177.42,1177.42,1177.42,1177.42,3.99,45.16,25831,27627956.0,0.0,0.05
2010-05-06,1180.65,1180.65,1180.65,1180.65,0.27,3.23,58141,65291546.0,0.0,0.12
