日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1026.91,1026.91,1026.91,1026.91,2.69,26.91,56346,80671787.0,0.0,0.13
2010-01-05,1075.07,1075.07,1075.07,1075.07,4.69,48.16,88626,132452950.0,0.0,0.21
2010-01-06,1069.41,1069.41,1069.41,1069.41,-0.53,-5.66,75880,115948569.0,0.0,0.18
2010-01-07,1060.91,1060.91,1060.91,1060.91,-0.79,-8.5,40626,61391413.0,0.0,0.1
2010-01-08,1087.11,1087.11,1087.11,1087.11,2.47,26.2,40739,60881812.0,0.0,0.1
2010-01-11,1126.06,1126.06,1126.06,1126.06,3.58,38.95,46757,73626531.0,0.0,0.11
2010-01-12,1197.59,1197.59,1197.59,1197.59,6.35,71.53,71998,118567239.0,0.0,0.17
2010-01-13,1182.01,1182.01,1182.01,1182.01,-1.3,-15.58,60202,99720449.0,0.0,0.14
2010-01-14,1188.39,1188.39,1188.39,1188.39,0.54,6.38,65981,110734037.0,0.0,0.16
2010-01-15,1167.14,1167.14,1167.14,1167.14,-1.79,-21.25,48521,79507379.0,0.0,0.12
2010-01-18,1208.92,1208.92,1208.92,1208.92,3.58,41.78,38819,65093397.0,0.0,0.09
2010-01-19,1195.47,1195.47,1195.47,1195.47,-1.11,-13.45,31393,52617774.0,0.0,0.07
2010-01-21,1158.64,1158.64,1158.64,1158.64,-3.08,-36.83,39778,63816848.0,0.0,0.09
2010-01-22,1133.85,1133.85,1133.85,1133.85,-2.14,-24.79,26381,41853841.0,0.0,0.06
2010-01-25,1129.6,1129.6,1129.6,1129.6,-0.37,-4.25,28668,45444692.0,0.0,0.07
2010-01-26,1104.82,1104.82,1104.82,1104.82,-2.19,-24.78,21991,34050724.0,0.0,0.05
2010-01-27,1090.65,1090.65,1090.65,1090.65,-1.28,-14.17,24299,37275380.0,0.0,0.06
2010-01-28,1104.11,1104.11,1104.11,1104.11,1.23,13.46,19849,30846241.0,0.0,0.05
2010-01-29,1132.44,1132.44,1132.44,1132.44,2.57,28.33,32305,51372513.0,0.0,0.08
2010-02-01,1134.56,1134.56,1134.56,1134.56,0.19,2.12,22356,35855573.0,0.0,0.05
2010-02-02,1090.65,1090.65,1090.65,1090.65,-3.87,-43.91,63146,96445065.0,0.0,0.15
2010-02-03,1087.11,1087.11,1087.11,1087.11,-0.32,-3.54,35944,53921867.0,0.0,0.09
2010-02-04,1075.07,1075.07,1075.07,1075.07,-1.11,-12.04,16767,25525908.0,0.0,0.04
2010-02-05,1046.74,1046.74,1046.74,1046.74,-2.64,-28.33,20812,30580163.0,0.0,0.05
2010-02-08,1053.2,1053.2,1053.2,1053.2,0.62,6.46,108095,278931528.0,0.0,0.26
2010-02-09,1062.79,1062.79,1062.79,1062.79,0.91,9.59,81043,178070700.0,0.0,0.19
2010-02-10,1065.88,1065.88,1065.88,1065.88,0.29,3.09,45940,108264666.0,0.0,0.11
2010-02-11,1062.87,1062.87,1062.87,1062.87,-0.28,-3.01,35441,79505939.0,0.0,0.08
2010-02-12,1080.14,1080.14,1080.14,1080.14,1.62,17.27,38247,88698889.0,0.0,0.09
2010-02-22,1087.1,1087.1,1087.1,1087.1,0.64,6.96,42655,87290471.0,0.0,0.1
2010-02-23,1079.88,1079.88,1079.88,1079.88,-0.66,-7.22,39490,87469750.0,0.0,0.09
2010-02-24,1103.89,1103.89,1103.89,1103.89,2.22,24.01,56832,139432048.0,0.0,0.14
2010-02-25,1127.57,1127.57,1127.57,1127.57,2.15,23.68,82805,243435843.0,0.0,0.2
2010-02-26,1137.49,1137.49,1137.49,1137.49,0.88,9.92,34782,122555744.0,0.0,0.08
2010-03-01,1167.83,1167.83,1167.83,1167.83,2.67,30.34,89010,274099859.0,0.0,0.21
2010-03-02,1167.85,1167.85,1167.85,1167.85,0.0,0.02,66916,172777361.0,0.0,0.16
2010-03-03,1185.73,1185.73,1185.73,1185.73,1.53,17.88,108011,235448709.0,0.0,0.26
2010-03-04,1160.67,1160.67,1160.67,1160.67,-2.11,-25.06,88919,209002097.0,0.0,0.21
2010-03-05,1155.73,1155.73,1155.73,1155.73,-0.43,-4.94,69190,173206949.0,0.0,0.17
2010-03-08,1150.12,1150.12,1150.12,1150.12,-0.49,-5.61,35464,95507660.0,0.0,0.08
2010-03-09,1148.17,1148.17,1148.17,1148.17,-0.17,-1.95,48462,109623820.0,0.0,0.12
2010-03-10,1085.14,1085.14,1085.14,1085.14,-5.49,-63.03,24374,88932435.0,0.0,0.06
2010-03-11,1070.78,1070.78,1070.78,1070.78,-1.32,-14.36,49636,119702830.0,0.0,0.12
2010-03-12,1053.64,1053.64,1053.64,1053.64,-1.6,-17.14,52653,117010683.0,0.0,0.13
2010-03-15,1045.76,1045.76,1045.76,1045.76,-0.75,-7.88,33626,74285914.0,0.0,0.08
2010-03-16,1055.86,1055.86,1055.86,1055.86,0.97,10.1,34087,77176668.0,0.0,0.08
2010-03-17,1083.96,1083.96,1083.96,1083.96,2.66,28.1,51127,115399154.0,0.0,0.12
2010-03-18,1086.15,1086.15,1086.15,1086.15,0.2,2.19,51746,106180433.0,0.0,0.12
2010-03-19,1100.81,1100.81,1100.81,1100.81,1.35,14.66,47952,106329197.0,0.0,0.11
2010-03-22,1108.45,1108.45,1108.45,1108.45,0.69,7.64,48836,108165394.0,0.0,0.12
2010-03-23,1109.27,1109.27,1109.27,1109.27,0.07,0.82,72701,138605934.0,0.0,0.17
2010-03-24,1127.81,1127.81,1127.81,1127.81,1.67,18.54,58346,163626402.0,0.0,0.14
2010-03-25,1104.08,1104.08,1104.08,1104.08,-2.1,-23.73,41791,104760460.0,0.0,0.1
2010-03-26,1092.2,1092.2,1092.2,1092.2,-1.08,-11.88,50743,129701570.0,0.0,0.12
2010-03-29,1102.01,1102.01,1102.01,1102.01,0.9,9.81,53496,119308017.0,0.0,0.13
2010-03-30,1154.09,1154.09,1154.09,1154.09,4.73,52.08,92722,232394735.0,0.0,0.22
2010-03-31,1157.61,1157.61,1157.61,1157.61,0.31,3.52,93968,199785723.0,0.0,0.22
2010-04-01,1186.28,1186.28,1186.28,1186.28,2.48,28.67,190514,375420344.0,0.0,0.45
2010-04-02,1183.56,1183.56,1183.56,1183.56,-0.23,-2.72,97446,209972538.0,0.0,0.23
2010-04-06,1199.5,1199.5,1199.5,1199.5,1.35,15.94,66945,149654568.0,0.0,0.16
2010-04-07,1209.62,1209.62,1209.62,1209.62,0.84,10.12,67765,149645332.0,0.0,0.16
2010-04-08,1213.95,1213.95,1213.95,1213.95,0.36,4.33,95411,200966089.0,0.0,0.23
2010-04-09,1245.6,1245.6,1245.6,1245.6,2.61,31.65,89827,191920208.0,0.0,0.21
2010-04-12,1250.89,1250.89,1250.89,1250.89,0.42,5.29,85629,192984690.0,0.0,0.2
2010-04-13,1192.81,1192.81,1192.81,1192.81,-4.64,-58.08,94769,213001644.0,0.0,0.23
2010-04-14,1188.69,1188.69,1188.69,1188.69,-0.35,-4.12,51226,111733646.0,0.0,0.12
2010-04-15,1203.85,1203.85,1203.85,1203.85,1.28,15.16,121759,215260786.0,0.0,0.29
2010-04-16,1217.49,1217.49,1217.49,1217.49,1.13,13.64,64436,129999928.0,0.0,0.15
2010-04-19,1187.81,1187.81,1187.81,1187.81,-2.44,-29.68,56662,119687624.0,0.0,0.14
2010-04-20,1206.52,1206.52,1206.52,1206.52,1.58,18.71,42332,86943555.0,0.0,0.1
2010-04-21,1260.13,1260.13,1260.13,1260.13,4.44,53.61,91594,195974746.0,0.0,0.22
2010-04-22,1289.54,1289.54,1289.54,1289.54,2.33,29.41,134964,288585605.0,0.0,0.32
2010-04-23,1263.61,1263.61,1263.61,1263.61,-2.01,-25.93,69292,163061669.0,0.0,0.17
2010-04-26,1283.23,1283.23,1283.23,1283.23,1.55,19.62,79166,180405327.0,0.0,0.19
2010-04-27,1235.39,1235.39,1235.39,1235.39,-3.73,-47.84,62588,152247841.0,0.0,0.15
2010-04-28,1206.13,1206.13,1206.13,1206.13,-2.37,-29.26,57048,136853495.0,0.0,0.14
2010-04-29,1163.49,1163.49,1163.49,1163.49,-3.54,-42.64,56175,125071783.0,0.0,0.13
2010-04-30,1161.44,1161.44,1161.44,1161.44,-0.18,-2.05,61631,126162814.0,0.0,0.15
2010-05-04,1186.47,1186.47,1186.47,1186.47,2.16,25.03,49992,107418774.0,0.0,0.12
2010-05-05,1200.31,1200.31,1200.31,1200.31,1.17,13.84,83517,218188640.0,0.0,0.2
2010-05-06,1173.97,1173.97,1173.97,1173.97,-2.19,-26.34,82707,191425178.0,0.0,0.2
2010-05-07,1189.47,1189.47,1189.47,1189.47,1.32,15.5,81764,223974305.0,0.0,0.2
2010-05-10,1127.2,1127.2,1127.2,1127.2,-5.24,-62.27,70422,173100375.0,0.0,0.17
2010-05-11,1096.35,1096.35,1096.35,1096.35,-2.74,-30.85,62575,141468558.0,0.0,0.15
2010-05-12,1062.21,1062.21,1062.21,1062.21,-3.11,-34.14,58876,134579677.0,0.0,0.14
2010-05-13,1117.62,1117.62,1117.62,1117.62,5.22,55.41,67566,129575753.0,0.0,0.16
2010-05-14,1111.84,1111.84,1111.84,1111.84,-0.52,-5.78,53074,102260799.0,0.0,0.13
2010-05-17,1070.52,1070.52,1070.52,1070.52,-3.72,-41.32,41155,83117072.0,0.0,0.1
2010-05-18,1087.58,1087.58,1087.58,1087.58,1.59,17.06,48706,107362550.0,0.0,0.12
2010-05-19,1127.53,1127.53,1127.53,1127.53,3.67,39.95,65734,135033449.0,0.0,0.16
2010-05-20,1116.22,1116.22,1116.22,1116.22,-1.0,-11.31,57038,114813507.0,0.0,0.14
2010-05-21,1141.22,1141.22,1141.22,1141.22,2.24,25.0,57699,119060530.0,0.0,0.14
2010-05-24,1178.36,1178.36,1178.36,1178.36,3.25,37.14,58978,127997428.0,0.0,0.14
2010-05-25,1155.78,1155.78,1155.78,1155.78,-1.92,-22.58,44123,95435254.0,0.0,0.11
2010-05-26,1131.12,1131.12,1131.12,1131.12,-2.13,-24.66,34457,76689870.0,0.0,0.08
