日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1002.44,1002.44,1002.44,1002.44,0.24,2.44,900922,1340502522.0,0.0,0.41
2010-01-05,997.17,997.17,997.17,997.17,-0.53,-5.27,902762,1397791699.0,0.0,0.41
2010-01-06,994.84,994.84,994.84,994.84,-0.23,-2.33,1676983,2983356945.0,0.0,0.76
2010-01-07,959.76,959.76,959.76,959.76,-3.53,-35.08,1694594,2779344692.0,0.0,0.77
2010-01-08,955.6,955.6,955.6,955.6,-0.43,-4.16,1198170,1992138495.0,0.0,0.55
2010-01-11,945.72,945.72,945.72,945.72,-1.03,-9.88,1170527,1751434873.0,0.0,0.53
2010-01-12,975.81,975.81,975.81,975.81,3.18,30.09,1092240,1685059818.0,0.0,0.5
2010-01-13,963.43,963.43,963.43,963.43,-1.27,-12.38,1025550,1674047159.0,0.0,0.47
2010-01-14,987.01,987.01,987.01,987.01,2.45,23.58,960226,1611386015.0,0.0,0.44
2010-01-15,1006.65,1006.65,1006.65,1006.65,1.99,19.64,976295,1634973171.0,0.0,0.44
2010-01-18,1015.87,1015.87,1015.87,1015.87,0.92,9.22,848422,1424772197.0,0.0,0.39
2010-01-19,1027.35,1027.35,1027.35,1027.35,1.13,11.48,1207431,1726949155.0,0.0,0.55
2010-01-20,988.61,988.61,988.61,988.61,-3.77,-38.74,1312804,1897477957.0,0.0,0.6
2010-01-21,990.64,990.64,990.64,990.64,0.21,2.03,923472,1169302966.0,0.0,0.42
2010-01-22,957.13,957.13,957.13,957.13,-3.38,-33.51,911662,1191830370.0,0.0,0.41
2010-01-25,937.75,937.75,937.75,937.75,-2.02,-19.38,561833,783160003.0,0.0,0.26
2010-01-26,900.6,900.6,900.6,900.6,-3.96,-37.15,689343,1015541382.0,0.0,0.31
2010-01-27,889.66,889.66,889.66,889.66,-1.21,-10.94,513899,637414264.0,0.0,0.23
2010-01-28,900.1,900.1,900.1,900.1,1.17,10.44,353004,460460224.0,0.0,0.16
2010-01-29,901.82,901.82,901.82,901.82,0.19,1.72,549613,760614118.0,0.0,0.25
2010-02-01,890.31,890.31,890.31,890.31,-1.28,-11.51,498339,690760437.0,0.0,0.23
2010-02-02,887.55,887.55,887.55,887.55,-0.31,-2.76,420804,566180056.0,0.0,0.19
2010-02-03,915.91,915.91,915.91,915.91,3.2,28.36,661632,931074985.0,0.0,0.3
2010-02-04,916.03,916.03,916.03,916.03,0.01,0.12,563813,799754763.0,0.0,0.26
2010-02-05,896.53,896.53,896.53,896.53,-2.13,-19.5,426933,589257840.0,0.0,0.19
2010-02-08,896.87,896.87,896.87,896.87,0.04,0.34,296478,455268508.0,0.0,0.13
2010-02-09,901.39,901.39,901.39,901.39,0.5,4.52,375252,488175695.0,0.0,0.17
2010-02-10,911.96,911.96,911.96,911.96,1.17,10.57,358450,525388346.0,0.0,0.16
2010-02-11,913.35,913.35,913.35,913.35,0.15,1.39,331235,445413395.0,0.0,0.15
2010-02-12,925.96,925.96,925.96,925.96,1.38,12.61,368946,462675250.0,0.0,0.17
2010-02-22,927.76,927.76,927.76,927.76,0.19,1.8,417714,558065742.0,0.0,0.19
2010-02-23,942.32,942.32,942.32,942.32,1.57,14.56,729657,1128633141.0,0.0,0.33
2010-02-24,959.15,959.15,959.15,959.15,1.79,16.83,679727,1004879329.0,0.0,0.31
2010-02-25,971.19,971.19,971.19,971.19,1.26,12.04,531748,860706140.0,0.0,0.24
2010-02-26,985.19,985.19,985.19,985.19,1.44,14.0,1034701,1510027962.0,0.0,0.47
2010-03-01,987.49,987.49,987.49,987.49,0.23,2.3,857238,1370233548.0,0.0,0.39
2010-03-02,977.27,977.27,977.27,977.27,-1.03,-10.22,613513,893136783.0,0.0,0.28
2010-03-03,988.56,988.56,988.56,988.56,1.16,11.29,775327,1100700027.0,0.0,0.35
2010-03-04,972.82,972.82,972.82,972.82,-1.59,-15.74,1237824,1875140660.0,0.0,0.56
2010-03-05,1000.68,1000.68,1000.68,1000.68,2.86,27.86,859595,1434874677.0,0.0,0.39
2010-03-08,1018.48,1018.48,1018.48,1018.48,1.78,17.8,1025527,1530286742.0,0.0,0.47
2010-03-09,1020.83,1020.83,1020.83,1020.83,0.23,2.35,1018931,1514378490.0,0.0,0.46
2010-03-10,1000.77,1000.77,1000.77,1000.77,-1.97,-20.06,761090,1106534702.0,0.0,0.35
2010-03-11,983.51,983.51,983.51,983.51,-1.72,-17.26,708772,1057472355.0,0.0,0.32
2010-03-12,966.53,966.53,966.53,966.53,-1.73,-16.98,566442,842020450.0,0.0,0.26
2010-03-15,949.21,949.21,949.21,949.21,-1.79,-17.32,441199,651806557.0,0.0,0.2
2010-03-16,958.35,958.35,958.35,958.35,0.96,9.14,346643,509656389.0,0.0,0.16
2010-03-17,982.97,982.97,982.97,982.97,2.57,24.62,512233,825295422.0,0.0,0.23
2010-03-18,985.17,985.17,985.17,985.17,0.22,2.2,459505,744874103.0,0.0,0.21
2010-03-19,988.97,988.97,988.97,988.97,0.39,3.8,395961,632436134.0,0.0,0.18
2010-03-22,1001.41,1001.41,1001.41,1001.41,1.26,12.44,487831,696457748.0,0.0,0.22
2010-03-23,991.96,991.96,991.96,991.96,-0.94,-9.45,465705,665168095.0,0.0,0.21
2010-03-24,1010.53,1010.53,1010.53,1010.53,1.87,18.57,619833,897585075.0,0.0,0.28
2010-03-25,991.28,991.28,991.28,991.28,-1.9,-19.25,511422,668125490.0,0.0,0.23
2010-03-26,1005.15,1005.15,1005.15,1005.15,1.4,13.87,352109,449502409.0,0.0,0.16
2010-03-29,1017.0,1017.0,1017.0,1017.0,1.18,11.85,674566,971318319.0,0.0,0.31
2010-03-30,1023.42,1023.42,1023.42,1023.42,0.63,6.42,663293,1019441373.0,0.0,0.3
2010-03-31,1014.72,1014.72,1014.72,1014.72,-0.85,-8.7,463450,671329760.0,0.0,0.21
2010-04-01,1029.36,1029.36,1029.36,1029.36,1.44,14.64,600643,923921656.0,0.0,0.27
2010-04-02,1055.72,1055.72,1055.72,1055.72,2.56,26.36,1118314,1542800672.0,0.0,0.51
2010-04-06,1056.57,1056.57,1056.57,1056.57,0.08,0.85,799990,1245789385.0,0.0,0.36
2010-04-07,1054.38,1054.38,1054.38,1054.38,-0.21,-2.19,802797,1360979467.0,0.0,0.37
2010-04-08,1046.21,1046.21,1046.21,1046.21,-0.77,-8.17,915974,1469919830.0,0.0,0.42
2010-04-09,1053.92,1053.92,1053.92,1053.92,0.74,7.71,754016,1267186329.0,0.0,0.34
2010-04-12,1034.88,1034.88,1034.88,1034.88,-1.81,-19.04,1340936,2168116184.0,0.0,0.61
2010-04-13,1030.02,1030.02,1030.02,1030.02,-0.47,-4.86,889152,1404263156.0,0.0,0.4
2010-04-14,1040.18,1040.18,1040.18,1040.18,0.99,10.16,906754,1101255824.0,0.0,0.41
2010-04-15,1047.28,1047.28,1047.28,1047.28,0.68,7.1,1024003,1252273334.0,0.0,0.47
2010-04-16,1037.97,1037.97,1037.97,1037.97,-0.89,-9.31,506314,633482566.0,0.0,0.23
2010-04-19,974.69,974.69,974.69,974.69,-6.1,-63.28,1012950,1428706800.0,0.0,0.46
2010-04-20,968.92,968.92,968.92,968.92,-0.59,-5.77,869252,1169722632.0,0.0,0.4
2010-04-21,993.42,993.42,993.42,993.42,2.53,24.5,829648,1081097432.0,0.0,0.38
2010-04-22,978.19,978.19,978.19,978.19,-1.53,-15.23,826949,1100080635.0,0.0,0.38
2010-04-23,965.41,965.41,965.41,965.41,-1.31,-12.78,731087,1035491079.0,0.0,0.33
2010-04-26,990.99,990.99,990.99,990.99,2.65,25.58,777251,1114163000.0,0.0,0.35
2010-04-27,973.8,973.8,973.8,973.8,-1.73,-17.19,554633,818744845.0,0.0,0.25
2010-04-28,973.25,973.25,973.25,973.25,-0.06,-0.55,489756,713952466.0,0.0,0.22
2010-04-29,945.94,945.94,945.94,945.94,-2.81,-27.31,564033,963521606.0,0.0,0.26
2010-04-30,950.6,950.6,950.6,950.6,0.49,4.66,638147,877704797.0,0.0,0.29
2010-05-04,933.4,933.4,933.4,933.4,-1.81,-17.2,490935,694363685.0,0.0,0.22
2010-05-05,939.0,939.0,939.0,939.0,0.6,5.6,719929,1052889858.0,0.0,0.33
2010-05-06,893.79,893.79,893.79,893.79,-4.81,-45.21,696250,996604950.0,0.0,0.32
2010-05-07,869.77,869.77,869.77,869.77,-2.69,-24.02,673288,942160741.0,0.0,0.31
2010-05-10,877.46,877.46,877.46,877.46,0.88,7.69,521097,733678369.0,0.0,0.24
2010-05-11,847.93,847.93,847.93,847.93,-3.37,-29.53,485865,740465866.0,0.0,0.22
2010-05-12,838.95,838.95,838.95,838.95,-1.06,-8.98,754688,873312400.0,0.0,0.34
2010-05-13,874.04,874.04,874.04,874.04,4.18,35.09,1151588,1260142758.0,0.0,0.52
2010-05-14,864.67,864.67,864.67,864.67,-1.07,-9.37,757538,837796002.0,0.0,0.34
2010-05-17,795.15,795.15,795.15,795.15,-8.04,-69.52,716492,783219921.0,0.0,0.33
2010-05-18,807.69,807.69,807.69,807.69,1.58,12.54,702417,792271170.0,0.0,0.32
2010-05-19,804.38,804.38,804.38,804.38,-0.41,-3.31,555619,639508578.0,0.0,0.25
2010-05-20,789.75,789.75,789.75,789.75,-1.82,-14.63,664295,810398764.0,0.0,0.3
2010-05-21,808.51,808.51,808.51,808.51,2.38,18.76,743260,833993254.0,0.0,0.34
2010-05-24,845.24,845.24,845.24,845.24,4.54,36.73,1002739,1271674543.0,0.0,0.46
2010-05-25,826.26,826.26,826.26,826.26,-2.25,-18.98,687227,832818478.0,0.0,0.31
2010-05-26,839.86,839.86,839.86,839.86,1.65,13.6,642606,768165763.0,0.0,0.29
2010-05-27,847.84,847.84,847.84,847.84,0.95,7.98,742827,905491820.0,0.0,0.34
2010-05-28,845.05,845.05,845.05,845.05,-0.33,-2.79,704600,836698839.0,0.0,0.32
2010-05-31,814.16,814.16,814.16,814.16,-3.66,-30.89,443452,501502882.0,0.0,0.2
2010-06-01,800.72,800.72,800.72,800.72,-1.65,-13.44,535539,665355733.0,0.0,0.24
2010-06-02,821.99,821.99,821.99,821.99,2.66,21.27,910088,1091681058.0,0.0,0.41
2010-06-03,808.55,808.55,808.55,808.55,-1.64,-13.44,576904,723434149.0,0.0,0.26
2010-06-04,806.16,806.16,806.16,806.16,-0.3,-2.39,429358,558162334.0,0.0,0.2
2010-06-07,789.91,789.91,789.91,789.91,-2.02,-16.25,487274,600637717.0,0.0,0.22
2010-06-08,797.68,797.68,797.68,797.68,0.98,7.77,544246,604104758.0,0.0,0.25
2010-06-09,820.54,820.54,820.54,820.54,2.87,22.86,810966,933781418.0,0.0,0.37
2010-06-10,815.01,815.01,815.01,815.01,-0.67,-5.53,529272,623529106.0,0.0,0.24
2010-06-11,818.63,818.63,818.63,818.63,0.44,3.62,557595,642592963.0,0.0,0.25
2010-06-17,819.27,819.27,819.27,819.27,0.08,0.64,579353,708183707.0,0.0,0.26
2010-06-18,796.69,796.69,796.69,796.69,-2.76,-22.58,435890,503619827.0,0.0,0.2
2010-06-21,818.46,818.46,818.46,818.46,2.73,21.77,441291,525092806.0,0.0,0.2
2010-06-22,827.69,827.69,827.69,827.69,1.13,9.23,691520,818500100.0,0.0,0.31
2010-06-23,826.03,826.03,826.03,826.03,-0.2,-1.66,465184,460561759.0,0.0,0.21
2010-06-24,827.4,827.4,827.4,827.4,0.17,1.37,401639,459011653.0,0.0,0.18
2010-06-25,815.84,815.84,815.84,815.84,-1.4,-11.56,359469,414232454.0,0.0,0.16
2010-06-28,806.89,806.89,806.89,806.89,-1.1,-8.95,315093,383511438.0,0.0,0.14
2010-06-29,769.7,769.7,769.7,769.7,-4.61,-37.19,551395,603347962.0,0.0,0.25
2010-06-30,756.45,756.45,756.45,756.45,-1.72,-13.25,369301,419221140.0,0.0,0.17
2010-07-01,751.5,751.5,751.5,751.5,-0.65,-4.95,403039,408878745.0,0.0,0.18
2010-07-02,752.78,752.78,752.78,752.78,0.17,1.28,501286,553469615.0,0.0,0.23
2010-07-05,754.71,754.71,754.71,754.71,0.26,1.93,371758,395083891.0,0.0,0.17
2010-07-06,766.0,766.0,766.0,766.0,1.5,11.29,412137,455594928.0,0.0,0.19
2010-07-07,774.17,774.17,774.17,774.17,1.07,8.17,349731,379207220.0,0.0,0.16
2010-07-08,790.09,790.09,790.09,790.09,2.06,15.92,746703,700758978.0,0.0,0.34
2010-07-09,823.58,823.58,823.58,823.58,4.24,33.49,1101889,1166415628.0,0.0,0.5
2010-07-12,846.07,846.07,846.07,846.07,2.73,22.49,1228527,1421170089.0,0.0,0.56
2010-07-13,842.01,842.01,842.01,842.01,-0.48,-4.06,936859,1067152408.0,0.0,0.43
2010-07-14,860.17,860.17,860.17,860.17,2.16,18.16,1422174,1859221660.0,0.0,0.65
2010-07-15,843.84,843.84,843.84,843.84,-1.9,-16.33,670315,814271327.0,0.0,0.31
2010-07-16,851.66,851.66,851.66,851.66,0.93,7.82,557562,685894519.0,0.0,0.25
2010-07-19,879.37,879.37,879.37,879.37,3.25,27.71,1138624,1421988942.0,0.0,0.52
2010-07-20,898.15,898.15,898.15,898.15,2.14,18.78,640537,1041013005.0,0.0,0.29
2010-07-21,907.96,907.96,907.96,907.96,1.09,9.81,1465538,1740996140.0,0.0,0.67
2010-07-22,915.73,915.73,915.73,915.73,0.86,7.77,899856,1057588381.0,0.0,0.41
2010-07-23,919.49,919.49,919.49,919.49,0.41,3.76,1038999,1324501826.0,0.0,0.47
2010-07-26,926.71,926.71,926.71,926.71,0.79,7.22,920089,1187619839.0,0.0,0.42
2010-07-27,916.08,916.08,916.08,916.08,-1.15,-10.63,704522,916550057.0,0.0,0.32
2010-07-28,949.91,949.91,949.91,949.91,3.69,33.83,962245,1297498678.0,0.0,0.44
2010-07-29,967.22,967.22,967.22,967.22,1.82,17.31,1320515,1930473573.0,0.0,0.6
2010-07-30,958.24,958.24,958.24,958.24,-0.93,-8.98,609904,821281549.0,0.0,0.28
2010-08-02,976.95,976.95,976.95,976.95,1.95,18.71,893795,1127426275.0,0.0,0.41
2010-08-03,952.96,952.96,952.96,952.96,-2.46,-23.99,1084883,1470173599.0,0.0,0.49
2010-08-04,973.49,973.49,973.49,973.49,2.15,20.53,1521915,1805835839.0,0.0,0.69
