日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-01-04,1003.24,1003.24,1003.24,1003.24,0.32,3.24,5968664,8122446204.0,0.0,0.45
2010-01-05,1009.05,1009.05,1009.05,1009.05,0.58,5.81,5287594,7339715917.0,0.0,0.4
2010-01-06,1003.88,1003.88,1003.88,1003.88,-0.51,-5.17,5696499,7542876362.0,0.0,0.43
2010-01-07,984.15,984.15,984.15,984.15,-1.97,-19.73,5624495,7958488113.0,0.0,0.43
2010-01-08,996.84,996.84,996.84,996.84,1.29,12.69,4361725,5793634421.0,0.0,0.33
2010-01-11,999.37,999.37,999.37,999.37,0.25,2.53,4874338,6801045717.0,0.0,0.37
2010-01-12,1020.52,1020.52,1020.52,1020.52,2.12,21.15,5549667,7827732138.0,0.0,0.42
2010-01-13,1009.22,1009.22,1009.22,1009.22,-1.11,-11.3,5955599,8641555991.0,0.0,0.45
2010-01-14,1043.0,1043.0,1043.0,1043.0,3.35,33.78,6157543,8960059570.0,0.0,0.47
2010-01-15,1050.51,1050.51,1050.51,1050.51,0.72,7.51,5393413,7889012935.0,0.0,0.41
2010-01-18,1071.88,1071.88,1071.88,1071.88,2.03,21.37,6138635,9126897198.0,0.0,0.47
2010-01-19,1071.6,1071.6,1071.6,1071.6,-0.03,-0.28,5922716,8693652760.0,0.0,0.45
2010-01-20,1032.34,1032.34,1032.34,1032.34,-3.66,-39.26,6144757,8925988321.0,0.0,0.47
2010-01-21,1042.95,1042.95,1042.95,1042.95,1.03,10.61,4353176,6304596193.0,0.0,0.33
2010-01-22,1016.96,1016.96,1016.96,1016.96,-2.49,-25.99,5366684,7390117037.0,0.0,0.41
2010-01-25,1002.16,1002.16,1002.16,1002.16,-1.46,-14.8,3389275,4958411721.0,0.0,0.26
2010-01-26,966.81,966.81,966.81,966.81,-3.53,-35.35,3827969,5434607260.0,0.0,0.29
2010-01-27,962.31,962.31,962.31,962.31,-0.47,-4.5,3304228,4711229816.0,0.0,0.25
2010-01-28,975.68,975.68,975.68,975.68,1.39,13.37,2852151,3934666663.0,0.0,0.22
2010-01-29,986.8,986.8,986.8,986.8,1.14,11.12,3679441,5154176646.0,0.0,0.28
2010-02-01,982.74,982.74,982.74,982.74,-0.41,-4.06,3830793,5266198221.0,0.0,0.29
2010-02-02,976.54,976.54,976.54,976.54,-0.63,-6.2,3761272,5099123560.0,0.0,0.29
2010-02-03,986.91,986.91,986.91,986.91,1.06,10.37,4268454,5581461346.0,0.0,0.32
2010-02-04,999.58,999.58,999.58,999.58,1.28,12.67,4703202,6269258478.0,0.0,0.36
2010-02-05,984.69,984.69,984.69,984.69,-1.49,-14.89,4692997,6055790861.0,0.0,0.36
2010-02-08,981.83,981.83,981.83,981.83,-0.29,-2.86,3134318,4138988685.0,0.0,0.24
2010-02-09,978.48,978.48,978.48,978.48,-0.34,-3.35,2602096,3407188362.0,0.0,0.2
2010-02-10,990.63,990.63,990.63,990.63,1.24,12.15,2483987,3472982237.0,0.0,0.19
2010-02-11,986.5,986.5,986.5,986.5,-0.42,-4.13,2252123,3018897764.0,0.0,0.17
2010-02-12,1001.84,1001.84,1001.84,1001.84,1.55,15.34,3181964,4423145944.0,0.0,0.24
2010-02-22,1003.12,1003.12,1003.12,1003.12,0.13,1.28,3316338,4505011246.0,0.0,0.25
2010-02-23,1011.02,1011.02,1011.02,1011.02,0.79,7.9,3765088,5000127838.0,0.0,0.29
2010-02-24,1031.88,1031.88,1031.88,1031.88,2.06,20.86,3947050,5373098193.0,0.0,0.3
2010-02-25,1054.01,1054.01,1054.01,1054.01,2.14,22.13,5765879,8264850467.0,0.0,0.44
2010-02-26,1052.06,1052.06,1052.06,1052.06,-0.19,-1.95,4393449,6305267796.0,0.0,0.33
2010-03-01,1064.07,1064.07,1064.07,1064.07,1.14,12.01,4748369,6684964878.0,0.0,0.36
2010-03-02,1065.03,1065.03,1065.03,1065.03,0.09,0.96,5002588,6583282211.0,0.0,0.38
2010-03-03,1074.06,1074.06,1074.06,1074.06,0.85,9.03,4883052,6554809068.0,0.0,0.37
2010-03-04,1038.3,1038.3,1038.3,1038.3,-3.33,-35.76,5212964,7104968743.0,0.0,0.4
2010-03-05,1042.3,1042.3,1042.3,1042.3,0.39,4.0,3371249,4637997327.0,0.0,0.26
2010-03-08,1054.67,1054.67,1054.67,1054.67,1.19,12.37,3177413,4523608238.0,0.0,0.24
2010-03-09,1055.06,1055.06,1055.06,1055.06,0.04,0.39,4020305,5576329168.0,0.0,0.3
2010-03-10,1042.15,1042.15,1042.15,1042.15,-1.22,-12.91,3555360,5096439125.0,0.0,0.27
2010-03-11,1040.06,1040.06,1040.06,1040.06,-0.2,-2.09,3013615,4285929592.0,0.0,0.23
2010-03-12,1028.72,1028.72,1028.72,1028.72,-1.09,-11.34,3008745,4541683720.0,0.0,0.23
2010-03-15,1018.6,1018.6,1018.6,1018.6,-0.98,-10.12,2980141,4233646724.0,0.0,0.23
2010-03-16,1026.0,1026.0,1026.0,1026.0,0.73,7.4,2725218,3688965512.0,0.0,0.21
2010-03-17,1051.35,1051.35,1051.35,1051.35,2.47,25.35,4014571,5496353179.0,0.0,0.3
2010-03-18,1057.02,1057.02,1057.02,1057.02,0.54,5.67,4512230,6430715017.0,0.0,0.34
2010-03-19,1063.65,1063.65,1063.65,1063.65,0.63,6.63,4151757,5812405153.0,0.0,0.31
2010-03-22,1066.85,1066.85,1066.85,1066.85,0.3,3.2,3761428,4989599788.0,0.0,0.29
2010-03-23,1064.43,1064.43,1064.43,1064.43,-0.23,-2.42,4097508,5483645588.0,0.0,0.31
2010-03-24,1069.8,1069.8,1069.8,1069.8,0.5,5.37,4310640,6101374300.0,0.0,0.33
2010-03-25,1059.64,1059.64,1059.64,1059.64,-0.95,-10.16,5025978,6776270681.0,0.0,0.38
2010-03-26,1072.7,1072.7,1072.7,1072.7,1.23,13.06,4743403,6642339300.0,0.0,0.36
2010-03-29,1077.65,1077.65,1077.65,1077.65,0.46,4.95,4841516,6907767160.0,0.0,0.37
2010-03-30,1085.47,1085.47,1085.47,1085.47,0.73,7.82,4527306,6609606793.0,0.0,0.34
2010-03-31,1090.69,1090.69,1090.69,1090.69,0.48,5.22,4482879,6454086252.0,0.0,0.34
2010-04-01,1103.55,1103.55,1103.55,1103.55,1.18,12.86,5561948,7998487240.0,0.0,0.42
2010-04-02,1104.78,1104.78,1104.78,1104.78,0.11,1.23,4571755,6661309053.0,0.0,0.35
2010-04-06,1107.51,1107.51,1107.51,1107.51,0.25,2.73,4693593,6596732251.0,0.0,0.36
2010-04-07,1110.87,1110.87,1110.87,1110.87,0.3,3.36,4850271,7338466102.0,0.0,0.37
2010-04-08,1115.8,1115.8,1115.8,1115.8,0.44,4.93,5422564,8403980458.0,0.0,0.41
2010-04-09,1128.44,1128.44,1128.44,1128.44,1.13,12.64,5121349,7649609561.0,0.0,0.39
2010-04-12,1138.37,1138.37,1138.37,1138.37,0.88,9.93,6350780,9633397101.0,0.0,0.48
2010-04-13,1126.17,1126.17,1126.17,1126.17,-1.07,-12.2,6740934,10303910299.0,0.0,0.51
2010-04-14,1136.38,1136.38,1136.38,1136.38,0.91,10.21,5044603,7454865068.0,0.0,0.38
2010-04-15,1119.62,1119.62,1119.62,1119.62,-1.47,-16.76,4171391,6037034854.0,0.0,0.32
2010-04-16,1124.04,1124.04,1124.04,1124.04,0.39,4.42,3257714,4660026984.0,0.0,0.25
2010-04-19,1080.9,1080.9,1080.9,1080.9,-3.84,-43.14,4805938,6808389725.0,0.0,0.36
2010-04-20,1091.0,1091.0,1091.0,1091.0,0.93,10.1,4961077,6869172798.0,0.0,0.38
2010-04-21,1131.35,1131.35,1131.35,1131.35,3.7,40.35,6447617,9563231164.0,0.0,0.49
2010-04-22,1144.95,1144.95,1144.95,1144.95,1.2,13.6,6319022,9479379458.0,0.0,0.48
2010-04-23,1130.86,1130.86,1130.86,1130.86,-1.23,-14.09,5538753,8046215390.0,0.0,0.42
2010-04-26,1136.1,1136.1,1136.1,1136.1,0.46,5.24,4706951,7167957160.0,0.0,0.36
2010-04-27,1113.01,1113.01,1113.01,1113.01,-2.03,-23.09,5081968,7234378291.0,0.0,0.39
2010-04-28,1103.67,1103.67,1103.67,1103.67,-0.84,-9.34,4808424,6651482101.0,0.0,0.36
2010-04-29,1073.4,1073.4,1073.4,1073.4,-2.74,-30.27,5844563,8413360589.0,0.0,0.44
2010-04-30,1044.17,1044.17,1044.17,1044.17,-2.72,-29.23,4400433,6074213118.0,0.0,0.33
2010-05-04,1045.76,1045.76,1045.76,1045.76,0.15,1.59,3052269,4169902997.0,0.0,0.23
2010-05-05,1077.49,1077.49,1077.49,1077.49,3.03,31.73,5037298,6464453737.0,0.0,0.38
2010-05-06,1046.85,1046.85,1046.85,1046.85,-2.84,-30.64,5145905,6669055185.0,0.0,0.39
